Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F10_543636
Composite Element REF	Signal
AACS	6.93774736620636
FSTL1	8.5574719987383
ELMO2	6.12061394155591
CREB3L1	4.24662028771985
RPS11	10.4169657694170
PNMA1	6.99763036984893
MMP2	8.14201042721222
SAMD4A	4.36217781007057
SMARCD3	4.58465932078109
A4GNT	4.27262565627458
C9orf39	4.12203014491877
PKNOX2	4.41320050143469
RALYL	3.95035841581598
ZHX3	5.00878079955088
ERCC5	7.60484501999618
RXFP3	4.11007909972287
APBB2	4.28454427310078
BBOX1	3.4719520033621
PRO0478	3.17716888610736
GCSH	7.67196168317955
XDH	4.73978596516226
EDN1	4.01535992117295
MTERF	6.00668801370992
PDCL3	8.21367012426093
CLK4	6.19216426332465
KCNG1	4.48226155464442
CXCR4	5.63989598389806
DECR1	10.1452567689981
SALL1	3.54327471861507
PTPRR	6.65089156216653
CADM4	3.71514465754572
IRAK1	9.16615863773344
CFHR5	3.9607087636796
HNRPD	8.82112096145375
TMSB10	12.1274191332328
CXCL3	4.14643427569787
LMAN1	4.17006181670815
SUHW1	3.99502129254375
CHD8	6.4249440915737
SUMO1	8.22154729679278
GP1BA	3.7585663448431
OR7A10	3.99992982937198
DDB1	8.39461786214827
CHRNA10	4.29999876022957
STYK1	4.87726980869616
MYO9B	4.61130672629761
CCNI	11.2536487162558
MMP7	4.30535860738218
EP300	6.83955375512428
CRNKL1	5.09557199556816
C9orf45	3.73013612137256
XAB2	4.43096024683362
RTN1	3.77464853702472
HIC2	4.75273088474045
TBX10	4.16799628410261
CENPQ	4.72927418585825
UTY	4.71444205587931
OR2W1	3.53339651480316
ATP5G2	11.5087364499007
ZEB1	3.85732137984953
ZG16	3.61466244632198
ERG	4.14339115527827
PARN	7.68326718599528
SOD2	4.74665382896184
JOSD3	8.42213741623329
ADAM5P	3.82497359429212
CHD9	6.9089348687414
hCG_40738	4.04835964994153
STK16	6.07520051260058
PDE1C	4.27775349897988
SEMA4D	6.02509916790683
AGPAT1	6.83115161659527
TOB2	7.17442560121146
BANK1	5.2070098503677
MAP3K3	5.48655714562577
MAX	5.95498672580836
GRM2	4.18886362394020
OSBPL8	7.77094048144665
PROSC	6.87049500893228
NR4A2	4.27068072111576
RICS	8.56652792455258
PIR	8.14556620047891
PPCS	9.89449954585925
IPO9	6.67960390827839
LONP1	7.70422925614956
EVC	4.28268180053381
CXCL13	4.01946059093766
SCYL3	6.24487639470843
KIAA1199	4.0482520412351
SORL1	10.2916594524334
NAT10	7.27927036340784
CHD1	6.96638777625035
SYN3	4.13187877802189
DMC1	4.17408510544367
SLC22A2	4.07022726199385
SERPINF1	4.58149173219456
C20orf27	5.18758797517023
OR7A17	3.48478983480934
RPS6KA5	5.2002487810249
LHB	4.1230238350491
