Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F05_543716
Composite Element REF	Signal
AACS	7.4544199171839
FSTL1	9.49238891004478
ELMO2	5.17396223898667
CREB3L1	4.5220665174384
RPS11	10.1615661715874
PNMA1	6.426783009316
MMP2	9.88489248357421
SAMD4A	4.16521738727079
SMARCD3	5.95490670119747
A4GNT	4.12701759373237
C9orf39	4.31469470039202
PKNOX2	4.37203327725658
RALYL	3.73854947574006
ZHX3	4.74279265591563
ERCC5	4.90582950822829
RXFP3	3.83298646605249
APBB2	4.22904717543117
BBOX1	4.03954896477222
PRO0478	3.35504629941961
GCSH	7.68119486620273
XDH	4.53368856278426
EDN1	4.39298750809752
MTERF	6.76022898837823
PDCL3	7.54809553543185
CLK4	6.16922100025819
KCNG1	4.42746682046566
CXCR4	7.95950030201742
DECR1	8.70244792384502
SALL1	3.78727697345871
PTPRR	3.98287975983605
CADM4	3.97979891232933
IRAK1	9.95662084729692
CFHR5	3.97131401353798
HNRPD	8.39716122400651
TMSB10	12.5263664638196
CXCL3	5.08200086720077
LMAN1	4.54991225117536
SUHW1	3.99564217791868
CHD8	5.69654013038803
SUMO1	8.35186312723527
GP1BA	4.56588976769023
OR7A10	4.0356107886532
DDB1	7.84567916562675
CHRNA10	4.24013142283509
STYK1	4.32061354872651
MYO9B	4.57702076625442
CCNI	10.9040988420798
MMP7	9.40196538793861
EP300	5.68742096516432
CRNKL1	5.63416627619603
C9orf45	3.93858381230733
XAB2	3.89804047475551
RTN1	4.76850237872852
HIC2	3.96968811702037
TBX10	4.18348061422139
CENPQ	4.27525381723392
UTY	3.84516315714575
OR2W1	3.43795546721077
ATP5G2	11.0914156928358
ZEB1	4.15356115415849
ZG16	3.85329984550942
ERG	4.18868783829543
PARN	7.18061806311579
SOD2	8.31436307239552
JOSD3	8.1983411701451
ADAM5P	3.91130493592162
CHD9	5.7866941843001
hCG_40738	4.33494837571429
STK16	5.05409933057313
PDE1C	3.69563239619889
SEMA4D	6.41903639607825
AGPAT1	5.54642338228579
TOB2	5.37228787153932
BANK1	5.10493413979239
MAP3K3	5.39494070367119
MAX	5.58368398863063
GRM2	4.41729266409436
OSBPL8	8.03250569322755
PROSC	6.33031978463022
NR4A2	6.35896033311029
RICS	4.46797202673938
PIR	6.50121325540873
PPCS	8.93634768732882
IPO9	6.99244474558157
LONP1	6.06612434636355
EVC	4.16478342945733
CXCL13	9.51492445621828
SCYL3	5.59891495522878
KIAA1199	7.09344077690032
SORL1	5.95216988648448
NAT10	7.451680998043
CHD1	6.1540431704125
SYN3	4.41207812732977
DMC1	4.14959177447335
SLC22A2	4.38911072570996
SERPINF1	9.04549722160169
C20orf27	5.62987829679136
OR7A17	3.61071724723267
RPS6KA5	4.71786611603755
LHB	4.42815337532974
TAOK3	5.89853976134357
STK25	5.01077888964768
SLC12A4	4.0625322123301
BRCA1	4.6781421153214
GBL	5.58557164930722
C14orf108	6.93191711840604
CDC25B	7.66877117881532
BMP3	3.91106707085146
MAP1LC3C	3.97896273372215
TMEM180	4.20522648364639
CRYGC	3.96435497064517
SLK	6.20879547962207
POU3F1	3.78220679517122
C20orf32	3.83973086894511
USP52	4.54414353030665
HIGD1B	4.40059531332032
BAZ1B	6.75822168952181
USP6NL	5.10294515326698
SLCO2B1	5.22091275942407
ABCD4	4.62630169999853
DIMT1L	7.39084751651748
SLC25A46	8.77281553011932
LARP7	6.14363902607027
TEK	4.34822823328626
CD160	4.39480741602885
TERF2IP	8.43029927657323
PHF20	5.95247296957112
COL1A1	8.29300709207806
KIAA0090	5.8411740692168
GTPBP1	4.91077336632886
GRK5	4.82363915505776
AP1S2	5.53855022663787
RAB33B	4.9255324372446
CA11	5.7974490896109
ALDOC	6.54690364207652
NUDT1	6.30622499251995
ZNF212	5.39833153512153
ACBD3	7.37722046138263
ZNF83	6.2769858099887
PRDM2	4.93562045383126
GDPD5	4.50264500103557
PDCD4	5.406023822423
CEP350	5.73593071304045
FOXP3	3.75332745153901
SMYD3	6.80175097992347
CST7	6.57585196440477
SELL	7.11808497370766
CIAO1	6.67869179087396
LGI2	4.60306179897822
WDR45	6.79429121537699
ANKRD6	5.41201143183448
LTBP4	4.37172959223253
PSCD3	3.59668500960456
PYY	3.85296976543192
KCNC1	3.54429755881416
SIRT6	4.17072766956277
CCL19	5.8177573635934
ARHGEF9	4.69223481926314
ABR	5.37089595732777
C10orf22	6.53477674659688
STK17A	6.00043986455875
FOXE1	4.67395998656165
GML	3.33423167849382
CNGA3	3.73705491918971
CD38	5.7649304953706
ZDHHC6	7.34546832556112
NEFH	3.90654282770738
PGBD5	5.17319492536832
CTDSP2	7.33875161364893
RMND5B	5.47181882390019
ZNF257	3.6048021598344
DUSP4	6.35054631863261
FLJ22167	5.20108682273048
EXOSC7	6.26312819065768
ROR2	3.79446286797813
FOXM1	6.00867720675106
ZBTB48	4.54152772551785
BUD31	8.27993187915135
MAOA	6.91138211246941
CCDC41	4.3393680652277
TNNT3	4.10802666807275
FBXO11	5.15173954035752
GYPC	6.53339984196418
PLIN	4.02303535342807
RFXAP	4.07362594599308
C6orf15	4.36838816173457
RNF4	9.1177959018173
F8A1	10.0603159584513
PPP1R3D	5.04461724177598
GRB2	8.5715279176738
TPM3	3.62248733600669
SYT13	4.04032266814826
EPB42	3.99953815266515
RP5-1077B9.4	5.29344007494462
EIF1	11.5883623721106
CETN3	7.99691037939257
FPGT	5.33839867377539
PRY	3.71802149092529
NTHL1	4.47103698369335
POLR2B	9.57579438792135
RPS28	12.0294961847448
GDF10	3.5955749458349
COQ9	7.90237318224078
P2RX3	3.28601960147542
GCC2	5.83133237457162
RARRES3	8.1417287603295
PLXNA1	6.68328957030146
WBP4	4.11369861466599
KIAA0100	6.22905759359899
PMF1	6.95411242479716
HS2ST1	5.40779509077887
CRELD2	8.41111087007641
C8G	3.32684213503072
CD82	6.53834466336337
PMM1	5.78940588477054
CBLL1	4.2888239816572
LIM2	3.76710605458666
VAX2	4.09012938431190
SETDB1	5.50468662617508
LRAP	3.73727251615154
GCLM	8.77786359511771
CPEB3	3.57298650730041
PPM1A	5.87087809493024
INTS1	4.43971550117214
MMP16	3.57806316947466
CAMTA1	3.69536424474000
SAMSN1	7.13276469432526
DRD3	3.53953820302744
GMPPA	4.9044514259959
C11orf73	6.30594413870886
AIPL1	4.45561230507211
PTP4A2	9.52268341060079
IL24	3.90317272668934
BDKRB1	3.97686972751665
HPCA	3.99714854930751
MLF1	4.55213410159919
SEC14L1	5.97160547185788
CHFR	5.84764187157242
EMILIN1	4.08386655556226
THADA	6.16533317932867
TAF12	5.06515560278065
NDUFS4	8.51574362459044
ID1	11.1948820194920
PIK3CB	4.11758444962374
COL18A1	5.93569067616877
PDZD3	3.60289149750031
TBC1D17	4.83753044372046
COX8A	10.6617666831746
CDCA4	6.21383251198657
C2orf44	4.9172138083408
C9orf16	7.64166029600919
ERBB2IP	8.69133960161793
EMX2	3.69249312383384
FUS	6.09591656710852
NIPSNAP3B	3.75661363356031
TF	4.63084944903263
CXorf56	5.58512415535589
CLCN4	4.32465124187989
PWP2	5.51837882019466
MMP15	4.3258969434166
MTMR14	5.68257031416879
NPR1	4.36275972556494
DNAL4	5.5555929394121
ELAC2	5.13472132170527
ASS1	8.97488507402587
IPP	4.59017629598459
TMEM59	9.87595384599055
POLR2J	9.44262868976384
SEC23IP	5.14830961691152
RGS4	6.59532817425846
UQCRC1	9.59474886923464
SNX6	7.7343011189428
DDX18	7.67706752085883
POLG	5.54762061410524
ADAM23	4.56301258441634
ZNHIT2	4.53730408285256
TFR2	4.41158727456951
NCDN	4.29567436138582
RAG1	4.12130363881034
POMT1	4.79418480232574
CYP1A1	4.16056483503268
SNAPC1	6.3237102474031
GNA11	5.46241502612229
CCDC52	3.88871241070061
CAPN1	8.06946632120315
DDHD2	6.41069822114322
UPF3A	4.81771482256001
LAGE3	7.19601942690364
GNRHR	3.53297235776621
UNC13B	5.12736922244415
TTLL4	4.98747584932352
PPBP	3.43743422627000
HTR3A	3.7698904941821
SDC2	5.4265715071406
ANKRD49	7.90590872217621
BTF3	11.0445201927675
COX7A2	11.2464837300835
SARS	8.6179668996546
C13orf18	4.48168181479180
CACNB1	4.48901358373581
QKI	6.17413083470349
SETMAR	4.87368140998847
LAMB4	3.4710322687912
MAN2B1	7.37517641420512
EML3	5.15583100517766
ACADL	4.0480537673917
OFD1	7.21909213505813
CGA	3.80037265748446
EIF3EIP	10.6985668025329
PEX16	5.54133948519531
GNG12	8.71127689494797
HABP4	5.4103711227153
CNTN2	3.79069391387027
ASNSD1	7.28141744805343
FUT4	4.55845925146572
DBH	4.06980047017002
CD53	9.96896836363243
HIST1H2BJ	3.7135407998108
TFAP2B	3.70165874518502
ACF	3.98602289889254
TMEM11	6.99125402294373
CDH8	3.68662394867611
C3orf32	4.21968375772326
AGPS	6.82994924151232
C4orf18	3.56467784025112
PCCB	8.21866861765166
IPO13	4.4813460305159
PECI	6.673769498533
UNG	8.57662965637164
C6orf105	4.00647623957305
GSTP1	10.7153505006001
SUV420H1	6.17430794569086
ARHGAP15	5.53105597684961
