Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D08_588314
Composite Element REF	Signal
AACS	8.03913107604753
FSTL1	7.93789657798722
ELMO2	5.93881646616398
CREB3L1	5.04879549121226
RPS11	10.5246046016376
PNMA1	6.566830874736
MMP2	5.76204022067233
SAMD4A	4.15375348527663
SMARCD3	8.16926933104327
A4GNT	3.93402662983395
C9orf39	4.50014383288594
PKNOX2	4.333224291042
RALYL	3.69162202567756
ZHX3	5.13101524723051
ERCC5	7.86331260401414
RXFP3	4.14793154607050
APBB2	3.9301504246688
BBOX1	3.06838697816511
PRO0478	3.2338106939858
GCSH	8.31847606003526
XDH	4.35413165639713
EDN1	4.56836346133260
MTERF	7.649119208573
PDCL3	8.70802802735715
CLK4	6.74401309049047
KCNG1	3.91784251030957
CXCR4	6.73903859324443
DECR1	9.79402283711002
SALL1	3.3601908406224
PTPRR	3.56978979721599
CADM4	4.40309188228345
IRAK1	8.93593575321743
CFHR5	3.65120369872128
HNRPD	9.01192794254053
TMSB10	12.6439752794054
CXCL3	4.06542040799369
LMAN1	4.19602393089437
SUHW1	5.98790064455135
CHD8	6.49859566827791
SUMO1	8.63499301927086
GP1BA	3.61345507476723
OR7A10	3.87365775708668
DDB1	8.2733945299401
CHRNA10	4.04866147697314
STYK1	4.7965549710216
MYO9B	4.71518593326544
CCNI	11.2114883530604
MMP7	5.30552491242257
EP300	7.68062650810943
CRNKL1	7.63730478552555
C9orf45	3.45151097123850
XAB2	4.57673217154408
RTN1	3.84163747721152
HIC2	4.77275201415409
TBX10	4.13150438313848
CENPQ	5.18131136922461
UTY	5.49958729321936
OR2W1	3.33660012810701
ATP5G2	11.0405526080780
ZEB1	3.83408077704321
ZG16	3.84241633528211
ERG	4.4512407986807
PARN	8.2383144945861
SOD2	5.94083735158984
JOSD3	9.14001668923165
ADAM5P	3.48421369215973
CHD9	7.80169415163431
hCG_40738	4.92046625940608
STK16	7.40845737940425
PDE1C	4.07577976232969
SEMA4D	6.79072960424681
AGPAT1	7.03138116565398
TOB2	6.55441917166663
BANK1	4.86044594962085
MAP3K3	5.78929134868098
MAX	6.97683879427269
GRM2	4.55148297311177
OSBPL8	8.8354039589297
PROSC	7.54045479309925
NR4A2	5.79623442628912
RICS	7.88641515590791
