Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F01_543630
Composite Element REF	Signal
AACS	7.37008153488561
FSTL1	10.0377781743701
ELMO2	6.17157402199041
CREB3L1	4.82455151309137
RPS11	10.3206683568794
PNMA1	7.90849927256145
MMP2	10.0632935262987
SAMD4A	5.09923703489993
SMARCD3	5.55969624772748
A4GNT	3.8480304045646
C9orf39	3.75400494853364
PKNOX2	4.57825969534654
RALYL	3.6130389745207
ZHX3	4.98330129972871
ERCC5	6.81507404359081
RXFP3	4.00818102061145
APBB2	5.04965415052895
BBOX1	3.94970214612082
PRO0478	3.28812554543578
GCSH	7.58689429179027
XDH	4.10707816055912
EDN1	6.80947621731513
MTERF	7.2444159558395
PDCL3	7.83365208823875
CLK4	7.13395854951127
KCNG1	5.0191892497503
CXCR4	9.98420034726108
DECR1	9.09016202050152
SALL1	3.55901595516145
PTPRR	3.63289327584418
CADM4	3.72318544132602
IRAK1	9.61649578538874
CFHR5	3.54346270661746
HNRPD	8.42135809842779
TMSB10	12.7970817296651
CXCL3	4.48185534250294
LMAN1	4.23278642306513
SUHW1	3.7882514505449
CHD8	6.47023510475304
SUMO1	8.0493284320891
GP1BA	3.81720325621899
OR7A10	3.94700066074471
DDB1	7.63743691046467
CHRNA10	3.81983556503628
STYK1	4.10218301423217
MYO9B	5.28593158134712
CCNI	10.7477938842702
MMP7	10.6194724501600
EP300	7.35223124651989
CRNKL1	7.04164110607338
C9orf45	3.77982393558763
XAB2	4.51818993660976
RTN1	6.39371553733107
HIC2	4.46288963814192
TBX10	3.8586801427335
CENPQ	5.55740293235386
UTY	3.54743775653504
OR2W1	3.21467900490776
ATP5G2	10.5895836036303
ZEB1	5.13178350099374
ZG16	3.83466431464543
ERG	5.11747173642943
PARN	7.76561197462277
SOD2	8.10024381600803
JOSD3	8.08585591195914
ADAM5P	3.37469870798873
CHD9	7.10642667820058
hCG_40738	4.87702654580001
STK16	5.20713738350201
PDE1C	3.93237129591982
SEMA4D	7.35372391539508
AGPAT1	6.29850116799603
TOB2	6.2376372602508
BANK1	5.97908523374248
MAP3K3	6.03770948232116
MAX	6.40561659679661
GRM2	4.21420422949907
OSBPL8	9.21987485687125
PROSC	7.09653195604732
NR4A2	5.747692077196
RICS	5.54612447849924
PIR	8.39408844453398
PPCS	9.21590812946024
IPO9	6.77167806035383
LONP1	7.5931755568797
EVC	4.56097322014823
CXCL13	9.48975684072284
SCYL3	5.90258212577108
KIAA1199	7.12516702123719
SORL1	8.87345500201969
NAT10	6.77669295737345
CHD1	7.39973087594736
SYN3	3.88279695105042
DMC1	4.35268776180445
SLC22A2	3.93191865089842
SERPINF1	10.3449385671118
C20orf27	5.76496186970972
OR7A17	3.36902750449982
RPS6KA5	5.90341511489238
LHB	3.78810096859089
TAOK3	6.26837009162116
STK25	6.05743371217379
SLC12A4	3.97190178153801
BRCA1	4.76891140409434
GBL	5.66974105001885
C14orf108	8.95026371491068
CDC25B	8.12604713894909
BMP3	3.46679504125401
MAP1LC3C	3.8940512397051
TMEM180	4.29013277956628
CRYGC	3.89839242010671
SLK	7.49813923581486
POU3F1	3.52343046558969
C20orf32	3.96151902399315
USP52	6.2511789894681
HIGD1B	5.09506069997402
BAZ1B	7.29065028616655
USP6NL	5.8960953840468
SLCO2B1	6.01865320517565
ABCD4	5.04377076127395
DIMT1L	6.82450363641148
SLC25A46	8.33955360174343
LARP7	7.45006707396192
TEK	4.87271141681127
CD160	4.07807602818552
TERF2IP	8.66409936249287
PHF20	6.38830928336122
COL1A1	9.04337395374753
KIAA0090	6.61933116860396
GTPBP1	5.1154037657288
GRK5	6.04822875545095
AP1S2	7.92679826495031
RAB33B	4.93387134570218
CA11	5.12878526243423
ALDOC	6.22877246081865
NUDT1	6.40745631177686
ZNF212	6.15499930583515
ACBD3	8.45372716712045
ZNF83	6.75851246610763
PRDM2	5.58395421547379
GDPD5	4.94536024410861
PDCD4	6.37728693107629
CEP350	6.87740331431455
FOXP3	3.54016647717426
SMYD3	7.53625871913906
CST7	7.27270538084096
SELL	8.32730922138566
CIAO1	6.97474839036841
LGI2	4.38786574372941
WDR45	6.96288956441751
ANKRD6	5.8896128561416
LTBP4	5.04642912479377
PSCD3	4.1006191929565
PYY	3.68699009040493
KCNC1	3.39574095537425
SIRT6	4.53354717997253
CCL19	8.86478964946417
ARHGEF9	4.82004648403255
ABR	6.14401791204384
C10orf22	7.6871103723108
STK17A	6.13962238802289
FOXE1	8.28534534881149
GML	3.64675381347833
CNGA3	3.17994734793791
CD38	7.11197346324333
ZDHHC6	7.61243310419275
NEFH	4.0900508605534
PGBD5	5.9954248078533
CTDSP2	7.75134178373542
RMND5B	5.98697596066849
ZNF257	3.28896179837570
DUSP4	5.91578867739081
FLJ22167	4.95056559687117
EXOSC7	7.62587546939143
ROR2	4.3881941732884
FOXM1	5.61597104165105
ZBTB48	5.23634198838612
BUD31	8.39126968445329
MAOA	6.9033045004417
CCDC41	5.21412935992069
TNNT3	3.85342273748756
FBXO11	6.8016762936715
GYPC	6.71223047925888
PLIN	3.40095316102024
RFXAP	3.61577532182652
C6orf15	6.08048185465123
