Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A12_588156
Composite Element REF	Signal
AACS	8.15598151221045
FSTL1	8.02183379538992
ELMO2	5.11412739548649
CREB3L1	4.04497086514091
RPS11	10.2488691640983
PNMA1	7.73935242328733
MMP2	6.28929565723311
SAMD4A	4.57625482011338
SMARCD3	5.92633418467592
A4GNT	3.78493871352793
C9orf39	3.15959390569721
PKNOX2	4.30922611405265
RALYL	3.88446391315079
ZHX3	4.82307349870489
ERCC5	5.29813236667151
RXFP3	4.36757912032293
APBB2	3.65894472576655
BBOX1	6.93651393769227
PRO0478	3.26349000192217
GCSH	8.57932572144875
XDH	4.10269996078211
EDN1	6.52298266202081
MTERF	7.71739162763724
PDCL3	8.8688523142724
CLK4	5.70779533921025
KCNG1	4.01142110017739
CXCR4	9.6399867063785
DECR1	9.02165201832231
SALL1	3.50358581030257
PTPRR	3.89991695540179
CADM4	3.87310762387458
IRAK1	8.18528242691377
CFHR5	3.81934317081102
HNRPD	7.42143104091516
TMSB10	13.2739018589077
CXCL3	7.47592127789815
LMAN1	3.80218303849183
SUHW1	3.95386784161241
CHD8	5.67177168681946
SUMO1	9.29796324875912
GP1BA	3.53932272160471
OR7A10	3.9800213522615
DDB1	7.60113329625745
CHRNA10	4.09596339416031
STYK1	5.73888793881592
MYO9B	4.30638660821442
CCNI	9.93716258021421
MMP7	8.94832213382585
EP300	6.66401112063613
CRNKL1	7.00481383748161
C9orf45	3.54234019756163
XAB2	4.23228916786693
RTN1	4.35902000610594
HIC2	4.20302098941242
TBX10	4.02521189749037
CENPQ	6.77982854336386
UTY	3.49122936006736
OR2W1	3.28654126439799
ATP5G2	11.1401763458837
ZEB1	3.5974512140702
ZG16	3.9694351814044
ERG	4.94056102649064
PARN	7.32798867372123
SOD2	8.11719681246677
JOSD3	8.67622752409838
ADAM5P	3.6092557420345
CHD9	6.4500739980502
hCG_40738	4.28647047935594
STK16	7.75670198785539
PDE1C	3.94341061733232
SEMA4D	5.00484040574869
AGPAT1	6.28638248673265
TOB2	6.47182614040952
BANK1	5.2004680657434
MAP3K3	5.5084917763401
MAX	6.95071962844923
GRM2	4.56914288102973
OSBPL8	9.27374495596395
PROSC	7.13075671549441
NR4A2	6.67158220530336
RICS	5.72855674089563
PIR	8.05621002631058
PPCS	10.4862248270507
IPO9	5.97715779426931
LONP1	6.84259760554848
EVC	4.14277736724673
CXCL13	7.59776467324285
SCYL3	6.20170097770732
KIAA1199	5.59876403725405
SORL1	7.04505638196285
NAT10	7.05146171413897
CHD1	5.76659623734704
SYN3	4.27030787516292
DMC1	4.44481876146474
SLC22A2	4.14565544124837
SERPINF1	8.66305813379662
C20orf27	6.1981494457401
OR7A17	3.71239653862855
RPS6KA5	6.29269164154428
LHB	3.77900732546754
TAOK3	5.60702197500072
STK25	6.94431797062529
SLC12A4	4.12979065971773
BRCA1	4.73496601146295
GBL	7.16164658675285
C14orf108	9.02505302567164
CDC25B	6.89672282424182
BMP3	4.40466032664141
MAP1LC3C	3.72394939892382
TMEM180	5.29216391142713
CRYGC	4.2504081573023
SLK	7.59816327492713
POU3F1	3.91770586718929
C20orf32	4.00990906897594
USP52	5.27542462347755
HIGD1B	5.31523968806978
BAZ1B	6.12205037309971
USP6NL	6.4245929149392
SLCO2B1	5.00314454098271
ABCD4	4.96289450539961
DIMT1L	7.98887673121382
SLC25A46	8.60782694943265
LARP7	7.15389045145364
TEK	4.11977814531207
CD160	4.05871993483754
TERF2IP	8.0077720773721
PHF20	5.47957355401588
COL1A1	5.94040438292431
KIAA0090	7.4280282344634
GTPBP1	4.64981587139427
GRK5	4.56430314205403
AP1S2	7.20108158648129
RAB33B	6.1383874313621
CA11	4.86769189850837
ALDOC	8.081691309587
NUDT1	7.0626712018624
ZNF212	5.46543786601269
ACBD3	7.68092358842997
ZNF83	4.68950676198798
PRDM2	5.12748305430775
GDPD5	4.35234131372981
PDCD4	6.5514083385356
CEP350	5.57306801063213
FOXP3	3.69400838776906
SMYD3	7.47222130079665
CST7	6.11886077562487
SELL	6.7967893187153
CIAO1	6.94675888389458
LGI2	4.08576273226009
WDR45	7.07154435950843
ANKRD6	6.48331429247176
LTBP4	4.36339996268887
PSCD3	3.85551210701098
PYY	4.05879522906587
KCNC1	3.45524204766991
SIRT6	4.57722146868961
CCL19	6.4543002978119
ARHGEF9	4.35364181498578
ABR	5.00451503934199
C10orf22	7.24350742100055
STK17A	6.16587198858528
FOXE1	5.85432768438924
GML	3.52719622848104
CNGA3	3.23020474580102
CD38	5.18459950128411
ZDHHC6	8.23804518472407
NEFH	3.90804805596640
PGBD5	4.06320019474501
CTDSP2	7.07620544175887
RMND5B	6.13432243651158
ZNF257	3.51993805598037
DUSP4	4.36907051676741
FLJ22167	5.38149119972273
EXOSC7	7.98834464648051
ROR2	3.78631679570010
FOXM1	4.8189956749757
ZBTB48	5.76551242891225
BUD31	10.2238545645875
MAOA	9.03438406175089
CCDC41	4.45694742747018
TNNT3	4.50890554536954
FBXO11	5.70766434348978
GYPC	6.88137735496014
PLIN	3.850360838565
RFXAP	3.91828712535714
C6orf15	4.32087242319945
RNF4	7.58229016857015
F8A1	7.78789598512562
PPP1R3D	5.38245991152412
GRB2	8.5896831454238
TPM3	3.46141599624610
SYT13	3.74410067962375
EPB42	4.32967988456232
RP5-1077B9.4	5.71930629955164
EIF1	11.5357867651598
CETN3	8.54187601760254
FPGT	7.5573596911408
PRY	3.90089830852607
NTHL1	6.2218729402155
POLR2B	10.2620909732344
RPS28	12.425740808417
GDF10	3.77851824029395
COQ9	7.85301270772506
P2RX3	3.30184586120037
GCC2	6.68417748653492
RARRES3	6.83798376668832
PLXNA1	6.25332526185918
WBP4	5.53102943508958
KIAA0100	5.86572336107784
PMF1	7.16264655844731
HS2ST1	6.5651990229153
CRELD2	8.00649781216826
C8G	3.44122413176437
CD82	6.40255827977829
PMM1	8.0093974159492
CBLL1	4.53697199108652
LIM2	3.91788665938421
VAX2	4.28545316010602
SETDB1	5.16636646107012
LRAP	3.06046588172032
GCLM	9.13987402894793
CPEB3	4.01972594346332
PPM1A	6.86941414501748
INTS1	4.77885637733013
MMP16	3.49590320028137
CAMTA1	3.89714398279128
SAMSN1	8.23978715443105
DRD3	3.41263961733131
GMPPA	6.04385117742098
C11orf73	8.55274354965366
AIPL1	4.28638812744642
PTP4A2	10.0492664375460
IL24	3.74363042893998
BDKRB1	4.64166437475605
HPCA	4.13599479124573
MLF1	8.31044789423036
SEC14L1	6.49242326283019
CHFR	6.27766738490179
EMILIN1	4.6689120279677
THADA	6.37146665702462
TAF12	6.79963844274375
NDUFS4	10.0087719106915
ID1	9.73435766688312
PIK3CB	4.56998803251504
COL18A1	5.06917307819253
PDZD3	3.62294360469112
TBC1D17	4.3040678740283
COX8A	11.0400130693094
CDCA4	8.15932458332454
C2orf44	5.05540656801398
C9orf16	7.1958258921525
ERBB2IP	9.59694724081852
EMX2	3.32185751148084
FUS	6.21693024418686
NIPSNAP3B	3.63113952352646
TF	3.83888402414754
CXorf56	5.55157837300926
CLCN4	4.01643408990915
PWP2	6.61974982329952
MMP15	4.196140729477
MTMR14	6.26017815881244
NPR1	4.42113102848538
