Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A09_588154
Composite Element REF	Signal
AACS	7.5248622167977
FSTL1	10.0686438113911
ELMO2	6.09034716035558
CREB3L1	4.37973305601915
RPS11	10.354841900119
PNMA1	8.47734794288175
MMP2	8.70510206100331
SAMD4A	4.90660044316649
SMARCD3	7.33980203379026
A4GNT	3.70294045273649
C9orf39	3.39144682966308
PKNOX2	4.71234857021761
RALYL	3.73486918546361
ZHX3	5.42083326611329
ERCC5	6.43390655509404
RXFP3	3.98344465612747
APBB2	4.82763489938477
BBOX1	7.72341628561701
PRO0478	3.26350748119834
GCSH	7.99677050948636
XDH	6.04434375362058
EDN1	6.22864242273515
MTERF	6.72928144772341
PDCL3	8.79838290274184
CLK4	6.88561408692973
KCNG1	4.60129405608031
CXCR4	8.22234284034313
DECR1	8.2760644697398
SALL1	3.58947628279738
PTPRR	3.77026232182825
CADM4	3.91315347739958
IRAK1	9.00138517101747
CFHR5	3.67629769497531
HNRPD	8.20118062317482
TMSB10	13.0885771820895
CXCL3	4.97161713598202
LMAN1	3.91596542599085
SUHW1	4.71482488784972
CHD8	6.71468551649418
SUMO1	8.85052346847587
GP1BA	3.57922074282902
OR7A10	3.82120000141738
DDB1	7.93946613706987
CHRNA10	3.84548449963283
STYK1	5.12156924482672
MYO9B	4.73733998621045
CCNI	10.9536685933014
MMP7	11.3001663826198
EP300	7.97846398844933
CRNKL1	6.8622744983646
C9orf45	3.68016397531514
XAB2	4.72035856360318
RTN1	5.3093028699726
HIC2	4.44578401763966
TBX10	3.99514217779666
CENPQ	5.1765776740683
UTY	3.57625389731934
OR2W1	3.20322566167552
ATP5G2	10.1141950860734
ZEB1	5.06452388472796
ZG16	3.62715890573947
ERG	5.66755543186784
PARN	7.5637986227082
SOD2	8.6948846337961
JOSD3	7.91758960565721
ADAM5P	3.53928769247838
CHD9	6.72401156008652
hCG_40738	5.36535755485684
STK16	6.66125010530399
PDE1C	3.80337969770171
SEMA4D	6.81767374390382
AGPAT1	7.31638001199059
TOB2	7.08664939706236
BANK1	5.63012645220223
MAP3K3	5.48003910312054
MAX	6.40827220250147
GRM2	4.12566760181284
OSBPL8	9.51981487130806
PROSC	7.03878304989331
NR4A2	5.38095720635516
RICS	8.08792683651974
PIR	7.03989998477312
PPCS	9.36632995240203
IPO9	6.7132213037986
LONP1	7.0502292960507
EVC	4.7726431950425
CXCL13	10.1859414446464
SCYL3	5.82995185372415
KIAA1199	6.74344121737465
SORL1	9.63194724907618
NAT10	7.64056964430261
CHD1	7.4377896555611
