Hybridization REF	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_F05_723840
Composite Element REF	Signal
AACS	7.40578692637599
FSTL1	8.61512321714128
ELMO2	4.86231167765568
CREB3L1	4.14735462640438
RPS11	10.0920330042320
PNMA1	8.99393666877327
MMP2	7.70577769735053
SAMD4A	4.11337781981370
SMARCD3	4.83017281037457
A4GNT	4.02536027472887
C9orf39	4.43916077410902
PKNOX2	4.13841852519548
RALYL	3.85480524084409
ZHX3	4.75998893019575
ERCC5	6.06257058400114
RXFP3	4.01137383585587
APBB2	4.7838694016346
BBOX1	3.11419603943931
PRO0478	3.21309902682868
GCSH	9.18489319589719
XDH	3.58592127198177
EDN1	4.15769541265102
MTERF	6.57498507407223
PDCL3	7.3083629187116
CLK4	7.06147420152001
KCNG1	3.95005577833278
CXCR4	9.24618375078597
DECR1	9.18342760792108
SALL1	5.1355762189018
PTPRR	3.73020154148372
CADM4	3.89267917751872
IRAK1	8.98176219193334
CFHR5	3.69891869582356
HNRPD	8.70167894254643
TMSB10	12.5039156096343
CXCL3	5.38145845804319
LMAN1	4.14259836794413
SUHW1	3.69076680963755
CHD8	5.57130373556239
SUMO1	9.11930623352169
GP1BA	3.4334518560536
OR7A10	4.07584536006359
DDB1	7.36524874329553
CHRNA10	3.85753590654187
STYK1	4.48048108157965
MYO9B	4.07098894771751
CCNI	10.0853991928699
MMP7	4.22255171761431
EP300	5.67050833054735
CRNKL1	6.91102756005211
C9orf45	3.41728377786623
XAB2	4.31804473308714
RTN1	4.64351603678756
HIC2	3.99020708076679
TBX10	3.94457132682311
CENPQ	6.36945410816873
UTY	3.44599234334719
OR2W1	3.30618924546777
ATP5G2	10.9491751872888
ZEB1	3.82353624543247
ZG16	3.78430355255737
ERG	4.28491515234227
PARN	6.7574288731468
SOD2	6.61917834056734
JOSD3	9.3314986902523
ADAM5P	3.43260548726987
CHD9	7.18543594233414
hCG_40738	4.43950499886764
STK16	6.88704179763876
PDE1C	3.95113367919352
SEMA4D	6.90695929530905
AGPAT1	6.41403380343457
TOB2	5.21471664822342
BANK1	4.42246788932645
MAP3K3	5.39315593025607
MAX	6.11456764524784
GRM2	3.99669647550188
OSBPL8	9.02838903802425
PROSC	5.66112014342292
NR4A2	7.2539618583537
RICS	5.24804699117989
PIR	9.05564156298775
PPCS	9.7123030144952
IPO9	6.3551523873771
LONP1	6.4362689115107
EVC	4.43981731747046
CXCL13	9.55267695327565
SCYL3	5.96429423925409
KIAA1199	7.85645222038287
SORL1	7.6331507823672
NAT10	6.49577160383788
CHD1	6.12586006231583
SYN3	4.04153850941164
DMC1	4.94697273803418
SLC22A2	4.04209501709996
SERPINF1	8.29879354072336
C20orf27	5.86134328456591
OR7A17	3.62769573650669
RPS6KA5	5.46479824015261
LHB	3.45628108620762
TAOK3	5.08072678651756
STK25	6.48802606585739
SLC12A4	4.12585659478615
BRCA1	5.0539091484767
GBL	6.8213299407146
C14orf108	8.67495050687379
CDC25B	8.04231097982296
BMP3	3.8468774959287
MAP1LC3C	3.93507132497389
TMEM180	4.62805933644422
CRYGC	4.22433073898646
SLK	7.13023574169911
POU3F1	3.85643189289721
C20orf32	3.80711461771321
USP52	6.83607241683889
HIGD1B	4.86844259635693
BAZ1B	7.25498173123009
USP6NL	6.10516664127473
SLCO2B1	5.11282460703038
ABCD4	5.11901518915576
DIMT1L	6.60131559517525
SLC25A46	8.45316159730577
LARP7	7.89690072331145
TEK	4.06777669287708
CD160	4.23983812997683
TERF2IP	9.67244843467282
PHF20	5.68926573418725
COL1A1	6.12084250652466
KIAA0090	7.57906775043892
GTPBP1	4.52720124071456
GRK5	4.46780415791208
AP1S2	6.53953737476948
RAB33B	6.04544172821931
CA11	4.37636574845906
ALDOC	7.57834758190023
NUDT1	5.99483153145028
ZNF212	5.62482679622653
ACBD3	6.56368959915246
ZNF83	6.2762782094819
PRDM2	5.00766225354636
GDPD5	4.67910044609311
PDCD4	6.8903896271743
CEP350	5.22985810015349
FOXP3	3.63722052882758
SMYD3	8.49286598602297
CST7	7.14511742541404
SELL	5.89040734789387
CIAO1	6.971890119715
LGI2	4.8056856266972
WDR45	7.76351227021727
ANKRD6	6.6534896549222
LTBP4	3.94899444337277
PSCD3	3.79694147087443
PYY	3.82263121867340
KCNC1	3.21962984959953
SIRT6	4.40659805275764
CCL19	7.56953150592491
ARHGEF9	4.56732702289118
ABR	5.11195341156031
C10orf22	7.38512960652169
STK17A	6.60965163273812
FOXE1	3.69373185330093
GML	3.56415670187955
CNGA3	3.21222874405899
CD38	7.38045987604714
ZDHHC6	9.11466374831545
NEFH	3.78733028686268
PGBD5	4.45302428475514
CTDSP2	7.16806225920272
RMND5B	5.5872433651734
ZNF257	3.30601467028991
DUSP4	6.80071884250004
FLJ22167	6.30428976184957
EXOSC7	7.3233468730369
ROR2	4.03710099604805
FOXM1	5.284209454
ZBTB48	4.92718749227504
BUD31	9.45246572894488
MAOA	4.467316854636
CCDC41	5.93343186854615
TNNT3	4.66565654532449
FBXO11	5.77118466987997
GYPC	8.40311516273599
PLIN	3.51784260485493
RFXAP	4.22457995377172
C6orf15	4.58840114817951
RNF4	8.03128776605585
F8A1	7.55029575528066
PPP1R3D	3.99053214083298
GRB2	8.10161250805484
TPM3	4.13283355521644
SYT13	3.85689014165063
EPB42	4.04415278145661
RP5-1077B9.4	5.4435696140305
EIF1	11.6164256735293
CETN3	8.73860451746879
FPGT	6.81029567616763
PRY	3.82743274347601
NTHL1	5.91595467037712
POLR2B	9.16369174532768
RPS28	11.9954579330260
GDF10	4.35111029229274
COQ9	8.18841785622979
P2RX3	3.14369195778134
GCC2	7.22914064278177
RARRES3	7.87165655684632
PLXNA1	6.11724691785411
WBP4	5.01801930209442
KIAA0100	5.39744236806502
PMF1	6.78288096391518
HS2ST1	7.21603354586546
CRELD2	8.01060988427861
C8G	3.66206158565316
CD82	5.31507076667154
PMM1	5.71613453027398
CBLL1	4.96006920955984
LIM2	3.65541083656422
VAX2	3.42297981271639
SETDB1	5.4494999412598
LRAP	5.22061568055592
GCLM	9.31149916194064
CPEB3	4.22502690162328
PPM1A	6.72074108127735
INTS1	4.4706128290009
MMP16	3.47691006984058
CAMTA1	4.15597225069257
SAMSN1	8.51995484762352
DRD3	3.30466868906575
GMPPA	5.63056242666568
C11orf73	8.06897142879463
AIPL1	4.32942723949265
PTP4A2	9.9278642065084
IL24	4.06612697480807
BDKRB1	4.19987569589412
HPCA	3.93635137200393
MLF1	7.21653969089631
SEC14L1	6.43757874506277
CHFR	5.87986785830208
EMILIN1	4.66537614870365
THADA	6.34913906460591
TAF12	7.93344636685481
NDUFS4	9.02593471236714
ID1	8.37265772389038
PIK3CB	3.92647489937835
COL18A1	6.80792392499534
PDZD3	3.67042253298776
TBC1D17	4.65776394513660
COX8A	10.6476304640383
CDCA4	7.5385128106186
C2orf44	5.80813561030258
C9orf16	6.98034435664015
ERBB2IP	8.13121531836432
EMX2	8.00081874901386
FUS	7.23713977758747
NIPSNAP3B	3.86022806567654
TF	4.26891544557676
CXorf56	5.6788131963348
CLCN4	4.59478462710579
PWP2	6.36436339311179
MMP15	3.57640326691877
MTMR14	5.75740649099288
NPR1	4.10420633107477
DNAL4	5.30016414778272
ELAC2	5.24041548434468
ASS1	9.24492530407496
IPP	5.66219744008394
TMEM59	10.9249261011056
POLR2J	9.42850279194036
SEC23IP	6.3322207077446
RGS4	5.2811671052806
UQCRC1	8.26731320284368
SNX6	8.52791721447955
DDX18	8.23332388656057
POLG	4.67785617974495
ADAM23	4.64559697940135
ZNHIT2	5.72088477317041
TFR2	3.87834480534589
NCDN	4.84821679827935
RAG1	4.02011540072079
POMT1	5.39622063205319
CYP1A1	3.99928377247658
SNAPC1	6.81820708998688
GNA11	5.61339167248265
CCDC52	3.42820322413271
CAPN1	5.64264084759838
DDHD2	8.99921253454385
UPF3A	7.49270098911874
LAGE3	6.82364012678505
GNRHR	3.53241633185615
UNC13B	5.67517412035465
TTLL4	6.86885965987665
PPBP	3.64542480909412
HTR3A	3.6467433778761
SDC2	9.17403800279064
ANKRD49	8.28671271337264
BTF3	10.8351651970816
COX7A2	11.8497503120648
SARS	9.63527118937844
C13orf18	5.30694169394162
CACNB1	4.15907754478767
QKI	6.9343363380042
SETMAR	5.91851788889295
LAMB4	3.92552709499188
MAN2B1	6.46575694997582
EML3	4.87703600366895
ACADL	3.71732060305227
OFD1	7.43353488656764
CGA	3.91409757844895
EIF3EIP	10.203363836383
PEX16	5.13191377936948
GNG12	7.73142852599798
HABP4	6.61605419209479
CNTN2	3.74870440007306
ASNSD1	8.7815156026847
FUT4	4.38034413795202
DBH	4.01464149139691
CD53	9.42707775554778
HIST1H2BJ	4.12781914439790
TFAP2B	3.47810550514296
ACF	3.78627910127097
TMEM11	7.69887398544704
CDH8	3.53262595156509
C3orf32	3.75961718769912
AGPS	5.64162590179326
C4orf18	3.86392658546219
PCCB	9.16184184010534
IPO13	4.96545465670431
PECI	8.66612266812486
UNG	8.68782149704074
C6orf105	3.67334067368394
GSTP1	10.9248930373654
SUV420H1	7.52072597313553
ARHGAP15	6.23857879804654
LTBR	6.17752918449527
TDRKH	4.20655191946914
PSG4	3.92227034611082
SLC9A3R1	5.14665272766976
NBPF3	9.37550602148627
SLC9A3	4.5422510346292
OSBP	6.04687220899146
PRR5	4.20324881619815
CHMP7	5.88109677908650
ADRA1A	3.46730814685298
ASAH1	7.57225022530691
FKBP4	7.30262497991696
ZNF350	4.37755807451275
DOM3Z	5.86190019238031
GIPR	3.80032950196053
AHI1	5.97794891737198
BST1	4.64547725395002
NCR2	3.86441835716488
NADSYN1	5.06088769441316
UBE2W	8.01285365150905
RGS14	4.39422860339855
KRT15	3.6646245774881
SCN11A	4.11284941789572
GFI1	4.67752825152443
FHL1	5.08048624622608
SMC6	6.56030834185273
GATA1	3.57523523423006
OSGEP	6.48595628915434
ARMC6	4.85338180638796
HK3	4.47962301417872
PSMD5	8.18625814390365
RSU1	7.90072486278083
RPL4	12.1346174592366
MAD2L1	9.8563552348022
RBPMS	4.82592517845086
EIF4A3	10.0414798555992
E4F1	5.71260287907579
DLEC1	3.75709442725123
PRPF3	6.48383828279606
EMR1	3.68707255829862
CHMP2B	7.75317481270249
CAMSAP1	4.59766261895912
RPS21	9.80779061116204
XCR1	3.77085571632629
ARID5A	5.14132494707188
RBM6	5.92802086165385
UBE2N	9.63659696477693
KLF4	7.39675697524822
MGC4172	4.14714730748042
LMO4	8.1100639615517
KLKB1	3.46107246283393
HDAC3	7.19796579214134
HP	3.42381761507326
SCHIP1	7.12731553099294
BTK	4.91843335874296
KRCC1	9.39399630654625
PRND	3.18296727990095
C6orf27	3.95242186764838
PIGL	4.93756527460678
CLCA1	3.84392526719708
C1orf112	5.88017464938073
OLFML2A	5.3202371339792
HUS1	5.43317127434433
SFRS6	8.59691051312432
CXCR7	6.77804373239021
UIMC1	6.64660946592318
FXYD2	3.9730130801543
GOT2	8.64347596170512
ZNF667	3.93124446754857
TFEC	6.26596107375529
ATP7B	4.00802214342758
RAB38	3.82691850407385
POLD2	7.36979580606667
PPM1H	4.17668114605809
DCX	3.56271965992234
NFYC	6.4460626622647
ZNF228	3.78859756917697
KIN	6.93597827335331
PLSCR4	5.68587770202473
HIST1H4I	4.31612530315016
PPARGC1A	3.42807553106172
HIG2	9.29136548967073
KCNK10	4.28743790325179
EXOC1	8.38236306960904
OR6A2	4.10988308795685
ETFA	9.95369549875794
PDAP1	5.80561803147359
C19orf6	3.97293404925057
POLRMT	4.31336731556367
ZNF146	7.85113147515998
MIA2	3.5124645183271
LY6G6E	3.76500164329438
EIF4E2	9.23924772279281
NENF	5.84880534242739
HOXB5	5.25158787064678
ZNF324	4.7229061078501
CUGBP1	4.16500295571554
ENTPD7	4.7813489067198
TTC13	6.54885235710321
GJB5	3.83485880688067
PRSS22	4.50776004670218
CYP3A5	3.54942688131535
MBOAT5	4.98000853521148
CUL4B	5.80303139068674
CENPJ	3.70837825228168
KIAA0664	4.88026789794927
PITX1	4.3897598552802
PDGFRB	6.16350749108701
RDX	7.1577533812373
CELSR3	4.32694359898880
JUND	5.98552250645444
ITSN1	4.54689516621193
CHRNB1	4.23751443737175
EHBP1L1	4.32048781260899
C19orf2	7.53769427003005
FETUB	3.60618390005384
CAMK2B	3.48656708822343
DCTN1	5.06950254216795
TNKS2	7.59524746350822
MRTO4	8.9055615437589
C1QBP	7.09114996588791
TTC3	7.78175590714582
NDUFB8	10.1237463187281
CADPS2	6.91450539309579
EDG2	4.39513348461722
MYF5	3.83694999009376
SEMA3G	4.4135193408415
IL23A	6.853926761128
GJA9	4.00503322528372
R3HDM2	7.2132653359312
C5	5.04219924444559
SLC2A10	5.54478453923275
TRIM45	5.22513534323336
TSP50	4.05095894563380
PAQR3	7.28310630315293
ANKRD26	4.29714255656961
TCP1	9.61902728801406
TMED7	8.01605571315259
CMA1	3.47455508901748
PTCRA	4.43000123050721
HCRTR1	4.08607546814731
FST	6.73146726678898
PAWR	5.02236815170194
LDLR	4.72017201683321
ASTN2	4.94358911124734
SCRN1	6.27241593115447
GPATCH8	5.39997932603549
KIF4A	6.68504143014133
TANC2	3.61364728806916
ZMYM5	4.21125424748881
PGM1	9.63097083875625
ZNF586	5.85120955531805
POLR3G	5.01088694028087
CPD	7.83470404449126
SNCAIP	3.94645477636446
DCT	3.59341745359622
HLA-DOA	4.04242070255661
TANK	6.80615703252994
RCAN1	5.8401548735426
UPK1B	3.44964829367951
DNAJB4	7.0567909972868
UGT1A8	3.66135863353607
LIMD2	4.10134624805110
HIST1H4L	4.25167700002806
PECR	5.90520950656916
HSPA2	4.94327243929296
SERP1	10.2728911504595
TACR2	3.4782582291298
NUP85	8.0803022765858
CD177	3.83925300583822
GPR135	3.52608618658799
PIGG	6.81220590600318
LGR5	5.88576515894232
JAK2	4.31349865589896
DPYSL4	3.58398599679072
TM9SF4	5.5154244593216
PTHR1	3.46074171902811
SIRPG	4.16784978103902
ZNF264	4.01562262632861
BICD1	4.41386960845669
RAB5A	7.28015581050779
FLJ13224	3.3290080740858
METTL5	10.4199622346083
HERC6	6.31661106196728
CASP1	6.91953441043113
USP9Y	3.42161145499315
LRP1B	3.07401354027832
XAF1	5.87304621374046
PLA2G4C	4.50057288833340
APOA2	3.73411553928858
SPAG6	3.30535471046517
KALRN	3.45294060940011
SECTM1	5.49818514126257
THOC7	9.4393445653434
IFNAR1	5.45808852834703
TCTA	5.76612315098721
NY-REN-7	3.5021447984664
TALDO1	10.5444020435243
B2M	12.8005281844182
LPPR4	4.17114945677521
SQLE	7.09753757194909
SEPHS1	7.85239368192098
EIF5A	7.46202965561241
FAM49A	4.8681591164884
YTHDC2	4.49360787221171
EHD2	4.30788840645808
NCF1	5.07176643164067
SPG7	7.0891480150392
ZNF614	4.23817933560634
HOXA5	4.98085988045658
NUP133	8.04306601063343
FGF12	3.99568081805734
SLMO2	9.47514586497572
INPP5B	5.09322040417347
PPID	8.1451517960083
SNTA1	4.66726186696472
IL20RA	6.04748923633282
UBE2J1	7.1256931385903
CACNG2	3.42032135143697
GCM1	3.63623584243316
ELF1	6.63143742218279
TLR5	4.10078086370220
TCFL5	7.24607484968425
C1orf107	6.01515060756796
C19orf22	6.0326585343886
SAFB2	5.8210933159123
MAP3K7IP1	4.27305882080922
NCK2	8.4410985994635
OXA1L	7.88285580244757
KIAA0652	5.70017933937128
KLRG1	4.16385049219291
FRAG1	8.16863906839603
ZSCAN12	3.35385943814398
PSMD12	8.63573195670675
E2F4	5.11205764544285
CLEC4M	3.77378433035878
KIAA0999	4.94200899473077
CLDN10	8.99017781743912
MGC13053	4.64655134932123
TAC1	11.7621772212513
GYPA	3.72125244237654
HPCAL4	3.65037184189312
TRAIP	3.97338618423283
MEX3D	4.98228783002188
KIAA0232	7.82922257274156
ERCC8	6.12485933420635
NFAT5	4.37768197857134
GPX4	9.93228171556486
CSPG4LYP1	3.80659505004143
KIAA0368	6.17352449935933
FBXO3	6.29776556969405
DVL1	6.58962851828643
CMKLR1	4.38063676827662
GPR157	3.58109056631101
TYMS	8.38560768959007
OR52A1	3.16378248189324
PEF1	8.20858772646879
ZNF750	3.28102811727804
ALG9	5.95900044383209
MCM5	5.97271340569793
SDK2	3.88177053620994
BAIAP3	4.17115724668668
RABGGTB	7.94657489222084
KCNK7	3.64480456181421
PTP4A3	6.94689690686032
ANKRD40	4.7865656738775
CALCOCO2	8.31956063527826
TMSL8	7.81573576641354
SNCA	4.60565584359269
ZNF551	4.64202094494361
HBQ1	5.34073028544344
ARHGAP26	4.18985350821715
GEMIN6	7.3946075268867
HRAS	6.51699109618768
KLRC4	3.08143126235992
BSDC1	6.79181341551662
DSC1	3.68865968065894
RNF43	8.18107276995336
NDUFAF1	7.15440341799367
MAP2K4	5.96005975023346
FOLR2	6.04838492933889
LYZL6	4.11022218743096
EPB41L3	4.67466199859003
TEKT2	3.80484060635445
CDKN2B	4.06785151592612
WSB1	7.42374607526191
ZNF480	3.82222080465214
MAP3K6	3.89087348236708
PROS1	5.34448622988417
PSMB8	10.6540949234174
HN1	9.56838572968397
MAS1	3.63006044458502
APOL1	5.3392873188089
CSHL1	3.89040113175001
ZBTB7C	3.09091810093779
AHCTF1	6.07386910331546
SAE2	10.7551984132920
ITGA2	5.19783249745999
AP2S1	9.4690169749799
P15RS	8.66326176994446
MME	10.4596745002334
VAT1	7.31435532704428
MAST4	4.72173640425538
TUFM	9.56531304648266
KRT33B	4.09937156983809
THEG	3.9681626291124
KCTD2	5.03176866732386
WDR26	9.63038945256488
MFI2	3.55414358941537
KRT34	3.35944944477474
NR4A3	5.25206696659885
SGSM3	4.56955190207363
ARSA	4.98881659008114
TOMM22	7.8959952973007
SOCS3	4.19678925495965
UNKL	4.57188234829890
POP4	9.1091118498588
BHLHB3	5.90697626335613
MALL	4.14684365184109
SOX15	3.55789438868147
CCNA2	7.82228237419886
PARK2	3.65844903764275
GPR124	4.90227573851738
TMEM132A	4.70082903432877
CGRRF1	7.6387711915668
RUVBL2	9.21146028022168
MCAT	6.49572964656304
WNT10B	3.95258476537905
ISCA1	8.31258040716162
RPAP1	4.85695157865569
C12orf48	7.82005768671958
RAI16	4.43295803141424
RPL27	10.1690553479731
EPN1	4.08475989991762
MAGI1	3.21643652218568
