Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B04_588288
Composite Element REF	Signal
AACS	7.59339705011431
FSTL1	10.1708769361439
ELMO2	5.93914021698149
CREB3L1	4.18603789789229
RPS11	10.1955261548308
PNMA1	7.55761000473907
MMP2	8.68747681778952
SAMD4A	4.44345490927292
SMARCD3	5.93788553576687
A4GNT	3.73983694335075
C9orf39	3.44990667759789
PKNOX2	4.13804551124656
RALYL	3.74345940001975
ZHX3	5.05432145404956
ERCC5	6.5547013751719
RXFP3	4.02387057122257
APBB2	4.80718076682796
BBOX1	4.25863374488906
PRO0478	3.16770785636167
GCSH	9.60847198193135
XDH	3.72962789995825
EDN1	7.2311247710554
MTERF	7.97324760647287
PDCL3	9.62225942686302
CLK4	6.61762854503914
KCNG1	4.89745810917678
CXCR4	9.53394586770773
DECR1	8.72201179369502
SALL1	3.44565951288627
PTPRR	3.8864954430131
CADM4	3.82338978820027
IRAK1	9.32912855212143
CFHR5	3.55222992759601
HNRPD	8.77111987276844
TMSB10	12.9073814193853
CXCL3	5.40107741645196
LMAN1	4.0502384314057
SUHW1	3.81879415728305
CHD8	5.84339827903933
SUMO1	8.71099808270427
GP1BA	3.46087130166498
OR7A10	3.81635118643447
DDB1	7.47556411280697
CHRNA10	3.98022361987739
STYK1	4.85256789311451
MYO9B	4.74443979348766
CCNI	10.4458217710148
MMP7	8.8800836374509
EP300	7.80274570434154
CRNKL1	7.53578996818266
C9orf45	3.58286622980475
XAB2	4.67497108162351
RTN1	4.62152763985118
HIC2	5.02838768897167
TBX10	3.91515105395126
CENPQ	7.63237013658511
UTY	4.74650263508023
OR2W1	3.14132915729121
ATP5G2	10.7188126395044
ZEB1	5.52353336178856
ZG16	3.64640555313760
ERG	4.84151242546826
PARN	8.49649151764252
SOD2	7.13839602520216
JOSD3	8.70983603003242
ADAM5P	3.48569040335735
CHD9	7.17943108409541
hCG_40738	5.7953421308925
STK16	6.35204100040378
PDE1C	4.53027225370547
SEMA4D	6.59434852555656
AGPAT1	6.67699695713915
TOB2	6.19551383964107
BANK1	4.15335024072549
MAP3K3	5.62875656423063
MAX	6.68598920395933
GRM2	4.07868767298661
OSBPL8	9.21163286754858
PROSC	7.21772626660981
NR4A2	6.48494259018174
RICS	6.05066175013323
PIR	8.62502686778518
PPCS	9.22797913423339
IPO9	6.45687212390068
LONP1	8.19358130562248
EVC	4.98439985671172
CXCL13	7.47290027252489
SCYL3	6.22479542435184
KIAA1199	7.04106703910171
SORL1	8.25861131866807
NAT10	7.58724061779534
CHD1	7.4658121161986
SYN3	3.86081798143479
DMC1	4.38370112881368
SLC22A2	4.04545839312296
SERPINF1	9.61982111681883
C20orf27	6.41898507181369
OR7A17	3.46713709045851
RPS6KA5	6.35773307001317
LHB	3.94692839958469
TAOK3	6.0582256363393
STK25	6.59775501362554
SLC12A4	4.03085198964033
BRCA1	5.95742791499341
GBL	6.85185700972204
C14orf108	8.1066461611123
CDC25B	8.8597049151406
BMP3	3.55396823407767
MAP1LC3C	3.75920084428573
TMEM180	4.40034384192477
CRYGC	3.82178653341887
SLK	7.63905051163311
POU3F1	3.59691472036891
C20orf32	3.78294103692828
USP52	6.83999279993559
HIGD1B	4.75096545568948
BAZ1B	8.01162413145464
USP6NL	5.84622139300197
SLCO2B1	5.23663467909252
ABCD4	4.78562437742527
DIMT1L	7.03712814962538
SLC25A46	8.55765312160424
LARP7	7.70860337453978
TEK	4.13728762246459
CD160	3.69669155844402
TERF2IP	9.29130899474487
PHF20	6.04799754048696
COL1A1	8.46172835325815
KIAA0090	7.60031448101073
GTPBP1	4.99351831182193
GRK5	5.44493196808349
AP1S2	6.56631527567694
RAB33B	4.68259635248246
CA11	5.16778578652672
ALDOC	8.0953498553865
NUDT1	7.6699250443128
ZNF212	6.36317802459992
ACBD3	8.49381673378076
ZNF83	5.689369615708
PRDM2	5.66832614793718
GDPD5	4.78274351624855
PDCD4	6.9588012837895
CEP350	6.20121996668126
FOXP3	3.54020113016567
SMYD3	8.4338178166346
CST7	5.9237122104945
SELL	5.61695821394547
CIAO1	7.28063882298877
LGI2	4.1254781111087
WDR45	7.01446374354429
ANKRD6	6.95563545329271
LTBP4	4.70267524138028
PSCD3	3.64373709031275
PYY	3.84855312497578
KCNC1	3.40569838866233
SIRT6	4.96264267022859
CCL19	7.3480682652274
ARHGEF9	4.70015012321125
ABR	5.28380957451527
C10orf22	7.73258212067128
STK17A	6.3212377977865
FOXE1	8.40328565784007
GML	3.35509833593248
CNGA3	3.0285804220747
CD38	6.53939265897145
ZDHHC6	8.01069524300014
NEFH	9.17980463464624
PGBD5	8.45496617423722
CTDSP2	7.6698277529563
RMND5B	5.57091998734687
ZNF257	3.31464851490657
DUSP4	5.08933086021054
FLJ22167	6.3410246798598
EXOSC7	8.05086846521787
ROR2	5.09634937782831
FOXM1	6.63750269201018
ZBTB48	5.38231715318684
BUD31	10.0203599451376
MAOA	6.86687545879253
CCDC41	5.75367552195384
TNNT3	4.10926826693478
FBXO11	6.48695602324203
GYPC	7.99746085077087
PLIN	3.54450593108893
RFXAP	3.95927007563623
C6orf15	5.17694846506522
RNF4	8.34815271003633
F8A1	9.10087532363946
PPP1R3D	5.88173908191946
GRB2	8.53755422713189
TPM3	3.60733844189138
SYT13	3.99119804716421
EPB42	3.86087186505439
RP5-1077B9.4	5.63269240659215
EIF1	11.9465866712463
CETN3	8.43046441991513
FPGT	6.34455747563554
PRY	3.90859565553911
NTHL1	5.68893014790043
POLR2B	9.7158116290925
RPS28	12.5126408925957
GDF10	3.64340329525484
COQ9	8.13003317727208
P2RX3	3.15284509832227
GCC2	7.90643603118527
RARRES3	7.53658516544176
PLXNA1	6.8374434386869
WBP4	6.4428249455113
KIAA0100	6.38431356321576
PMF1	6.76434417576699
HS2ST1	6.4486707506965
CRELD2	8.85498020702343
C8G	3.37883658094607
CD82	5.73687175738026
PMM1	7.26593017928317
CBLL1	6.00116454034322
LIM2	3.64742493877106
VAX2	4.60421329741291
SETDB1	5.84567304084329
LRAP	3.35535432286825
GCLM	9.16331184874452
CPEB3	4.02805392832976
PPM1A	6.9748544482117
INTS1	4.89092477115192
MMP16	3.39793857833063
CAMTA1	4.30281042237323
SAMSN1	7.7842595142152
DRD3	3.47081822082125
GMPPA	5.99080113649368
C11orf73	6.98343569676987
AIPL1	4.11245843810983
PTP4A2	9.85969439522553
IL24	3.72978066518474
BDKRB1	4.49126630979555
HPCA	4.29533314638996
MLF1	7.40641510247795
SEC14L1	7.38509773746287
CHFR	5.92050969222766
EMILIN1	5.27790868995691
THADA	6.58841979234898
TAF12	7.26091106541977
NDUFS4	8.70923719073022
ID1	9.29203553063338
PIK3CB	4.20640823660537
COL18A1	7.0113037043522
PDZD3	3.61854278297842
TBC1D17	4.20296750092602
COX8A	10.3427935830245
CDCA4	6.94083994972645
C2orf44	5.88491725684593
C9orf16	7.60497506282609
ERBB2IP	8.83320850294578
EMX2	3.22659799329169
FUS	7.13606991478791
NIPSNAP3B	4.02882926768054
TF	4.58103676251724
CXorf56	6.11595646668754
CLCN4	3.89510003003951
PWP2	6.90279462645896
MMP15	4.48765483638377
MTMR14	6.50807776767539
NPR1	4.41418778378787
DNAL4	6.73849649351577
ELAC2	5.09714820808215
ASS1	10.1511576370262
IPP	5.6642744192298
TMEM59	10.5828440690236
POLR2J	9.53410431429782
SEC23IP	6.97311751346642
RGS4	5.24788638184854
UQCRC1	9.32393545508498
SNX6	8.14891919489133
DDX18	9.2628846871678
POLG	5.45838771286724
ADAM23	7.45073238995652
ZNHIT2	4.59045124905632
TFR2	4.05504688538609
NCDN	4.45615923917703
RAG1	3.82150424539157
POMT1	5.01275819232915
CYP1A1	3.50761791436630
SNAPC1	7.66780162947823
GNA11	6.67459810527076
CCDC52	3.2233565777967
CAPN1	6.58647950709026
DDHD2	7.7537980203123
UPF3A	6.63823802499268
LAGE3	7.29284144352194
GNRHR	3.37658275283604
UNC13B	6.596420342009
TTLL4	5.5409657677854
PPBP	3.36163956342487
HTR3A	3.60777277930169
SDC2	8.09187970971481
ANKRD49	7.75692081448199
BTF3	11.0119823522571
COX7A2	11.7648212871082
SARS	9.62806334254469
C13orf18	4.81488546885257
CACNB1	4.220067407225
QKI	7.35694770721784
SETMAR	6.50082510705615
LAMB4	3.52129562899774
MAN2B1	7.35353548128216
EML3	4.6500878009442
ACADL	5.75345457022299
OFD1	7.63827051114599
CGA	3.6415404638946
EIF3EIP	11.2029934983710
PEX16	6.02368566698119
GNG12	9.12152039596128
HABP4	5.57670807133173
CNTN2	3.73222850904887
ASNSD1	8.26342738999008
FUT4	4.91253871734159
DBH	3.46163606448267
CD53	9.2072577549032
HIST1H2BJ	4.09139599907907
TFAP2B	4.46539539088902
ACF	3.86065243533602
TMEM11	7.85764894737651
CDH8	3.93120018421788
C3orf32	3.81447665898718
AGPS	7.70646007890023
C4orf18	3.79747877517659
PCCB	8.69985263514705
IPO13	5.18746293078693
PECI	8.45722166964221
UNG	8.3724774592836
C6orf105	4.62453578421762
GSTP1	10.1131304188746
SUV420H1	7.09824497424179
ARHGAP15	6.05265079702531
LTBR	8.15320177876373
TDRKH	3.89704129054982
PSG4	5.23054456537237
SLC9A3R1	8.0825567666571
NBPF3	9.83066152288748
SLC9A3	3.72208800920095
OSBP	7.01135353049134
PRR5	6.29723353437979
CHMP7	6.55075054239669
ADRA1A	3.29010352364979
ASAH1	7.95421379703301
FKBP4	8.54508148122891
ZNF350	4.11837731481495
DOM3Z	5.68820857574067
GIPR	3.88975023677737
AHI1	5.60473701899731
BST1	7.28528706526721
NCR2	3.89130210038561
NADSYN1	6.15012564483627
UBE2W	7.39830987373526
RGS14	4.09481674039881
KRT15	10.5359809503937
SCN11A	3.98054004206192
GFI1	4.35551442606067
FHL1	6.17962364174253
SMC6	7.8208088475654
GATA1	3.79445523279673
OSGEP	6.28512391527213
ARMC6	5.39486719424712
HK3	4.43142096047644
PSMD5	8.44235229210414
RSU1	8.32453272409904
RPL4	12.6253588093790
MAD2L1	8.61812994053754
RBPMS	5.82230134059144
EIF4A3	10.0082499360588
E4F1	6.05022497749912
