Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_C08_588322
Composite Element REF	Signal
AACS	7.76833134509593
FSTL1	8.84974878518615
ELMO2	6.22679538011078
CREB3L1	4.15913437971875
RPS11	10.2058685528242
PNMA1	8.09657618958357
MMP2	8.10582524534075
SAMD4A	4.46972005873401
SMARCD3	7.00524195551667
A4GNT	4.06440086319675
C9orf39	3.42147881110905
PKNOX2	4.22785343032941
RALYL	3.46915774338259
ZHX3	5.26023358846678
ERCC5	7.5196174180426
RXFP3	4.07944506895743
APBB2	6.36636730843443
BBOX1	3.28805300697196
PRO0478	3.21106066577705
GCSH	9.22107035020381
XDH	5.66182886445871
EDN1	6.17855042799918
MTERF	7.39328164471244
PDCL3	8.44789958656074
CLK4	6.31304216565764
KCNG1	3.79254199125669
CXCR4	8.6414040835001
DECR1	9.38280131317597
SALL1	3.46674961938186
PTPRR	3.58896334126077
CADM4	3.86999260109600
IRAK1	8.80316425795198
CFHR5	3.63356090134119
HNRPD	8.7480950641396
TMSB10	13.1900386496148
CXCL3	4.66774912383799
LMAN1	4.26125104784617
SUHW1	3.49800309382892
CHD8	5.89292592828499
SUMO1	8.84964438102656
GP1BA	3.72181607551782
OR7A10	3.95789299196096
DDB1	8.19332066107023
CHRNA10	3.92665477703006
STYK1	3.85822654173406
MYO9B	4.87116470802725
CCNI	10.5887790173028
MMP7	7.25682227987329
EP300	7.48051719824166
CRNKL1	6.09345834723424
C9orf45	3.69069329001555
XAB2	4.83832873940567
RTN1	5.14879013293437
HIC2	4.54804777979252
TBX10	4.08246061234729
CENPQ	5.96221875725296
UTY	3.54611953157996
OR2W1	3.16324627037432
ATP5G2	10.5748117720379
ZEB1	4.33972484504388
ZG16	3.91186016758591
ERG	4.53844744866185
PARN	8.60199209915933
SOD2	7.5642083472915
JOSD3	9.4293746862856
ADAM5P	3.53045944306185
CHD9	6.84967692463269
hCG_40738	4.29641928886049
STK16	7.34442405628715
PDE1C	3.86599873307753
SEMA4D	5.95059709860095
AGPAT1	7.30014305633706
TOB2	6.64678138507473
BANK1	4.28445955186547
MAP3K3	5.80091431245719
MAX	6.20012782338188
GRM2	4.08412648871664
OSBPL8	9.15768122849331
PROSC	7.4188337896748
NR4A2	5.09871948823276
RICS	6.95534491905119
PIR	5.41190504872345
PPCS	9.8401969501386
IPO9	6.15647290481916
LONP1	8.58934014872156
EVC	4.34924747789862
CXCL13	9.20268448693576
SCYL3	6.43364197868627
KIAA1199	5.92276122796495
SORL1	8.05685630674945
NAT10	6.96904840277475
CHD1	7.36989123274375
SYN3	3.89228441821
DMC1	5.31966716008679
SLC22A2	4.08077784941061
SERPINF1	9.36622561721674
C20orf27	5.94755659377985
OR7A17	3.38777544206727
RPS6KA5	4.80100789172845
LHB	3.81213273855429
TAOK3	6.6235022116601
STK25	7.45231867154662
SLC12A4	4.17435107700217
BRCA1	5.66796270702382
GBL	6.69754443711434
C14orf108	7.8072179190868
CDC25B	8.55794415594959
BMP3	3.59571015147399
MAP1LC3C	4.69989106855035
TMEM180	7.37699772586228
CRYGC	3.86817343784425
SLK	8.41758974169587
POU3F1	3.76370038725542
C20orf32	3.68124752829585
USP52	7.12035448830098
HIGD1B	4.74057329997011
BAZ1B	8.0026085090035
USP6NL	6.17616614730071
SLCO2B1	5.61983588991749
ABCD4	4.82216857060687
DIMT1L	6.96921347497355
SLC25A46	8.28994584092276
LARP7	8.01165927514445
TEK	5.27113442236008
CD160	4.22237188154793
TERF2IP	8.72868533443715
PHF20	6.49821619053836
COL1A1	7.80569703984311
KIAA0090	7.07294446227358
GTPBP1	5.29907229530676
GRK5	5.57561414367293
AP1S2	6.70426862868788
RAB33B	5.3190323048297
CA11	6.50404913326914
ALDOC	8.92885998324428
NUDT1	7.11364075605046
ZNF212	6.44626514140344
ACBD3	8.68946677122335
ZNF83	6.88304940753653
PRDM2	5.45519713871867
GDPD5	5.33265847007018
PDCD4	7.23747446662632
CEP350	6.17354569566478
FOXP3	3.60317117084182
SMYD3	8.67916961811818
CST7	6.88212218021947
SELL	6.17642016936801
CIAO1	7.19759766494684
LGI2	3.9248852468944
WDR45	7.44920583597752
ANKRD6	5.87381055550185
LTBP4	5.56209530876665
PSCD3	3.72579383137139
PYY	4.0140790589905
KCNC1	3.34409634767179
SIRT6	5.10464338026327
CCL19	7.4749198048039
ARHGEF9	3.90603712581394
ABR	6.19679390660037
C10orf22	7.28557309775964
STK17A	8.92891490763327
FOXE1	3.66025241586653
GML	4.13916176519569
CNGA3	3.14770226520572
CD38	7.38857310832978
ZDHHC6	8.35737212471994
NEFH	8.94044408310305
PGBD5	4.67374071292523
CTDSP2	8.08529836456161
RMND5B	6.04140448779826
ZNF257	3.36055791299866
DUSP4	5.23485645252538
FLJ22167	5.62742656678602
EXOSC7	8.81719183612899
ROR2	4.14031429497862
FOXM1	5.68836024042448
ZBTB48	5.5088298839429
BUD31	9.63914691917256
MAOA	7.19794690073082
CCDC41	6.14136704871230
TNNT3	4.37280396477081
FBXO11	6.0281558018163
GYPC	7.30982228778842
PLIN	3.79704431545681
RFXAP	4.16069269411588
C6orf15	4.20180894383897
RNF4	8.69225951292302
F8A1	8.32709441060495
PPP1R3D	5.11407432130263
GRB2	8.28919784402684
TPM3	3.6567156231798
SYT13	5.4424245605243
EPB42	3.83382886664551
RP5-1077B9.4	6.03073683784907
EIF1	11.4144856304005
