Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F07_543734
Composite Element REF	Signal
AACS	7.56223042724384
FSTL1	9.39122496856766
ELMO2	5.47271513010511
CREB3L1	4.57667290044292
RPS11	10.2550611397563
PNMA1	6.32900300831162
MMP2	9.54407429467857
SAMD4A	4.60122852990904
SMARCD3	6.01831548649943
A4GNT	4.00276592361483
C9orf39	3.68336207593268
PKNOX2	4.42094580130891
RALYL	3.5573315252212
ZHX3	4.92370124049577
ERCC5	5.65339179555227
RXFP3	3.99696570311739
APBB2	4.50667271087425
BBOX1	3.59424588756525
PRO0478	3.44111684096048
GCSH	8.77750776794595
XDH	4.2301346608861
EDN1	6.71290383551846
MTERF	7.78888029722864
PDCL3	8.1953432183906
CLK4	6.25370295485295
KCNG1	4.5491066193408
CXCR4	8.0382770150739
DECR1	8.30455840519378
SALL1	3.74202720030968
PTPRR	3.80170579372309
CADM4	3.65236622377078
IRAK1	10.0029025531263
CFHR5	3.90792468909115
HNRPD	8.29294097531646
TMSB10	12.2038254679987
CXCL3	4.57059762942519
LMAN1	4.46705286105818
SUHW1	4.60236064842447
CHD8	5.87230786682556
SUMO1	7.77798235183703
GP1BA	3.78420938276556
OR7A10	3.94996132463771
DDB1	7.81036991754829
CHRNA10	3.93354334868796
STYK1	4.30682769075436
MYO9B	4.49327558564826
CCNI	10.8208020320984
MMP7	9.25215765482652
EP300	6.94216626975621
CRNKL1	5.72707672709508
C9orf45	3.53049730665769
XAB2	4.20919572191003
RTN1	5.74920052390716
HIC2	4.57731621912593
TBX10	3.93489699176105
CENPQ	4.46339315769609
UTY	4.38300561423979
OR2W1	3.33079135309244
ATP5G2	11.0303403019387
ZEB1	4.62843052118241
ZG16	4.19307456217659
ERG	4.40310124653299
PARN	7.54060141240245
SOD2	7.83131188336169
JOSD3	8.6805619126699
ADAM5P	3.45860774288811
CHD9	5.68668111436113
hCG_40738	4.30340409619466
STK16	5.21045806372894
PDE1C	3.79918012232261
SEMA4D	6.41415112943563
AGPAT1	6.14750338072721
TOB2	6.47262527665945
BANK1	4.72311668092302
MAP3K3	5.30370481257287
MAX	5.57370854743156
GRM2	4.31810405336287
OSBPL8	8.39179948186569
PROSC	7.13440203435251
NR4A2	4.59101949447255
RICS	5.37492577741926
PIR	9.51071033198225
PPCS	9.52408672174675
IPO9	6.62848280871996
LONP1	7.06341483183382
EVC	4.31795643792717
CXCL13	7.54556595839867
SCYL3	6.04928305832828
KIAA1199	6.96464175750468
SORL1	9.06656224486613
NAT10	7.6521171588396
CHD1	7.39929252965256
SYN3	4.24574853218761
DMC1	4.1906076448317
SLC22A2	3.88192163791446
SERPINF1	10.5761160483308
C20orf27	5.98721889938597
OR7A17	3.38163588792502
RPS6KA5	5.28810244620426
LHB	3.67697135542419
TAOK3	5.74578622197226
STK25	6.05068516272652
SLC12A4	3.94338548690653
BRCA1	4.70071137223439
GBL	5.90007520008171
C14orf108	7.96116130052228
CDC25B	7.8945137006269
BMP3	3.82171852077545
MAP1LC3C	3.62318335318427
TMEM180	4.19065345614145
CRYGC	3.83402684818432
SLK	6.6035886550928
POU3F1	3.74539541310196
C20orf32	3.82937840816718
USP52	5.66939375360233
HIGD1B	4.33290317664244
BAZ1B	7.33865886478973
USP6NL	5.24888450571446
SLCO2B1	4.93536677975658
ABCD4	4.33694152601146
DIMT1L	7.62985762450875
SLC25A46	8.6763025379314
LARP7	6.1328525345198
TEK	4.04317150315606
CD160	3.79707301956573
TERF2IP	8.78720890881067
PHF20	5.74995216206265
COL1A1	8.52786878619956
KIAA0090	6.65589065063044
GTPBP1	5.123121429373
GRK5	4.81019897030453
AP1S2	6.69619232688149
RAB33B	4.27683662374743
CA11	4.58988026590627
ALDOC	8.74053037674194
NUDT1	6.02876554301633
ZNF212	5.84909446441646
ACBD3	8.29440816705563
ZNF83	5.08384627166716
PRDM2	5.38235277812423
GDPD5	4.6617306994241
PDCD4	5.75919596693055
CEP350	6.29156236141511
FOXP3	3.52336226290205
SMYD3	8.36086918149233
CST7	4.91814187827454
SELL	5.39985823477393
CIAO1	6.5641927608079
LGI2	4.36613368392685
WDR45	7.61007073915022
ANKRD6	6.24516837499258
LTBP4	4.35391743852863
PSCD3	4.00361570015696
PYY	4.11779146385879
KCNC1	3.43177468665591
SIRT6	4.43836902455544
CCL19	6.65281904846746
ARHGEF9	4.34166771184523
ABR	5.28670369025034
C10orf22	7.62863743524213
STK17A	5.48948699952832
FOXE1	7.18492799346094
GML	3.40902364775260
CNGA3	3.32523078131963
CD38	5.43369494878148
ZDHHC6	7.45281269985361
NEFH	5.15726658861402
PGBD5	4.66752912066736
CTDSP2	7.49398599939536
RMND5B	5.69159508489297
ZNF257	3.32467362595281
DUSP4	4.2477776091981
FLJ22167	5.19424060280362
EXOSC7	8.08654898003179
ROR2	3.94430018486816
FOXM1	5.58125277030637
ZBTB48	4.87720997993983
BUD31	8.62866835855794
MAOA	7.7356985577053
CCDC41	4.45671097859881
TNNT3	3.82572938100698
FBXO11	6.37346617998432
GYPC	6.62950503868429
PLIN	3.76573983627085
RFXAP	3.85273436944726
C6orf15	4.4216724439737
RNF4	8.37868989210101
F8A1	8.90935705622845
PPP1R3D	5.85966880592267
GRB2	8.62904928388142
TPM3	3.33795217294858
SYT13	3.98959606398069
EPB42	3.92627825695061
RP5-1077B9.4	5.22741881573982
EIF1	12.0623121730862
CETN3	7.86189886756584
FPGT	5.78593661522362
PRY	3.80524073882634
NTHL1	5.36830342755646
POLR2B	9.52594990942866
RPS28	12.3512835397862
GDF10	3.34803191866008
COQ9	7.79489879956128
P2RX3	3.36034558507326
GCC2	6.23726948974696
RARRES3	6.84479616291814
PLXNA1	6.82279321254343
WBP4	5.39302483507739
KIAA0100	6.8145476541351
PMF1	7.32951894135555
HS2ST1	5.64377121408407
CRELD2	9.25665026451483
C8G	3.43193915126696
CD82	6.22033315537718
PMM1	7.44191316148103
CBLL1	4.77621704528891
LIM2	3.54576731444533
VAX2	4.53501581615517
SETDB1	5.36263399818729
LRAP	3.48281780212896
GCLM	9.1309770829449
CPEB3	3.69464163380392
PPM1A	6.10484010516789
INTS1	4.27981841299573
MMP16	3.47064571847918
CAMTA1	3.63674032652253
SAMSN1	6.7142730870406
DRD3	3.46842865545442
GMPPA	5.775643633824
C11orf73	6.4527824170532
AIPL1	3.99221807466251
PTP4A2	9.41754248636837
IL24	3.91749145432974
BDKRB1	3.80717201919929
HPCA	3.85919465828238
MLF1	6.99308652730441
SEC14L1	7.92660012844533
CHFR	6.01001547684408
EMILIN1	4.45370506595652
THADA	6.80749495827673
TAF12	5.74295718714243
NDUFS4	9.48463411336978
ID1	10.3982065209567
PIK3CB	3.98983960111963
COL18A1	7.43844517320432
PDZD3	3.45273278204293
TBC1D17	4.56217055734203
COX8A	10.5139405507508
CDCA4	6.63224253992562
C2orf44	5.32601013569312
C9orf16	8.1377902685048
ERBB2IP	8.78667444488622
EMX2	3.19443254674014
FUS	5.34515723620126
NIPSNAP3B	3.84014200054890
TF	3.65224147781797
CXorf56	6.1160783435147
CLCN4	3.93587561160426
PWP2	6.54804872080561
MMP15	4.46368014508998
MTMR14	6.22532572167542
NPR1	4.33995286607514
DNAL4	6.35480935492628
ELAC2	5.24091402192646
ASS1	10.0085821546683
IPP	5.436940492687
TMEM59	10.3938226156733
POLR2J	9.21769387806087
SEC23IP	5.62301094375964
RGS4	4.90501903645364
UQCRC1	10.1341229525498
SNX6	7.86032460179699
DDX18	7.53630781531089
POLG	5.66793001666472
ADAM23	8.71472229926497
ZNHIT2	4.2968891881245
TFR2	4.10960161310584
NCDN	4.32934607163777
RAG1	3.72277897810342
POMT1	4.88006410744877
CYP1A1	3.3934328804009
SNAPC1	6.58395536282593
GNA11	5.99823730530941
CCDC52	3.1505201850997
CAPN1	7.74009932379177
DDHD2	6.87303428822783
UPF3A	6.39737055291649
LAGE3	6.40552428326381
GNRHR	3.47327147717469
UNC13B	5.83247188487483
TTLL4	5.15097115532997
PPBP	3.38068973925002
HTR3A	3.9832299641741
SDC2	6.96581686468759
ANKRD49	7.70213864685146
BTF3	11.2246369153124
COX7A2	11.0573370256854
SARS	9.07596120947238
C13orf18	4.25882449743144
CACNB1	4.30790146596804
QKI	6.06896896948167
SETMAR	5.99407992209849
LAMB4	3.70263350049151
MAN2B1	7.88805434109423
EML3	5.02662863204643
ACADL	5.35840505477765
OFD1	7.79178808354208
CGA	3.58466700426687
EIF3EIP	11.6523951107691
PEX16	6.01649615122907
GNG12	8.51663518078083
HABP4	5.26583405891657
CNTN2	3.77383301482121
ASNSD1	7.37744117663371
FUT4	4.94620460700711
DBH	3.60230287409853
CD53	9.0831424873334
HIST1H2BJ	3.79717832906027
TFAP2B	3.62413279907958
ACF	3.89094127963148
TMEM11	6.92523188214388
CDH8	3.55677627554697
C3orf32	3.73809586843226
AGPS	6.03562807086593
C4orf18	3.72910372901035
PCCB	7.79115255247714
IPO13	5.19018125862847
PECI	8.26156053583483
UNG	7.55194454207926
C6orf105	4.24698220440198
GSTP1	10.2062855582718
SUV420H1	6.42116044170883
ARHGAP15	4.88425111757279
LTBR	7.95961854078037
TDRKH	3.64683312158855
PSG4	3.96379842034431
SLC9A3R1	8.72474323615817
NBPF3	9.2765336614917
SLC9A3	3.87411788659204
OSBP	6.78983837303878
PRR5	7.21983720023183
CHMP7	5.77509944051048
ADRA1A	3.54311231880022
ASAH1	7.85344006146367
FKBP4	7.8199680627875
ZNF350	4.2519475324808
DOM3Z	5.18731597468195
GIPR	3.81501783545165
AHI1	4.79284707731782
BST1	4.11364393515551
NCR2	3.85211141323030
NADSYN1	6.05899599446545
UBE2W	5.4709593099203
RGS14	4.57590365436026
KRT15	10.3419072314502
SCN11A	4.06527165623745
GFI1	3.82979317746008
FHL1	5.00382755152601
SMC6	8.5994559271829
GATA1	4.02021359655939
OSGEP	5.34942418895395
ARMC6	4.81224292908149
HK3	4.61481373193518
PSMD5	7.15732287807244
RSU1	7.66981996936434
RPL4	12.6467619422109
MAD2L1	7.18199979434378
RBPMS	5.59175367957524
EIF4A3	10.3904628807468
E4F1	4.92242515978764
DLEC1	3.82604761111859
PRPF3	5.89677649184815
EMR1	3.54745929115946
CHMP2B	7.6570670753049
CAMSAP1	4.99721894149746
RPS21	10.0544085714451
XCR1	3.84715629714556
ARID5A	4.87814439223145
RBM6	5.84237393969017
UBE2N	8.4361468878051
KLF4	6.46080769891285
MGC4172	5.62873810043774
LMO4	7.14002527337206
KLKB1	4.0807511798448
HDAC3	7.80324704738923
HP	6.79370668972423
SCHIP1	9.92877506313248
BTK	4.83551556678154
KRCC1	6.46388677558383
PRND	3.61890544908004
C6orf27	3.80948406780617
PIGL	4.05349539926029
CLCA1	4.19882209289984
C1orf112	5.30115705221561
OLFML2A	5.90991212258869
HUS1	5.33120562624741
SFRS6	7.8180625294595
CXCR7	9.01933977489808
UIMC1	6.83484646506877
FXYD2	3.98018560967894
GOT2	9.30297590615206
ZNF667	3.42630954948782
TFEC	4.7039604808453
ATP7B	4.13677228712145
RAB38	7.53066613286203
POLD2	7.44563602498369
PPM1H	5.25195229848145
DCX	3.73061255243973
NFYC	5.58222756432883
ZNF228	3.84460425086312
KIN	5.58825061342093
PLSCR4	6.30395127522433
HIST1H4I	4.40903660027352
PPARGC1A	3.47441336086005
HIG2	8.36693940194855
KCNK10	4.33212289307658
EXOC1	8.15356316418218
OR6A2	4.09501690300937
ETFA	9.83314469497254
PDAP1	5.6298695166645
C19orf6	4.18410866633747
POLRMT	4.74054046433002
ZNF146	7.73873458901444
MIA2	3.3884969088616
LY6G6E	3.51770602724667
EIF4E2	8.64740572417526
NENF	6.19431906691918
HOXB5	4.56474621042843
ZNF324	4.67611989342189
CUGBP1	4.7591103056923
ENTPD7	5.2297827186282
TTC13	6.81398526897631
GJB5	6.13512009664321
PRSS22	5.18197235460666
CYP3A5	3.43980159537296
MBOAT5	5.08148278794038
CUL4B	6.49644190096531
CENPJ	3.98096226604937
KIAA0664	6.57732267391709
PITX1	6.0811596254879
PDGFRB	6.31351484771512
RDX	6.28863631014509
CELSR3	3.93033760578751
JUND	6.5242613222096
ITSN1	4.86199831989832
CHRNB1	4.53516785517995
EHBP1L1	4.48469065190534
C19orf2	7.47055263310815
FETUB	3.77166123727814
CAMK2B	3.57605813629113
DCTN1	6.75640178515166
TNKS2	7.09186599309566
MRTO4	8.31212736638631
C1QBP	7.34585905513348
TTC3	8.13644437859452
NDUFB8	9.41696422363979
CADPS2	6.06910602879696
EDG2	6.12783047721899
MYF5	3.65034390052983
SEMA3G	4.10245296449793
IL23A	4.37668435477721
GJA9	4.10283225138795
R3HDM2	7.39775126301661
C5	4.62814557642705
SLC2A10	5.68688037516125
TRIM45	5.38311322666566
TSP50	4.29071791393884
PAQR3	6.4316678383582
ANKRD26	3.70962960894083
TCP1	9.44112773507783
TMED7	7.6340611130407
CMA1	3.23195795966504
PTCRA	4.57117154785280
HCRTR1	4.07666508017489
FST	8.24483633713754
PAWR	4.88096324128687
LDLR	6.7679796224998
ASTN2	4.64885861365304
SCRN1	5.9930714928623
GPATCH8	6.49510184930192
KIF4A	6.27725731490957
TANC2	4.23712285140613
ZMYM5	4.69900514608149
PGM1	9.34337401502634
ZNF586	5.53807096771831
POLR3G	4.32466703436005
CPD	7.70027365271962
SNCAIP	5.90977948636594
DCT	3.76297929071566
HLA-DOA	4.00577683881968
TANK	6.01365151137186
RCAN1	6.13440125093059
UPK1B	10.1029546013924
DNAJB4	6.62040286112836
UGT1A8	3.72801390625992
LIMD2	4.19225036676416
HIST1H4L	3.87877650652214
PECR	4.63435763352592
HSPA2	4.89015506227301
SERP1	10.7284474429427
TACR2	3.72987855917427
NUP85	7.74005772505249
CD177	3.8430875926331
GPR135	3.51392043702078
PIGG	5.36377878292986
LGR5	3.52208041001677
JAK2	4.27169440337947
DPYSL4	4.26566912318716
TM9SF4	6.02550525733458
PTHR1	3.88404807536861
SIRPG	3.57603460165055
ZNF264	5.23858521186961
BICD1	4.65901389067806
RAB5A	7.70724147469244
FLJ13224	3.53429397597563
METTL5	9.53353458553739
HERC6	4.63398930070718
CASP1	7.6896392034854
USP9Y	4.01882687283791
LRP1B	3.29186836565128
XAF1	4.721906169655
PLA2G4C	4.19493054996485
APOA2	3.59733276832926
SPAG6	3.35273799795043
KALRN	3.73048786211954
SECTM1	5.73649122243125
THOC7	9.68417941316754
IFNAR1	4.89844408812713
TCTA	6.84721375256591
NY-REN-7	3.60994825411638
TALDO1	11.3103211302738
B2M	12.5203951986617
LPPR4	4.9269636292905
SQLE	8.03375384246621
SEPHS1	6.99295207580956
EIF5A	6.87050196990933
FAM49A	6.0137097743206
YTHDC2	4.96647561583037
EHD2	5.26574351110637
NCF1	4.3691285746367
SPG7	6.04444231538841
ZNF614	3.62903149106917
HOXA5	5.07013257589658
NUP133	7.86823335987028
FGF12	5.65085760639841
SLMO2	8.78115907399394
INPP5B	4.66202202243772
PPID	6.65368611900121
SNTA1	4.60915844360602
IL20RA	4.08056236473290
UBE2J1	6.38675596885204
CACNG2	3.27367354026977
GCM1	3.62527374059573
ELF1	7.70960184552191
TLR5	5.1213815865977
TCFL5	6.30056105642753
C1orf107	6.44476695636633
C19orf22	7.78688368886897
SAFB2	6.06379892617659
MAP3K7IP1	4.65119822322333
NCK2	8.0928469672448
OXA1L	8.585053419351
KIAA0652	6.05267749369126
KLRG1	4.15020763007176
FRAG1	6.74895309733092
ZSCAN12	3.30359320087997
PSMD12	8.80020368192084
E2F4	5.81288989600572
CLEC4M	3.84913083926858
KIAA0999	5.00143723081244
CLDN10	4.45936795238213
MGC13053	4.53836147897082
TAC1	10.2954641768879
GYPA	3.65631901867186
HPCAL4	3.62052681094026
TRAIP	4.08044054066301
MEX3D	4.73219589705469
KIAA0232	6.4307277933616
ERCC8	5.39252627649518
NFAT5	5.31538633782671
GPX4	10.6958125872182
CSPG4LYP1	3.26102904222784
KIAA0368	5.97042989354667
FBXO3	6.20642105536754
DVL1	6.37165754902984
CMKLR1	3.89178175673546
GPR157	3.83213130482856
TYMS	8.78639327845965
OR52A1	3.53479111088161
PEF1	7.39069377946026
ZNF750	7.53328136653869
ALG9	6.2961750376161
MCM5	7.24975321179368
SDK2	3.98380124557058
BAIAP3	4.17986703549256
RABGGTB	6.93751004997917
KCNK7	3.6645027316216
PTP4A3	6.19382882171172
ANKRD40	5.21825192425464
CALCOCO2	8.95465825949103
TMSL8	4.28131895771964
SNCA	5.92745644371525
ZNF551	3.77643694823141
HBQ1	3.67336321253596
ARHGAP26	4.45778565036281
GEMIN6	7.58705447074581
HRAS	7.15240276015767
KLRC4	3.18707096421458
BSDC1	6.45688941525098
DSC1	3.76058585384514
RNF43	5.90069814862495
NDUFAF1	8.00045980832675
MAP2K4	6.16826016640256
FOLR2	5.76962681868326
LYZL6	4.14610125147424
EPB41L3	5.81517355106518
TEKT2	3.65277518353163
CDKN2B	3.98922773555780
WSB1	7.3425801162217
ZNF480	3.94965985046323
MAP3K6	4.75604693809788
PROS1	6.63137846911244
PSMB8	8.32738803672086
HN1	10.1826130348234
MAS1	3.47162386866351
APOL1	6.89116421834794
CSHL1	3.66631243452445
ZBTB7C	3.49509501595946
AHCTF1	7.09148074489185
SAE2	9.5693873340149
ITGA2	8.91058710600897
AP2S1	9.88530118817013
P15RS	6.25707040648385
MME	4.64198788186363
VAT1	8.16267651923643
MAST4	6.20128922659707
TUFM	9.85069380484231
KRT33B	3.63343507296162
THEG	3.78118459328853
KCTD2	5.42991952832781
WDR26	9.85078201706024
MFI2	4.03034973250789
KRT34	3.59479180134898
NR4A3	4.20399807520077
SGSM3	5.4556900570875
ARSA	4.98123514262268
TOMM22	7.85357474352314
SOCS3	4.60928268678898
UNKL	4.40918166056354
POP4	8.71749036587521
BHLHB3	5.49449782766481
MALL	7.15320224273116
SOX15	6.95217441986773
CCNA2	5.18506263699623
PARK2	3.65279388919106
GPR124	4.98078824979009
TMEM132A	5.71948658701223
CGRRF1	5.89058871761331
RUVBL2	8.48099168473983
MCAT	6.98934373623772
WNT10B	3.91928562168114
ISCA1	7.92904579630868
RPAP1	5.06852819289618
C12orf48	5.84863315937096
RAI16	5.68562013489153
RPL27	10.0991954517545
EPN1	4.00160611153856
MAGI1	3.1865188584169
GBX2	3.59598746547896
SLC35A1	6.89504740979437
GAL	6.31152258249804
SLC14A2	3.97340887047425
RDH11	7.90155165158707
ZNF518	4.33302810846816
PCYT1B	4.19870161499474
AUH	5.9811683222568
EIF3H	11.4407770552168
KIF1B	5.6839326762245
MBD2	5.41654267990171
AMOTL2	6.4628678016782
C6orf120	7.11328989876113
PIGT	8.54763002699511
PSRC1	4.912489013553
PLA2G10	4.78006542333761
ALAS1	7.73690416065534
FOXO1	6.9202728857032
C17orf62	8.05025819679399
KIF5C	3.97552395524998
DUSP10	5.56223298971338
CRLF3	9.29475703158503
CLCNKB	3.97986658094818
PSMA5	9.6801027939808
FARS2	5.7910278180062
CCDC28A	7.57414192156907
AMPD3	5.13714125153673
PIAS1	7.64669438446074
ADCYAP1R1	3.87112916658233
TMEM134	8.31411506219547
CDH20	3.34606337795731
FBXO7	9.19032475790933
FLJ14213	4.30479191296521
ZNF3	5.1784887300222
LRRFIP1	7.50981570961621
TMEM49	10.4149903322658
CNOT2	7.6523862477743
CBX2	3.43057824805992
ZC3H14	6.17579119658196
ALDH5A1	5.88490580158895
HNT	5.48210088118658
SERPINA4	3.45222401898462
FLJ20920	4.89716060494877
CRTAP	6.44633292264641
DDX50	8.3041344578874
STYXL1	6.16193699731897
TK2	5.05980471677581
BLVRB	8.82023740489333
STMN1	6.80695016553808
GUCA2A	3.36234531877133
DPP6	3.07597116229750
GALNT10	5.17780410053274
STK39	6.22263204697444
MMP24	4.90286287761449
CKS2	9.90459263755327
RHO	4.27541268759194
BANF1	9.80074461050989
CR1	3.4691167442946
RPS6KA2	5.5840681430884
HMBS	6.64081685007598
C20orf112	3.8772587606932
SLC25A24	7.04283763963644
MRPL22	8.77920956720516
SLC25A15	6.17872335063169
GADD45B	5.96978374674715
TDP1	6.03206692055694
ZNF287	3.77682104528841
DAAM2	4.88475678182839
C11orf57	6.00681263262561
RFK	7.17813976766344
ZFYVE9	4.47884243126018
TCTN3	7.4155766071452
STCH	6.84978342584765
LOC283871	4.06968838566572
NDUFB3	8.5645379503531
DEFB4	4.54800708038917
FPR1	4.70348931706304
FMNL1	4.72189782784162
SEPT7	9.93898736613092
PTCD2	5.14314666812111
GNLY	4.10836907579476
GRAMD1C	4.58398657045427
ZNF165	4.27418247773832
TR2IT1	5.08049405343725
ARMCX3	8.67116061412623
NDE1	6.03183511937803
MAGEF1	9.00149375565732
ITGA10	4.04798905635543
ARHGDIB	9.59776262768223
FSHB	4.14079904084768
ANXA2	12.8715444202962
HLCS	4.598729399976
MCF2L	4.76400332872608
AK1	5.56003773191828
FH	7.67322883694679
LGALS2	4.37221293300312
SYNPO2L	3.07692696616895
KIAA1045	3.70378975190878
C1orf183	4.96814478325697
MAGEA8	3.55479422093685
DGCR8	4.70627256946102
GSR	8.17281096289776
NEU2	3.69166781320871
HIST1H4B	4.34230896513234
CACNA1C	3.40383108081406
FAM20B	7.29600681073386
HES2	3.96741748674619
PDCD6	9.97893524831454
INTS7	6.71440002515748
AMPH	3.82429501927051
UCKL1	6.90342541273057
ASB4	3.33583233457838
C10orf97	5.33447393607433
ALDH1L1	3.91868848094671
CCL23	3.68997313241347
OBSL1	4.65493457658754
SLC12A7	8.51915630862093
THAP4	6.85192942877127
RBM4B	5.6734658730915
OGFRL1	5.28779268358137
KIAA0831	5.83144710063939
C12orf11	8.45354720859412
PPP1R15A	5.19333359664782
KIAA0240	5.25724280344443
CD1B	3.71947635113164
FCGR2A	6.81294736185753
MDC1	5.43579474070664
MAN1A1	4.32643085869669
KRT9	3.573909364537
HTR1A	3.54042582219975
OCEL1	4.94427194170781
ATP11B	8.92546660844554
NLGN4X	4.23019756152075
FBXO34	7.33593957231123
ALOX12	4.14019756967999
RB1CC1	7.93592469597889
PCDH12	4.69003304379407
RPE	5.36964859437847
EIF4E	6.53606670622971
CSDC2	4.306667236861
ABHD5	5.95571197928677
TMBIM1	8.20283362160747
PET112L	4.81270416873271
P2RXL1	3.52838531047483
F2RL2	3.91999804689955
TRMT1	5.25673893775459
IMPG2	3.751267711171
LRRC32	5.67097105233043
BGLAP	4.42154263064719
HTR4	3.60767143055262
MRAS	5.16967151496539
TRAF6	5.17919900886795
AXL	5.30510445068069
ATP2C2	5.00760477232338
LMNB1	5.79650991883473
TELO2	4.55002807663637
PNPLA3	4.26618561091957
CSNK1E	7.39001554054405
SRP14	11.2033875861620
KCNQ4	3.4787802329477
PIK3C2B	5.81673671588498
C15orf15	9.6423875637123
TUBB2B	4.82978021167699
USP15	6.58386288331601
C12orf41	8.47799153806978
CEND1	3.96899920251059
RNF31	4.63698011587031
TCEAL2	3.66978840214419
PTGER2	4.73526120281644
UBN1	6.67847635161071
SLC5A7	3.70524636958054
SLC31A1	6.92864089723723
ADAM29	3.65572396198979
ST7L	4.16586570312629
GFOD1	5.72340607757968
CTNNA1	10.0814605200131
HRBL	3.90008819435995
CBX4	4.19146621430544
NTRK2	8.22564595392488
FOXN3	6.02651550656216
MFGE8	5.7310764964874
PFKFB2	4.18489955029756
TAS2R4	4.06787809686464
SH3TC2	3.25702550506261
IL10	3.6911477730578
PXMP4	5.99581406684735
RNF167	6.90318035941231
PRMT5	7.96791109646413
TSKU	7.68312537495259
ATPIF1	8.97297540520804
ETV3	3.35644780590051
PAK7	4.35944046313299
PDLIM1	10.7901042486716
CEP63	5.47988015503157
WDFY3	5.36409082721266
RNF126	5.71903060209949
DPM1	9.45125425819459
CLIC4	6.73880549471208
ACR	3.8610549974979
KLK7	4.98339968481007
ALOX5AP	8.63332564323738
LRP1	5.49292611353664
TNK1	5.05416608715872
TAS2R9	3.779890446409
ZNF16	5.29336120735636
POLR1B	5.20127381917118
SLC8A2	3.99230729492656
OLFM4	3.52180576724905
TACC1	6.20836729087918
SAMHD1	5.92637526935814
ATP13A2	5.90760449091574
