Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F09_543746
Composite Element REF	Signal
AACS	7.47708923824943
FSTL1	10.0104504206571
ELMO2	6.35760475618578
CREB3L1	5.13977802967908
RPS11	10.3040848685271
PNMA1	8.35771696430134
MMP2	8.30988111467162
SAMD4A	4.98344909229365
SMARCD3	4.51682811441702
A4GNT	3.94525565764334
C9orf39	3.55821877964404
PKNOX2	4.33864064070594
RALYL	3.66946371698355
ZHX3	4.94427605308832
ERCC5	6.05831796890123
RXFP3	3.912390149089
APBB2	4.52213154792425
BBOX1	3.38077018271942
PRO0478	3.92754379240775
GCSH	9.60502515445848
XDH	4.25356995125814
EDN1	7.19633031938239
MTERF	7.56977983259534
PDCL3	8.65350780464544
CLK4	5.52321424001242
KCNG1	5.75964400511768
CXCR4	5.79462369318845
DECR1	9.37387169813039
SALL1	4.93493027681885
PTPRR	3.7203006291641
CADM4	3.76895631713858
IRAK1	9.49519995300791
CFHR5	3.76717992473391
HNRPD	9.3827033069815
TMSB10	12.3088543521945
CXCL3	6.1874648941279
LMAN1	4.36372906343169
SUHW1	3.79115145923381
CHD8	6.60886154700834
SUMO1	8.63788847632433
GP1BA	3.55904560575024
OR7A10	3.84577093856511
DDB1	7.95117504215243
CHRNA10	3.83558919625037
STYK1	5.4441968510677
MYO9B	4.37644550599818
CCNI	11.3873752601329
MMP7	6.36882893898743
EP300	8.50858039067827
CRNKL1	7.27346652859193
C9orf45	3.70683007240738
XAB2	4.13475641080426
RTN1	3.44190543847242
HIC2	5.30944721000912
TBX10	3.94452655705956
CENPQ	4.81448956745576
UTY	4.54308894871762
OR2W1	3.28072178687050
ATP5G2	10.8081906139295
ZEB1	3.97248282429356
ZG16	3.99629900578178
ERG	4.46435404790185
PARN	7.95330820716887
SOD2	6.88517055310706
JOSD3	7.93611984828212
ADAM5P	3.70315195290419
CHD9	6.77350154575974
hCG_40738	4.78343512002325
STK16	5.79145087756279
PDE1C	4.03312654125747
SEMA4D	5.95706226561393
AGPAT1	6.59439670935346
TOB2	7.53844579089255
BANK1	3.8570574492719
MAP3K3	5.40212508669167
MAX	6.23911148549715
GRM2	4.01926442943663
OSBPL8	9.91415078613775
PROSC	8.01847561134326
NR4A2	7.47199478186537
RICS	7.56984587589043
PIR	8.69328935168692
PPCS	9.07818273856164
