Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A11_588158
Composite Element REF	Signal
AACS	7.53313400137974
FSTL1	9.2296882661773
ELMO2	5.60746193885614
CREB3L1	4.11322439170893
RPS11	9.95901079480192
PNMA1	7.1131838458053
MMP2	8.23084151210739
SAMD4A	4.12383897129174
SMARCD3	6.04729302129332
A4GNT	3.92187742955845
C9orf39	3.38060347878942
PKNOX2	4.25437528642928
RALYL	3.58854320381188
ZHX3	4.97866874359143
ERCC5	5.74787684045718
RXFP3	3.95400483105969
APBB2	4.15903811327603
BBOX1	3.44796754321122
PRO0478	3.14157551169467
GCSH	8.5995659132432
XDH	4.01661108514368
EDN1	7.5127839774071
MTERF	7.61712921776663
PDCL3	8.74619732889736
CLK4	5.7282749159329
KCNG1	4.15502371082391
CXCR4	8.46918867828684
DECR1	7.65372481828667
SALL1	3.48370828698559
PTPRR	3.59203243962913
CADM4	3.71373439297244
IRAK1	9.0693148716631
CFHR5	3.74586057650188
HNRPD	8.92864062618239
TMSB10	12.5062618122969
CXCL3	4.36007480488981
LMAN1	4.63155465502845
SUHW1	4.5070338756704
CHD8	5.93699523679685
SUMO1	9.23585252941862
GP1BA	3.51550651307281
OR7A10	3.54627982669097
DDB1	7.73387233694056
CHRNA10	3.94139691802354
STYK1	4.34025312485008
MYO9B	4.44775962864302
CCNI	10.5340601315411
MMP7	8.21908194018186
EP300	6.53636224607013
CRNKL1	6.73986474887616
C9orf45	3.64054140212515
XAB2	4.11567950775216
RTN1	5.19458929954641
HIC2	4.16852859109735
TBX10	4.06353283570813
CENPQ	6.61100633038708
UTY	4.83660815441467
OR2W1	3.32587142247647
ATP5G2	10.6000680650225
ZEB1	4.17703730685886
ZG16	3.63813227418243
ERG	4.21525777348137
PARN	7.97436110802235
SOD2	8.66457846605971
JOSD3	8.80878726850898
ADAM5P	3.57635067212886
CHD9	6.73268499957922
hCG_40738	4.76002609917763
STK16	5.83075058168552
PDE1C	3.74429442473492
SEMA4D	7.53084827156137
AGPAT1	6.11831742536419
TOB2	5.3137863449454
BANK1	5.07993410419903
MAP3K3	5.50228722816862
MAX	6.29122228056739
GRM2	4.32402365986108
OSBPL8	8.97536327740172
PROSC	8.90582060441878
NR4A2	6.04010557122207
RICS	6.64975898001138
PIR	9.35590284778393
PPCS	10.0098349375082
IPO9	6.90749172170328
LONP1	7.66955476162013
EVC	4.35686028399373
CXCL13	8.48678372164192
SCYL3	6.15586820888974
KIAA1199	7.37949735556593
SORL1	7.46696389852314
NAT10	7.3880881219765
CHD1	6.81879337728568
SYN3	4.36038590968874
DMC1	4.26414318175932
SLC22A2	3.96427987136672
SERPINF1	9.28767208496509
C20orf27	5.78763438472205
OR7A17	3.58519053169407
RPS6KA5	6.43572468242299
LHB	3.73477638347649
TAOK3	5.64623842424058
STK25	6.84649066084171
SLC12A4	4.08925196964555
BRCA1	5.31500565338827
GBL	7.08390241679098
C14orf108	8.06024635181395
CDC25B	8.08265697471763
BMP3	3.74660637116489
MAP1LC3C	3.74321951449109
TMEM180	4.00151127962758
CRYGC	3.90740388396603
SLK	7.19093838790837
POU3F1	3.84981396238011
C20orf32	3.76586768658794
USP52	5.8077817689836
HIGD1B	4.34459093012612
BAZ1B	7.32331979495904
USP6NL	6.00878592771408
SLCO2B1	5.23073804204902
ABCD4	4.64152370644871
DIMT1L	7.19953771006731
SLC25A46	9.14319790484865
LARP7	7.8119706207463
TEK	4.18782006385399
CD160	3.80977489839157
TERF2IP	8.52130066177315
PHF20	5.96522485010528
COL1A1	7.4348145056271
KIAA0090	7.71947071092151
GTPBP1	4.70151703846794
GRK5	4.91810893172618
AP1S2	6.33635250620637
RAB33B	5.33957561987791
CA11	4.8261090175695
ALDOC	8.30676498516122
NUDT1	7.73124568442768
ZNF212	5.89801343397588
ACBD3	8.3988672247174
ZNF83	4.50963741919524
PRDM2	5.63814553489718
GDPD5	4.66528906936710
PDCD4	6.2233207797549
CEP350	6.23140079610827
FOXP3	3.70076650108309
SMYD3	8.28110794501809
CST7	6.13567014996592
SELL	6.11250632212545
CIAO1	6.9846015983434
LGI2	4.30594413870886
WDR45	7.23816052607149
ANKRD6	6.60440448348041
LTBP4	4.98371088892462
PSCD3	3.88146781854174
PYY	4.01037682925197
KCNC1	3.39756731790238
SIRT6	4.64040194826930
CCL19	7.2966695194678
ARHGEF9	4.46578584090186
ABR	5.36190161907389
C10orf22	7.20925612058263
STK17A	7.02563248531036
FOXE1	7.58373161189694
GML	3.57010156238264
CNGA3	3.24041300942186
CD38	6.01651128358442
ZDHHC6	7.75308287470142
NEFH	3.96782413562017
PGBD5	5.34391749222604
CTDSP2	7.70939497019586
RMND5B	6.22419014106808
ZNF257	3.45825102203123
DUSP4	4.1680011825896
FLJ22167	5.17015322347685
EXOSC7	8.00924960926003
ROR2	4.04058354265343
FOXM1	6.06648209933867
ZBTB48	5.6751834906832
BUD31	9.31448796044334
MAOA	8.65624055771012
CCDC41	4.66057384924005
TNNT3	4.44289744329952
FBXO11	6.53732861336644
GYPC	7.2713749700998
PLIN	3.66392070240959
RFXAP	4.08819768768560
C6orf15	4.34179120850546
RNF4	8.3764353046984
F8A1	9.04903389272126
PPP1R3D	4.76439054742381
GRB2	8.57349429629494
