Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A05_588162
Composite Element REF	Signal
AACS	7.49352077655422
FSTL1	8.44660288001874
ELMO2	5.78848117663699
CREB3L1	3.98103258113714
RPS11	10.4129496677414
PNMA1	7.1502649704733
MMP2	7.06095331329289
SAMD4A	4.10305308240563
SMARCD3	7.36306356607312
A4GNT	3.78983509031735
C9orf39	4.14222035563281
PKNOX2	4.28877555263634
RALYL	3.68478638840404
ZHX3	4.86467782790401
ERCC5	6.03418252902268
RXFP3	3.89496741224759
APBB2	4.60475997695435
BBOX1	4.97303445805838
PRO0478	3.10545297915929
GCSH	10.4711539827769
XDH	3.74137532798784
EDN1	5.73199068340302
MTERF	8.19301573892666
PDCL3	9.31906911366421
CLK4	6.23344823700996
KCNG1	4.71161635542352
CXCR4	9.09721123363947
DECR1	8.46170612456644
SALL1	3.64994499225886
PTPRR	3.88093840002497
CADM4	3.92466736842731
IRAK1	10.2132591052489
CFHR5	3.5884178478763
HNRPD	8.46983641958485
TMSB10	12.7082527832123
CXCL3	5.22010771551069
LMAN1	3.78128606554681
SUHW1	3.76933797112277
CHD8	5.70034340464176
SUMO1	8.92797349628333
GP1BA	3.44697245921694
OR7A10	3.78795784180517
DDB1	7.40490364276925
CHRNA10	4.0487825226364
STYK1	5.40240617602656
MYO9B	4.71207710403785
CCNI	10.7028861464921
MMP7	7.92533856418646
EP300	6.88496903719794
CRNKL1	7.5623120746034
C9orf45	3.52677000559853
XAB2	4.24953738630241
RTN1	4.36726182986548
HIC2	4.73522235714311
TBX10	4.0167504897337
CENPQ	5.90399214020553
UTY	4.81013953123302
OR2W1	3.20244909774508
ATP5G2	11.2598879081574
ZEB1	5.37122388460538
ZG16	3.54327342043322
ERG	4.35520831907832
PARN	7.06569091607766
SOD2	7.46997760472763
JOSD3	8.68470518066971
ADAM5P	3.54141783302158
CHD9	6.84078906247637
hCG_40738	4.75221616553197
STK16	6.87135800806811
PDE1C	3.81678572972495
SEMA4D	7.10876515258965
AGPAT1	6.19207815474599
TOB2	6.48847528887685
BANK1	4.53089767123129
MAP3K3	5.66509602295633
MAX	6.73092583724927
GRM2	4.39066321374145
OSBPL8	9.23541126074841
PROSC	6.96883384218413
NR4A2	6.39674378137679
RICS	5.16109819862483
PIR	8.62548211118762
PPCS	9.30828805727044
IPO9	6.68650394679537
LONP1	8.18074461254389
EVC	4.42081682187932
CXCL13	9.70698411179103
SCYL3	6.13804410464362
KIAA1199	5.16811797596288
SORL1	7.49152480907212
NAT10	7.56413832311127
CHD1	7.41181404163494
SYN3	3.91993932785414
DMC1	4.21067268133109
SLC22A2	3.9366063106954
SERPINF1	9.10889896145427
C20orf27	6.98750629511874
OR7A17	3.34277839456256
RPS6KA5	6.27129859198788
LHB	3.82374769295008
TAOK3	6.29697542238039
STK25	6.67437968295961
SLC12A4	4.07331082634744
BRCA1	5.81956683002428
GBL	7.05220583513771
C14orf108	8.14016308085252
CDC25B	8.39276470487948
BMP3	3.81039492534338
MAP1LC3C	3.67847463226525
TMEM180	4.59103262450825
CRYGC	4.14325895048886
SLK	7.12300788454002
POU3F1	3.78226329626745
C20orf32	3.67525705103323
USP52	6.42420384313186
HIGD1B	4.38729531561686
BAZ1B	7.50224837406062
USP6NL	5.7351115999065
SLCO2B1	5.46323935086477
ABCD4	4.7567721177698
DIMT1L	7.62096782034624
SLC25A46	8.08958447708153
LARP7	7.94611730973676
TEK	4.04696577043868
CD160	5.36615489982141
TERF2IP	9.5676616001895
PHF20	6.4163131753726
COL1A1	6.63419575153224
KIAA0090	7.49896105105976
GTPBP1	5.00781672298585
GRK5	4.96145084255875
AP1S2	6.41685330979868
RAB33B	5.88013138672551
CA11	5.66840687610535
ALDOC	8.46155288713172
NUDT1	6.97139576463571
ZNF212	6.06654697157417
ACBD3	8.14738894374177
ZNF83	6.22383836541525
PRDM2	5.14589810469397
GDPD5	4.41970460255005
PDCD4	6.8386007344598
CEP350	6.17654130494458
FOXP3	3.57388417727326
SMYD3	7.87098520537233
CST7	7.99225706597992
SELL	6.88621083623874
CIAO1	7.26368326509488
LGI2	4.02537751118636
WDR45	7.76033336670092
ANKRD6	6.72005446014464
LTBP4	4.26545609502287
PSCD3	3.68267682183125
PYY	3.96832164967232
KCNC1	3.334123768019
SIRT6	4.96954479228262
CCL19	8.02608149517647
ARHGEF9	4.00024849352868
ABR	5.78164766504466
C10orf22	7.99974079886192
STK17A	6.57229441051129
FOXE1	8.99763872469494
GML	3.28837679611211
CNGA3	3.10672298821545
CD38	7.61761991422142
ZDHHC6	7.82357540831751
NEFH	3.78258496034780
PGBD5	7.53995712228712
CTDSP2	7.66725168695512
RMND5B	6.28749849542698
ZNF257	3.13812584162760
DUSP4	6.32792468893537
FLJ22167	7.47096675487209
EXOSC7	8.7809113632675
ROR2	5.04790121770861
FOXM1	6.10016985202313
ZBTB48	5.85784871661373
BUD31	10.1783587909237
MAOA	7.60596447442387
CCDC41	6.02862442838513
TNNT3	4.45516126073075
FBXO11	6.8289535476365
GYPC	7.30370467323781
PLIN	3.68658986189058
RFXAP	4.27661757165434
C6orf15	4.78432741858023
RNF4	8.15065234590821
F8A1	9.07467492257816
PPP1R3D	6.04396762273454
GRB2	9.02062123285502
TPM3	3.34242847321888
