Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_C06_588326
Composite Element REF	Signal
AACS	7.22700140962053
FSTL1	9.35164142883782
ELMO2	5.61799345808558
CREB3L1	4.36923230065586
RPS11	10.3708837217777
PNMA1	8.38174650652504
MMP2	8.78013943409461
SAMD4A	4.87703347533382
SMARCD3	6.22722048575741
A4GNT	4.06542155849999
C9orf39	4.03871306624278
PKNOX2	4.37099490187673
RALYL	3.58252229746616
ZHX3	5.26805106393245
ERCC5	6.61437454428067
RXFP3	4.19394294149766
APBB2	5.81291055264868
BBOX1	3.51031253562528
PRO0478	3.39899544238097
GCSH	8.61979403241172
XDH	4.76828722037867
EDN1	4.17873277112880
MTERF	7.98550322371736
PDCL3	8.02195338644902
CLK4	6.96518388801367
KCNG1	3.70072216538020
CXCR4	9.53822540903056
DECR1	9.74762877702275
SALL1	3.37265214492565
PTPRR	3.62236824679844
CADM4	3.62391787227742
IRAK1	9.52862699129303
CFHR5	3.72404529467172
HNRPD	8.50746657339787
TMSB10	13.3065669788795
CXCL3	5.42745697363405
LMAN1	4.09425990716923
SUHW1	3.68934743219205
CHD8	6.77331590993883
SUMO1	8.8686444558394
GP1BA	3.57625435871643
OR7A10	3.87143716335343
DDB1	7.887788817053
CHRNA10	3.99367421665034
STYK1	4.4365045405832
MYO9B	4.88370538266357
CCNI	10.5012353696719
MMP7	9.33770070032412
EP300	6.971150585172
CRNKL1	6.8611056530921
C9orf45	3.61850940146704
XAB2	4.36885504305633
RTN1	4.61665181411394
HIC2	4.2876265760917
TBX10	4.012597431614
CENPQ	5.24916815148667
UTY	3.96871899258982
OR2W1	3.30811470826159
ATP5G2	10.8546858903255
ZEB1	4.62345532512734
ZG16	3.64946341564776
ERG	4.92841472944208
PARN	8.13501266066984
SOD2	7.80989674722065
JOSD3	9.01254270410216
ADAM5P	3.62897788889595
CHD9	6.83788582019108
hCG_40738	4.51886262401014
STK16	7.45185477692395
PDE1C	3.77228799099984
SEMA4D	6.1342235598493
AGPAT1	6.64212255406678
TOB2	6.3596196832305
BANK1	4.72576492137269
MAP3K3	5.94242528413338
MAX	6.73958615449189
GRM2	4.34198918823439
OSBPL8	9.221213760559
PROSC	6.57614384989842
NR4A2	5.80453656929226
RICS	7.36761591083582
PIR	7.09488936898094
PPCS	9.75971196066216
IPO9	6.52928887258261
LONP1	7.02915121963961
EVC	4.52607436287469
CXCL13	8.26520840487069
SCYL3	6.65615303432866
KIAA1199	7.12189422947324
SORL1	7.18915494336775
NAT10	7.22675731580445
CHD1	7.19807133959727
SYN3	4.20153482567365
DMC1	4.36805146052895
SLC22A2	4.1977932114134
SERPINF1	9.91247695281672
C20orf27	6.74996924019768
OR7A17	3.43663987645231
RPS6KA5	5.75957574161718
LHB	3.61942498468288
TAOK3	6.17125683165282
STK25	6.81391140907462
SLC12A4	4.16290942394679
BRCA1	5.12495869700781
GBL	6.67881448554151
C14orf108	8.73116124834605
CDC25B	7.56269066694254
BMP3	3.68252830898499
MAP1LC3C	3.61428444373898
TMEM180	4.68040298699366
CRYGC	4.10642012834297
SLK	7.8303391827151
POU3F1	3.77315359736994
C20orf32	3.67243462226038
USP52	6.45878419323066
HIGD1B	4.72870629856065
BAZ1B	7.59332592063608
USP6NL	6.10230974495
SLCO2B1	5.60057197024379
ABCD4	5.24157881025381
DIMT1L	7.89003396063893
SLC25A46	8.59749872603962
LARP7	8.27208953651933
TEK	4.1125457735422
CD160	4.24118366987734
TERF2IP	8.59142875287237
PHF20	6.41991145747863
COL1A1	8.21880177452054
KIAA0090	7.57294118714388
GTPBP1	4.93451037903571
GRK5	5.31056493989708
AP1S2	6.46041989887862
RAB33B	5.80166149408729
CA11	5.3621303100545
ALDOC	7.18976680924834
NUDT1	7.00316908074669
ZNF212	6.54059325413917
ACBD3	8.01159871145611
ZNF83	5.88353684902237
PRDM2	5.6941462630849
GDPD5	4.54082166807415
PDCD4	7.15630979461233
CEP350	6.27249082631283
FOXP3	3.74446853698675
SMYD3	8.26078432289276
CST7	6.65906464581073
SELL	7.68065537124967
CIAO1	7.22975470620161
LGI2	4.24117974120802
WDR45	7.06065998364501
ANKRD6	5.36245314555255
LTBP4	5.66497410843248
