Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A10_588152
Composite Element REF	Signal
AACS	7.31862334651264
FSTL1	9.54728100302601
ELMO2	6.31674956372924
CREB3L1	4.73669806754815
RPS11	10.2093303509556
PNMA1	8.11678607296895
MMP2	8.53885733285828
SAMD4A	4.89306530899459
SMARCD3	7.48106426125057
A4GNT	3.72523643186973
C9orf39	3.48717480680046
PKNOX2	4.44310745123307
RALYL	3.45156190592644
ZHX3	5.51997727615629
ERCC5	6.62578786758129
RXFP3	3.93958082835871
APBB2	5.23868724612879
BBOX1	5.13268233928528
PRO0478	3.16982440719377
GCSH	8.07053814253653
XDH	3.81666348493393
EDN1	6.54641784759324
MTERF	6.85771860876950
PDCL3	9.0720616021026
CLK4	6.4535631583722
KCNG1	3.76220835132317
CXCR4	9.33922369723516
DECR1	9.24196700737774
SALL1	3.47756794121752
PTPRR	3.77980500348297
CADM4	3.62408794161223
IRAK1	10.0146423426270
CFHR5	3.66346266277671
HNRPD	9.162300965702
TMSB10	12.9470304562679
CXCL3	7.96615644563678
LMAN1	4.10193208340837
SUHW1	4.51350509206254
CHD8	6.41978881369825
SUMO1	8.68017867991577
GP1BA	3.34040295913582
OR7A10	3.72792315436380
DDB1	7.97471137329554
CHRNA10	3.9677710244982
STYK1	4.29144292066409
MYO9B	5.03426146602846
CCNI	10.8689420599256
MMP7	8.6009341922669
EP300	7.55883827233083
CRNKL1	7.16166595952616
C9orf45	3.70936310013453
XAB2	4.40129880946138
RTN1	4.27853240630864
HIC2	5.00626837280207
TBX10	3.86114996344321
CENPQ	5.43300682275074
UTY	3.44583805895522
OR2W1	3.09611786437897
ATP5G2	10.2425869752578
ZEB1	4.70159032584377
ZG16	3.68351735638445
ERG	5.08201077844689
PARN	8.61527086176223
SOD2	8.17426755654474
JOSD3	8.748475724517
ADAM5P	3.39839208088583
CHD9	6.86234374757219
hCG_40738	5.04489284537274
STK16	6.82356938332747
PDE1C	4.11570030135779
SEMA4D	6.27102282765127
AGPAT1	6.65717373750567
TOB2	6.28982373398291
BANK1	5.34555955488899
MAP3K3	6.45702974318167
MAX	6.29493031073951
GRM2	4.0629160477658
OSBPL8	8.91003650945618
PROSC	7.77706785348726
NR4A2	8.22638073368938
RICS	7.00400232692743
PIR	7.47967247264597
PPCS	9.79646130050091
IPO9	6.57359795898946
LONP1	7.7419149075555
EVC	4.23895541605766
CXCL13	6.63924276816297
SCYL3	5.7143562112811
KIAA1199	7.74055147824871
SORL1	8.5116141714026
NAT10	8.08392286216041
CHD1	8.02802694077047
SYN3	4.23778428386613
DMC1	4.35092785435059
SLC22A2	3.8956026462311
SERPINF1	9.44938029109872
C20orf27	6.47408504268709
OR7A17	3.49337295842539
RPS6KA5	5.77068516308594
LHB	3.80955658469722
TAOK3	6.61833464000934
STK25	7.10972099957651
SLC12A4	4.14769574483786
BRCA1	6.14210690145278
GBL	7.04566302244503
C14orf108	8.44111848775094
CDC25B	8.08241984228463
BMP3	3.55081746255943
MAP1LC3C	4.33247436656248
TMEM180	5.56881061820316
CRYGC	3.94710190949138
SLK	8.60327759099003
POU3F1	3.71739298742582
C20orf32	3.7976909102397
USP52	5.69352141343809
HIGD1B	5.49183670820089
BAZ1B	7.8679466349358
USP6NL	6.04596757977008
SLCO2B1	6.58367939835322
ABCD4	4.95729435033357
DIMT1L	6.87522514313966
SLC25A46	8.6300242168987
LARP7	8.26426476088291
TEK	4.73910907185728
CD160	3.80210393607434
TERF2IP	9.15153672151117
PHF20	6.81663848791834
COL1A1	8.10296068659294
KIAA0090	8.026989054842
GTPBP1	5.34026643804571
GRK5	6.35977944782271
AP1S2	7.78195016234361
RAB33B	5.28292438875352
CA11	5.22714188077587
ALDOC	7.34177777366698
NUDT1	6.8825882004284
ZNF212	5.77486697042249
ACBD3	8.5430880044639
ZNF83	5.94264541874543
PRDM2	5.74830107141277
GDPD5	4.9631444440753
PDCD4	7.06978211774795
CEP350	6.34398808857724
FOXP3	3.55400747710329
SMYD3	8.15106687735107
CST7	6.73081661500717
SELL	6.9241358062287
CIAO1	7.287253574664
LGI2	4.29697136276642
WDR45	7.14236356321153
ANKRD6	7.40295102102979
LTBP4	5.62720656283733
PSCD3	3.73475158015273
PYY	3.9089094969246
KCNC1	3.33212740144031
SIRT6	4.72100236656161
CCL19	5.79641367076844
ARHGEF9	4.82169137320272
ABR	6.26578499501076
C10orf22	7.94937755084562
STK17A	6.67189076132878
FOXE1	5.1863958372651
GML	3.31053637275490
CNGA3	3.31896709436408
CD38	5.48431499783054
ZDHHC6	8.00943637287856
NEFH	3.81355947096299
PGBD5	4.47262862302603
CTDSP2	8.19531167528041
RMND5B	5.67892556786011
ZNF257	3.37234035277098
DUSP4	6.78685916732321
FLJ22167	5.49059433756627
EXOSC7	8.09448189306625
ROR2	4.57957179270261
FOXM1	5.60327113807695
ZBTB48	5.59444990330752
BUD31	9.09320621662663
MAOA	8.52048500321871
CCDC41	5.29166675858431
TNNT3	4.01514958645155
