Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_C03_588282
Composite Element REF	Signal
AACS	6.52353180643553
FSTL1	9.7476825516193
ELMO2	5.51781714017773
CREB3L1	4.2902243411248
RPS11	10.2895790669762
PNMA1	7.2744752701149
MMP2	8.6863986831435
SAMD4A	4.38684186224212
SMARCD3	6.35681878632357
A4GNT	3.7457355561389
C9orf39	3.77213684166846
PKNOX2	4.27358618638709
RALYL	4.16098498880411
ZHX3	4.73951415407109
ERCC5	6.45797572343254
RXFP3	4.10681498368802
APBB2	5.0953928373513
BBOX1	4.34546886699848
PRO0478	3.34550189429324
GCSH	8.91904806840764
XDH	4.06133180012759
EDN1	8.06776750381403
MTERF	7.59729207167467
PDCL3	9.0168269865285
CLK4	6.12754130503768
KCNG1	4.25768665239708
CXCR4	8.84405010998084
DECR1	8.99497486853425
SALL1	3.57870955355762
PTPRR	4.73967205587231
CADM4	3.73549621749552
IRAK1	8.83022930173915
CFHR5	3.8082074092619
HNRPD	8.8226788658175
TMSB10	12.9325264712586
CXCL3	5.4080714485542
LMAN1	4.31706890943785
SUHW1	3.72288151641236
CHD8	6.50023709551828
SUMO1	8.89199909776195
GP1BA	3.68068069308306
OR7A10	3.95289122631067
DDB1	7.5092541893288
CHRNA10	4.03759856288895
STYK1	5.40051727067133
MYO9B	4.58621490789401
CCNI	10.6312164745433
MMP7	9.12907481446656
EP300	7.53457266333318
CRNKL1	6.8461343365202
C9orf45	3.60197091009617
XAB2	4.045555379042
RTN1	6.36419023956513
HIC2	4.72157830008336
TBX10	3.9630627533874
CENPQ	5.53279084368174
UTY	3.60686219099457
OR2W1	3.32785933109589
ATP5G2	10.5899557930527
ZEB1	5.3104757697115
ZG16	3.82465920553634
ERG	4.44337851868618
PARN	7.55135893207747
SOD2	8.80983690326854
JOSD3	8.20406794836889
ADAM5P	3.65960639460376
CHD9	6.52049363567201
hCG_40738	4.57144227658067
STK16	6.58517367995963
PDE1C	3.87162337736684
SEMA4D	6.32419579477219
AGPAT1	6.29653341732441
TOB2	6.39211548463508
BANK1	5.22233502712733
MAP3K3	5.3607266813603
MAX	6.7024779389983
GRM2	4.17766239150689
OSBPL8	9.18744329723023
PROSC	7.00075446256314
NR4A2	5.25177912368429
RICS	5.44504453416059
PIR	10.3018005182092
PPCS	9.34022350934163
IPO9	6.46907773195939
LONP1	7.50055380300183
EVC	4.48229454897131
CXCL13	8.45556038445755
SCYL3	6.31813812692998
KIAA1199	6.05557239238627
SORL1	8.04255262599726
NAT10	7.47297300939762
CHD1	7.47312912726949
SYN3	4.2603399902032
DMC1	4.11704156985498
SLC22A2	4.2183860065291
SERPINF1	9.50514947462825
C20orf27	6.3055758438555
OR7A17	3.61744807173892
RPS6KA5	5.27282652527489
LHB	3.78511926703631
TAOK3	5.80302685642468
STK25	7.38475108305324
SLC12A4	4.15198489756584
BRCA1	4.87525767734441
GBL	6.84035371788409
C14orf108	8.08999915533353
CDC25B	7.9665239341208
BMP3	3.95052848801897
MAP1LC3C	4.1097863471322
TMEM180	4.46575956512656
CRYGC	3.9269568450214
SLK	7.22156706166815
POU3F1	3.83846022290867
C20orf32	3.73659619693779
USP52	5.03266542783272
HIGD1B	4.03783815158215
BAZ1B	7.17626995321414
USP6NL	5.52060825057276
SLCO2B1	5.4551058111762
ABCD4	4.63939514169781
DIMT1L	7.28157465073243
SLC25A46	8.77973758714576
LARP7	7.63165567190392
TEK	4.26231367585596
CD160	4.25260855638456
TERF2IP	8.82875980687383
PHF20	5.98194819410817
COL1A1	8.06892338945589
KIAA0090	7.19314662115014
GTPBP1	4.89416487929561
GRK5	5.08300464434066
AP1S2	6.7791853157277
RAB33B	5.5026027576207
CA11	4.76676626383193
ALDOC	8.93713841856872
NUDT1	8.09942984301152
ZNF212	5.59559053837737
ACBD3	8.89708090919607
ZNF83	4.24588414419923
PRDM2	5.56488515004053
GDPD5	4.55411571203573
PDCD4	7.04525223472628
CEP350	5.82780950982746
FOXP3	3.69105637657737
SMYD3	8.18062307067819
CST7	7.44628622082763
SELL	6.21314398113512
CIAO1	7.06545788115566
LGI2	4.08848094295668
WDR45	7.34480423505192
ANKRD6	6.59418026833043
LTBP4	4.34331016673527
PSCD3	4.10473822740762
PYY	4.00175229852299
KCNC1	3.34519771681168
SIRT6	4.72895898568706
CCL19	6.13754842615782
ARHGEF9	4.16025737294778
ABR	5.12476028003102
C10orf22	7.54181529701548
STK17A	6.98462941057363
FOXE1	7.49285327582119
GML	3.39444830217167
CNGA3	3.12933584904793
CD38	6.68589502120308
ZDHHC6	8.07490680012118
NEFH	3.85915265808587
PGBD5	6.74140114929726
CTDSP2	7.89493254487676
RMND5B	5.14788265036471
ZNF257	3.31632103514817
DUSP4	5.1907889225233
FLJ22167	4.9594703207162
EXOSC7	7.99904363152359
ROR2	4.19168864492972
FOXM1	5.85277874719451
ZBTB48	5.7536446152294
BUD31	9.85155605057282
MAOA	8.29029859876641
CCDC41	4.66652753072788
TNNT3	4.06973754660811
FBXO11	7.00488239975363
GYPC	7.36751553450718
PLIN	3.91714495770923
RFXAP	4.20648857557196
