Hybridization REF	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_E05_723804
Composite Element REF	Signal
AACS	6.06737281113238
FSTL1	6.98657623745875
ELMO2	5.07665937229201
CREB3L1	4.07718146858553
RPS11	10.2388482998096
PNMA1	6.25377161568429
MMP2	4.84898848520937
SAMD4A	5.01857391885241
SMARCD3	4.93785635876169
A4GNT	3.92382353766375
C9orf39	3.80646908691737
PKNOX2	4.20342955808597
RALYL	4.15942930011222
ZHX3	4.97078234295527
ERCC5	5.39380926403987
RXFP3	4.37805150952867
APBB2	4.34731358209024
BBOX1	3.29502563343917
PRO0478	3.46469717475418
GCSH	9.16616568827821
XDH	3.56013805014216
EDN1	3.89130293487027
MTERF	6.95439885844353
PDCL3	7.16604858345933
CLK4	6.76543564048561
KCNG1	4.11454858272153
CXCR4	8.54563853935868
DECR1	6.92253123295626
SALL1	7.07243865832381
PTPRR	5.16860571187608
CADM4	3.96048500501387
IRAK1	6.11883099962795
CFHR5	4.09895010285476
HNRPD	7.90290114100076
TMSB10	12.687112188213
CXCL3	5.65989771144308
LMAN1	3.85171559151946
SUHW1	3.92310193423924
CHD8	5.0347133392361
SUMO1	9.1605129804059
GP1BA	3.9377429668282
OR7A10	4.03947115325589
DDB1	8.10640047859172
CHRNA10	3.84048933897898
STYK1	3.94789096017341
MYO9B	4.137442890774
CCNI	10.0516885582398
MMP7	4.37200895822857
EP300	6.84748608498566
CRNKL1	7.05068831758593
C9orf45	3.80366309093608
XAB2	4.56089173014898
RTN1	5.30692626233004
HIC2	4.89692344404272
TBX10	3.97118014927001
CENPQ	6.65568804554335
UTY	5.3530451680733
OR2W1	3.27409017680809
ATP5G2	10.5380998675035
ZEB1	4.15801513589983
ZG16	4.12558720530257
ERG	4.4273304934187
PARN	5.6575177729684
SOD2	7.48144445814172
JOSD3	7.63235782122568
ADAM5P	3.58713827423504
CHD9	6.03035815260686
hCG_40738	4.34742618792256
STK16	6.4743512188843
PDE1C	3.96643715366645
SEMA4D	5.56023334599408
AGPAT1	5.82586085348031
TOB2	5.41908630363714
BANK1	4.63426766439323
MAP3K3	5.35836400398269
MAX	5.19335976827566
GRM2	4.32759828126453
OSBPL8	9.14672714294312
PROSC	5.20964314762147
NR4A2	5.47114107984402
RICS	4.37350521025579
PIR	5.567896094596
PPCS	9.68467019252936
IPO9	5.4295551313388
LONP1	6.36019258242719
EVC	4.21070715985286
CXCL13	11.1860820404871
SCYL3	5.88062168314133
KIAA1199	4.96193219460795
SORL1	5.52093154500417
NAT10	5.76718336046266
CHD1	5.82893166717448
SYN3	4.23384901139443
DMC1	5.08204278643249
SLC22A2	4.03298887827382
SERPINF1	11.2603580820256
C20orf27	5.63739069575319
OR7A17	3.97413840641835
RPS6KA5	5.06186787481456
LHB	3.68878409121828
TAOK3	5.53504180991083
STK25	6.67133632808648
SLC12A4	4.12417322869714
BRCA1	4.81346112428401
GBL	5.9866526151936
C14orf108	7.63890362407351
CDC25B	6.20088035050613
BMP3	3.70452426015840
MAP1LC3C	3.7085790642908
TMEM180	4.41620285588028
CRYGC	4.22181070788767
SLK	6.96492046957383
POU3F1	3.78435947232446
C20orf32	4.13899231268178
USP52	5.86841998784324
HIGD1B	4.91478337830999
BAZ1B	5.77505702982501
USP6NL	4.84778206511889
SLCO2B1	5.6404629609899
ABCD4	4.90199846177545
DIMT1L	6.86995759537891
SLC25A46	7.44075754234543
LARP7	7.48394994439544
TEK	4.02579281375229
CD160	5.36113298387263
TERF2IP	7.55904513881656
PHF20	5.82217761686185
COL1A1	5.34881607161558
KIAA0090	6.09770955307804
GTPBP1	4.4457131800458
GRK5	4.76159099872356
AP1S2	6.89068500592713
RAB33B	6.63135804036786
CA11	4.51023344619222
ALDOC	5.80013800226645
NUDT1	5.65022270545096
ZNF212	5.58952108650136
ACBD3	6.60813906518764
ZNF83	5.85780117309455
PRDM2	4.77418411794307
GDPD5	5.9473567394238
PDCD4	6.10566845450608
CEP350	5.4816294691206
FOXP3	3.91395875463953
SMYD3	6.79143338918669
CST7	8.46570115896405
SELL	6.47558922113735
CIAO1	7.00544551552233
LGI2	4.18378846659865
WDR45	6.86088124003048
ANKRD6	4.43051036060602
LTBP4	4.29709314621639
PSCD3	3.71264517207434
PYY	4.16244526727066
