Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D02_588310
Composite Element REF	Signal
AACS	7.22213983041832
FSTL1	10.8630491999892
ELMO2	6.19469419267938
CREB3L1	4.82340067338989
RPS11	10.2487692948738
PNMA1	8.62797809922913
MMP2	10.2971106429939
SAMD4A	5.11677417722571
SMARCD3	6.99119536511716
A4GNT	4.04607669161404
C9orf39	3.94846508709054
PKNOX2	5.26786966937543
RALYL	3.49261726125014
ZHX3	5.29027286217569
ERCC5	7.09262860052624
RXFP3	4.03700796602867
APBB2	5.51648237826602
BBOX1	3.88603189319836
PRO0478	3.22091615341437
GCSH	8.22274553220867
XDH	4.36088645733740
EDN1	7.6863484531104
MTERF	7.29289914191496
PDCL3	8.10994747199433
CLK4	7.1165270408012
KCNG1	4.18709664543883
CXCR4	9.00207605597058
DECR1	8.66109773876913
SALL1	3.41566918223131
PTPRR	4.17857762897854
CADM4	3.46245821316278
IRAK1	8.928959712823
CFHR5	3.47185565408736
HNRPD	9.19154663664764
TMSB10	12.9898442774618
CXCL3	7.35998582890712
LMAN1	3.87964101710002
SUHW1	3.74949384031109
CHD8	7.00714792046412
SUMO1	8.17745710160031
GP1BA	3.49500776597418
OR7A10	3.93452594631594
DDB1	8.03785708241907
CHRNA10	4.0535547266193
STYK1	3.78316441462424
MYO9B	5.33651636637931
CCNI	11.0931455955366
MMP7	9.83573336034904
EP300	7.81701993821253
CRNKL1	7.21186394182912
C9orf45	3.53099646549691
XAB2	4.41688100685281
RTN1	5.87062951916417
HIC2	4.80386584650629
TBX10	3.95612601826265
CENPQ	5.55424068751097
UTY	4.4264178191405
OR2W1	3.18443802699728
ATP5G2	10.4786534832453
ZEB1	5.90607282715372
ZG16	3.70258805967001
ERG	6.25788745457598
PARN	7.9541145552852
SOD2	7.66538536600948
JOSD3	9.0709038082373
ADAM5P	3.43919362740089
CHD9	7.62809884056009
hCG_40738	4.5825727153816
STK16	6.12886721108364
PDE1C	3.8967862829689
SEMA4D	6.97907031442447
AGPAT1	6.88321184417022
TOB2	6.67852298807481
BANK1	5.79978644182481
MAP3K3	6.9658013672537
MAX	6.51214752089434
GRM2	4.03939601514222
OSBPL8	9.52881582469288
PROSC	6.93736627643979
NR4A2	8.1348740470478
RICS	6.10195147361673
PIR	8.49791906418796
PPCS	9.02102519462616
IPO9	6.75125136361002
LONP1	7.27556912511504
EVC	5.19154784144265
CXCL13	8.0545407280966
SCYL3	6.01117486509024
KIAA1199	9.58613231093383
SORL1	7.8293127851142
NAT10	7.44810016923475
CHD1	7.72578062435753
SYN3	3.74285329109321
DMC1	4.392417267537
SLC22A2	3.87539390049936
SERPINF1	10.8968235994614
C20orf27	6.46330097535964
OR7A17	3.29501652198277
RPS6KA5	6.00456612912412
LHB	3.61264952369652
TAOK3	6.37473306249263
STK25	6.64023003960305
SLC12A4	4.07693332520027
BRCA1	4.99813622453094
GBL	6.67907316304697
C14orf108	8.42177862284701
CDC25B	8.83320087702788
BMP3	3.46729769744399
MAP1LC3C	4.14171161225756
TMEM180	4.1583582123153
CRYGC	3.56767865772316
SLK	7.69338996599398
POU3F1	3.4606907325049
C20orf32	3.74484594759305
USP52	6.40071907848097
HIGD1B	5.86731201925771
BAZ1B	7.78418082104119
USP6NL	5.43510558044753
SLCO2B1	6.52839878462013
ABCD4	4.87885132782667
DIMT1L	6.90850898444598
SLC25A46	8.4298883781536
LARP7	8.02721556023485
TEK	5.03125023622609
CD160	4.09084478769145
TERF2IP	9.47015664288295
PHF20	6.41189574144384
COL1A1	9.35969192796814
KIAA0090	6.7048258512668
GTPBP1	5.08765739109332
GRK5	6.80764785247799
AP1S2	7.70435887535824
RAB33B	5.77077084542552
CA11	4.54112604555161
ALDOC	7.24146097779918
NUDT1	7.0056507599148
ZNF212	5.95335599148298
ACBD3	8.39423553901119
ZNF83	6.67863312581324
PRDM2	5.79862575337843
GDPD5	5.68361747664083
PDCD4	7.19932936832542
CEP350	6.68055751320752
FOXP3	3.45625463674933
SMYD3	8.71011580281707
CST7	6.73485833475994
SELL	8.07495235477929
CIAO1	6.68477226564816
LGI2	4.81769345399884
WDR45	7.2914602050553
ANKRD6	6.56440921175376
LTBP4	5.22036179420044
PSCD3	3.71991360918918
PYY	3.82826173207582
KCNC1	3.42120539525852
SIRT6	4.69595188270565
CCL19	9.04526106830938
ARHGEF9	5.1233500711268
ABR	6.18491952108794
C10orf22	7.84276494861711
STK17A	6.11150631396294
FOXE1	7.54772732914544
GML	3.14840008469153
CNGA3	3.05504274677605
CD38	6.61640144207838
ZDHHC6	7.72596135236896
NEFH	4.05724165505748
PGBD5	5.29196768365248
CTDSP2	8.35942652136936
RMND5B	5.6390852986016
ZNF257	3.30925567875128
DUSP4	5.79493726070486
FLJ22167	6.51534023507538
EXOSC7	7.71045606208706
ROR2	5.29518444389044
FOXM1	5.2056010214412
ZBTB48	5.17428477922457
BUD31	8.1628598042614
MAOA	7.76165399357007
CCDC41	5.36263493449549
TNNT3	4.15661593899107
FBXO11	8.41259077831733
GYPC	8.56401292248162
PLIN	3.5822604175355
RFXAP	3.77484073603711
C6orf15	4.17415979581836
RNF4	8.65892294085578
F8A1	8.73042328425981
PPP1R3D	6.4927760344947
GRB2	8.79655754538979
TPM3	3.68763165601724
SYT13	3.82324477408942
EPB42	3.93694268534215
RP5-1077B9.4	5.73020402967027
EIF1	11.5946136873631
CETN3	7.99090117485142
FPGT	6.13463390854219
PRY	3.55406663248276
NTHL1	5.733902946294
POLR2B	10.093011607442
RPS28	12.4519745992270
GDF10	5.14607685050346
COQ9	7.80977156261062
P2RX3	3.06749968255199
GCC2	7.76305773009352
RARRES3	7.83149474745376
PLXNA1	7.31076794445891
WBP4	6.0977357502731
KIAA0100	6.78038457387007
PMF1	6.55004557886381
HS2ST1	6.72863354551931
CRELD2	8.11723264750963
C8G	3.23664796190053
CD82	6.69251206647742
PMM1	6.99635495641792
CBLL1	5.51521882318801
LIM2	3.59891086736526
VAX2	3.63060841628907
SETDB1	6.21746861703398
LRAP	6.97988393360071
GCLM	7.71327301954153
CPEB3	4.48981366874827
PPM1A	6.89477586252289
INTS1	4.95370837412892
MMP16	3.44445570755441
CAMTA1	5.47186185436311
SAMSN1	8.34453878412487
DRD3	3.27127607677277
GMPPA	5.68271292978721
C11orf73	7.03726323945706
AIPL1	4.29425123464123
PTP4A2	10.1982912552982
IL24	3.87733422248644
BDKRB1	4.07276574224335
HPCA	3.91992042090362
MLF1	5.65616962270901
SEC14L1	7.95388435561184
CHFR	7.47689548825992
EMILIN1	6.93419296785742
THADA	6.89871734427587
TAF12	6.8915965507832
NDUFS4	8.5813350723756
ID1	9.80617581867754
PIK3CB	4.67850203408966
COL18A1	8.2097102197686
PDZD3	3.47086661705374
TBC1D17	3.85821686487681
COX8A	10.2513782432181
CDCA4	6.93252719212715
C2orf44	5.44644007867328
C9orf16	6.89900318382149
ERBB2IP	9.26901706991272
EMX2	3.00480492414692
FUS	7.39939163207856
NIPSNAP3B	3.89107769921788
TF	3.90667860568441
CXorf56	5.61774937106608
CLCN4	4.27980056357466
PWP2	6.44277648509784
MMP15	4.89091336349669
MTMR14	6.85767770446276
NPR1	5.21903229453737
DNAL4	6.06224365102005
ELAC2	5.19533180286844
ASS1	8.3603674221312
IPP	5.0991506562143
TMEM59	10.3305230375026
POLR2J	8.48600909204848
SEC23IP	7.29627532008018
RGS4	5.20331648502779
UQCRC1	8.74222924355587
SNX6	8.40984085352269
DDX18	8.03153076069976
POLG	5.42695137000697
ADAM23	5.39236289099929
ZNHIT2	4.96396559312836
TFR2	3.57540559998154
NCDN	4.63939105653038
RAG1	3.64453108443435
POMT1	5.08557878597065
CYP1A1	3.48695896838965
SNAPC1	7.01621591893106
GNA11	6.98163748041719
CCDC52	3.23554404992692
CAPN1	6.87162732510695
DDHD2	7.55904420494874
UPF3A	7.12097852108384
LAGE3	6.4920993850367
GNRHR	3.44490821564541
UNC13B	7.58979170786209
TTLL4	5.68244279465305
PPBP	5.39878987121615
HTR3A	3.54628406643745
SDC2	7.64977125733971
ANKRD49	8.06996268232072
BTF3	10.8650792685628
COX7A2	10.9406645202026
SARS	9.18478531811543
C13orf18	6.50416894232387
CACNB1	4.25214162595262
QKI	7.9894382452063
SETMAR	6.17487662673976
LAMB4	3.6220589711233
MAN2B1	8.0642913191541
EML3	4.98719044296581
ACADL	5.3333190279798
OFD1	7.76627179709808
CGA	3.76801153655672
EIF3EIP	11.1997863028257
PEX16	5.71565465458587
GNG12	9.47320371095583
HABP4	5.48954138828777
CNTN2	3.62994386820096
ASNSD1	8.34137562053337
FUT4	5.64880508496344
DBH	3.76931385583975
CD53	10.0613965747258
HIST1H2BJ	3.69511930722224
TFAP2B	3.41569058453948
ACF	3.94394218871397
TMEM11	7.15221829648291
CDH8	3.64565073718443
C3orf32	3.78542562731222
AGPS	6.55398592285718
C4orf18	3.64918369196975
PCCB	8.26999170044375
IPO13	5.38113813129107
PECI	8.49775318261688
UNG	8.31926403318527
C6orf105	5.61304965678985
GSTP1	10.1692362949855
SUV420H1	8.21306579238142
ARHGAP15	7.09339386789636
LTBR	7.16048205138802
TDRKH	3.47254434180000
PSG4	5.16034663295567
SLC9A3R1	6.63134438403488
NBPF3	10.2919001144404
SLC9A3	3.65891945523953
OSBP	7.19470831810603
PRR5	5.79568595832408
CHMP7	6.99085704113692
ADRA1A	3.33116393086843
ASAH1	8.73657132166366
FKBP4	6.18597213501502
ZNF350	4.69170124783671
DOM3Z	5.4768489003578
GIPR	3.93907993970673
AHI1	5.61587498065137
BST1	5.11557982126667
NCR2	3.94778192066219
NADSYN1	6.44633519458822
UBE2W	7.21394387418959
RGS14	4.41053429302888
KRT15	7.36856161146497
SCN11A	3.98297373605323
GFI1	4.46543113983011
FHL1	7.30101620777871
SMC6	7.3686198230217
GATA1	3.55900253048186
OSGEP	6.37221240151024
ARMC6	5.31901920782686
HK3	4.89934032605162
PSMD5	8.03848333527963
RSU1	8.82970947837563
RPL4	12.3530318376281
MAD2L1	8.46092190695976
RBPMS	6.68231933645086
EIF4A3	9.6829224880921
E4F1	5.77857378321307
DLEC1	4.04882674832627
PRPF3	6.67348851781886
EMR1	5.30034529803223
CHMP2B	8.05114387327224
CAMSAP1	4.98538413407611
RPS21	9.67917445144317
XCR1	3.50559109648034
ARID5A	5.16770938744671
RBM6	6.93584918086466
UBE2N	8.75508795631048
KLF4	8.54378988657042
MGC4172	3.9687354253417
LMO4	8.30505795715166
KLKB1	3.73305888296057
HDAC3	7.68350611249924
HP	7.62358001761511
SCHIP1	7.68746047871756
BTK	6.20457442765662
KRCC1	8.66953400135359
PRND	3.96604921818246
C6orf27	3.4603988999624
PIGL	4.1820589168655
CLCA1	3.85129544814421
C1orf112	4.57665237408537
OLFML2A	6.87726297392465
HUS1	5.52649804516838
SFRS6	8.48429114737838
CXCR7	8.49279326749081
UIMC1	6.7660504402707
FXYD2	3.66787632493114
GOT2	8.82378092315188
ZNF667	3.43910318390809
TFEC	6.85475683612671
ATP7B	4.49954921786566
RAB38	7.49230993221194
POLD2	7.52807334286498
PPM1H	5.23917283029953
DCX	3.56795282700169
NFYC	6.53970124226408
ZNF228	4.59065545946719
KIN	6.68485946075839
PLSCR4	8.28286742094254
HIST1H4I	4.16128229943039
PPARGC1A	3.91926124971566
HIG2	8.06996481225795
KCNK10	4.58301066842155
EXOC1	9.58347121392159
OR6A2	3.88036908171166
ETFA	9.0346137747259
PDAP1	5.61209693718048
C19orf6	3.94734915850386
POLRMT	4.70221422817808
ZNF146	8.1039320678962
MIA2	3.43637910530102
LY6G6E	3.42314669383635
EIF4E2	7.90672612495759
NENF	5.49213374471676
HOXB5	5.17700368757696
ZNF324	5.55261023656807
CUGBP1	5.06771318869242
ENTPD7	5.29977201995908
TTC13	6.89556918091084
GJB5	5.31990374656514
PRSS22	4.32364098794243
CYP3A5	3.85781588233473
MBOAT5	5.22383100209501
CUL4B	5.90127230191171
CENPJ	4.27351504739594
KIAA0664	6.49603966250608
PITX1	4.99243990477469
PDGFRB	7.8655899972126
RDX	7.39029532485023
CELSR3	4.26904176126172
JUND	7.10682648270963
ITSN1	5.70030932294029
CHRNB1	4.12939701236971
EHBP1L1	5.64681016442604
C19orf2	7.85379230225424
FETUB	3.48630413869641
CAMK2B	3.3841742825996
DCTN1	6.69007227267403
TNKS2	7.79145187121416
MRTO4	7.66428451174803
C1QBP	6.77321880634971
TTC3	8.71628307823694
NDUFB8	9.19791121628043
CADPS2	7.37430921130597
EDG2	6.33140766088592
MYF5	3.10832711686906
SEMA3G	6.89672374796966
IL23A	4.49326898800781
GJA9	3.82409802902888
R3HDM2	7.9342898095182
C5	5.8198325447251
SLC2A10	7.54560307411852
TRIM45	4.60406926892731
TSP50	3.87465375292879
PAQR3	6.65246480921314
ANKRD26	4.00549982760573
TCP1	8.66154391738091
TMED7	7.8545953485253
CMA1	3.40659649583186
PTCRA	4.67253691730298
HCRTR1	3.93057709722141
FST	7.19763350711893
PAWR	4.79999873175383
LDLR	6.13119741674005
