Hybridization REF	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_D05_723806
Composite Element REF	Signal
AACS	8.20793718823635
FSTL1	7.41049987481577
ELMO2	6.99703455320127
CREB3L1	4.95812812994687
RPS11	10.1887159050799
PNMA1	10.3517833466904
MMP2	3.94602224074983
SAMD4A	3.76504860102607
SMARCD3	7.82098370196678
A4GNT	3.78766686320794
C9orf39	3.44891028479609
PKNOX2	4.55456133419107
RALYL	9.88376615434602
ZHX3	5.42562723816257
ERCC5	6.29353395262755
RXFP3	3.81752278687133
APBB2	8.5798225396375
BBOX1	4.48129712217694
PRO0478	3.33854611657788
GCSH	8.32828472055203
XDH	4.21064563294845
EDN1	3.89909264116217
MTERF	6.81377649493647
PDCL3	7.92702902800852
CLK4	6.81436380275968
KCNG1	4.00387060415457
CXCR4	6.39329683446747
DECR1	6.39388544523048
SALL1	3.58543239544629
PTPRR	3.7098096375406
CADM4	4.30569648573171
IRAK1	7.55513300460854
CFHR5	3.73588269464989
HNRPD	8.8402200052872
TMSB10	11.7459588211619
CXCL3	3.84083697789032
LMAN1	3.86390069312331
SUHW1	3.66153424058595
CHD8	6.16172530624431
SUMO1	8.78085130577658
GP1BA	3.46588882238404
OR7A10	3.93723272753155
DDB1	8.28708994217177
CHRNA10	3.93362843879884
STYK1	3.59762318179537
MYO9B	3.98703947573988
CCNI	11.3386541047901
MMP7	4.36692886648742
EP300	6.8358025462912
CRNKL1	7.82620990085078
C9orf45	3.79258369247471
XAB2	4.77807793185967
RTN1	11.4371836334530
HIC2	4.73213377693106
TBX10	3.88140237538301
CENPQ	6.6657430604259
UTY	3.59042988981005
OR2W1	3.23620299424961
ATP5G2	11.1489450989650
ZEB1	5.00933658635933
ZG16	5.56439130140871
ERG	4.54896427092311
PARN	7.77835681281318
SOD2	5.1478613840962
JOSD3	8.26891130623158
ADAM5P	3.56250679829807
CHD9	8.1028210407901
hCG_40738	4.14207230238632
STK16	8.05702791600543
PDE1C	4.0186874989805
SEMA4D	7.43323381453064
AGPAT1	7.32543200732245
TOB2	6.03773076045183
BANK1	4.02766897051047
MAP3K3	5.89586950900402
MAX	6.26488910658833
GRM2	4.04826268603982
OSBPL8	8.82403323395355
PROSC	6.94648788507659
NR4A2	6.71216297937383
RICS	7.02950781134508
PIR	7.81873926393827
PPCS	9.63981397557891
IPO9	6.76411897866739
LONP1	7.41200949296582
EVC	3.93471930852917
CXCL13	5.52541160227918
SCYL3	6.45001659005928
KIAA1199	3.36997574063952
SORL1	7.72800674184409
NAT10	6.93281596111534
CHD1	6.50492649207741
SYN3	4.19622479458391
DMC1	4.26119092170811
SLC22A2	4.11219274044495
SERPINF1	6.34793084606828
C20orf27	5.8411713812466
OR7A17	3.63611334566689
RPS6KA5	7.15075459567096
LHB	3.59464102086086
TAOK3	6.80483637311761
STK25	7.8784470595745
SLC12A4	4.05315794922116
BRCA1	4.62816159980434
GBL	7.39831900809443
C14orf108	9.01152859088339
CDC25B	9.26355347074124
BMP3	3.73039446688243
MAP1LC3C	3.84967854702199
TMEM180	5.46416419002447
CRYGC	3.87141431969672
SLK	7.65915928956129
POU3F1	3.63140644714109
C20orf32	3.65076482640202
USP52	7.83045727608808
HIGD1B	5.78225779625795
BAZ1B	7.72003420518294
USP6NL	5.63559225856413
SLCO2B1	4.68084151926747
ABCD4	5.50647006073341
DIMT1L	6.84344390337397
SLC25A46	8.64915386327372
LARP7	8.30841833312058
TEK	3.9749520985394
CD160	4.02051645215993
TERF2IP	11.4291215399002
PHF20	6.46685813172836
COL1A1	4.85768330396073
KIAA0090	7.34715932622198
GTPBP1	4.85932197872018
GRK5	5.41425115231983
AP1S2	7.75574629347825
RAB33B	7.1096727042369
CA11	7.26451375846076
ALDOC	9.16468769266264
NUDT1	5.16658467400388
ZNF212	5.63554255287192
ACBD3	7.3185987998106
ZNF83	8.21322869319938
PRDM2	5.61677922692557
GDPD5	5.08788492609177
PDCD4	8.33478461007423
CEP350	6.03192040904817
FOXP3	3.61209412420768
SMYD3	9.88924316300892
CST7	4.07994923642251
SELL	4.46952904266762
CIAO1	7.13568736999764
LGI2	5.51191331525435
WDR45	7.888133143166
ANKRD6	8.14492673928099
LTBP4	4.26701952487012
PSCD3	3.84209143046398
PYY	4.01506210812943
KCNC1	4.09747102421672
SIRT6	4.5312810265895
CCL19	4.14403300938222
ARHGEF9	6.72278606431853
ABR	7.86591295627806
C10orf22	7.84911814158975
STK17A	5.32101657411303
FOXE1	3.72743347327288
GML	3.39460896597819
CNGA3	3.06889404040377
CD38	3.88446642849750
ZDHHC6	7.82978050195699
NEFH	3.7904992416234
PGBD5	8.17271590992394
CTDSP2	7.47297201811906
RMND5B	6.8674622861846
ZNF257	3.14916068967678
DUSP4	7.74159690299657
FLJ22167	8.01121223819332
EXOSC7	7.8007247662212
ROR2	3.88893764440879
FOXM1	4.28940612892294
ZBTB48	5.51346075583932
BUD31	9.5297274564108
MAOA	3.62702104760722
CCDC41	5.88447062073228
TNNT3	4.36580860139746
FBXO11	6.41163162235807
GYPC	6.48930605639814
PLIN	3.66757059036630
RFXAP	4.52157252538249
C6orf15	4.04448133798395
RNF4	8.5705780586834
F8A1	9.1663724378471
PPP1R3D	4.85575208703595
GRB2	7.46496471469411
TPM3	3.34729208730095
SYT13	7.80235109207536
EPB42	4.00775120806729
RP5-1077B9.4	5.47696963035991
EIF1	12.2404971544160
CETN3	9.78990969577847
FPGT	6.24370642976977
PRY	3.81118112587103
NTHL1	6.9329325335278
POLR2B	9.35545716197237
RPS28	12.2378949792603
GDF10	3.60398157761476
COQ9	8.64903421329833
P2RX3	3.12507366542344
GCC2	8.31785461586204
RARRES3	4.76404323001603
PLXNA1	5.29112150568023
WBP4	6.79587032308786
KIAA0100	6.2670814094339
PMF1	7.47072961428086
HS2ST1	6.65938699724184
CRELD2	7.85414369594717
C8G	3.2381525064278
CD82	5.58896997282534
PMM1	6.6807453904948
CBLL1	5.32730702820171
LIM2	3.84531373851255
VAX2	5.16807848463517
SETDB1	5.5772211228737
LRAP	5.30154350115583
GCLM	6.71534913888501
CPEB3	4.47833415298532
PPM1A	7.26188243620238
INTS1	4.74257804857927
MMP16	3.50506028574357
CAMTA1	8.84303850553781
SAMSN1	5.16285611728168
DRD3	3.25454094165561
GMPPA	5.46462825680355
C11orf73	8.26141146761812
AIPL1	4.34214847502299
PTP4A2	10.1880036547355
IL24	3.53330798573646
BDKRB1	3.37931596029308
HPCA	4.61166232410915
MLF1	6.27775988285021
SEC14L1	8.76300543764881
CHFR	6.25978865517417
EMILIN1	3.97293939404907
THADA	7.04811198820857
TAF12	7.10267657643518
NDUFS4	10.0766644278466
ID1	6.7730080741114
PIK3CB	3.82132293305107
COL18A1	8.13903744990437
PDZD3	3.52170035186642
TBC1D17	4.70619920331727
COX8A	11.2823003060153
CDCA4	5.7107888856158
C2orf44	5.47100422721272
C9orf16	7.03071831842822
ERBB2IP	8.51137324313681
EMX2	3.18683120037685
FUS	7.02717100460659
NIPSNAP3B	5.1751410815338
TF	4.29218638391413
CXorf56	5.91963251379015
CLCN4	5.49985658987544
PWP2	6.15935368919441
MMP15	4.85123205382232
MTMR14	6.351863666278
NPR1	4.3702381493558
DNAL4	6.69174181556461
ELAC2	5.01737101671486
ASS1	5.48547507978134
IPP	6.86323129993451
TMEM59	11.2642573146351
POLR2J	9.46368450995074
SEC23IP	6.4926189725253
RGS4	5.6412764012441
UQCRC1	9.39547869954987
SNX6	8.09674136974645
DDX18	7.32636049524842
POLG	4.87778017164677
ADAM23	5.17079260318733
ZNHIT2	6.00247597215237
TFR2	4.17591573426289
NCDN	5.18054765191312
RAG1	3.94054875012057
POMT1	6.68958194162463
CYP1A1	3.65815808200181
SNAPC1	5.95885543397692
GNA11	6.98515687229681
CCDC52	3.3246023527584
CAPN1	6.21018915215779
DDHD2	8.97315667400956
UPF3A	8.1111047789587
LAGE3	7.5283154336851
GNRHR	3.47380494754359
UNC13B	8.3202451233108
TTLL4	4.84178209376187
PPBP	3.33484351875664
HTR3A	3.51989199789878
SDC2	9.04969785103045
ANKRD49	8.7067047847476
BTF3	11.0933953187131
COX7A2	12.0252723993915
SARS	9.9711874305424
C13orf18	3.93081438373314
CACNB1	4.4106525508569
QKI	6.28635935957563
SETMAR	6.7074832044108
LAMB4	3.84692731313107
MAN2B1	6.17666425628422
EML3	4.95746599814146
ACADL	3.73084977633433
OFD1	8.72303749821731
CGA	9.79695819970327
EIF3EIP	10.8359955363342
PEX16	6.60369538397889
GNG12	9.20887776898154
HABP4	6.6224291332222
CNTN2	3.77123908511262
ASNSD1	8.97380604087998
FUT4	4.58900930423689
DBH	3.55046040171941
CD53	6.80829766854749
HIST1H2BJ	3.70835414875188
TFAP2B	3.45173230397138
ACF	3.684171278479
TMEM11	7.5886790700251
CDH8	3.68555159226245
C3orf32	4.15058309081619
AGPS	5.31333728137314
C4orf18	3.63696529609749
PCCB	8.3162731060555
IPO13	5.34106364731208
PECI	9.56876331148024
UNG	6.77019546647831
C6orf105	3.97350950899662
GSTP1	8.83110028493416
SUV420H1	8.28498319063839
ARHGAP15	4.57031782364554
LTBR	6.89560384800993
TDRKH	4.55338696088029
PSG4	3.69080260914060
SLC9A3R1	7.1431401271313
NBPF3	10.8490165561357
SLC9A3	4.09000384119544
OSBP	7.41717701006341
PRR5	3.68519877610605
CHMP7	7.16046574029563
ADRA1A	3.38872181707917
ASAH1	8.22971657322843
FKBP4	7.34948479761574
ZNF350	4.52550706908597
DOM3Z	6.68259806692284
GIPR	4.27588706300894
AHI1	7.7459995322807
BST1	4.05718099142966
NCR2	3.84187728135017
NADSYN1	5.2990760694476
UBE2W	8.08757420077714
RGS14	4.1394465879857
KRT15	3.46345140790825
SCN11A	4.13093891764969
GFI1	6.22120107256332
FHL1	5.88250069900352
SMC6	6.30247591151893
GATA1	3.74288925990954
OSGEP	7.10069842671665
ARMC6	5.4595192958554
HK3	3.79626047258807
PSMD5	9.40868321381186
RSU1	7.48630855841218
RPL4	11.8265779679981
MAD2L1	6.05835678315142
RBPMS	5.34585486012335
EIF4A3	9.87492958269452
E4F1	6.28431523190576
DLEC1	3.66978494268081
PRPF3	6.47800153987428
EMR1	3.35661732435991
CHMP2B	7.46220181797203
CAMSAP1	4.78988184352429
RPS21	9.28930227169976
XCR1	3.62360022191856
ARID5A	4.5068369649215
RBM6	7.08811970588394
UBE2N	9.42602987927555
KLF4	4.66684854415064
MGC4172	5.51307010446397
LMO4	9.22663473897465
KLKB1	4.05593740363533
HDAC3	8.38438813936157
HP	3.26483714773984
SCHIP1	8.10082496715908
BTK	4.26237676629279
KRCC1	9.44071724869796
PRND	3.20476395714629
C6orf27	4.15180285734787
PIGL	4.29043852465463
CLCA1	3.83215593824384
C1orf112	4.40596749012118
OLFML2A	8.52271716926711
HUS1	5.32120489859097
SFRS6	9.11945173368975
CXCR7	9.20687962382892
UIMC1	7.18267864793868
FXYD2	5.12888938832471
GOT2	9.35073891979314
ZNF667	4.26753324350797
TFEC	3.96806636436956
ATP7B	6.58770370605725
RAB38	2.93171174970177
POLD2	7.3986435013037
PPM1H	8.14774526784617
DCX	9.8312230525342
NFYC	7.08061375871837
ZNF228	4.8431813520131
KIN	6.85943412136966
PLSCR4	6.65764151843631
HIST1H4I	4.3687612793041
PPARGC1A	3.71691175144202
HIG2	7.10592512867904
KCNK10	6.1555432228939
EXOC1	8.89643126618408
OR6A2	4.13778010787752
ETFA	9.33091879235503
PDAP1	5.48451869413301
C19orf6	4.57686500376722
POLRMT	4.65404180725244
ZNF146	7.01980109518816
MIA2	3.37860152769048
LY6G6E	3.42549688382975
EIF4E2	7.41266506981288
NENF	6.43686401047377
HOXB5	4.3218950738405
ZNF324	5.32420623485638
CUGBP1	5.34436973685578
ENTPD7	4.39806413776873
TTC13	7.01390754414934
GJB5	3.20855870412676
PRSS22	5.28960833352977
CYP3A5	5.78144606499283
MBOAT5	4.55954350451649
CUL4B	6.22213068913958
CENPJ	3.76802547348669
KIAA0664	5.56422672516776
PITX1	5.6814654495557
PDGFRB	6.74648746356517
RDX	6.93161581681309
CELSR3	7.29701559794402
JUND	6.66123836027628
ITSN1	5.00827712511872
CHRNB1	4.4865429067246
EHBP1L1	4.38099233662142
C19orf2	7.50375878544398
FETUB	3.53548671715631
CAMK2B	8.72894134572304
DCTN1	6.50126611036478
TNKS2	7.7304116744504
MRTO4	7.76833720136429
C1QBP	7.00794278379322
TTC3	8.62641756837984
NDUFB8	10.5835983775531
CADPS2	6.86500033022281
EDG2	5.4987511072401
MYF5	3.64040580991039
SEMA3G	4.30679543455904
IL23A	4.24454806398998
GJA9	4.09128670998657
R3HDM2	8.28223440386052
C5	6.46046202078314
SLC2A10	4.43409127145319
TRIM45	4.81326206183165
TSP50	4.50037424264859
PAQR3	7.4567205024608
ANKRD26	4.02779533302128
TCP1	9.25337619414593
TMED7	8.94897234990683
CMA1	3.38987470924633
PTCRA	4.49699928950971
HCRTR1	3.7538922584317
FST	6.14250940528596
PAWR	4.20388848097968
LDLR	4.13918597107301
ASTN2	9.46710636036082
SCRN1	9.19140024656561
GPATCH8	7.11963600228652
KIF4A	4.25175052401145
TANC2	4.59303942939521
ZMYM5	4.95887781899984
PGM1	9.98243189647074
ZNF586	4.91946321540119
POLR3G	5.12207249734787
CPD	7.5800839420814
SNCAIP	3.73535800251012
DCT	3.97985969214885
HLA-DOA	3.88802107194629
TANK	6.88296678349447
RCAN1	6.47043359919662
UPK1B	3.52554207598156
DNAJB4	6.2023443185214
UGT1A8	3.52563526425948
LIMD2	4.14185549385044
HIST1H4L	4.05234748157872
PECR	6.46982524338974
HSPA2	6.61224500432568
SERP1	9.2865263180449
TACR2	3.51284954818115
NUP85	7.7750283868321
CD177	3.63976154520662
GPR135	3.68973634084819
PIGG	8.19850424325265
LGR5	3.45945163102514
JAK2	4.87518088794276
DPYSL4	4.3767060783837
TM9SF4	5.82223364401616
PTHR1	3.90827010808844
SIRPG	3.22482250307738
ZNF264	4.75449425801563
BICD1	5.09647115282777
RAB5A	7.73830073102953
FLJ13224	3.43972069993679
METTL5	9.83457501493077
HERC6	4.95672372702409
CASP1	4.6066164391446
USP9Y	3.62685366255592
LRP1B	3.42592260464416
XAF1	4.62723796221439
PLA2G4C	6.2748365215986
APOA2	3.55977418837523
SPAG6	6.18373183759467
KALRN	4.71379112364126
SECTM1	5.15472649792505
THOC7	9.87982290414448
IFNAR1	5.50970192518398
TCTA	8.63321121543867
NY-REN-7	6.353872357225
TALDO1	10.3103007415955
B2M	12.3504290998784
LPPR4	4.00354364644817
SQLE	5.71774732556338
SEPHS1	7.93748293077023
EIF5A	7.60902843905677
FAM49A	4.50086096107795
YTHDC2	5.43650352392769
EHD2	5.00462304581125
NCF1	3.87153981433368
SPG7	7.90330817853149
ZNF614	3.84426518214791
HOXA5	4.12244444997301
NUP133	8.41350926922845
FGF12	4.96086047917628
SLMO2	9.19339120368378
INPP5B	6.09588438268646
PPID	7.53640552832358
SNTA1	5.95728558139881
IL20RA	8.92501677339225
UBE2J1	6.95165085326768
CACNG2	4.53158980291836
GCM1	3.35771964859913
ELF1	7.20810290236189
TLR5	4.92780490271883
TCFL5	6.68172954916433
C1orf107	5.1611057353763
C19orf22	7.17642260435414
SAFB2	6.67674317889668
MAP3K7IP1	4.29722905560648
NCK2	7.89784637901483
OXA1L	7.99823980210443
KIAA0652	6.82617779357176
KLRG1	4.53146939396029
FRAG1	7.74151749376769
ZSCAN12	3.31574992622106
PSMD12	8.48690558665598
E2F4	5.36201938139116
CLEC4M	3.7967732809231
KIAA0999	6.59125467527316
CLDN10	3.71410619516430
MGC13053	4.50739555501665
TAC1	3.32788056929301
GYPA	3.65329382019278
HPCAL4	4.38441264587535
TRAIP	3.99360874731177
MEX3D	5.02476751946865
KIAA0232	8.84215820164356
ERCC8	7.36510734276012
NFAT5	4.82774100536383
GPX4	11.1881028384435
CSPG4LYP1	3.6080353726132
KIAA0368	7.15231068601988
FBXO3	9.6683468173756
DVL1	6.40201745141394
CMKLR1	4.02650334926584
GPR157	3.66893279718626
TYMS	4.47754978428702
OR52A1	3.36739422046024
PEF1	9.23707177982786
ZNF750	7.5065844635054
ALG9	7.20106079090405
MCM5	4.36246545281168
SDK2	4.07020989788078
BAIAP3	4.2979563940998
RABGGTB	7.41872932370085
KCNK7	3.67677954325005
PTP4A3	5.9137820338714
ANKRD40	4.76946661278843
CALCOCO2	8.48627626962118
TMSL8	5.69016362492591
SNCA	8.2939423687196
ZNF551	3.81762690695427
HBQ1	4.30258593636232
ARHGAP26	5.47480533828026
GEMIN6	6.57062414793574
HRAS	7.93087717241671
KLRC4	3.31845040748205
BSDC1	7.89868671854556
DSC1	3.84009310133941
RNF43	4.69895312822596
NDUFAF1	7.71542235543251
MAP2K4	6.75242475000705
FOLR2	7.07277996871094
LYZL6	3.97856383857686
EPB41L3	9.16372168441924
TEKT2	4.32646926225001
CDKN2B	3.76734816478215
WSB1	8.1226232817517
ZNF480	3.79320469939384
MAP3K6	4.15797197585664
PROS1	4.97403028219767
PSMB8	7.14444275617897
HN1	7.01006449355867
MAS1	3.62544487648988
APOL1	4.45167621945679
CSHL1	3.89035000990924
ZBTB7C	3.36877126863023
AHCTF1	6.13526385413273
SAE2	10.354200140199
ITGA2	4.67013419851454
AP2S1	9.05023992627647
P15RS	7.77373343120958
MME	3.81631495230699
VAT1	8.69012226662999
MAST4	6.39342790493349
TUFM	10.0697478701932
KRT33B	3.90510206027065
THEG	3.63767813164968
KCTD2	6.567247980295
WDR26	9.32919426317325
MFI2	3.5452607484945
KRT34	3.39152706889192
NR4A3	5.05474241754313
SGSM3	5.59986779266735
ARSA	5.86920806224797
TOMM22	8.16054744778392
SOCS3	3.88411218723778
UNKL	5.36302879883469
POP4	9.02632671921038
BHLHB3	8.69232933408798
MALL	4.03849924348581
SOX15	4.69888754703466
CCNA2	3.4511367662392
PARK2	3.75541094786055
GPR124	5.84097303362712
TMEM132A	4.85759617710678
CGRRF1	8.78160184477718
RUVBL2	8.35158279772966
MCAT	6.9375523441518
WNT10B	3.8545463660863
ISCA1	8.51864571268586
RPAP1	5.46526571569287
C12orf48	4.05816385776574
RAI16	6.37973001582099
RPL27	10.0776838201074
EPN1	4.11084934326861
MAGI1	4.90917977084755
GBX2	3.56239709475999
SLC35A1	8.87417859433383
GAL	4.0612602644947
SLC14A2	3.71279733265791
