Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B07_588298
Composite Element REF	Signal
AACS	9.08173047513898
FSTL1	8.96542488696657
ELMO2	6.88311449628262
CREB3L1	4.06039958094197
RPS11	10.2767569851947
PNMA1	8.28714251518549
MMP2	7.1462098851824
SAMD4A	4.4450143405305
SMARCD3	4.28495397126532
A4GNT	3.62465212913912
C9orf39	5.51866468022348
PKNOX2	4.84453424065975
RALYL	8.03449673986382
ZHX3	5.34869141911325
ERCC5	7.74146338601219
RXFP3	3.91030163095239
APBB2	5.66315718600918
BBOX1	6.71368867125361
PRO0478	3.09909911553869
GCSH	8.06483007726638
XDH	3.68309795368653
EDN1	6.40985949455395
MTERF	6.84002585021061
PDCL3	8.74943972398208
CLK4	6.99029954205529
KCNG1	3.78489808836975
CXCR4	10.0317543671145
DECR1	8.78293653903557
SALL1	3.75349252001854
PTPRR	3.64150794104231
CADM4	4.09839711200762
IRAK1	9.01823295498406
CFHR5	3.70650877045149
HNRPD	9.97540045269215
TMSB10	12.8371416715038
CXCL3	5.23010885470417
LMAN1	4.11588631936621
SUHW1	3.43957094265233
CHD8	7.29982832416532
SUMO1	8.93849784739873
GP1BA	3.43490432781126
OR7A10	3.87778176273828
DDB1	8.01552718005293
CHRNA10	4.07389328607728
STYK1	5.0184813843355
MYO9B	5.13241814396139
CCNI	11.3144594708771
MMP7	9.0968079511436
EP300	7.11012801883208
CRNKL1	7.74179530410363
C9orf45	3.7038490922715
XAB2	4.69581556012822
RTN1	5.30196388581168
HIC2	5.9357418347209
TBX10	3.97105416866656
CENPQ	5.65542142803951
UTY	3.50841331244416
OR2W1	3.09273536888592
ATP5G2	11.3860654790920
ZEB1	4.66723717490235
ZG16	3.59838218629538
ERG	4.62060343523563
PARN	8.07558996900293
SOD2	7.10044916250791
JOSD3	8.33500809577662
ADAM5P	3.37064164934393
CHD9	6.8018814002759
hCG_40738	5.93823606257444
STK16	6.60072213217477
PDE1C	3.93145982208700
SEMA4D	7.39654389905952
AGPAT1	6.73093588859609
TOB2	6.50270715001807
BANK1	5.09130818102307
MAP3K3	5.82212927223866
MAX	6.64183886818036
GRM2	4.2266104869289
OSBPL8	9.46314690918667
PROSC	6.8858012723979
NR4A2	6.71982004898955
RICS	6.74938417335157
PIR	7.46558334317665
PPCS	9.21382999103827
IPO9	8.23194726953952
LONP1	8.4926259398389
EVC	4.45205179321519
CXCL13	7.59893278272042
SCYL3	7.46377604427404
KIAA1199	6.3120826224492
SORL1	8.20796771203461
NAT10	7.31657101411432
CHD1	8.09446900657505
SYN3	5.06360903112893
DMC1	4.26856998349526
SLC22A2	3.84721489973902
SERPINF1	8.54152937974954
C20orf27	5.5488629375628
OR7A17	3.41926984055668
RPS6KA5	6.82986245534132
LHB	3.47273161295734
TAOK3	5.7555099705334
STK25	7.21307499127827
SLC12A4	4.1246503345513
BRCA1	5.68957938238226
GBL	6.64655134932123
C14orf108	8.93844517117112
CDC25B	9.32114295246276
BMP3	4.07254006227003
MAP1LC3C	3.77712736618561
TMEM180	4.63697569207347
CRYGC	3.84263951506146
SLK	7.61864124273613
POU3F1	4.13584328020232
C20orf32	3.55914961146236
USP52	8.07491643366344
HIGD1B	4.91875907741002
BAZ1B	8.24576811331894
USP6NL	6.58839211196161
SLCO2B1	5.43130758142613
ABCD4	4.88580313389173
DIMT1L	6.85987085428303
SLC25A46	8.14519534128668
LARP7	8.64821558957471
TEK	4.29352441078023
CD160	3.97714888314823
TERF2IP	9.4814024516785
PHF20	7.23151989252026
COL1A1	7.14885125265605
KIAA0090	7.38851858670613
GTPBP1	5.43574362773911
GRK5	5.72207424691774
AP1S2	6.91878982582048
RAB33B	5.9215448781039
CA11	4.11846571850819
ALDOC	7.27156233584028
NUDT1	6.79792190805008
ZNF212	6.26079537562876
ACBD3	8.6878829924879
ZNF83	8.08745199618595
PRDM2	6.41655994603133
GDPD5	5.18721870053742
PDCD4	7.05274879292409
CEP350	7.25444362692154
FOXP3	3.57153914322401
SMYD3	8.41881050419536
CST7	6.88630983626764
SELL	6.45364390926668
CIAO1	6.76196132028286
LGI2	3.71268442054694
WDR45	7.16859836721762
ANKRD6	7.05886523596323
LTBP4	4.04129936737195
PSCD3	3.49705692970051
PYY	3.95291166064794
KCNC1	3.28442650923513
SIRT6	5.33276676331040
CCL19	7.63205123474762
ARHGEF9	5.1276639387512
ABR	6.39178296550824
C10orf22	7.82019766426577
STK17A	5.71365123289567
