Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D10_588224
Composite Element REF	Signal
AACS	8.21724332082957
FSTL1	9.2630978087112
ELMO2	6.53723309606878
CREB3L1	4.05575954250948
RPS11	10.2559690550289
PNMA1	7.39465135312008
MMP2	7.47473615897279
SAMD4A	4.03610383766854
SMARCD3	5.06097078917466
A4GNT	3.99282530318706
C9orf39	4.02607254337291
PKNOX2	4.54454260243824
RALYL	3.91893446191807
ZHX3	5.11298539294572
ERCC5	7.12437472419227
RXFP3	4.02996420774612
APBB2	7.14237571728086
BBOX1	4.45456111301795
PRO0478	3.2149826428743
GCSH	8.3478647667091
XDH	3.92878680770111
EDN1	5.56414227805586
MTERF	7.92877994165722
PDCL3	9.13738191125545
CLK4	6.24532827155656
KCNG1	3.73973344029608
CXCR4	10.8807823385543
DECR1	9.19808588175228
SALL1	3.56207876753192
PTPRR	3.62532770355112
CADM4	3.95076340565388
IRAK1	8.91613030498157
CFHR5	3.80905536847392
HNRPD	9.13423421566327
TMSB10	13.0350932330794
CXCL3	4.91615181351024
LMAN1	3.90788536711964
SUHW1	4.74341635711616
CHD8	6.16810986349153
SUMO1	9.21060015485431
GP1BA	3.62996253883688
OR7A10	3.84933160049524
DDB1	7.99398917073904
CHRNA10	4.12002535850498
STYK1	5.36078962958271
MYO9B	4.80539200231846
CCNI	11.6789384588713
MMP7	9.61064212342892
EP300	6.94839111678313
CRNKL1	7.90449286296055
C9orf45	3.70446220350229
XAB2	5.03559954671437
RTN1	4.32328364424566
HIC2	4.66329510923152
TBX10	4.08792861647235
CENPQ	6.63542697221409
UTY	3.56830117771227
OR2W1	3.2378302256734
ATP5G2	11.1385221143879
ZEB1	4.09955537116272
ZG16	3.70825552007018
ERG	4.41877473902537
PARN	8.47629158253278
SOD2	7.08807246174627
JOSD3	9.40481920775867
ADAM5P	3.51912702685592
CHD9	6.19732169539115
hCG_40738	5.65936445676434
STK16	7.25050328694099
PDE1C	3.86306792160433
SEMA4D	7.6013948336043
AGPAT1	6.50936849236965
TOB2	5.61682038693445
BANK1	4.24123241358831
MAP3K3	5.94413617019111
MAX	6.5159957308736
GRM2	4.11817339531588
OSBPL8	9.2433993346621
PROSC	7.78230739558552
NR4A2	6.11091814336595
RICS	5.89351003327373
PIR	6.90351505598473
PPCS	9.58817808574964
IPO9	7.23363547393677
LONP1	8.10110366982423
EVC	5.8931155938787
CXCL13	9.09528063080371
SCYL3	6.82420342409657
KIAA1199	5.76260598650235
SORL1	6.91192963650037
NAT10	8.06216919547038
CHD1	7.03499134472465
SYN3	3.9954636263385
DMC1	4.40267094852283
SLC22A2	3.9141130024921
SERPINF1	9.25388210083442
C20orf27	6.45486404126974
OR7A17	3.48326385143689
RPS6KA5	6.35061632160859
LHB	3.66864676144424
TAOK3	6.35491640163912
STK25	7.09168363035488
SLC12A4	4.04381130358468
BRCA1	6.20234282375559
GBL	6.72973067861555
C14orf108	8.67485172244461
CDC25B	9.3312340604377
BMP3	3.68706294440868
MAP1LC3C	3.86106086795694
TMEM180	4.73225076760573
CRYGC	4.01031296731068
SLK	6.90841965096755
POU3F1	3.63926518354036
C20orf32	3.76218989644308
USP52	7.03661885114976
HIGD1B	4.98571332216935
BAZ1B	8.29470165076757
USP6NL	5.81000298864634
SLCO2B1	5.33969888804106
ABCD4	4.89110589037248
DIMT1L	6.84802151897326
SLC25A46	8.52495903473239
LARP7	8.08670251808404
TEK	4.03289759996918
CD160	4.04431823653265
TERF2IP	8.57830427281286
PHF20	6.95135489052031
COL1A1	7.5493844580343
KIAA0090	7.61156811442022
GTPBP1	4.8044828047771
GRK5	5.8131906118736
AP1S2	6.25769024867042
RAB33B	5.55302139221644
CA11	4.40299550501678
ALDOC	6.54912918691647
NUDT1	6.62665161640715
ZNF212	6.56483666803054
ACBD3	8.37494567081849
ZNF83	7.5474439933719
PRDM2	5.64660067717332
GDPD5	6.26680884019511
PDCD4	6.92874416542608
CEP350	6.09477196973947
FOXP3	3.66914339315564
SMYD3	8.1925423576474
CST7	6.70600733743196
SELL	5.69617587392155
CIAO1	7.25120658898254
LGI2	4.1211346057121
WDR45	7.38918006415924
ANKRD6	6.07832625564374
LTBP4	4.32911883210758
PSCD3	3.61727037876329
PYY	3.89629572151123
KCNC1	3.27891744984653
SIRT6	5.17733725961815
CCL19	6.23730217128632
ARHGEF9	5.1419798782888
ABR	5.82541117773807
C10orf22	7.37924601389475
STK17A	5.12108653281361
FOXE1	3.57238983205559
GML	3.44380418026029
CNGA3	3.24280064540854
CD38	6.65585048119355
ZDHHC6	8.45700531206792
NEFH	3.76310140701999
PGBD5	7.10514169793064
CTDSP2	7.66455068999394
RMND5B	5.5215471264568
ZNF257	4.46626283113316
DUSP4	6.33662205517076
FLJ22167	6.02187021581325
EXOSC7	7.44815651899703
ROR2	4.05592482998765
FOXM1	6.11992834582954
ZBTB48	5.96163992330305
BUD31	9.61969721828706
MAOA	5.66583455696838
CCDC41	6.44093086822253
TNNT3	4.05119051644648
FBXO11	6.7133313417657
GYPC	6.94438276612714
PLIN	3.6249060921199
RFXAP	4.68308959866593
C6orf15	9.6430553263762
RNF4	8.59256618954711
F8A1	8.94665564800288
PPP1R3D	6.11337273230391
GRB2	8.8106012476281
TPM3	3.40149777371937
SYT13	4.00338219876456
EPB42	4.04939208591238
RP5-1077B9.4	6.12536585529219
EIF1	11.6321921638764
CETN3	8.67623075289462
FPGT	6.65042180627605
PRY	3.91939619975561
NTHL1	5.93517080600437
POLR2B	10.1099858779356
RPS28	12.5752440069416
GDF10	3.6627656076881
COQ9	7.64889963634545
P2RX3	3.13679465602765
GCC2	8.05540938156048
RARRES3	8.70669772447995
PLXNA1	6.26850916218507
WBP4	6.46952804901988
KIAA0100	6.74386901379538
PMF1	7.15789459283217
HS2ST1	6.9456278830523
CRELD2	7.32421145487015
C8G	3.22577788011606
CD82	6.10786293463659
PMM1	6.63980326889982
CBLL1	5.36812075251722
LIM2	3.64703653464812
VAX2	5.067611116678
