Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B01_588294
Composite Element REF	Signal
AACS	7.41179775282874
FSTL1	9.02073516050894
ELMO2	6.19338969961287
CREB3L1	4.20688558411026
RPS11	10.0867875400389
PNMA1	8.59996095397472
MMP2	8.31292061358514
SAMD4A	6.02674883925778
SMARCD3	6.05161886596952
A4GNT	3.86335382154147
C9orf39	3.66394165215494
PKNOX2	4.33628017297724
RALYL	3.49492356168429
ZHX3	5.21986983604278
ERCC5	6.62085654613423
RXFP3	3.89843615351568
APBB2	5.51009155733548
BBOX1	3.56718646103387
PRO0478	3.20158776908294
GCSH	8.40522691822657
XDH	3.54230063588097
EDN1	6.10615667161294
MTERF	6.53827514887812
PDCL3	9.15161398182302
CLK4	6.05957237930913
KCNG1	3.77797442834002
CXCR4	9.36049160574037
DECR1	9.4412096916722
SALL1	3.62169564394681
PTPRR	3.57925343435856
CADM4	3.8372532412713
IRAK1	9.49249172145786
CFHR5	3.64824598634885
HNRPD	9.36760338083896
TMSB10	13.2311593503355
CXCL3	7.40513652788534
LMAN1	5.01356223842968
SUHW1	3.73842175847123
CHD8	6.95315862670548
SUMO1	9.13202458521123
GP1BA	3.56146917230895
OR7A10	3.91210594455542
DDB1	7.88903069978273
CHRNA10	3.89354530534667
STYK1	5.46698430440063
MYO9B	5.12616785117811
CCNI	11.0507035936497
MMP7	9.8836875794313
EP300	6.94166439776257
CRNKL1	6.97168422478972
C9orf45	3.58856630654562
XAB2	4.69417719552106
RTN1	6.3641905067934
HIC2	4.54236877577246
TBX10	4.00272661448667
CENPQ	5.39713419054794
UTY	3.55792441280218
OR2W1	3.235106486012
ATP5G2	10.1584779461974
ZEB1	4.84375230903648
ZG16	3.5166912003078
ERG	4.68236659904196
PARN	7.93574983650962
SOD2	8.16318268568902
JOSD3	7.7815099997718
ADAM5P	3.46309650664028
CHD9	7.09991086797239
hCG_40738	5.38139600915068
STK16	6.34692513942644
PDE1C	3.84951439015149
SEMA4D	8.19162509682207
AGPAT1	6.94018677427829
TOB2	6.51176001177896
BANK1	5.35176609626281
MAP3K3	6.12180587756673
MAX	7.03790851273069
GRM2	4.1745417232881
OSBPL8	9.12533715928562
PROSC	7.01489224207443
NR4A2	9.399057394951
RICS	6.38199569730645
PIR	7.05770192127961
PPCS	9.08149384050657
IPO9	6.89785108635317
LONP1	8.60891522520575
EVC	5.00970528368783
CXCL13	7.73750967906155
SCYL3	5.74915662873999
KIAA1199	10.4841153303332
SORL1	7.90694700481519
NAT10	7.4149088075207
CHD1	8.07345401164798
SYN3	4.08292946646364
DMC1	4.34083892506331
SLC22A2	3.91557507347208
SERPINF1	9.56150902757233
C20orf27	6.21728622301575
OR7A17	3.39088332493014
RPS6KA5	5.62123752684201
LHB	3.53117475417008
TAOK3	7.1391600473438
STK25	7.18880719380139
SLC12A4	4.11918288728412
BRCA1	5.23991458991852
GBL	6.30499433932644
C14orf108	8.4293344566047
CDC25B	8.34110695833236
BMP3	3.70859127208608
MAP1LC3C	3.87542446222106
TMEM180	5.88726078366383
CRYGC	3.89638839589899
SLK	8.72846882571982
POU3F1	3.56372101553645
C20orf32	3.84658238217526
USP52	5.28756979365775
HIGD1B	4.41303491992385
BAZ1B	7.40378584260293
USP6NL	6.64298726442176
