Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D01_588308
Composite Element REF	Signal
AACS	7.71580230953533
FSTL1	8.83353444911902
ELMO2	5.84206888489943
CREB3L1	3.99827432630982
RPS11	10.2040548100828
PNMA1	9.49169825777306
MMP2	7.49218118663104
SAMD4A	4.27003349025106
SMARCD3	4.1761774110602
A4GNT	3.97778466706203
C9orf39	3.44842853006882
PKNOX2	4.21822634816086
RALYL	3.62491278355706
ZHX3	5.06244393714367
ERCC5	6.88578451884535
RXFP3	4.06812238885228
APBB2	4.33028216739861
BBOX1	3.05807019375954
PRO0478	3.36691446345405
GCSH	9.4227188699566
XDH	3.84500930476862
EDN1	5.20685876265028
MTERF	8.05950042631265
PDCL3	8.30707806884711
CLK4	5.86090283065277
KCNG1	3.70788041687605
CXCR4	8.96535671371462
DECR1	9.64696778160667
SALL1	3.75892463807698
PTPRR	3.48618234564551
CADM4	3.67985439258048
IRAK1	10.4849441876987
CFHR5	3.54988781621894
HNRPD	9.5345381123491
TMSB10	12.5447739288205
CXCL3	4.64904671614318
LMAN1	3.99626900362246
SUHW1	4.48507849568523
CHD8	6.89189038500012
SUMO1	9.09610901496931
GP1BA	3.57394829994641
OR7A10	3.98921378712568
DDB1	7.60206064987866
CHRNA10	3.72509348489553
STYK1	6.5443270417222
MYO9B	5.04099148256634
CCNI	10.5764133012333
MMP7	8.49092014428708
EP300	7.48817651720134
CRNKL1	5.98566781356695
C9orf45	3.49788082299174
XAB2	4.66242423413516
RTN1	6.04625541730848
HIC2	4.75144741995815
TBX10	4.0126669888198
CENPQ	5.83000806350702
UTY	5.21036412132559
OR2W1	3.2830757736667
ATP5G2	10.7546658186047
ZEB1	4.51369374673463
ZG16	3.63004377551719
ERG	4.44126352461416
PARN	8.12563465554945
SOD2	7.48871860047601
JOSD3	8.52629577269497
ADAM5P	3.43769975889021
CHD9	7.13253973629856
hCG_40738	6.30610717689976
STK16	6.9160189294201
PDE1C	3.93164385800707
SEMA4D	7.28950420943586
AGPAT1	6.67695715595783
TOB2	6.8477524411693
BANK1	6.21885571359464
MAP3K3	5.7417136430846
MAX	6.91576889551421
GRM2	4.34351932374543
OSBPL8	8.74284815261767
PROSC	8.4827549134657
NR4A2	6.11616577744762
RICS	6.73042359523557
PIR	9.05085949987684
PPCS	9.1959857966617
IPO9	6.5401253182737
LONP1	8.28996792598216
EVC	4.14701296133396
CXCL13	9.34178469466
SCYL3	6.2372457076257
KIAA1199	6.69705271439281
SORL1	8.04772868570726
NAT10	8.28190838433056
CHD1	7.92336847444864
SYN3	3.82307826202962
DMC1	4.28571418811714
SLC22A2	4.08888251687301
SERPINF1	9.4760171087474
C20orf27	6.36221607655169
OR7A17	3.28364950691063
RPS6KA5	7.98230001746884
LHB	3.52739264726903
TAOK3	6.00247906252847
STK25	6.9876291126576
SLC12A4	3.93206585272522
BRCA1	5.96743727659591
GBL	7.71678053447845
C14orf108	8.54389924464256
CDC25B	7.55260437379251
BMP3	5.47775307945711
MAP1LC3C	3.86800590677328
