Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_C02_588284
Composite Element REF	Signal
AACS	6.98589082673807
FSTL1	10.2729808237836
ELMO2	6.1233263875446
CREB3L1	4.25492638767624
RPS11	10.1015924721364
PNMA1	8.10447366348813
MMP2	8.99632840384418
SAMD4A	4.62565489436371
SMARCD3	5.01748367211476
A4GNT	3.96136949753889
C9orf39	3.86899300434431
PKNOX2	4.31449681145619
RALYL	3.82800773779964
ZHX3	5.07329088388819
ERCC5	6.85628474755652
RXFP3	4.03342703459062
APBB2	5.00952743914037
BBOX1	3.74279049766742
PRO0478	3.03350416456283
GCSH	7.99671035177664
XDH	5.51141402400954
EDN1	6.79209263380983
MTERF	7.73790737327149
PDCL3	9.03199055476134
CLK4	6.32430417565149
KCNG1	4.49440504784671
CXCR4	9.74709174053073
DECR1	9.33501600372738
SALL1	3.70103597782378
PTPRR	3.71971081813337
CADM4	3.92583383502008
IRAK1	9.35361529959318
CFHR5	3.68969976849244
HNRPD	9.01882874011852
TMSB10	13.0451463941942
CXCL3	5.13780933902743
LMAN1	4.08793169093079
SUHW1	4.18428152951538
CHD8	6.24733142517176
SUMO1	8.62233093164676
GP1BA	3.45003006099912
OR7A10	3.7518705002918
DDB1	8.015241484034
CHRNA10	4.21820136298404
STYK1	4.76956780283829
MYO9B	5.20810186019417
CCNI	10.5481678716285
MMP7	6.86968918999249
EP300	7.89844076666718
CRNKL1	6.90614239175088
C9orf45	3.72086546899156
XAB2	4.74076597556339
RTN1	7.02093230868978
HIC2	4.83391657234583
TBX10	3.91882348457172
CENPQ	5.81280707066593
UTY	5.06999741628918
OR2W1	3.39829186582922
ATP5G2	10.5939694919181
ZEB1	5.30711657400446
ZG16	3.63783940232758
ERG	5.30120255501164
PARN	8.25710465726944
SOD2	8.0668072523508
JOSD3	8.59376096386853
ADAM5P	3.61300018035174
CHD9	6.87404910641931
hCG_40738	5.18242815041166
STK16	6.49425793077249
PDE1C	3.91215867740813
SEMA4D	7.52425055977849
AGPAT1	6.49569488452444
TOB2	6.71194681152397
BANK1	4.7236143905691
MAP3K3	6.29881618979606
MAX	6.66175135485889
GRM2	4.01554385383258
OSBPL8	9.92690347432516
PROSC	6.92148522317443
NR4A2	4.90851301577507
RICS	6.58024407370422
PIR	7.54610469072033
PPCS	10.0937647459010
IPO9	6.35398525968682
LONP1	7.9886796599949
EVC	5.07698892476742
CXCL13	8.06368752630656
SCYL3	5.8945302606036
KIAA1199	8.20219573122584
SORL1	9.44882271644693
NAT10	7.57721443708316
CHD1	7.62442656985279
SYN3	4.15383511002668
DMC1	4.31418934523874
SLC22A2	3.9935044911904
SERPINF1	10.3755624953058
C20orf27	5.91655002791015
OR7A17	3.40746383241908
RPS6KA5	6.26267984869835
LHB	3.63134127525809
TAOK3	6.4532759097712
STK25	6.32811690877462
SLC12A4	4.08107085693080
BRCA1	4.73008096296751
GBL	6.77270329319846
C14orf108	8.32339676684429
CDC25B	8.02796739768217
BMP3	3.50489061775313
MAP1LC3C	3.77514184994925
TMEM180	4.0288574202733
CRYGC	3.76284277170578
SLK	7.87035502972493
POU3F1	3.72724524196144
C20orf32	3.6282430492207
