Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_D07_588312
Composite Element REF	Signal
AACS	7.85426508909364
FSTL1	10.5812192044275
ELMO2	5.71315112267553
CREB3L1	4.67131030173882
RPS11	10.1868661023170
PNMA1	8.34238262452185
MMP2	9.07633969480328
SAMD4A	4.76543685456368
SMARCD3	5.33273084854651
A4GNT	3.86217118599126
C9orf39	3.37467071973798
PKNOX2	4.38194646970035
RALYL	3.64937043629548
ZHX3	5.08866823942526
ERCC5	7.0010239651985
RXFP3	4.05493695987343
APBB2	4.93394606421128
BBOX1	3.7315141894021
PRO0478	3.16806118770548
GCSH	7.90367924959267
XDH	4.63686973808602
EDN1	5.23101340841903
MTERF	6.40789983297601
PDCL3	8.19457953117307
CLK4	6.59912909765982
KCNG1	3.71973253965073
CXCR4	9.47885723998697
DECR1	8.90761017498416
SALL1	3.53810614483928
PTPRR	3.97992099258692
CADM4	3.65599216079893
IRAK1	8.87106137213913
CFHR5	3.67348021479343
HNRPD	8.9274310338376
TMSB10	13.0370587561341
CXCL3	5.93268811701487
LMAN1	4.33583315217702
SUHW1	3.76563777040887
CHD8	6.57977639810872
SUMO1	8.63016523304702
GP1BA	3.64380423632011
OR7A10	3.78656627209063
DDB1	7.75102155860241
CHRNA10	3.89788108373672
STYK1	5.78256096550303
MYO9B	4.65111718342385
CCNI	10.8382648689176
MMP7	10.0620680483691
EP300	7.5398168256846
CRNKL1	6.29967407614125
C9orf45	3.41551200736156
XAB2	4.36030405356017
RTN1	4.12147154544178
HIC2	4.37764597336056
TBX10	3.95885047914229
CENPQ	4.79346995542335
UTY	3.81820826045834
OR2W1	3.20531658445492
ATP5G2	10.6217016796580
ZEB1	5.07598225716915
ZG16	3.89463192914382
ERG	4.81383793673215
PARN	7.89244285372044
SOD2	8.01926001719305
JOSD3	8.14810352161028
ADAM5P	3.55431459012542
CHD9	7.28823455754926
hCG_40738	4.81323866970075
STK16	6.92670869976343
PDE1C	3.73542886775167
SEMA4D	6.20100079622804
AGPAT1	6.20816691979301
TOB2	6.64942482117237
BANK1	4.7610366066198
MAP3K3	5.6480035624922
MAX	6.71345301363592
GRM2	4.17287931172729
OSBPL8	9.06271681517681
PROSC	7.081738600639
NR4A2	6.68317314669461
RICS	8.09136387507938
PIR	8.33445047597054
PPCS	9.32734527136894
IPO9	6.26599797461884
LONP1	6.93673084314507
EVC	4.70991520461107
CXCL13	3.99732835705488
SCYL3	5.92923095324174
KIAA1199	7.48319716814257
SORL1	7.95925459617109
NAT10	7.21522577391011
CHD1	6.8006415357089
SYN3	4.30307962009084
DMC1	4.41825269820784
SLC22A2	3.90358888106685
SERPINF1	9.66683489467952
C20orf27	5.48332536465800
OR7A17	3.59391616630163
RPS6KA5	6.45015343384915
LHB	3.58884396788579
TAOK3	6.4917989169555
STK25	6.57588104023261
SLC12A4	4.18668025109492
BRCA1	5.05983045640874
GBL	6.7422244112996
C14orf108	8.58738965549874
CDC25B	7.54832558724779
BMP3	3.93447438468098
MAP1LC3C	3.75958803334901
TMEM180	4.20380471193555
CRYGC	3.85163363122967
SLK	9.14697459661199
POU3F1	3.7167573034376
C20orf32	3.67630791897466
USP52	6.1698935091643
HIGD1B	4.54373479149972
BAZ1B	7.07334351830722
USP6NL	6.10434696273861
SLCO2B1	5.35878505455679
ABCD4	4.99698293748924
DIMT1L	6.60683791131056
SLC25A46	8.4064247047007
LARP7	7.79387325357123
TEK	4.24770055090643
CD160	3.89179834810032
TERF2IP	9.09921937425098
PHF20	6.24785379436497
COL1A1	9.021731813313
KIAA0090	7.16547671790561
GTPBP1	5.0903883531651
GRK5	5.33068003963349
AP1S2	5.94005196234233
RAB33B	4.93770866917516
CA11	4.27050992257814
ALDOC	8.22293578417684
NUDT1	6.24627437459711
ZNF212	5.73673460297498
ACBD3	8.61932993708741
ZNF83	5.52834369484214
PRDM2	5.33271336879424
GDPD5	4.51132473894115
PDCD4	7.22049080947842
CEP350	5.93033002515332
FOXP3	3.62876268170025
SMYD3	8.04198510254313
CST7	6.75839433247926
SELL	6.88811632374548
CIAO1	6.8607774490203
LGI2	4.23662402356473
WDR45	6.94719423144986
ANKRD6	6.75266433479924
LTBP4	4.59889814949355
PSCD3	3.67258655152447
PYY	4.08210468818685
KCNC1	3.42533398838383
SIRT6	4.84209402078287
CCL19	5.83345994259857
ARHGEF9	5.02680134235482
ABR	5.57283493354235
C10orf22	7.80610637756209
STK17A	6.62688150572734
FOXE1	7.06449789977039
GML	3.41494363669382
CNGA3	3.06440119214531
CD38	6.33512507448822
ZDHHC6	8.35658038661476
NEFH	3.81951518195600
PGBD5	4.51110174344824
CTDSP2	7.89962770157251
RMND5B	5.67222774397978
ZNF257	3.35561537200511
DUSP4	4.99755302062661
FLJ22167	5.89598587049038
EXOSC7	7.68777131652192
ROR2	4.77203593236733
FOXM1	5.64019792858943
ZBTB48	5.04469460950445
BUD31	8.96320416533374
MAOA	8.75423825535447
CCDC41	4.66415818739902
TNNT3	4.27394040633982
FBXO11	5.98085526204155
GYPC	6.90626985695876
PLIN	3.79858669831877
RFXAP	3.85674152354748
C6orf15	4.14451821906607
RNF4	8.55542326043408
F8A1	8.58046940125083
PPP1R3D	5.88428046734026
GRB2	8.52289935666025
TPM3	3.53784661936841
SYT13	3.76114214422775
EPB42	3.90122294512702
RP5-1077B9.4	5.02044422025936
EIF1	11.6501806244890
CETN3	7.65453890243082
FPGT	5.97108285741755
PRY	3.90121520995547
NTHL1	5.74960043024346
POLR2B	8.89209844275564
RPS28	12.1700795482398
GDF10	3.67829183266129
COQ9	8.1194651905265
P2RX3	3.20033140962402
GCC2	7.29510721345385
RARRES3	7.03322435971663
PLXNA1	6.98119890145238
WBP4	5.22329323086278
KIAA0100	6.28801680680153
