Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F03_543656
Composite Element REF	Signal
AACS	7.20006150195376
FSTL1	10.4922036843131
ELMO2	6.28737632208494
CREB3L1	4.7456824268964
RPS11	10.2448729114856
PNMA1	7.51057500902181
MMP2	9.51469527534465
SAMD4A	4.57623394175394
SMARCD3	5.73494017805391
A4GNT	4.02326891115416
C9orf39	3.60262173686649
PKNOX2	4.69416103845502
RALYL	3.66478253864442
ZHX3	5.05762276924982
ERCC5	6.62737234828033
RXFP3	3.97488174896894
APBB2	4.91879901382779
BBOX1	3.87091448892236
PRO0478	3.24304407453048
GCSH	8.25256467078105
XDH	4.64779809037321
EDN1	8.03041052451897
MTERF	5.94914481249162
PDCL3	7.6944526881677
CLK4	6.90902417032359
KCNG1	5.30402329734257
CXCR4	8.0695589205029
DECR1	9.00045018033524
SALL1	3.61833351967529
PTPRR	3.79476784555646
CADM4	3.62779579962307
IRAK1	9.46731274954484
CFHR5	3.50259292492426
HNRPD	8.92532932717385
TMSB10	12.6792879762199
CXCL3	7.60697703400893
LMAN1	4.29026372065319
SUHW1	4.05412981038996
CHD8	6.1143644575228
SUMO1	8.00873156825672
GP1BA	3.55109321132194
OR7A10	3.9851074363818
DDB1	8.26849260006958
CHRNA10	3.95872784156229
STYK1	4.47224373998066
MYO9B	5.02102468614279
CCNI	11.1529077480622
MMP7	9.07007523700355
EP300	7.1414496891003
CRNKL1	6.41812399261993
C9orf45	3.85058756156274
XAB2	4.09051370130322
RTN1	5.20933109472754
HIC2	4.99281406853866
TBX10	3.79419432329123
CENPQ	4.76222944232563
UTY	3.8667146618789
OR2W1	3.30555065667761
ATP5G2	10.8663979197050
ZEB1	4.84164457882717
ZG16	3.72635257487263
ERG	5.40513704738624
PARN	8.13909242482166
SOD2	7.3254414777047
JOSD3	8.82975147366775
ADAM5P	3.38318549128964
CHD9	6.82770243989244
hCG_40738	4.77832823525931
STK16	5.76591997653053
PDE1C	4.10493286045087
SEMA4D	6.25869728395546
AGPAT1	6.64288219160499
TOB2	6.06991467597828
BANK1	5.59695485913955
MAP3K3	6.23575219318564
MAX	5.65125648145576
GRM2	3.91903760861638
OSBPL8	9.10908681517448
PROSC	6.74923009355826
NR4A2	7.57759593867111
RICS	5.70088087878863
PIR	5.99570936624502
PPCS	9.72542055666258
IPO9	7.24367287620064
LONP1	7.65873405188853
EVC	4.81010176751443
CXCL13	5.8855055436046
SCYL3	6.18733606309034
KIAA1199	7.7735175425256
SORL1	7.7707825381502
NAT10	7.05895290490463
CHD1	7.95664016549679
SYN3	4.03905039636275
DMC1	4.28914478286568
SLC22A2	3.81789873521832
SERPINF1	9.8682669000437
C20orf27	5.87640865344162
OR7A17	3.46827351984433
RPS6KA5	5.96921883357354
LHB	3.48597495458427
TAOK3	6.1136355105118
STK25	5.87001490268249
SLC12A4	4.09433433585528
BRCA1	4.59731128336696
GBL	6.17676604841252
C14orf108	8.29619408621819
CDC25B	8.25026443893057
BMP3	3.47807821807194
MAP1LC3C	3.92712770842915
TMEM180	4.39061913499806
CRYGC	3.72377435452671
SLK	8.21906184572203
POU3F1	3.77358112540103
C20orf32	3.71908002048605
USP52	6.27828539129009
HIGD1B	5.3300040430321
BAZ1B	6.8831238210774
USP6NL	5.17543655546854
SLCO2B1	6.36490302855627
ABCD4	4.92681653918424
DIMT1L	6.81452594524581
SLC25A46	8.38338538697746
LARP7	7.5211653698694
TEK	4.73856565863854
CD160	3.81023957578704
TERF2IP	8.51343750287322
PHF20	6.70379883262067
COL1A1	8.712679803135
KIAA0090	7.23203454550795
GTPBP1	4.81143074976876
GRK5	6.02613537372653
AP1S2	7.64951220548135
RAB33B	4.4529284220441
CA11	4.42808844148538
ALDOC	6.29975804835174
NUDT1	5.95219593102153
ZNF212	5.6376975867795
ACBD3	8.40824783876038
ZNF83	7.95973261387251
PRDM2	5.65526877225086
GDPD5	5.24402231797309
PDCD4	6.58817568335114
CEP350	7.20831042761901
FOXP3	3.34759460713311
SMYD3	7.61610614466276
CST7	5.49377630738084
SELL	6.86874947188546
CIAO1	7.10130536693804
LGI2	4.20581382775366
WDR45	6.87253097929192
ANKRD6	6.57757046995557
LTBP4	4.80139211512562
PSCD3	3.56482004193014
PYY	3.71568900403644
KCNC1	3.31023749324988
SIRT6	4.42733279548327
CCL19	6.0485608749786
ARHGEF9	5.03307796570931
ABR	5.81091371478818
C10orf22	7.58986575418628
STK17A	5.85289501803702
FOXE1	4.64930957981922
GML	3.41201983356855
CNGA3	3.25933568186852
CD38	5.00879686773464
ZDHHC6	7.77390523378682
NEFH	3.94128953607654
PGBD5	5.05931772219053
CTDSP2	7.80093079785367
RMND5B	5.69364976520207
ZNF257	3.1876228588074
DUSP4	5.82323233252164
FLJ22167	5.02555054029061
EXOSC7	6.91686715393077
ROR2	4.0993452417922
FOXM1	5.93400448598825
ZBTB48	4.7954797707864
BUD31	7.68669179928464
MAOA	8.04505238128888
CCDC41	4.90778105329396
TNNT3	4.03443561601837
FBXO11	6.63774898685457
GYPC	7.25024564170655
PLIN	3.66594696835412
RFXAP	3.81533296376423
C6orf15	3.88831693598790
RNF4	9.42143091249853
F8A1	8.79328091711849
PPP1R3D	5.09483139524087
