Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A07_588166
Composite Element REF	Signal
AACS	7.6489892460309
FSTL1	9.55398439999065
ELMO2	6.23321093780488
CREB3L1	4.41143999910057
RPS11	10.0331514166835
PNMA1	9.26578799897131
MMP2	7.7672337838934
SAMD4A	4.25663903602103
SMARCD3	6.17832733022426
A4GNT	3.95463270306017
C9orf39	3.5783648590989
PKNOX2	4.31365945886837
RALYL	4.0178005213576
ZHX3	5.26831768681208
ERCC5	6.74263211454669
RXFP3	3.77762976425493
APBB2	4.67678675145977
BBOX1	3.21026378051532
PRO0478	3.30434101545217
GCSH	8.95036802796638
XDH	3.92744948091073
EDN1	5.53035680152416
MTERF	7.5637335818985
PDCL3	8.6210048352923
CLK4	5.72800778016743
KCNG1	4.13875707647844
CXCR4	9.00900471236472
DECR1	8.2396496571209
SALL1	3.87378878177788
PTPRR	3.58995602157056
CADM4	3.82044183753673
IRAK1	9.82570929522727
CFHR5	3.58590546000283
HNRPD	9.2270926586536
TMSB10	12.9133719144724
CXCL3	4.38805789526794
LMAN1	3.89779672027469
SUHW1	3.84577208688606
CHD8	7.1204967187599
SUMO1	8.83380348985429
GP1BA	3.67572869591998
OR7A10	3.81641447189211
DDB1	8.13201924914762
CHRNA10	3.90920184113436
STYK1	5.32771545120473
MYO9B	4.74716756474564
CCNI	10.7725711142202
MMP7	7.05217415352708
EP300	7.19572678750448
CRNKL1	6.52071206750829
C9orf45	3.81315331946268
XAB2	4.33308708891493
RTN1	4.75407286428959
HIC2	5.0270813828686
TBX10	4.05814453077033
CENPQ	5.42091998065303
UTY	3.4146722048812
OR2W1	3.27850022018085
ATP5G2	10.6298471771135
ZEB1	4.22299001097189
ZG16	3.6250414761599
ERG	4.67759180015963
PARN	8.70125590209847
SOD2	7.89759732968492
JOSD3	8.89645491820987
ADAM5P	3.42257965552101
CHD9	6.58466872444465
hCG_40738	5.02959239625442
STK16	6.2349207551648
PDE1C	3.77740191575038
SEMA4D	7.41637490421143
