Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B09_588278
Composite Element REF	Signal
AACS	7.72054863485732
FSTL1	8.54499661321615
ELMO2	6.38066860393273
CREB3L1	4.07788555905838
RPS11	10.2653510715781
PNMA1	7.91927643677235
MMP2	7.38073029177307
SAMD4A	4.56784516114929
SMARCD3	6.5510551801432
A4GNT	3.86918932599092
C9orf39	4.0459186016941
PKNOX2	4.20685846463126
RALYL	3.5867413094372
ZHX3	5.05511277045892
ERCC5	6.18670503264122
RXFP3	4.01363208986607
APBB2	5.0406136405226
BBOX1	5.05535426815061
PRO0478	3.16564048166012
GCSH	9.00133723310928
XDH	4.0704544505187
EDN1	7.39305980368762
MTERF	7.81689332000413
PDCL3	9.15729249745946
CLK4	7.8453480072194
KCNG1	4.74770948937794
CXCR4	7.24206691232877
DECR1	7.6046543447067
SALL1	3.68543053866704
PTPRR	3.60405354145834
CADM4	3.71710510205873
IRAK1	9.22299177920263
CFHR5	3.70087759888821
HNRPD	8.5636715635118
TMSB10	12.8483839684656
CXCL3	4.24836193051867
LMAN1	4.48898662474565
SUHW1	3.78383194287933
CHD8	7.05731289437185
SUMO1	8.6983347030751
GP1BA	3.78416034812861
OR7A10	3.80168122683249
DDB1	8.46765032317667
CHRNA10	4.00953290635028
STYK1	3.79989807327605
MYO9B	4.75124635713242
CCNI	11.1696316074273
MMP7	8.44449008343791
EP300	7.76769175812356
CRNKL1	7.9332760700719
C9orf45	3.84816798093081
XAB2	4.96285815349271
RTN1	5.65398945422153
HIC2	5.05435375103604
TBX10	4.14812788832737
CENPQ	5.98824382382219
UTY	3.63363960778778
OR2W1	3.18305590332513
ATP5G2	10.1269399498686
ZEB1	4.49867965852051
ZG16	3.72509234043028
ERG	4.2859817986167
PARN	8.8357481035926
SOD2	7.47324347908624
JOSD3	8.0932199205094
ADAM5P	3.4836128426801
CHD9	7.4174092102807
hCG_40738	6.54022478360674
STK16	6.37405019617399
PDE1C	3.95368368883388
SEMA4D	7.48399593465588
AGPAT1	6.42020516880205
TOB2	6.98157921414948
BANK1	3.72314481057491
MAP3K3	5.864850750996
MAX	7.19935423311941
GRM2	4.24594491164923
OSBPL8	8.85780041390389
PROSC	7.347592309411
NR4A2	4.62565333383408
RICS	6.75935945095388
PIR	9.25092782407239
PPCS	9.54392932550642
IPO9	7.14618066833687
LONP1	8.58570183664427
EVC	4.51995700653489
CXCL13	6.863278664845
SCYL3	7.21471709282364
KIAA1199	6.84957537851834
SORL1	8.17815496813066
NAT10	8.5515090238944
CHD1	8.36515274198736
SYN3	4.13432588375315
DMC1	4.21073643622661
SLC22A2	3.90340500087262
SERPINF1	9.20844737198401
C20orf27	6.8957009114559
OR7A17	3.48458187470999
RPS6KA5	6.74711418081492
LHB	3.81383431682628
TAOK3	5.66825169221744
STK25	6.65481824522812
SLC12A4	4.20750189327518
BRCA1	5.90474596093159
GBL	7.08870899502097
C14orf108	9.45211628600252
CDC25B	9.7056824777262
BMP3	3.75525170270445
MAP1LC3C	3.90851347387994
TMEM180	4.49388524844570
CRYGC	4.02688507324423
SLK	7.92696616207612
POU3F1	3.78972387128084
C20orf32	3.53907773657826
USP52	6.80980089759638
HIGD1B	4.29395709816011
BAZ1B	8.18214350333743
USP6NL	5.95698457089918
SLCO2B1	4.89428498698254
ABCD4	4.95989486509631
DIMT1L	7.14063929708703
SLC25A46	8.41298196082747
LARP7	7.60330996832869
TEK	4.05456159382971
CD160	3.86966622451981
TERF2IP	9.31154309249638
PHF20	6.12600506064152
COL1A1	7.4083541031254
KIAA0090	8.03031520958835
GTPBP1	4.98127051173318
GRK5	5.57446210269796
AP1S2	5.76746970979863
RAB33B	5.50562125995443
CA11	5.80597092826158
ALDOC	8.96987383837665
NUDT1	6.40897196603647
ZNF212	6.67859422934794
ACBD3	8.8847180341692
ZNF83	3.58126426529086
PRDM2	5.9408040233536
GDPD5	4.51340569510018
PDCD4	7.31980826234144
CEP350	6.86576790733633
FOXP3	3.59364631757601
SMYD3	7.91317155998477
CST7	4.78631879008691
SELL	4.66127250759172
CIAO1	7.05036399515063
LGI2	3.82492194525287
WDR45	7.42127218080312
ANKRD6	5.16054283166498
LTBP4	5.54453859339721
PSCD3	3.69831000719067
PYY	4.03078986942098
KCNC1	3.51826811075592
SIRT6	5.16029923350121
CCL19	4.87614425666874
ARHGEF9	4.33670621931460
ABR	5.35267927670631
C10orf22	8.4007937232817
STK17A	5.99083168527462
FOXE1	10.3830868518137
GML	3.43972995622748
