Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A04_588148
Composite Element REF	Signal
AACS	7.1689689197937
FSTL1	10.5436024131574
ELMO2	5.71224538549517
CREB3L1	4.16881134713349
RPS11	10.3547154807948
PNMA1	7.72610930787316
MMP2	6.41940757437268
SAMD4A	4.09185631069774
SMARCD3	6.2621203725236
A4GNT	3.83969012412093
C9orf39	3.44742430485218
PKNOX2	4.57901375602320
RALYL	3.4725153380041
ZHX3	5.08005873692271
ERCC5	7.08999139939072
RXFP3	4.08178751518210
APBB2	3.71083596023246
BBOX1	4.15878532552568
PRO0478	3.17787282135738
GCSH	8.76898346614346
XDH	4.21080018830484
EDN1	6.49668131311335
MTERF	8.0021025029711
PDCL3	9.07429747034122
CLK4	7.13645908601226
KCNG1	4.39162644397276
CXCR4	7.40680199550877
DECR1	9.60900521064443
SALL1	3.52012515181779
PTPRR	3.76740504872048
CADM4	4.07584568641302
IRAK1	9.85487361330632
CFHR5	3.7645752092792
HNRPD	6.48503413733969
TMSB10	12.7252335189723
CXCL3	4.73587949336702
LMAN1	4.24520479582297
SUHW1	4.6118350821653
CHD8	6.66826770917922
SUMO1	9.36893441783353
GP1BA	3.37133131577525
OR7A10	4.01155657127726
DDB1	8.07683451247053
CHRNA10	4.06777094971953
STYK1	6.23870721484659
MYO9B	4.76501874661069
CCNI	10.6712793070940
MMP7	6.45066821279498
EP300	8.71571256644881
CRNKL1	8.2699078319221
C9orf45	3.59445981288524
XAB2	4.71512234302273
RTN1	4.19110410763118
HIC2	6.02407541000806
TBX10	3.86072659248762
CENPQ	5.40605393464071
UTY	3.50751484454375
OR2W1	3.05269009567249
ATP5G2	10.9622569789595
ZEB1	3.90774667757786
ZG16	3.60190847420217
ERG	4.92260463574143
PARN	8.26480007402907
SOD2	5.86005041854550
JOSD3	8.07646480152213
ADAM5P	3.37859994025637
CHD9	7.78435487899673
hCG_40738	6.80458314389179
STK16	6.89779755101117
PDE1C	3.93696819774043
SEMA4D	7.0124893385167
AGPAT1	7.20734787790471
TOB2	7.26730905889882
BANK1	4.98861015000340
MAP3K3	5.97002547113514
MAX	6.78658082853356
GRM2	4.18400421182166
OSBPL8	9.42819964530168
PROSC	7.24670465126493
NR4A2	6.67890784253172
RICS	7.83782626008158
PIR	6.97471548635054
PPCS	10.7632186492141
IPO9	7.44457943162734
LONP1	8.08485557679157
EVC	4.86995947742832
CXCL13	7.79528851813625
SCYL3	7.1022714545414
KIAA1199	3.59571447602436
SORL1	7.58650149756646
NAT10	7.48908588035878
CHD1	7.67483114599258
SYN3	4.0151254198189
DMC1	4.54127129667093
SLC22A2	3.78125754595861
SERPINF1	7.66979186159928
C20orf27	7.47395986099504
OR7A17	3.46681806275271
RPS6KA5	6.63918987532552
LHB	3.4970611947394
TAOK3	6.09992932252551
STK25	7.51433349509782
SLC12A4	4.06396296615967
BRCA1	5.07686402655245
GBL	7.13631122270202
C14orf108	8.46903200915375
CDC25B	8.19355393489335
BMP3	4.16795801410044
MAP1LC3C	3.79547293369341
TMEM180	4.71657332549723
CRYGC	3.94450609297245
SLK	9.03840027484894
POU3F1	4.19992675377113
C20orf32	3.63984035561412
USP52	6.71630108301133
HIGD1B	5.48728081225087
BAZ1B	8.24053558579111
USP6NL	7.40796192284188
SLCO2B1	4.55572340312349
ABCD4	4.84903765671048
DIMT1L	7.18709498372639
SLC25A46	8.31285415709695
LARP7	8.03631851884032
TEK	4.31522890644379
CD160	4.04265665331741
TERF2IP	9.2579015499542
PHF20	7.53529507614866
COL1A1	6.15471630138588
KIAA0090	6.68898882246256
GTPBP1	5.05713107012786
GRK5	4.87069498254412
AP1S2	6.59203848663062
RAB33B	5.15267925674247
CA11	5.04761903314319
ALDOC	6.18230629559995
NUDT1	7.33086560287274
ZNF212	6.50503774528849
ACBD3	8.42813484136119
ZNF83	7.81193780314211
PRDM2	6.01619874272982
GDPD5	4.69881814850505
PDCD4	8.97987809127367
CEP350	7.3875144950206
FOXP3	3.56501477619012
SMYD3	6.92848439976898
CST7	5.41061477151044
SELL	4.87984346547147
CIAO1	7.16598895444772
LGI2	4.18971810475947
WDR45	7.523084034326
ANKRD6	6.78417922316579
LTBP4	6.61262736581088
PSCD3	3.66430035577402
PYY	3.94889911833831
KCNC1	3.38614575497692
SIRT6	5.10305260202676
CCL19	6.58970017312535
ARHGEF9	5.50297780674901
ABR	6.10223973201057
C10orf22	8.34120810282992
STK17A	5.10068318979303
FOXE1	5.43626166664138
GML	3.33409088850771
CNGA3	3.1487913739697
CD38	4.17731307709745
ZDHHC6	7.62572801443097
NEFH	7.66530164902321
PGBD5	6.42228617057833
CTDSP2	8.69610347866866
RMND5B	7.23575526033546
ZNF257	3.6933466793033
DUSP4	4.64502926729679
FLJ22167	6.48558673760391
EXOSC7	7.57410934504747
ROR2	3.92223667692786
FOXM1	5.65962882242951
ZBTB48	5.80051011453056
BUD31	9.2811458758004
MAOA	9.78830452878661
CCDC41	5.88153213852546
TNNT3	5.63580246481625
FBXO11	6.74857379125805
GYPC	6.87120880452883
PLIN	3.76609786951248
RFXAP	4.43226636732972
C6orf15	4.30323169250595
RNF4	8.47720315307314
F8A1	9.34409892194437
PPP1R3D	6.13584218450666
GRB2	7.71666510809641
TPM3	3.28658285956558
SYT13	3.93998616524062
EPB42	3.99092479881441
RP5-1077B9.4	5.76776388111775
EIF1	10.8116709242186
CETN3	8.54708456636489
FPGT	6.62630481965377
PRY	3.74627883905257
NTHL1	5.37127361240374
POLR2B	9.288403270653
RPS28	12.7103954162500
GDF10	3.70344474811209
COQ9	8.06217232531643
P2RX3	3.05753601099279
GCC2	7.59778660601614
RARRES3	5.82799775923214
PLXNA1	8.81933595856433
WBP4	6.40647284461086
KIAA0100	6.36502161444106
PMF1	7.68104426989446
HS2ST1	6.98225640334433
CRELD2	7.96127330842132
C8G	3.2897090734732
CD82	6.8041266873679
PMM1	6.88440438199846
CBLL1	5.95534119387333
LIM2	3.45432201329306
VAX2	4.59804545573502
SETDB1	6.49610380382872
LRAP	3.59318638724184
GCLM	6.54343178999752
CPEB3	4.64044232949067
PPM1A	7.20495002998875
INTS1	5.34692432808971
MMP16	3.47730964664957
CAMTA1	6.61774399127271
SAMSN1	6.26141620245665
DRD3	3.32539330163575
GMPPA	6.03018350969387
C11orf73	7.0339619863706
AIPL1	4.35009883979223
PTP4A2	9.56806930126793
IL24	3.53617190732606
BDKRB1	3.91206655359324
HPCA	4.10264486281118
MLF1	7.80785103126432
SEC14L1	6.38521638687774
CHFR	7.00986568374052
EMILIN1	4.01598036606771
THADA	7.54536209948426
TAF12	6.56981957480008
NDUFS4	8.80007715949769
ID1	10.0421908931730
PIK3CB	5.33782222368333
COL18A1	6.61280889297916
PDZD3	3.49107739130178
TBC1D17	4.91398641094125
COX8A	10.2712136593392
CDCA4	7.4670455203014
C2orf44	6.34847206938424
C9orf16	7.41181895409596
ERBB2IP	9.52008017907208
EMX2	3.24432579596987
FUS	7.94178204806992
NIPSNAP3B	4.15800326701666
TF	6.6650370193487
CXorf56	5.66287814981712
CLCN4	4.85108542590627
PWP2	7.73165712305666
MMP15	4.53652718600468
MTMR14	6.90369735938951
NPR1	4.50379129178109
DNAL4	7.56067649980723
ELAC2	5.03841199737696
ASS1	9.6966135648991
IPP	7.32021344121847
TMEM59	10.2558705402914
POLR2J	9.7571456115535
SEC23IP	7.10833030770476
RGS4	4.62978126786504
UQCRC1	9.09694946661205
SNX6	8.45123903761352
DDX18	8.86563775667328
POLG	5.06449214354558
ADAM23	4.61044027218527
ZNHIT2	5.03801907331713
TFR2	3.69361159051837
NCDN	4.99891756518544
RAG1	4.77073102897122
POMT1	4.83363298097844
CYP1A1	3.5284062966996
SNAPC1	7.2873312266571
GNA11	7.65622069626137
CCDC52	3.48715063548574
CAPN1	7.47643498049877
DDHD2	8.05234996938959
UPF3A	7.063617423899
LAGE3	7.54637910415083
