Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_E08_543768
Composite Element REF	Signal
AACS	6.88492209969144
FSTL1	10.4413533261575
ELMO2	5.8299065747161
CREB3L1	5.10912875201147
RPS11	10.2293431101528
PNMA1	6.92502039654204
MMP2	11.0936927053537
SAMD4A	4.3283429364041
SMARCD3	5.30690012553029
A4GNT	3.87643956839758
C9orf39	3.57414711988212
PKNOX2	4.41675462666968
RALYL	3.57795971192366
ZHX3	5.18850554180325
ERCC5	6.50705868427631
RXFP3	4.34697206095783
APBB2	4.7750790393174
BBOX1	3.21060104659543
PRO0478	3.60926881988614
GCSH	7.78617269395725
XDH	4.37725859576464
EDN1	4.30250045517689
MTERF	7.14028527058603
PDCL3	7.29694434504458
CLK4	5.4488592564043
KCNG1	5.59691301473069
CXCR4	6.04582547212631
DECR1	8.01957002931863
SALL1	3.46307554664715
PTPRR	3.48975782053535
CADM4	4.07638455178447
IRAK1	9.5796835352468
CFHR5	3.7096961758713
HNRPD	9.17223948269413
TMSB10	12.3195198423245
CXCL3	5.00145131927885
LMAN1	3.87403277885715
SUHW1	4.078062668468
CHD8	6.37634454970031
SUMO1	7.90045815962942
GP1BA	3.48528552421844
OR7A10	4.13338165853785
DDB1	7.2319868079646
CHRNA10	4.35633254346457
STYK1	4.68690868612509
MYO9B	5.15435875897836
CCNI	10.6936954884241
MMP7	5.0145604519887
EP300	6.72005759232982
CRNKL1	6.08574571618693
C9orf45	3.80452691939862
XAB2	4.52595683706195
RTN1	3.59405050206362
HIC2	7.46013363733633
TBX10	3.88603198625823
CENPQ	4.26677310365015
UTY	4.24787653326446
OR2W1	3.58650562074343
ATP5G2	10.8695806655040
ZEB1	4.21941995796221
ZG16	3.61749403292072
ERG	4.25436836569259
PARN	8.29724403145025
SOD2	6.89507940757108
JOSD3	8.62215260999107
ADAM5P	3.47581826809333
CHD9	5.52050622457381
hCG_40738	5.27571631150979
STK16	5.28064533568447
PDE1C	4.02890664384601
SEMA4D	6.11575649021278
AGPAT1	7.9095948371728
TOB2	5.74123592608433
BANK1	3.53589044458444
MAP3K3	5.50653773500351
MAX	5.36047727225566
GRM2	3.90745293805903
OSBPL8	6.44088918575763
PROSC	6.63933121302213
NR4A2	4.36150650980538
RICS	6.82083367506584
PIR	7.136936995487
PPCS	8.79638257691387
IPO9	7.65299165115062
LONP1	8.33037723450927
EVC	4.49593551823921
CXCL13	4.89779515110449
SCYL3	5.65070052318724
KIAA1199	8.5310363383746
SORL1	7.6122309408503
NAT10	7.74181700417642
CHD1	6.93920605267487
SYN3	4.12121699007965
DMC1	4.41665786942434
SLC22A2	3.95543183713733
SERPINF1	10.2577090929962
C20orf27	7.57813125385959
OR7A17	3.55402352543609
RPS6KA5	4.91831569981613
LHB	4.04419681570888
TAOK3	5.14668954739749
STK25	7.54857300490167
SLC12A4	4.01721297847756
BRCA1	5.05223602325026
GBL	7.51059106495196
C14orf108	7.18083534498929
CDC25B	8.73083744455482
BMP3	3.74805205692179
MAP1LC3C	3.60213010373181
TMEM180	4.65902903027146
CRYGC	4.11394782525582
SLK	6.88830383525235
POU3F1	4.56478434748692
C20orf32	3.85865292310756
USP52	5.25202046501003
HIGD1B	4.11353854408967
BAZ1B	8.2589598919945
USP6NL	4.90858832626131
SLCO2B1	4.95577670841874
ABCD4	4.63273488983165
DIMT1L	6.48963803352429
SLC25A46	6.75882910191474
LARP7	6.45184434072234
TEK	3.88160476344908
CD160	4.0377979436708
TERF2IP	8.57847991996463
PHF20	6.17106712553156
COL1A1	10.1529694669976
KIAA0090	8.01826912678494
GTPBP1	4.85987635051287
GRK5	4.87573726077852
AP1S2	5.10185948799998
RAB33B	4.03231768816204
CA11	4.451277277446
ALDOC	7.50039405981718
NUDT1	7.62658054824561
ZNF212	6.02442717094283
ACBD3	8.01126940522217
ZNF83	7.80648727899259
PRDM2	5.6383207858936
GDPD5	4.89215951058329
PDCD4	5.36155751068128
CEP350	6.36955474907005
FOXP3	3.67106707848403
SMYD3	6.75342682135357
CST7	5.07715750390503
SELL	4.75033069700971
CIAO1	6.79885976496808
LGI2	4.38094320683775
WDR45	5.90252554563636
ANKRD6	5.68571508404277
LTBP4	5.53162632815518
PSCD3	3.91443997165767
PYY	4.05680637421119
KCNC1	3.80419927705886
SIRT6	5.01156851396305
CCL19	4.46557126215564
ARHGEF9	4.58622693618306
ABR	5.41096962548298
C10orf22	6.65309303739564
STK17A	5.77635822883805
FOXE1	6.2777605921674
GML	3.51509499419782
CNGA3	3.17334912229489
CD38	4.07937605363293
ZDHHC6	7.42267434845997
NEFH	8.57500920308418
PGBD5	7.25177623485419
CTDSP2	7.46219794797792
RMND5B	5.74053840564430
ZNF257	3.46009963219108
DUSP4	3.96662927822573
FLJ22167	3.77147657349902
EXOSC7	7.6047245785724
ROR2	4.68160774552631
FOXM1	6.07202789943881
ZBTB48	5.89865443168012
BUD31	9.3421966374971
MAOA	7.64803056146072
CCDC41	4.70420434428344
TNNT3	5.10246626044612
FBXO11	6.03328738356107
GYPC	5.95554624173745
PLIN	3.95302804200689
RFXAP	3.76240434380658
C6orf15	4.24434379935702
RNF4	8.79897423589956
F8A1	8.43152757201712
PPP1R3D	5.10498803102344
GRB2	8.10775791842193
TPM3	3.30960235944378
SYT13	4.14138420088023
EPB42	3.94266948833859
RP5-1077B9.4	5.71987257292898
EIF1	11.5253788625203
CETN3	6.16113480533458
FPGT	4.61578418814961
PRY	3.84880114075604
NTHL1	5.7455644688814
POLR2B	8.73451706432057
RPS28	12.182227175398
