Hybridization REF	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_C07_723882
Composite Element REF	Signal
AACS	6.88811446523394
FSTL1	8.73011248231434
ELMO2	5.51254951340394
CREB3L1	3.93874953604094
RPS11	10.1400822395552
PNMA1	6.95242248976963
MMP2	5.68684811066851
SAMD4A	4.18594204938902
SMARCD3	5.7905261871013
A4GNT	4.09115513237044
C9orf39	4.25229237697088
PKNOX2	4.31548971625582
RALYL	3.58269616866904
ZHX3	4.71429510023129
ERCC5	6.45047843303437
RXFP3	4.08449683689217
APBB2	4.92383369085432
BBOX1	5.30392424858876
PRO0478	3.11130142088832
GCSH	9.79184132984403
XDH	3.78713725309798
EDN1	5.7089939661803
MTERF	7.56556035715258
PDCL3	9.43512071778491
CLK4	6.34820999458084
KCNG1	4.52970505981538
CXCR4	7.04746627106592
DECR1	8.79921599870754
SALL1	3.77016299564309
PTPRR	3.76884347676652
CADM4	4.10309935815362
IRAK1	9.15811378257884
CFHR5	3.98449677618239
HNRPD	9.50296033089717
TMSB10	12.0118646609473
CXCL3	4.32780712490836
LMAN1	3.94176432055534
SUHW1	4.14995530522677
CHD8	5.75694890331029
SUMO1	9.37221758355748
GP1BA	3.39657982766132
OR7A10	3.75744148838963
DDB1	7.95886242380398
CHRNA10	4.02810115534378
STYK1	5.20837532896028
MYO9B	4.18588716796269
CCNI	10.4741126530127
MMP7	7.53038156952422
EP300	7.3169356847376
CRNKL1	7.45233036127285
C9orf45	3.50908803503882
XAB2	5.15416079008799
RTN1	3.79499405840513
HIC2	4.86484121290568
TBX10	4.03159318554116
CENPQ	5.96512398436631
UTY	3.47604591858402
OR2W1	3.21060892361801
ATP5G2	11.1635474148362
ZEB1	3.93425731968562
ZG16	3.62200388002373
ERG	4.47927157589471
PARN	8.32917126464556
SOD2	6.4206025158179
JOSD3	9.32558860377409
ADAM5P	3.47626389024909
CHD9	7.25631653941475
hCG_40738	5.2601912266171
STK16	6.63198764568086
PDE1C	3.84332926469879
SEMA4D	6.80997552162227
AGPAT1	6.4223444360032
TOB2	5.499505423884
BANK1	4.37825886599358
MAP3K3	5.41066186616015
MAX	7.00005176584918
GRM2	4.5172583656657
OSBPL8	8.55094648056779
PROSC	5.72596582348847
NR4A2	4.99381300527764
RICS	6.3196466274562
PIR	9.25844196069173
PPCS	9.32617380288008
IPO9	7.14005243013443
LONP1	8.35474036206926
EVC	4.51220877953628
CXCL13	6.59013642515253
SCYL3	6.4248895181081
KIAA1199	4.77257967148943
SORL1	6.70539952342091
NAT10	8.23003553916875
CHD1	6.60974675657057
SYN3	3.94222095841962
DMC1	4.30866107592248
SLC22A2	3.76754154081712
SERPINF1	7.67922665032129
C20orf27	6.67355785160718
OR7A17	3.86123858006285
RPS6KA5	5.69921605873553
LHB	3.82514610033142
TAOK3	5.07316566509872
STK25	6.15918104737834
SLC12A4	4.01429755332932
BRCA1	6.34784882072536
GBL	6.18444635085593
C14orf108	7.85317351573311
CDC25B	7.40304753133154
BMP3	4.04339765179446
MAP1LC3C	3.80877980694055
TMEM180	3.85724723732307
CRYGC	4.18374849341482
SLK	7.29234185584512
POU3F1	3.71720856747547
C20orf32	3.65668005869756
USP52	5.91394606724782
HIGD1B	4.6693974302787
BAZ1B	6.52413515755464
USP6NL	5.76179407369957
SLCO2B1	4.73586524240872
ABCD4	4.85625795770014
DIMT1L	7.23992332793955
SLC25A46	7.48371197671599
LARP7	8.5264573302619
TEK	3.92415819269908
CD160	4.25429829136371
TERF2IP	9.0530810340415
PHF20	5.57432777850288
COL1A1	5.4112549460093
KIAA0090	6.45249702384134
GTPBP1	5.04638016238454
GRK5	4.29247400083577
AP1S2	6.4075798787387
RAB33B	6.50351678427824
CA11	5.22572140482874
ALDOC	6.79406548739953
NUDT1	7.3925860182955
ZNF212	6.19560289712008
ACBD3	8.36188435538088
ZNF83	5.01396528578179
PRDM2	4.96655649744746
GDPD5	4.43892177243434
PDCD4	6.57065205553615
CEP350	6.2008306730683
FOXP3	3.77387515975434
SMYD3	9.6958528271589
CST7	4.92626495343461
SELL	4.67737565885351
CIAO1	7.83101260120575
LGI2	4.0404129762
WDR45	7.5253514991591
ANKRD6	6.60036552878408
LTBP4	4.08065555564141
PSCD3	3.7868019487622
PYY	3.97295481499604
KCNC1	3.22698024960011
SIRT6	5.12403088680514
CCL19	5.67072182978267
ARHGEF9	4.91760471927576
ABR	4.95139295643935
C10orf22	6.93909447106585
STK17A	4.58801540001422
FOXE1	8.9945609557586
GML	3.44759821887118
CNGA3	3.17501891431816
CD38	4.94308308258303
ZDHHC6	7.25785681822799
NEFH	4.03622543834876
PGBD5	9.07517161747115
CTDSP2	7.73502862972685
RMND5B	6.29168474279817
ZNF257	3.34577312265298
DUSP4	4.1997184682081
FLJ22167	6.86253444951962
EXOSC7	8.69415094019685
ROR2	3.81633194632377
FOXM1	5.95362330575643
ZBTB48	4.85125607726157
BUD31	9.15349466718136
MAOA	7.05574216885189
CCDC41	5.6277374766926
TNNT3	6.17388113529437
FBXO11	7.1287135338844
GYPC	5.0954615736373
PLIN	3.63236392344394
RFXAP	4.88138398354725
C6orf15	7.91054282447747
RNF4	8.36026587030778
F8A1	7.95657981741796
PPP1R3D	5.94510354270158
GRB2	8.14896479815875
TPM3	3.52567719702081
SYT13	4.03310670784022
EPB42	4.16112526922235
RP5-1077B9.4	5.55311493222891
EIF1	12.1275084015360
CETN3	8.15861523498285
FPGT	5.93089737968764
PRY	3.97870016124618
NTHL1	5.4152923980437
POLR2B	9.33551711577974
RPS28	12.53114666743
GDF10	3.63727482078078
COQ9	8.67701492109649
P2RX3	3.18717262897211
GCC2	8.19038851403951
RARRES3	8.22950858411889
PLXNA1	6.59099460416386
WBP4	6.8533585798522
KIAA0100	6.4836199766223
PMF1	7.46696539164591
HS2ST1	5.65103066293798
CRELD2	7.09613266690651
C8G	3.66473198427708
CD82	6.10243534317295
PMM1	6.61269147652751
CBLL1	5.11819954045223
LIM2	3.53925917151426
VAX2	4.27652372257049
SETDB1	6.22259608355701
LRAP	3.311051465179
GCLM	9.0999026837037
CPEB3	3.61153873594707
PPM1A	6.5517415825594
INTS1	4.82414873618841
MMP16	3.51475076838186
CAMTA1	4.08643106207993
SAMSN1	6.43120057097702
DRD3	3.32225537514336
GMPPA	5.75874514683061
C11orf73	7.93668088769597
AIPL1	4.24398339847299
PTP4A2	8.71504963509332
IL24	3.69410671962335
BDKRB1	3.76955488964774
HPCA	3.96023416316808
MLF1	7.56943415669723
SEC14L1	7.93396154756286
CHFR	6.02263550961472
EMILIN1	3.81640060402008
THADA	7.20196145839998
TAF12	6.3037205573477
NDUFS4	9.65232168851514
ID1	8.91530508319622
PIK3CB	4.4059398423573
COL18A1	6.10959491824485
PDZD3	3.68618289536508
TBC1D17	4.23158156096847
COX8A	10.7146544966765
CDCA4	7.80216242493804
C2orf44	5.90293370087159
C9orf16	7.52857059874911
ERBB2IP	8.43279444737422
EMX2	3.18091727239523
FUS	8.08408365651327
NIPSNAP3B	4.95339205071681
TF	5.56081932959303
CXorf56	5.68063208764625
CLCN4	3.95416408824523
PWP2	6.37433667585992
MMP15	4.19120292778723
MTMR14	5.70917807157983
NPR1	4.16279128634873
DNAL4	7.04603654607834
ELAC2	4.92072674587574
ASS1	9.35331027023369
IPP	3.82019678762194
TMEM59	9.06011636644783
POLR2J	9.04142637995991
SEC23IP	5.87946995131899
RGS4	4.25666149292123
UQCRC1	8.98100400243182
SNX6	8.47823069802923
DDX18	8.9880552500673
POLG	5.4541607084187
ADAM23	8.44824299332263
ZNHIT2	5.07826630926852
TFR2	4.03596712949351
NCDN	4.72202993564433
RAG1	4.52766956903421
POMT1	5.05961512033053
CYP1A1	3.73901406917695
SNAPC1	7.4117497902758
GNA11	6.6151743050125
CCDC52	3.07261905427647
CAPN1	6.84235638639939
DDHD2	7.13153907957924
UPF3A	7.15531684735053
LAGE3	6.36975467881597
GNRHR	3.51204585957331
UNC13B	6.92878608496119
TTLL4	5.12915171450065
PPBP	3.47037637501995
HTR3A	3.62797019783124
SDC2	9.25458390221997
ANKRD49	8.91372333514952
BTF3	11.3165636949038
COX7A2	11.6587885206796
SARS	9.31404174370954
C13orf18	4.00574138024133
CACNB1	3.90849533281607
QKI	7.9932078339671
SETMAR	5.80282132110508
LAMB4	3.84389585139992
MAN2B1	7.04101003774578
EML3	5.01111120912879
ACADL	5.40139256567167
OFD1	8.1952688656706
CGA	3.56437606581031
EIF3EIP	11.4711916983807
PEX16	6.15425614617652
GNG12	8.05953458793043
HABP4	5.56411203408637
CNTN2	3.51425354206499
ASNSD1	7.97513198183998
FUT4	4.7379981179986
DBH	3.66192647932024
CD53	7.77404221860533
HIST1H2BJ	3.45403089824843
TFAP2B	3.46670768065754
ACF	3.96523277811771
TMEM11	6.81632686767306
CDH8	3.99103010679349
C3orf32	3.82438165537709
AGPS	6.26216898759467
C4orf18	3.35262540190297
PCCB	9.62346894470579
IPO13	4.77760187456102
PECI	7.94819494342153
UNG	9.248245085186
C6orf105	4.36416030968512
GSTP1	10.7659980539228
SUV420H1	7.26193507528493
ARHGAP15	4.60390972334048
LTBR	7.61547765110572
TDRKH	3.61437578003452
PSG4	4.39762293472558
SLC9A3R1	9.8019934615997
NBPF3	8.72655651328455
SLC9A3	4.27686600798548
OSBP	6.96023009701433
PRR5	5.31421977666601
CHMP7	6.16647388602809
ADRA1A	3.48839033465896
ASAH1	7.58519786844212
FKBP4	7.28594300734016
ZNF350	5.06315295054581
DOM3Z	5.70772015501788
GIPR	3.97193422370763
AHI1	4.66071223722236
BST1	4.59057448687344
NCR2	3.88770237411196
NADSYN1	6.40089858423534
UBE2W	6.45387533663463
RGS14	5.50546643832654
KRT15	11.4045667825592
SCN11A	3.87803257169486
GFI1	4.09875112765727
FHL1	6.35563808722945
SMC6	8.36068114263617
GATA1	3.99333111739621
OSGEP	6.63271869532394
ARMC6	5.58998755669257
HK3	4.02575057932653
PSMD5	8.01945974254569
RSU1	7.0338912644897
RPL4	12.7811517683873
MAD2L1	9.90703129348699
RBPMS	5.07471297264649
EIF4A3	10.0418992364098
E4F1	5.79752142237018
DLEC1	3.8475788899413
PRPF3	6.33538422081049
EMR1	3.45841600074514
CHMP2B	7.57235837255897
CAMSAP1	4.96132356781446
RPS21	10.2366429991075
XCR1	4.09240358694771
ARID5A	5.52783371643024
RBM6	5.74113993155505
UBE2N	8.98948190262092
KLF4	6.82142317833169
MGC4172	5.4452922496667
LMO4	7.73430277302736
KLKB1	3.54862462329234
HDAC3	8.43429161931758
HP	4.15289413551058
SCHIP1	10.1237060674640
BTK	4.24704683835482
KRCC1	7.66601785781998
PRND	3.37906709964223
C6orf27	3.790414225839
PIGL	4.25918235992493
CLCA1	4.09776017913065
C1orf112	6.37528620327255
OLFML2A	4.53163596495274
HUS1	5.54330481250328
SFRS6	8.5838751607138
CXCR7	7.76202348765977
UIMC1	7.10010984374811
FXYD2	3.92955352114175
GOT2	9.3123973243507
ZNF667	3.10285050846086
TFEC	4.4268338010469
ATP7B	4.83021334121821
RAB38	8.7077078345455
POLD2	6.94393450043144
PPM1H	7.49237387280303
DCX	3.67816705137669
NFYC	6.29404925895939
ZNF228	4.67171273968123
KIN	6.25486369124182
PLSCR4	5.04623359830305
HIST1H4I	4.46127871761556
PPARGC1A	3.54724722582788
HIG2	8.38212885418305
KCNK10	4.18106139265153
EXOC1	8.45784525436304
OR6A2	4.34269702507936
ETFA	9.85218439112474
PDAP1	5.94675504725636
C19orf6	4.37122388460538
POLRMT	5.0866926390177
ZNF146	8.67598372911171
MIA2	3.42637443546804
LY6G6E	3.49166841336066
EIF4E2	9.05026533884248
NENF	6.36175614257648
HOXB5	4.58930939961621
ZNF324	4.64439839732644
CUGBP1	6.27233533620377
ENTPD7	5.13624237112191
TTC13	6.39659537466983
GJB5	6.90602308365673
PRSS22	4.82060086395758
CYP3A5	3.85158931355207
MBOAT5	5.13790828285605
CUL4B	5.87529855501696
CENPJ	4.39353945602977
KIAA0664	5.76726147055876
PITX1	6.51621123719515
PDGFRB	5.28801018643865
RDX	7.15821273075241
CELSR3	4.46035202627896
JUND	5.97807080503564
ITSN1	4.25638190839134
CHRNB1	3.74599645591387
EHBP1L1	4.42735300233685
C19orf2	8.4795302595639
FETUB	3.76608057672861
CAMK2B	3.47319169357924
DCTN1	5.7450051140346
TNKS2	7.43724079226085
MRTO4	8.00874165397117
C1QBP	7.0861222916756
TTC3	7.36087453836564
NDUFB8	9.25105716959611
CADPS2	3.8554815007476
EDG2	7.03715010677407
MYF5	3.62446115343687
SEMA3G	4.07528001203226
IL23A	5.05005936790274
GJA9	4.32427107158243
R3HDM2	7.42347001115761
C5	4.6063211653398
SLC2A10	4.75295715199107
TRIM45	5.07833505191315
TSP50	4.09597787644593
PAQR3	7.88237774027196
ANKRD26	3.668099089272
TCP1	9.7495578770498
TMED7	7.5319107650513
CMA1	3.65333996566644
PTCRA	4.47359453085254
HCRTR1	4.06945075082569
FST	8.54086505317671
PAWR	5.05211377408091
LDLR	5.56795630744474
ASTN2	4.21571457885445
SCRN1	6.26147388015111
GPATCH8	6.72761181328648
KIF4A	7.4904618887066
TANC2	3.59948543922961
ZMYM5	5.29539775221904
PGM1	8.27155464221291
ZNF586	6.00776266911632
POLR3G	4.02541806674463
CPD	7.34678395996736
SNCAIP	6.15805891119611
DCT	3.74637438974827
HLA-DOA	3.86120781102013
TANK	7.44344630921024
RCAN1	7.86488521980656
UPK1B	10.8198342984549
DNAJB4	6.38371141068453
UGT1A8	6.66950913189101
LIMD2	4.01475844571043
HIST1H4L	4.01876525122164
PECR	6.00519363149898
HSPA2	6.53567157024197
SERP1	10.3480246222128
TACR2	3.36465941616074
NUP85	8.57844997507712
CD177	3.94889537647951
GPR135	3.44889478747535
PIGG	7.04897770400322
LGR5	3.33688760494981
JAK2	4.31805949440696
DPYSL4	3.71718795867688
TM9SF4	6.40057003786619
PTHR1	3.57360165696360
SIRPG	3.17762848266974
ZNF264	4.20120186580966
BICD1	4.53850168034966
RAB5A	7.58441721268104
FLJ13224	3.49860966699124
METTL5	10.5161601295119
HERC6	6.74817104042465
CASP1	8.53989963308639
USP9Y	3.31748741726999
LRP1B	3.26360719498611
XAF1	6.27615011145848
PLA2G4C	4.80383176034178
APOA2	3.51222216444445
SPAG6	3.47637218383336
KALRN	3.512262921328
SECTM1	5.41156180306587
THOC7	9.4943614636882
IFNAR1	4.06708784318531
TCTA	5.7846666928051
NY-REN-7	4.15261009888423
TALDO1	11.8982382354248
B2M	12.4443835408107
LPPR4	3.59423620435894
SQLE	7.49958060273477
SEPHS1	7.42989131446922
EIF5A	7.57221795305904
FAM49A	6.0896782183677
YTHDC2	4.55054729739957
EHD2	4.47779259888613
NCF1	3.87823487162721
SPG7	6.9707575093252
ZNF614	3.81961448103603
HOXA5	5.68366533916423
NUP133	8.66825731981887
FGF12	4.77130488449508
SLMO2	10.0203551970970
INPP5B	4.72866125645408
PPID	8.25950608432853
SNTA1	4.2091402302604
IL20RA	6.73978874583718
UBE2J1	6.34943498801107
CACNG2	3.37585357880358
GCM1	3.31192746244433
ELF1	7.94492184124013
TLR5	5.05735107455185
TCFL5	6.56572385178366
C1orf107	7.07545564616982
C19orf22	7.31052624931148
SAFB2	6.24367839588902
MAP3K7IP1	4.66492052352318
NCK2	9.10674790423519
OXA1L	9.34593875800843
KIAA0652	6.12366581507691
KLRG1	3.87993028711646
FRAG1	8.18866520339411
ZSCAN12	3.30899221233375
PSMD12	9.10252504949532
E2F4	5.46003074431169
CLEC4M	3.88234564613183
KIAA0999	5.36345209981746
CLDN10	3.63673933100397
MGC13053	4.37048308318489
TAC1	3.21656411282534
GYPA	3.69733041620023
HPCAL4	3.64320036031499
TRAIP	4.54031099711663
MEX3D	5.2317500005407
KIAA0232	7.63157385988007
ERCC8	6.3603356712078
NFAT5	4.52565999398412
GPX4	10.4919020150099
CSPG4LYP1	3.69763468121406
KIAA0368	6.8093802416088
FBXO3	8.03146496771423
DVL1	5.83770174360557
CMKLR1	4.07756321954016
GPR157	3.52809648039365
TYMS	9.37664845712521
OR52A1	3.33185523496623
PEF1	7.66606717488918
ZNF750	8.39491519815657
ALG9	6.41330213995357
MCM5	7.22197793274985
SDK2	3.86986894807064
BAIAP3	4.1840241950097
RABGGTB	7.1965227359161
KCNK7	3.88183213609784
PTP4A3	5.19470140568048
ANKRD40	5.53613573419552
CALCOCO2	9.2243129257674
TMSL8	7.31402943137198
SNCA	5.88591314391168
ZNF551	4.81666485194573
HBQ1	3.88810888968497
ARHGAP26	4.46225587196587
GEMIN6	7.74764086367813
HRAS	8.12069603930031
KLRC4	3.24226902782657
BSDC1	6.45410296065561
DSC1	4.66662645337904
RNF43	7.05302947868383
NDUFAF1	7.21325524814645
MAP2K4	5.75850717978368
FOLR2	5.63312982425215
LYZL6	4.36569395096497
EPB41L3	7.09383307633981
TEKT2	3.64596170149075
CDKN2B	4.15992567746195
WSB1	7.56139854887507
ZNF480	3.98807458543003
MAP3K6	4.48019865015323
PROS1	8.1866441357622
PSMB8	9.09466583517982
HN1	10.558976964877
MAS1	3.78524301647794
APOL1	5.33195183808159
CSHL1	3.75292571960153
ZBTB7C	3.18557295806523
AHCTF1	7.0695310593918
SAE2	10.6508417235874
ITGA2	6.6815416927744
AP2S1	9.52801704794652
P15RS	8.70971584039577
MME	4.45801566314005
VAT1	8.55166743068873
MAST4	5.82925470912628
TUFM	10.0774942771196
KRT33B	3.82478553241454
THEG	3.99830824704363
KCTD2	5.56753708568841
WDR26	10.2697861568450
MFI2	4.01045264029314
KRT34	4.64843054795632
NR4A3	3.93908541140852
SGSM3	4.87674456045438
ARSA	4.76641335058519
TOMM22	9.0621523930229
SOCS3	4.34464673103203
UNKL	4.31361310184757
POP4	8.88083099866969
BHLHB3	4.31558894152369
MALL	7.07015714901028
SOX15	6.24276750680554
CCNA2	8.30388955902074
PARK2	3.84551952996506
GPR124	4.26449543232957
TMEM132A	5.82039849906725
CGRRF1	6.9647601043632
RUVBL2	9.04982213267354
MCAT	7.354087658212
WNT10B	3.81753469226598
ISCA1	7.12617509989389
RPAP1	6.20567693142885
C12orf48	6.8956880624795
RAI16	5.52856010686983
RPL27	10.3492846038659
EPN1	4.1084561805427
MAGI1	3.49458449815707
GBX2	3.57516886001264
SLC35A1	7.46415234645307
GAL	6.09584447300595
SLC14A2	3.88988927493828
RDH11	8.53843134453666
ZNF518	4.74602557859033
PCYT1B	4.42529479852716
AUH	6.47474420324874
EIF3H	12.0768837566241
KIF1B	5.64268358968887
MBD2	5.45534440474789
AMOTL2	7.68390430679959
C6orf120	8.29729399645865
PIGT	7.7109651973764
PSRC1	5.91526851527858
PLA2G10	7.39448336713461
ALAS1	7.24274686746636
FOXO1	7.20107275961821
C17orf62	6.51844893978299
KIF5C	3.96121960224891
DUSP10	6.41045808016736
CRLF3	9.54920335182718
CLCNKB	4.00902470899431
PSMA5	9.16086484747144
FARS2	7.13002657655626
CCDC28A	8.01536553648553
AMPD3	5.09972069208786
PIAS1	7.5147357216738
ADCYAP1R1	3.66838609931414
TMEM134	8.18256439130374
CDH20	3.20236360086144
FBXO7	8.65945548764306
FLJ14213	4.9311485937763
ZNF3	6.78691867620657
LRRFIP1	7.59365475111274
TMEM49	10.1283139280081
CNOT2	8.24986718702776
CBX2	3.38578303039290
ZC3H14	7.13622750500852
ALDH5A1	5.59456186618528
HNT	4.009370077125
SERPINA4	3.40052860600929
FLJ20920	5.52814871736699
CRTAP	7.2066620567059
DDX50	8.19441796771319
STYXL1	6.67370567348901
TK2	4.91606641546953
BLVRB	8.82374400065819
STMN1	8.27476416481142
GUCA2A	3.75423091410637
DPP6	3.30934270371387
GALNT10	3.90599068521700
STK39	6.43583008642606
MMP24	4.70534995061031
CKS2	10.1284163572288
RHO	4.24249495652619
BANF1	8.13779558326595
CR1	3.51471285037698
RPS6KA2	5.98382402950994
HMBS	7.7118840233392
C20orf112	4.16182723545399
SLC25A24	6.93132807004988
MRPL22	9.40835863862535
SLC25A15	7.80811105443492
GADD45B	5.90157540394231
TDP1	7.04851348152556
ZNF287	3.88027780175179
DAAM2	4.34773165288029
C11orf57	7.64887451831128
RFK	6.53766974573279
ZFYVE9	4.64950606572788
TCTN3	7.01726447025626
STCH	7.19102531780945
LOC283871	4.03706127044934
NDUFB3	8.72292121678829
DEFB4	5.29335264673597
FPR1	4.59896185127892
FMNL1	4.03107384977942
SEPT7	9.56725773027669
PTCD2	4.75161832176037
GNLY	4.46701105557111
GRAMD1C	7.33493719497127
ZNF165	5.79891196009446
TR2IT1	5.90960573185661
ARMCX3	8.27402347184369
NDE1	6.52069876113604
MAGEF1	8.05647813222521
ITGA10	4.04654269786224
ARHGDIB	7.59600589808643
FSHB	4.23376725660864
ANXA2	12.2810274095656
HLCS	4.43471946105117
MCF2L	5.260752456089
AK1	5.60053930455159
FH	8.05967931199527
LGALS2	4.42190880006407
SYNPO2L	3.16078223488593
KIAA1045	3.56489828757082
C1orf183	5.15374791978459
MAGEA8	3.49565804804667
DGCR8	4.93824620459199
GSR	7.62687816457514
NEU2	3.63546804647782
HIST1H4B	4.06390916573327
CACNA1C	3.28354608220898
FAM20B	8.67574581437555
HES2	4.39549242798134
PDCD6	9.55178769089897
INTS7	7.13054526932077
AMPH	3.89174505113855
UCKL1	7.1591759648352
ASB4	3.33645589147486
C10orf97	5.01707004942186
ALDH1L1	4.49799493464355
CCL23	3.68704232773981
OBSL1	4.71043630254494
SLC12A7	6.96611418946342
THAP4	7.05365746655393
RBM4B	5.79866895989616
OGFRL1	6.59291035864462
KIAA0831	7.28496695772641
C12orf11	8.35479146820609
PPP1R15A	5.10733665954323
KIAA0240	6.09488324964057
CD1B	3.67068768931465
FCGR2A	5.89434670252884
MDC1	5.61069810060766
MAN1A1	4.08633435568734
KRT9	4.1165743140721
HTR1A	3.38718827770032
OCEL1	4.74360813983332
ATP11B	8.72887140633114
NLGN4X	5.93875563703869
FBXO34	8.6134270836766
ALOX12	4.92177593822478
RB1CC1	8.78443016778484
PCDH12	5.21415441571711
RPE	6.56322269432986
EIF4E	9.28251156859454
CSDC2	4.30588111645022
ABHD5	6.46795001838348
TMBIM1	8.03197003286726
PET112L	6.25086509815705
P2RXL1	3.6150644919247
F2RL2	3.98492279694087
TRMT1	6.11361039524427
IMPG2	4.43103780804484
LRRC32	4.84378038620309
BGLAP	5.57472263057212
HTR4	3.63172604651372
MRAS	3.80311951025447
TRAF6	5.32835279862164
AXL	4.84231907295703
ATP2C2	3.79660843772548
LMNB1	6.92930817020913
TELO2	4.77266785874272
PNPLA3	3.84302345310563
CSNK1E	7.52038980301628
SRP14	11.0609478726450
KCNQ4	3.65875823628558
PIK3C2B	6.91293656003758
C15orf15	10.7463991990871
TUBB2B	3.55251596024842
USP15	6.43537688359196
C12orf41	8.60885962989292
CEND1	3.97473788916764
RNF31	5.53028392398084
TCEAL2	6.03458909241014
PTGER2	4.23306008182774
UBN1	6.3378154197344
SLC5A7	3.80776349497643
SLC31A1	7.258623825642
ADAM29	3.76755881609819
ST7L	4.73775041266706
GFOD1	5.92132476913832
CTNNA1	9.74597974087276
HRBL	4.08062416740388
CBX4	4.76150720421404
NTRK2	6.22249334705327
