Hybridization REF	MULEY_p_TCGA_b53and79_Expr_HT_HG-U133A_24-HTA_G05_723884
Composite Element REF	Signal
AACS	7.12368633604205
FSTL1	9.97783496579407
ELMO2	4.78788064505555
CREB3L1	4.0280218805469
RPS11	10.4049096179828
PNMA1	7.34241789287966
MMP2	6.70533971941394
SAMD4A	3.9573005505583
SMARCD3	6.39857944348868
A4GNT	3.99766215245867
C9orf39	3.3928994911847
PKNOX2	4.11839157384155
RALYL	3.5633482800486
ZHX3	4.81972946063672
ERCC5	5.71756002247351
RXFP3	4.07564823151922
APBB2	3.73399869973996
BBOX1	3.26246150387893
PRO0478	3.06051519300996
GCSH	10.0108854040727
XDH	3.84927527943271
EDN1	8.71671701448433
MTERF	8.31907876376507
PDCL3	8.23251900684883
CLK4	6.15398706198543
KCNG1	4.67576777737955
CXCR4	8.15717004322366
DECR1	8.28894335788213
SALL1	3.57538378597792
PTPRR	3.62632543149211
CADM4	3.50564706194385
IRAK1	7.8098386691912
CFHR5	3.83075764039963
HNRPD	7.8361249205936
TMSB10	12.7792815175369
CXCL3	4.5498458764107
LMAN1	4.01083436689198
SUHW1	4.06369246296744
CHD8	4.99779694084043
SUMO1	9.04638582478895
GP1BA	3.51142210765511
OR7A10	4.00954794107072
DDB1	7.33349142232473
CHRNA10	3.65783338469364
STYK1	5.67301344322065
MYO9B	4.31823910135818
CCNI	10.1866779844688
MMP7	7.33762435174639
EP300	6.73995341402807
CRNKL1	7.19808738093518
C9orf45	3.47103586700739
XAB2	4.48707149306833
RTN1	4.67473655517595
HIC2	4.05115848054948
TBX10	3.93827725846785
CENPQ	7.08469551716158
UTY	4.64166878419914
OR2W1	3.24304363857474
ATP5G2	11.0279913501548
ZEB1	4.35954569229107
ZG16	3.65155518220308
ERG	4.52586880586801
PARN	7.13564212783855
SOD2	6.87965185993041
JOSD3	8.46824181940983
ADAM5P	3.40997974930692
CHD9	7.48001555179358
hCG_40738	4.19746823579922
STK16	7.19480088130908
PDE1C	3.94884860242567
SEMA4D	6.44877307102198
AGPAT1	5.83538477847264
TOB2	5.86827302386758
BANK1	4.78519232040959
MAP3K3	5.16512796797137
MAX	5.97095081424678
GRM2	4.26047998053325
OSBPL8	9.09709193293639
PROSC	6.68256431350313
NR4A2	7.9756968585615
RICS	6.0805760266039
PIR	10.2570383136233
PPCS	9.96199938214767
IPO9	6.32680333003602
LONP1	5.8877639071453
EVC	4.13948765154597
CXCL13	9.41032065393319
SCYL3	7.27781861313188
KIAA1199	6.10107977855261
SORL1	7.31163094959496
NAT10	6.89893004601858
CHD1	6.01047790975495
SYN3	3.66113471713716
DMC1	4.38072989549986
SLC22A2	3.82900040556277
SERPINF1	8.1952556470081
C20orf27	5.86607686196155
OR7A17	3.63609364783584
RPS6KA5	7.70475346670888
LHB	3.54014471514324
TAOK3	5.61358715391158
STK25	5.7733449894311
SLC12A4	3.94415333227328
BRCA1	5.21343844912753
GBL	6.31516877666727
C14orf108	7.82789845419252
CDC25B	6.67227954727235
BMP3	4.23791539645534
MAP1LC3C	3.85945668155952
TMEM180	4.29041447805566
CRYGC	3.99746291819668
SLK	7.37710909792093
POU3F1	3.88009466384252
C20orf32	3.90253612583023
USP52	5.6782114407879
HIGD1B	4.58907653102736
BAZ1B	6.28131089140304
USP6NL	6.28053050971744
SLCO2B1	4.99640133603997
ABCD4	4.76993719220231
DIMT1L	7.83789476842803
SLC25A46	8.50435057715667
LARP7	7.6679976697338
TEK	4.09731846722684
CD160	4.25300664176513
TERF2IP	8.77573203580662
PHF20	5.90112864687351
COL1A1	5.79386422648216
KIAA0090	6.79557984626542
GTPBP1	4.44756126862547
GRK5	4.34231045734882
AP1S2	6.75007937397329
RAB33B	5.24892879286083
CA11	4.57748149878707
ALDOC	8.79168168439153
NUDT1	6.73279045836999
ZNF212	5.55425954416377
ACBD3	7.97086149181428
ZNF83	7.51317398322898
PRDM2	5.1194624991692
GDPD5	4.22753104373893
PDCD4	6.62596640915478
CEP350	6.23015650780431
FOXP3	3.70774869177633
SMYD3	9.43138104288447
CST7	5.86727185744104
SELL	4.9723387250701
CIAO1	7.10300007963879
LGI2	4.20007093385524
WDR45	7.28749525451458
ANKRD6	8.16991751062296
LTBP4	3.91804139805156
PSCD3	3.51560624661279
PYY	3.98247802951298
KCNC1	3.09989096888539
SIRT6	4.42319735722813
CCL19	7.10418169112394
ARHGEF9	4.77080017785725
ABR	4.76349281891424
C10orf22	7.13594580232875
STK17A	6.41729446709049
FOXE1	4.64628193895372
GML	3.55417849394636
CNGA3	3.21589554279633
CD38	7.04225970621747
ZDHHC6	8.86970904918436
NEFH	3.67745190343874
PGBD5	4.71942694631945
CTDSP2	6.84971605233675
RMND5B	5.54924730831072
ZNF257	3.31536823201867
DUSP4	5.53462431016855
FLJ22167	4.90355927793843
EXOSC7	7.95187340784853
ROR2	3.91206061286756
FOXM1	5.06755646743840
ZBTB48	4.94812853612703
BUD31	9.93023156353588
MAOA	8.0322446992718
CCDC41	5.44032641795237
TNNT3	4.46949848768654
FBXO11	6.2095335352058
GYPC	5.94794864168405
PLIN	3.5588331353138
RFXAP	4.36031249393221
C6orf15	4.03842874368034
RNF4	6.8828242785429
F8A1	8.62847824754213
PPP1R3D	5.39960937270844
GRB2	8.57907661500062
TPM3	3.63571967001173
SYT13	4.05452681744020
EPB42	4.27847228714433
RP5-1077B9.4	5.59909662635582
EIF1	11.6066618431445
CETN3	8.91711508498456
FPGT	7.8616955887606
PRY	3.87126098521493
NTHL1	6.09633280791239
POLR2B	8.77711401869448
RPS28	12.2574878364601
GDF10	3.57849097638137
COQ9	8.71914040682947
P2RX3	3.26529197464364
GCC2	6.44675418045684
RARRES3	7.58894310336667
PLXNA1	6.28798426812998
WBP4	5.90716436601128
KIAA0100	5.65189267904272
PMF1	7.43347146798643
HS2ST1	6.46535179342052
CRELD2	8.27037917247105
C8G	3.64162733490196
CD82	5.49202821754501
PMM1	7.00599916308499
CBLL1	5.65418016749557
LIM2	3.62079950778388
VAX2	3.71179928645652
SETDB1	5.84547014269355
LRAP	6.77540723236769
GCLM	11.6629349607041
CPEB3	3.92801769798481
PPM1A	6.25476279470745
INTS1	4.26399309116020
MMP16	3.59939724181932
CAMTA1	4.25948812549026
SAMSN1	8.13693402370776
DRD3	3.48763668330246
GMPPA	6.23310032138562
C11orf73	8.08467735324477
AIPL1	4.22051147446924
PTP4A2	10.0913265845143
IL24	3.92568653913773
BDKRB1	3.81260341367731
HPCA	4.09117434506503
MLF1	8.21521095905342
SEC14L1	6.12127359695659
CHFR	6.03801806825905
EMILIN1	3.99267233161403
THADA	7.41898880221024
TAF12	7.60692972024603
NDUFS4	9.00773632567373
ID1	11.0776051049339
PIK3CB	4.3163558414451
COL18A1	5.14348924994239
PDZD3	3.67879869267993
TBC1D17	3.82239266757547
COX8A	10.7001212240361
CDCA4	7.71899330211168
C2orf44	6.21906879016259
C9orf16	8.0530919748129
ERBB2IP	9.06623407984874
EMX2	3.27408889678449
FUS	6.36906146165974
NIPSNAP3B	3.84337920457257
TF	3.81083067787521
CXorf56	5.99581467053554
CLCN4	3.98827373325642
PWP2	5.38540678496726
MMP15	4.45631543217384
MTMR14	6.07553660043171
NPR1	4.23053943495585
DNAL4	6.58174203077484
ELAC2	5.01095060613828
ASS1	10.7888448597073
IPP	5.90341502294707
TMEM59	10.7860181051516
POLR2J	9.67914018818989
SEC23IP	6.6723395504278
RGS4	4.49281636671591
UQCRC1	8.79203035821123
SNX6	8.15767891584568
DDX18	8.44690521269117
POLG	4.42696480219452
ADAM23	5.92456389860522
ZNHIT2	5.08447169580588
TFR2	4.23688221550457
NCDN	4.63906100302941
RAG1	4.42343166830479
POMT1	5.14197239682119
CYP1A1	3.52694165572038
SNAPC1	6.39736363235878
GNA11	5.37947897909476
CCDC52	3.59207202991447
CAPN1	6.34481208948841
DDHD2	6.65074828530371
UPF3A	5.86551873262709
LAGE3	7.88236990339665
GNRHR	3.49149655134932
UNC13B	6.13196886945656
TTLL4	4.55489888478589
PPBP	3.33759726812498
HTR3A	3.79606139958286
SDC2	6.18215608477246
ANKRD49	8.75245282442025
BTF3	10.9657315386827
COX7A2	12.0647286232429
SARS	8.75733893547721
C13orf18	4.63557919576414
CACNB1	3.92892312804448
QKI	6.71586199554495
SETMAR	6.00608462377462
LAMB4	3.89604575741453
MAN2B1	6.41960495705605
EML3	4.86398214847485
ACADL	3.91719249778215
OFD1	7.28245401886941
CGA	3.63675393187397
EIF3EIP	11.0660880404838
PEX16	5.99040134650726
GNG12	9.60026660790205
HABP4	4.90016072055765
CNTN2	3.65395305736240
ASNSD1	8.84279352446154
FUT4	5.35935640834252
DBH	3.54811447257524
CD53	8.99517720760444
HIST1H2BJ	3.6778471492773
TFAP2B	3.74430037939244
ACF	3.92940317301772
TMEM11	7.51714672899608
CDH8	3.93266198821458
C3orf32	3.82388760441616
AGPS	6.17955303013226
C4orf18	3.36740728554005
PCCB	9.89085196464857
IPO13	4.69036720131706
PECI	8.58425788774457
UNG	8.91087865314975
C6orf105	3.90560854900568
GSTP1	10.229057593599
SUV420H1	5.88515695818717
ARHGAP15	5.92785290643161
LTBR	7.24873991174224
TDRKH	4.21244903577405
PSG4	3.96559865253277
SLC9A3R1	7.60861861691731
NBPF3	9.56178157543283
SLC9A3	4.09605623918095
OSBP	6.3183193792622
PRR5	5.12435421301654
CHMP7	6.4671297501303
ADRA1A	3.53269193445039
ASAH1	8.21961537529451
FKBP4	7.14188495429187
ZNF350	4.514166720576
