Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_F08_543720
Composite Element REF	Signal
AACS	7.73334329230258
FSTL1	8.83111952243733
ELMO2	5.14200621898057
CREB3L1	4.4158568928616
RPS11	10.2138228730428
PNMA1	7.34898486877909
MMP2	8.51760583808884
SAMD4A	4.21934713127911
SMARCD3	4.41442898233573
A4GNT	4.19012156354743
C9orf39	3.4025958803722
PKNOX2	4.3414380613782
RALYL	3.73688362490623
ZHX3	4.57792007811238
ERCC5	5.86960240870512
RXFP3	4.25148024355253
APBB2	4.81465296694825
BBOX1	3.40789049982151
PRO0478	3.32667593810466
GCSH	8.53601309460305
XDH	4.47418681445518
EDN1	5.05193328418644
MTERF	6.74440304203676
PDCL3	8.39402038863378
CLK4	4.94655802663056
KCNG1	4.66410392096616
CXCR4	6.05734694254649
DECR1	8.31801700347052
SALL1	3.59418562278955
PTPRR	3.72091075514388
CADM4	3.70991562518156
IRAK1	9.35419004946973
CFHR5	3.58471081082199
HNRPD	9.21173058856657
TMSB10	12.6601950639277
CXCL3	4.9795945791842
LMAN1	4.24298100489741
SUHW1	3.80695655524338
CHD8	5.93300198602834
SUMO1	7.68219468867669
GP1BA	4.15685152100015
OR7A10	4.09886595527255
DDB1	8.07758049537518
CHRNA10	4.3353358303712
STYK1	4.55271986608272
MYO9B	4.85559052071677
CCNI	10.6668042370633
MMP7	7.20987424339003
EP300	7.04165213394477
CRNKL1	5.69101919849687
C9orf45	3.8700947903465
XAB2	4.39461642306565
RTN1	3.47080022693618
HIC2	4.83395748055198
TBX10	3.96363008176021
CENPQ	4.48958867054318
UTY	3.74973421912744
OR2W1	3.18243406101767
ATP5G2	11.1022504664804
ZEB1	3.95985472398551
ZG16	3.97376961260351
ERG	4.12365002952049
PARN	7.994725206003
SOD2	7.96462924371757
JOSD3	9.23678997812683
ADAM5P	3.69108907971287
CHD9	6.4190794864693
hCG_40738	5.04914094445877
STK16	5.96952248433334
PDE1C	4.25910389647012
SEMA4D	5.54084412918931
AGPAT1	6.02452253749405
TOB2	6.31087442723338
BANK1	4.03163625878943
MAP3K3	5.35496642577165
MAX	5.78036354635594
GRM2	4.2994734172563
OSBPL8	8.45350551227824
PROSC	5.98956592210179
NR4A2	5.24409899212540
RICS	6.65844914660391
PIR	8.93054317018143
PPCS	8.22538250667087
IPO9	6.65398060101599
LONP1	7.71769953473509
EVC	4.53307623963861
CXCL13	5.68555758051587
SCYL3	5.32550214157724
KIAA1199	6.93347878490604
SORL1	7.54267447997216
NAT10	7.29712841950256
CHD1	6.97565566799884
SYN3	4.00432866630932
DMC1	4.3537122062781
SLC22A2	4.33831365608531
SERPINF1	7.87830523017218
C20orf27	6.70696683322634
OR7A17	3.65487471899387
RPS6KA5	6.33457159147692
LHB	3.93274199490911
TAOK3	5.36331186002807
STK25	5.38640260779577
SLC12A4	4.0813464118102
BRCA1	4.88087452053022
GBL	6.6378495709505
C14orf108	8.33694288762834
CDC25B	9.5717941827046
BMP3	3.69661568722824
MAP1LC3C	3.59512667354145
TMEM180	4.61601233693738
CRYGC	3.94781589051882
SLK	8.15843849829397
POU3F1	3.53490673222922
C20orf32	3.93746012150444
USP52	5.25497020149811
HIGD1B	4.39228086371776
BAZ1B	7.36895519306082
USP6NL	6.44950888313648
SLCO2B1	4.50630806541851
ABCD4	4.53234902831517
DIMT1L	6.67176736842956
SLC25A46	7.41642992957185
LARP7	6.59531087134669
TEK	3.91099820063239
CD160	3.92666273890275
TERF2IP	7.57465657919783
PHF20	5.69228409972479
COL1A1	7.59015790298694
KIAA0090	5.80092132124159
GTPBP1	5.36534353664998
GRK5	5.34850894516207
AP1S2	5.87583295215326
RAB33B	3.78866795771339
CA11	3.98319673104063
ALDOC	9.04512022455042
NUDT1	7.13842868132753
ZNF212	6.35319044847462
ACBD3	8.49707130892408
ZNF83	5.67627423331344
PRDM2	4.97838019279936
GDPD5	4.4979258841674
PDCD4	5.63507674171277
CEP350	6.01943598736798
FOXP3	3.65288281979818
SMYD3	6.590243011474
CST7	4.41918572772595
SELL	4.48676997589864
CIAO1	6.63996253634814
LGI2	4.31860293692448
WDR45	6.21195437149345
ANKRD6	5.07399834566758
LTBP4	4.46977780568685
PSCD3	3.79093965255630
PYY	4.19411808803623
KCNC1	3.69051640137154
SIRT6	5.05235096451273
CCL19	6.13476142346302
ARHGEF9	4.35545514558981
ABR	5.00456972934255
C10orf22	6.96802688957234
STK17A	6.90354659069744
FOXE1	8.76600917859594
GML	3.87743364626708
CNGA3	3.32826732382976
CD38	6.70463601873
ZDHHC6	7.17469440502257
NEFH	4.08829232798606
PGBD5	6.85018388021194
CTDSP2	6.86301355260573
RMND5B	5.24997985166438
ZNF257	3.13566404463258
DUSP4	4.22952970708894
FLJ22167	4.4929954037219
EXOSC7	7.65075288615804
ROR2	3.81572150118586
FOXM1	6.03361926371574
ZBTB48	4.74164174876453
BUD31	8.58483144398868
MAOA	7.68214527673308
CCDC41	4.13616569163121
TNNT3	3.94522350314986
FBXO11	6.26145537188847
GYPC	4.99187696377229
PLIN	4.44185403509949
RFXAP	3.68715769183948
C6orf15	4.51993565715825
RNF4	8.26671806763954
F8A1	9.18721039265896
PPP1R3D	9.31238181248518
GRB2	7.8144491792111
TPM3	3.67296846210426
SYT13	4.19832003524055
EPB42	3.99467488855081
RP5-1077B9.4	5.25363429075376
EIF1	11.7645703500595
CETN3	7.66917930064869
FPGT	4.66360023108124
PRY	3.70989417593028
NTHL1	5.2913802454437
POLR2B	9.26517162691268
RPS28	12.7327061126530
GDF10	3.52051677518786
COQ9	8.21600881881846
P2RX3	3.51156145293247
GCC2	6.00101880937045
RARRES3	4.75020974431682
PLXNA1	6.38086198054196
WBP4	5.4266924241586
KIAA0100	6.65174982997817
PMF1	7.43157386141731
HS2ST1	5.53245913812851
CRELD2	8.32996436524041
C8G	3.06992417906707
CD82	6.69671033993306
PMM1	5.94192869460889
CBLL1	4.67226411440264
LIM2	3.96976319874551
VAX2	4.51875675327093
SETDB1	5.26436814519813
LRAP	3.67163316802089
GCLM	8.0139726097765
CPEB3	3.61085791082183
PPM1A	6.50265786803687
INTS1	4.61786917834941
MMP16	3.6694421984687
CAMTA1	4.46436364609361
SAMSN1	5.38126621771004
DRD3	3.42654194810581
GMPPA	5.75463493308823
C11orf73	5.82437990716628
AIPL1	4.03622946357533
PTP4A2	9.01723388130239
IL24	5.13012118393075
BDKRB1	4.79540931744883
HPCA	4.1946417470662
MLF1	7.07701713135318
SEC14L1	7.36662437175408
CHFR	6.9147858413462
EMILIN1	4.21568866153812
THADA	6.31535855706626
TAF12	4.69891583524855
NDUFS4	8.3875761537703
ID1	11.1271117687136
PIK3CB	4.04442814025262
COL18A1	6.50647066606296
PDZD3	3.78640334955091
TBC1D17	4.31973385466924
COX8A	11.0770321311626
CDCA4	8.13586002858955
C2orf44	4.64650136057901
C9orf16	8.8046877097139
ERBB2IP	7.80215788794407
EMX2	3.26646544685933
FUS	6.711098520151
NIPSNAP3B	3.64243053366272
TF	3.79694503442819
CXorf56	5.63396746816265
CLCN4	3.70591128948492
PWP2	5.95211717374716
MMP15	5.03503817733321
MTMR14	5.72791588565837
NPR1	4.51284641435168
DNAL4	5.51673724047935
ELAC2	4.90820971842682
ASS1	7.35597689140679
IPP	4.94027756803743
TMEM59	9.13883986650177
POLR2J	9.6103954375515
SEC23IP	5.34139503178113
RGS4	4.33541816130508
UQCRC1	9.84188121537946
SNX6	8.35679138914931
DDX18	8.45258135329541
POLG	5.03568847308999
ADAM23	5.67661030135036
ZNHIT2	4.42481188187445
TFR2	4.57320811623706
NCDN	4.73324377092888
RAG1	3.82500660210815
POMT1	4.6188210068703
CYP1A1	3.52800440514159
SNAPC1	6.49137287142663
GNA11	6.02432520292260
CCDC52	3.20389908241927
CAPN1	8.02299777756743
DDHD2	6.94788391698707
UPF3A	6.17769310644723
LAGE3	6.77477328835844
GNRHR	3.66094851054818
UNC13B	7.25096800191243
TTLL4	5.030422648935
PPBP	3.30925123714509
HTR3A	4.00299283135699
SDC2	5.24979168667385
ANKRD49	7.55131234058942
BTF3	10.9274208155044
COX7A2	11.423538230704
SARS	8.63969840547148
C13orf18	4.06472204575036
CACNB1	4.27626656467703
QKI	6.90010035911011
SETMAR	4.85195153491473
LAMB4	3.44546048500172
MAN2B1	6.39514263910964
EML3	5.66781223863326
ACADL	3.66556384481539
OFD1	7.40753475792689
CGA	4.25990859098738
EIF3EIP	11.4058253516107
PEX16	6.07340693859663
GNG12	9.2978998768919
HABP4	5.61687219977199
CNTN2	3.85671493211243
ASNSD1	8.48895145476029
FUT4	4.84521906458613
DBH	3.93017244723743
CD53	6.78479147932071
HIST1H2BJ	3.91243601865691
TFAP2B	3.77241566510558
ACF	4.06989599731097
TMEM11	6.44075741563761
CDH8	3.90260438921573
C3orf32	3.68582766767487
AGPS	5.70893662570072
C4orf18	3.62342685756043
PCCB	7.35769428178558
IPO13	4.78838847406416
PECI	8.2145721458926
UNG	7.43473638376986
C6orf105	4.62752553535408
GSTP1	10.3063599053207
SUV420H1	6.19760111423225
ARHGAP15	4.06558968691346
LTBR	7.91708885476509
TDRKH	3.38422158944452
PSG4	3.86632726105594
SLC9A3R1	8.68609791806595
NBPF3	8.72727235626369
SLC9A3	3.92938511212888
OSBP	7.00593288046722
PRR5	5.55175988528278
CHMP7	6.10834594269769
ADRA1A	3.41763184527502
ASAH1	7.99787031554753
FKBP4	7.48216576833089
ZNF350	4.29303067439366
DOM3Z	4.94802914231734
GIPR	4.44158002168826
AHI1	4.42706816189202
BST1	3.9664823928102
NCR2	4.13956009543359
NADSYN1	4.93927780477745
UBE2W	6.21960651340344
RGS14	4.54428293506823
KRT15	8.80711756647533
SCN11A	3.94520572855284
GFI1	4.03014426686338
FHL1	6.5916263197674
SMC6	8.56936867405711
GATA1	4.17557726508047
OSGEP	5.25113751695361
ARMC6	5.24749064757976
HK3	3.91693619999635
PSMD5	8.64795175817845
RSU1	8.57234009797757
RPL4	12.3284470341894
MAD2L1	7.86570505141172
RBPMS	5.59415258432055
EIF4A3	10.4634929424904
E4F1	5.32172803079669
DLEC1	3.97932409631534
PRPF3	5.51665140983756
EMR1	3.4740888809254
CHMP2B	7.1192509744445
CAMSAP1	5.068898467394
RPS21	10.2214343073068
XCR1	4.0149208381611
ARID5A	5.00124341452933
RBM6	5.55287872615798
UBE2N	8.72544385665625
KLF4	7.68153836861118
MGC4172	5.78038136969723
LMO4	5.28674542171791
KLKB1	3.61696830653709
HDAC3	7.42185372652113
HP	6.7531308342121
SCHIP1	8.650809190663
BTK	4.3448754651011
KRCC1	7.93561820594069
PRND	3.21144201030307
C6orf27	3.66868938912579
PIGL	4.61090644727637
CLCA1	3.9822547492897
C1orf112	5.20623696105329
OLFML2A	5.6642883099893
HUS1	5.31782481292249
SFRS6	8.74279142263134
CXCR7	9.8900742361803
UIMC1	5.67675684253341
FXYD2	3.94085894285881
GOT2	9.61490481012892
ZNF667	3.05925400962117
TFEC	3.71181734727514
ATP7B	4.2055707458133
RAB38	9.05930517796927
POLD2	8.846194415621
PPM1H	3.74274846257049
DCX	3.74321160323966
NFYC	5.1610709737048
ZNF228	3.26414260892412
KIN	5.78118689500664
PLSCR4	6.32188626810035
HIST1H4I	4.60445866711299
PPARGC1A	3.56112569550795
HIG2	9.66670933515349
KCNK10	5.11230523039937
EXOC1	8.5188219331146
OR6A2	4.00681006503678
ETFA	9.41384353174853
PDAP1	6.16053883101662
C19orf6	3.9285450309989
POLRMT	4.88222939219392
ZNF146	7.63549871302276
MIA2	3.7396639191503
LY6G6E	3.44982118433829
EIF4E2	8.86419228582428
NENF	5.70474660792538
HOXB5	4.23361645879502
ZNF324	4.87835060587114
CUGBP1	4.99029694490897
ENTPD7	5.53188828337288
TTC13	6.14653356202455
GJB5	7.38930507506386
PRSS22	5.30789493622784
CYP3A5	3.62631339867091
MBOAT5	4.64157419868876
CUL4B	5.91599094746525
CENPJ	4.48923242307627
KIAA0664	6.83907929432301
PITX1	5.88659358630182
PDGFRB	6.1675276363009
RDX	6.7011662015846
CELSR3	4.6785129946737
JUND	7.01199326806598
ITSN1	4.53747993489841
CHRNB1	3.76224738971471
EHBP1L1	4.77922790586165
C19orf2	6.40559621302255
FETUB	3.80039230911451
CAMK2B	3.83549156893066
DCTN1	6.95564644916615
TNKS2	7.03367302951641
MRTO4	8.0413966332776
C1QBP	6.96101942314487
TTC3	7.19647245794142
NDUFB8	9.0165923835032
CADPS2	4.58139426719006
EDG2	5.04265114323016
MYF5	3.33213887721168
SEMA3G	3.77058909201143
IL23A	5.37708579128113
GJA9	4.29850913876992
R3HDM2	7.59944355464526
C5	5.4689048971102
SLC2A10	4.72965662893779
TRIM45	4.9830985931313
TSP50	4.10350104613637
PAQR3	7.54032601595287
ANKRD26	4.12927940039097
TCP1	9.73141764938567
TMED7	7.23307910430407
CMA1	3.3685493561011
PTCRA	4.57643648369294
HCRTR1	3.80599866836952
FST	8.08438832158425
PAWR	4.69912707875418
LDLR	7.98745407715002
ASTN2	4.91467135132942
SCRN1	7.69261869402158
GPATCH8	6.7723848551964
KIF4A	6.84094010105838
TANC2	4.54775838915142
ZMYM5	4.54832100068348
PGM1	8.87381027394717
ZNF586	5.57701142789674
POLR3G	4.44273903154823
CPD	6.52465445465726
SNCAIP	5.59894788481805
DCT	3.83584079948942
HLA-DOA	4.04204507216158
TANK	7.44210546372444
RCAN1	5.24607006422758
UPK1B	3.47917077909439
DNAJB4	5.10585752839203
UGT1A8	4.59073871145766
LIMD2	3.78928657200015
HIST1H4L	3.82327500276413
PECR	4.9446759629081
HSPA2	4.33059442909149
SERP1	10.0790211585558
TACR2	3.86295502090659
NUP85	7.80503010481475
CD177	4.36160797434034
GPR135	3.82130239650773
PIGG	7.5204203780734
LGR5	4.24038170856095
JAK2	4.03897322754648
DPYSL4	3.92648584830701
TM9SF4	6.62572656544123
PTHR1	3.85662280799364
SIRPG	3.78907110734616
ZNF264	5.15843803600746
BICD1	4.74957230026807
RAB5A	7.59758647130526
FLJ13224	3.71192623241997
METTL5	10.9006932663292
HERC6	7.1018864112266
CASP1	7.66343519097569
USP9Y	3.38659863783461
LRP1B	3.56225197514133
XAF1	6.3676471020575
PLA2G4C	4.26617488541671
APOA2	3.69037050519961
SPAG6	3.77452297059938
KALRN	3.56484422528557
SECTM1	5.04614598584403
THOC7	9.16716023614092
IFNAR1	4.289868751569
TCTA	5.45092767230664
NY-REN-7	3.51110669123296
TALDO1	11.2755586112265
B2M	12.3273111404189
LPPR4	3.77434882837377
SQLE	9.05548981356935
SEPHS1	7.89060198314807
EIF5A	6.76463706166659
FAM49A	4.86604044008556
YTHDC2	4.45773506016168
EHD2	5.6761192476136
NCF1	4.61904150935137
SPG7	6.65489383437125
ZNF614	3.73198146777619
HOXA5	4.78287596604763
NUP133	7.98216359924273
FGF12	4.02406390868343
SLMO2	8.92774080487573
INPP5B	4.65681718440511
PPID	6.77864295822695
SNTA1	4.62228400703217
IL20RA	4.85488730642807
UBE2J1	6.16696968416589
CACNG2	3.42175384419593
GCM1	3.77283042727842
ELF1	8.00463607461656
TLR5	4.91651950506672
TCFL5	7.20887583456584
C1orf107	5.82784603775206
C19orf22	8.80888171292105
SAFB2	6.33808972952192
MAP3K7IP1	4.76123854202679
NCK2	8.7548806737991
OXA1L	8.81435842377625
KIAA0652	5.96218715516965
KLRG1	3.9321579701715
FRAG1	7.31731517017199
ZSCAN12	3.55302748774033
PSMD12	8.42809521621593
E2F4	5.93452450657453
CLEC4M	3.93616568861484
KIAA0999	5.1721668297403
CLDN10	5.34951422362017
MGC13053	4.6723474283546
TAC1	2.92712445235430
GYPA	3.727124416098
HPCAL4	3.91565968008709
TRAIP	4.29230899325616
MEX3D	6.42969571725575
KIAA0232	6.46403103775025
ERCC8	5.06257453638996
NFAT5	5.73900438308588
GPX4	10.6426230012993
CSPG4LYP1	3.39337003113092
KIAA0368	6.46987230700378
FBXO3	7.02448736758478
DVL1	6.21969808365297
CMKLR1	4.00382617930955
GPR157	3.96114628302928
TYMS	9.80837800340118
OR52A1	3.95446187153961
PEF1	7.81818816723303
ZNF750	8.10876658803069
ALG9	5.97681860866266
MCM5	7.33917937798526
SDK2	4.11262244619378
BAIAP3	4.16420768552653
RABGGTB	7.16789341203358
KCNK7	4.30707806884711
PTP4A3	5.81558157722924
ANKRD40	4.81646750062401
CALCOCO2	8.264136021303
TMSL8	6.04772502520984
SNCA	4.82260087926367
ZNF551	4.31843302968685
HBQ1	4.0327380591933
ARHGAP26	4.08271933732257
GEMIN6	6.94203119509064
HRAS	8.56986232831109
KLRC4	2.96015407550807
BSDC1	5.65732542854584
DSC1	4.54538248667203
RNF43	5.63125733575249
NDUFAF1	6.4464250596391
MAP2K4	5.73896368018386
FOLR2	4.60439034336674
LYZL6	4.42250869589816
EPB41L3	4.67629812546096
TEKT2	3.67325968188860
CDKN2B	3.69663054344478
WSB1	7.26270823253136
ZNF480	4.08439691875986
MAP3K6	3.89152414899973
PROS1	8.2431457939356
PSMB8	8.15856423472578
HN1	9.92704268628771
MAS1	4.23333485909019
APOL1	5.55866640583027
CSHL1	3.96389135528521
ZBTB7C	3.3991807704605
AHCTF1	6.7313464832416
SAE2	9.19186286081146
ITGA2	9.07575724301691
AP2S1	9.57586823309494
P15RS	7.77244174225969
MME	4.5646187695298
VAT1	7.8312390985509
MAST4	6.96185661592237
TUFM	10.2489636716499
KRT33B	4.61909055509279
THEG	4.2323945762769
KCTD2	5.52108124042817
WDR26	9.16513594384584
MFI2	3.85905338865297
KRT34	4.53872438780438
NR4A3	4.26806877367499
SGSM3	5.04307318837558
ARSA	4.98387794426913
TOMM22	7.24986574069794
SOCS3	4.45710541436509
UNKL	4.81967304382517
POP4	8.26097809235682
BHLHB3	5.1163807693935
MALL	9.55120330827973
SOX15	7.52362009997633
CCNA2	6.74960196458998
PARK2	3.67316250730313
GPR124	4.85551125156523
TMEM132A	6.38239367974531
CGRRF1	4.92232760914296
RUVBL2	8.16335223862265
MCAT	6.88187852094412
WNT10B	4.44195076307983
ISCA1	8.12161113654922
RPAP1	4.9514089651707
C12orf48	5.30299361053763
RAI16	5.88279946930517
RPL27	10.1795847678212
EPN1	3.71523516925461
MAGI1	3.66045623077894
GBX2	3.83488291167754
SLC35A1	6.4141486771746
GAL	5.94232925554714
SLC14A2	4.30483270680732
RDH11	9.36171291168236
ZNF518	4.45719423524353
PCYT1B	4.195864781359
AUH	6.02136516038878
EIF3H	11.2181577487687
KIF1B	5.62027643924968
MBD2	5.67844637023054
AMOTL2	7.57355346699507
C6orf120	6.9319846366732
PIGT	8.0810277713216
PSRC1	5.34997281376926
PLA2G10	4.30696352035363
ALAS1	7.96272226689453
FOXO1	6.40407141752118
C17orf62	7.04522390022684
KIF5C	3.93853149815573
DUSP10	4.67694263363178
CRLF3	9.5587544432667
CLCNKB	4.35190517196341
PSMA5	9.3538243138076
FARS2	6.19747933446634
CCDC28A	6.90603308756051
AMPD3	5.61929612594987
PIAS1	7.07616155804244
ADCYAP1R1	3.70439170052475
TMEM134	7.46692134387446
CDH20	3.50939736876627
