Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_A03_588150
Composite Element REF	Signal
AACS	8.13891484204596
FSTL1	9.5610662460229
ELMO2	6.2454955490836
CREB3L1	4.36234357956366
RPS11	10.1131560195258
PNMA1	7.56361885160504
MMP2	7.13639337085642
SAMD4A	4.58281536284251
SMARCD3	5.21533865812202
A4GNT	3.91323813482237
C9orf39	3.43250736605775
PKNOX2	4.33487338126716
RALYL	3.78788831511097
ZHX3	5.46242351385082
ERCC5	6.46724831052254
RXFP3	3.91236940679358
APBB2	5.5064417310266
BBOX1	3.32131377967212
PRO0478	3.15599818279279
GCSH	8.76704925991798
XDH	4.0817236496836
EDN1	5.72022473674835
MTERF	7.73812814111901
PDCL3	9.63283682232006
CLK4	5.88992129451229
KCNG1	5.19409628984016
CXCR4	7.94912539366445
DECR1	9.75926760142742
SALL1	3.67735877481085
PTPRR	3.55212237215379
CADM4	3.63866492750409
IRAK1	8.9543397478826
CFHR5	3.78923432602103
HNRPD	9.1937817578271
TMSB10	12.4363273775456
CXCL3	5.39850546687217
LMAN1	4.71646269720403
SUHW1	3.96009573070493
CHD8	6.97166580856493
SUMO1	9.2854593688881
GP1BA	3.53655825094172
OR7A10	4.06168497592863
DDB1	8.32908652285853
CHRNA10	3.99966837933857
STYK1	5.89327254923225
MYO9B	4.74410725116138
CCNI	10.7389126711284
MMP7	8.25586982012961
EP300	8.25208285189131
CRNKL1	7.2709804963656
C9orf45	3.53835295277182
XAB2	4.86315878417453
RTN1	4.23996104645639
HIC2	5.48959761234988
TBX10	3.99346337402874
CENPQ	5.42321390260866
UTY	3.68668998285323
OR2W1	3.46077895804611
ATP5G2	10.7007220595654
ZEB1	4.00380816884753
ZG16	3.61653112047455
ERG	5.14359263138526
PARN	8.07478792671246
SOD2	7.40453196182394
JOSD3	8.54482910211204
ADAM5P	3.50723257457759
CHD9	6.3196371189578
hCG_40738	6.00493707583025
STK16	6.64309464225568
PDE1C	4.03320704868540
SEMA4D	6.39941040861322
AGPAT1	7.0399387958497
TOB2	6.64140055529941
BANK1	4.1222674921187
MAP3K3	6.09457950449888
MAX	6.60476235189457
GRM2	4.29536425845188
OSBPL8	9.18036553803766
PROSC	6.91362355097063
NR4A2	5.16091715094583
RICS	7.14963797663948
PIR	8.73756166606854
PPCS	10.1646662123810
IPO9	6.69626588523988
LONP1	8.77063264233635
EVC	4.29962992240275
CXCL13	6.86432880200758
SCYL3	6.05434563545104
KIAA1199	7.53893368489747
SORL1	9.2632719229856
NAT10	8.17916392094804
CHD1	7.62056652184954
SYN3	4.94196665196822
DMC1	4.41740277151058
SLC22A2	3.98306500894479
SERPINF1	12.2360051381117
C20orf27	7.04481332088244
OR7A17	3.42631146923327
RPS6KA5	7.60342928273749
LHB	3.65203223056180
TAOK3	5.87432570852741
STK25	7.83987164114419
SLC12A4	4.19338323209008
BRCA1	5.85541505820821
GBL	7.21527466185784
C14orf108	8.85207978197784
CDC25B	8.15974140344679
BMP3	4.28069729461676
MAP1LC3C	3.63509900043332
