Hybridization REF	SOCKS_p_TCGA_31_38_RX14_HT_HG-U133A_96-HTA_B02_588292
Composite Element REF	Signal
AACS	6.8632652402179
FSTL1	8.8691041153201
ELMO2	6.21954610339568
CREB3L1	3.80778540410796
RPS11	10.2968950678966
PNMA1	8.0162609842295
MMP2	7.2424942296566
SAMD4A	4.03277908084594
SMARCD3	4.44030601175295
A4GNT	3.92380069272371
C9orf39	3.70659234324417
PKNOX2	4.54322880947439
RALYL	3.76901707368346
ZHX3	5.00908862798549
ERCC5	6.89240384869757
RXFP3	4.00315312136722
APBB2	4.7906746267812
BBOX1	3.63416904646004
PRO0478	3.05043075872344
GCSH	8.53991938786433
XDH	4.27091607061118
EDN1	7.34812339135881
MTERF	8.45972177109421
PDCL3	9.01578968464577
CLK4	6.3551401520284
KCNG1	4.1560080615655
CXCR4	7.71622529395487
DECR1	8.91852735159395
SALL1	3.55697630694964
PTPRR	3.57739863080779
CADM4	3.73944863983633
IRAK1	9.13089541112288
CFHR5	3.78665211310248
HNRPD	9.43715962607844
TMSB10	12.5113508010997
CXCL3	4.05299748359652
LMAN1	4.33513639010753
SUHW1	4.81557503017546
CHD8	6.85526077424404
SUMO1	8.92168651463047
GP1BA	3.63878919603277
OR7A10	3.86488833612419
DDB1	8.34889399084038
CHRNA10	3.9555751518516
STYK1	5.88847515746271
MYO9B	4.67485829391981
CCNI	10.9911428479009
MMP7	6.31058768226604
EP300	8.42383158928175
CRNKL1	7.34704277842303
C9orf45	3.54789862145925
XAB2	4.42435981765235
RTN1	5.49179145643083
HIC2	5.32536145788086
TBX10	3.98211919742048
CENPQ	5.55610864099122
UTY	3.48823316229685
OR2W1	3.34788422597591
ATP5G2	10.9018041614519
ZEB1	4.20237286825101
ZG16	3.63529377727150
ERG	5.46663114245418
PARN	8.4161797856676
SOD2	6.83390682753132
JOSD3	8.97225597545817
ADAM5P	3.55377188577521
CHD9	6.95494263297429
hCG_40738	5.52545844035049
STK16	6.28326699632627
PDE1C	3.84423376157731
SEMA4D	7.83932952071109
AGPAT1	7.06979391576037
TOB2	6.91545690765416
BANK1	4.30500714664152
MAP3K3	5.99238959399874
MAX	6.86149161871452
GRM2	3.98281371177603
OSBPL8	9.02819543608
PROSC	6.88137119314761
NR4A2	5.51953859713292
RICS	6.85045088343186
PIR	9.10600231378609
PPCS	9.31379879772128
IPO9	6.49460561567122
LONP1	8.18568561577752
EVC	4.43150155748744
CXCL13	7.80289772254483
SCYL3	5.72857739551394
KIAA1199	5.01366224419711
SORL1	10.3406289716262
NAT10	8.61088865451974
CHD1	7.44099801373372
SYN3	4.05568938474208
