Genes,Gene_Values
RPE65,-0.004105042262410379
GCM2,-0.004149952331504491
CASC5,-0.004153306593361537
ATP1B4,-0.004241816011356146
GSCL,-0.004273727030393511
FBXW10,-0.004301680587196736
CYP7A1,-0.004327372620261777
DPPA4,-0.004337007071906167
PDE6C,-0.00434315175063611
SLC25A42,-0.00435536602815518
PCDH11Y,-0.004359751697070161
KCNV1,-0.00436399876076917
ZNF695,-0.004365268624356666
GRIN2D,-0.004381581232734591
TRPC7,-0.004389050013100153
KIAA0774,-0.004394706531826395
SYNPO2L,-0.004396925518235596
C9,-0.0043980456830748325
SLC25A31,-0.004400489441321728
PPY,-0.0044008453422518575
MSTN,-0.004403994567427208
DAZ4,-0.00440456920156905
ZNF81,-0.004405834906628879
SI,-0.0044094326960014765
MCF2L2,-0.004412970414561577
HAVCR1,-0.00441954633255777
ZNF674,-0.004422447846331006
NAG18,-0.004423695877846526
G6PC,-0.004426454393223765
KLRA1,-0.004427262497385487
FUT9,-0.004430535181091438
ANKS1B,-0.004434711370162431
B3GALT5,-0.004434731352950713
PAR5,-0.004444881155288563
KBTBD10,-0.004447869919233631
SNTG2,-0.004453045670291275
FOXD3,-0.004455726915424564
IMPG1,-0.004458380828108702
GCG,-0.0044631415579518005
UGT2A3,-0.004467499107060541
TAS2R16,-0.0044689868934512916
C10orf92,-0.004472728786298668
SPATA1,-0.004475518912570459
LRRC19,-0.004477880010209641
BPESC1,-0.004479699156123388
GABRB1,-0.004481673001624313
ADAM2,-0.0044864692102340375
OTOF,-0.0044900402345976675
SLC2A2,-0.004490627730914369
PTH,-0.004493417283580214
TRIM58,-0.004497418781185276
ABCD2,-0.004498043869695633
GP5,-0.004504458485746145
GSG1,-0.0045054466557639975
MYH4,-0.004509961067517812
PDE6H,-0.004512633699362683
GABRA6,-0.004519036135618009
SYCP1,-0.004528858272472054
TEX28,-0.004534211687743606
PMP2,-0.004535053817623627
TRIM49,-0.004535054686565818
AANAT,-0.004535522578068953
GNAT3,-0.004539316796048393
DKFZp566H0824,-0.004546259440666873
P2RX3,-0.00454995857462723
RAG2,-0.004555052323144704
FLG,-0.004558065242067367
KLHL4,-0.004558770429898065
CCDC103,-0.004560201156749459
COL8A1,-0.004561155154515024
C19orf15,-0.004562000320056333
IL17A,-0.004564706247440843
DRD4,-0.004567021313619778
VENTXP1,-0.00456891437327096
KLRC4,-0.004569296968617045
GALR1,-0.004570214504436951
IL3,-0.004573477566588374
AMELX,-0.004574517873794183
ZNF682,-0.004575823351213925
PYGO1,-0.004577847377033393
GYS2,-0.004581272581521688
PGR,-0.004584574047077838
KIAA0408,-0.00458929250479803
RNF207,-0.004589649414644195
TAS2R10,-0.004590584572790351
ZNF391,-0.004590775960526247
LRRTM4,-0.004591575008825954
LRP1B,-0.004592578323503397
DDX4,-0.004595246172720329
CNGA3,-0.004595294780792805
LOC51145,-0.00459636223180231
HIST1H2BL,-0.004597283107851258
VIP,-0.004598831237897478
GYPE,-0.004600022315542244
PRO0478,-0.004603986944399397
DRD1IP,-0.004604199305148495
GRIA1,-0.004608026435011929
TREX2,-0.0046081001566817
HIST1H4G,-0.004608810769870856
TACR3,-0.004609164965915138
ELA2,-0.004610356555790109
DKFZp547H025,-0.004612764804444689
SCGB1D1,-0.00461477770903945
NEUROD2,-0.004616392524208716
SEMG1,-0.004618034977837142
HIST1H3A,-0.004619740177165296
PARD6B,-0.004621803347374209
ZNF192,-0.004622484645712107
JDP2,-0.004624188478291819
KCNJ13,-0.004624959028531337
IL12B,-0.004625447349363228
ATOH1,-0.004627734847978237
GRM8,-0.00462932694666537
MYF6,-0.004630341991606317
APOF,-0.004630846328409482
TRPM1,-0.004633558972889388
KCNIP2,-0.004635118848899642
OR2W1,-0.004636704826237203
PCDHA2,-0.004637359382668861
ZNF506,-0.0046376231462737965
OR5I1,-0.0046377752831559494
BAI3,-0.0046392489849913475
C17orf88,-0.004641087721900637
GRIK4,-0.004642737716921242
MUC7,-0.004643698984588277
SLC17A1,-0.004644638558212289
HTN3,-0.004647574119942901
AFM,-0.0046476535013275045
HOXB8,-0.00464835795799249
GPR88,-0.004651162131332609
TNP2,-0.004652101901001834
C3orf36,-0.004654475296520373
CDH20,-0.004654805889498447
RXRG,-0.004655637125427338
TRIM46,-0.0046574428480436495
RYR3,-0.0046600312178221035
CCDC52,-0.004661008628988919
CYLC2,-0.004662643987044317
CEACAM8,-0.004663561015572978
MYH3,-0.004664488851246644
SLC6A5,-0.004667406498308603
LECT2,-0.004667474883275409
MAB21L2,-0.00466749276440684
OR2B2,-0.0046698660544667965
MYOZ2,-0.00467213346980198
SAA3P,-0.004672237413839184
IFNA1,-0.004672854718447955
RCVRN,-0.004674598345054878
ACOXL,-0.004677260265874806
PCDH11X,-0.004678426101392885
KLF1,-0.004679357065309943
EFNA2,-0.004680146078108238
POU3F3,-0.004684237189843753
LGI1,-0.004685990828052023
MYO3A,-0.004687214497537181
PRM2,-0.004690592829751105
NOX3,-0.0046913908088319425
MUSK,-0.004692325109603357
PPY2,-0.0046940982662549745
IL17B,-0.00469432426016091
PSMAL,-0.004694943566812186
GPR22,-0.004695362474511005
CTAGE1,-0.004696031265797737
C21orf62,-0.004697698450655899
MORC1,-0.004697916317691638
ZSCAN12,-0.004699838689666736
ABCB11,-0.00470024705249346
POU4F2,-0.0047015573425073535
MYT1L,-0.0047017945673335625
CDR1,-0.0047027140097846845
PIWIL1,-0.004703121035397299
B3GALT2,-0.0047034844180145665
CYP4A11,-0.004706000830999289
MYH2,-0.004707275525882332
CRISP1,-0.004707389842991022
IL4,-0.004707623055482332
TAC1,-0.0047089260916694554
PURG,-0.004711068304497547
PRPS1L1,-0.00471112736071463
MLNR,-0.004713652342600562
ASB4,-0.0047144591663460895
FCN2,-0.004716537189800543
HTR3B,-0.0047178419892684445
UTF1,-0.0047187000568106995
TTPA,-0.004720606878209763
BRSK2,-0.004722904793480494
PCDHGA11,-0.004723468697890527
LRAT,-0.004723510953200474
SRY,-0.004723877597756097
PLEKHH3,-0.004724679160969406
BRDT,-0.004725417019659971
SEC14L3,-0.004726470076559023
NPBWR2,-0.004727807218326916
SIX5,-0.004729706321285494
AGXT2L1,-0.004731005860826752
IL1F7,-0.004732874103401106
NPY2R,-0.004733733619774446
LGALS14,-0.004734702672868308
TNNI3K,-0.004737967256558497
KCNJ3,-0.004739795927114785
BMPR1B,-0.004739810146621086
LHCGR,-0.00474117076415252
LRRC3,-0.004742216871922673
CLCA3,-0.004743315169422862
SEMG2,-0.004744814866459563
HIST1H3F,-0.004746101823431426
DRD3,-0.004749929256607838
CAPN11,-0.004751170298565906
C1orf129,-0.004751500463414157
KRT35,-0.004752048481670454
HAPLN2,-0.004752531328743955
TM4SF20,-0.004753880838197697
SLC27A6,-0.004755412736520505
MDM4,-0.004756767825276596
MMP27,-0.0047584051979232935
RPA4,-0.00476023218116391
PRB1,-0.004761535349947993
TEX12,-0.004764062522873726
SGCA,-0.004765312270544066
NR5A1,-0.004765648218329644
MAGEB3,-0.004766167616263654
OR2J3,-0.004766642246308808
CBLN1,-0.004766958801214531
SCN7A,-0.0047687507775822525
PPIAL4,-0.004773662360709875
F9,-0.004775628157811614
NEUROG3,-0.004776028345380316
USH2A,-0.004776786758259798
PITPNM3,-0.0047779831755779475
LOC51336,-0.004778218941878563
TBR1,-0.004778718980066902
CDH7,-0.004779488035456036
DPP6,-0.0047836140493194
SPINLW1,-0.004783659859292081
IFNA6,-0.0047842706723890014
ALDOAP2,-0.004785711986081635
AKAP5,-0.00478848202127034
PTTG2,-0.00479035569696828
RIC3,-0.004790467388616116
ZBTB7C,-0.0047909239130103426
OPRM1,-0.004792042041607728
HMHB1,-0.004792111832134239
IQCH,-0.004792161889588371
ZNF659,-0.00479243340657566
RGS7,-0.004793494341268604
CCR3,-0.004793814760490539
C9orf27,-0.004794077059081763
SEMA3E,-0.004796884056929617
CRISP3,-0.004797939203891759
ADAM30,-0.004798906135867853
SCNN1D,-0.004799260005956478
LRRC2,-0.004799906297983463
ARPP-21,-0.004799973079943397
ACSL6,-0.004800132376164266
CPA1,-0.004800513233254176
GCNT4,-0.004802315301208504
SMR3B,-0.0048045098924256475
MLCK,-0.00480633449890629
ANGPTL3,-0.004807075270664327
KIR3DX1,-0.004809191015962015
RORB,-0.00480978881580899
NDST3,-0.004811144462417425
MS4A3,-0.004811952361067144
SORCS3,-0.004815291320174291
ZNF221,-0.004816386981642202
CCL1,-0.0048166776928876545
UGT2B4,-0.004817161355070353
E2F2,-0.004817522039019317
C14orf161,-0.004818194226643347
HIST1H2AL,-0.004818247690165684
ACCN3,-0.004818842829609242
GABRB3,-0.004819085128376694
POU4F3,-0.004820149218642158
SLC22A13,-0.004820500746536078
TNFRSF10D,-0.004821521683367057
ZNF132,-0.004822368291682234
SCG3,-0.004823377352245976
IL5,-0.004825547331637925
AZU1,-0.004825670589629859
OR10H2,-0.0048259543386984
PRND,-0.004827971107508634
GNRH1,-0.004828637809986946
RIG,-0.004829467017357732
FAM5C,-0.004830908228400208
PYGM,-0.0048325758304286585
PCDHA6,-0.004834133886918928
F13B,-0.0048353904186519345
GRIP1,-0.004835663698319993
TAS2R8,-0.004835871880483159
DGCR6L,-0.004835902962451146
FOXI1,-0.004836949272304625
C9orf38,-0.004837023922832325
NBLA00301,-0.004837461492265371
ANP32C,-0.004838416826661214
PRL,-0.004839827496124881
ADIPOQ,-0.004840072063630427
SOX3,-0.004840793105087698
PRKCG,-0.004841246121339009
ZRSR1,-0.004841257150292082
PDZRN4,-0.004842861654972548
HOXB13,-0.004843413877826984
GHSR,-0.0048437480012287655
GABRA5,-0.0048441109471281454
B3GALT1,-0.0048457421588442235
CNTN6,-0.00484577678630233
MAGEC3,-0.004847171387924183
ZNF711,-0.0048473696067712155
MMP8,-0.004847755170029453
OR1A2,-0.004848040015633701
CACNG2,-0.004849483823860513
CYP2F1,-0.004849819932051299
ALB,-0.004850278914588865
C8orf17,-0.004852122494469684
FCER2,-0.004853110124429339
SLC13A1,-0.004853291976654147
ASTN1,-0.004854319981901171
C8G,-0.004854942614632226
LGALS13,-0.004855798409631472
N4BP3,-0.004856852844378154
SCT,-0.004856864486146676
LOC390688,-0.004856983507541399
CHRNB4,-0.00485770391888239
KCNC1,-0.004857726065777973
CBX2,-0.004859049831656463
DDX25,-0.00485991522192494
NTRK1,-0.004860674795273846
MYH13,-0.004862361865418778
CYP3A43,-0.004862520483988048
OR11A1,-0.0048632315119456395
ADRA1A,-0.004863259346824937
JPH2,-0.004863430478987661
ST8SIA5,-0.00486358609480056
PTGDR,-0.0048638627150405685
ASIP,-0.00486531674010554
DLG2,-0.0048667648181905275
OR3A1,-0.004867135109242796
SULT2A1,-0.004867489335093206
CHRM2,-0.0048693905804856295
TRPC3,-0.004869582189715224
OR2J2,-0.00486979257211615
LRTM1,-0.004870331265868599
ST8SIA2,-0.004871161699468891
FOXH1,-0.004871184399133831
PPM1E,-0.004871454228737626
AICDA,-0.0048715673777287955
HTN1,-0.004872793579479209
MUPCDH,-0.004873775298484125
CSN2,-0.004875240130540043
LPAL2,-0.004876258054193353
DNTT,-0.004877325502781505
TUBB4Q,-0.004877994340920182
PLA2G2E,-0.004879532679019215
NAT8,-0.004879624507992838
GUCA2B,-0.004881325923934949
EFNA5,-0.004881463681541828
IKZF3,-0.004882283339178942
OGN,-0.004883142363817973
NXF3,-0.004883921022212713
ATRNL1,-0.004887146642360379
GML,-0.004887151452983753
TSSK1B,-0.0048896933807533694
EPHA7,-0.004890472107629907
UNC5C,-0.004890843356263864
TLX3,-0.004891553132011847
PTPRJ,-0.004891648259152701
KCNQ2,-0.0048924915910333764
GNG13,-0.004892925845718388
SEMA3D,-0.004892953557727057
MAGI1,-0.004893288278833046
MEP1B,-0.004894840394588033
GRM6,-0.004895010201115136
AOC2,-0.004896343222426891
OR51E2,-0.004899242506527563
ZNF507,-0.00489951626798865
ACTL7B,-0.004899529636307827
SLC22A11,-0.004901055586539418
MMP20,-0.004902879527024486
SLC30A10,-0.004903029601526425
GPR17,-0.004903215683038734
ATP2B3,-0.004903703365728443
MIA2,-0.00490398721524108
TRPC5,-0.004904010124779153
KCNB2,-0.00490418671274088
SLC17A4,-0.00490532334838156
IL21,-0.004907834785771916
THAP9,-0.004909454993699655
TLX2,-0.004910876711503462
SMAD9,-0.004911242858041383
ZNF780B,-0.004911371090137964
GDAP1L1,-0.00491207934063233
ZBTB33,-0.004912348471708987
NTN2L,-0.004912991058022188
MMP26,-0.004913226087540092
TMOD2,-0.004914246898968572
PRSS7,-0.004914949606628637
NMUR1,-0.004915479901822092
MS4A12,-0.004915900722766536
ABCB4,-0.004916741850552502
TBC1D22B,-0.004918672850181026
PRDM8,-0.004918840051704125
PEX5L,-0.004919345446454277
HBZ,-0.004920891581932347
ABCB1,-0.004921383891610794
ZNF257,-0.004924167633591316
PCDHA3,-0.00492477037162866
SLC9A7,-0.004925055339455051
KCNK15,-0.004925192048946555
CYP11B1,-0.004926078807560616
RASA3,-0.004926809250190596
INSL6,-0.004927577040332846
GLRA3,-0.004928690606152419
MYL7,-0.004929168054606058
FLJ13224,-0.004929639478794459
TSHB,-0.004930148258264753
CUTL2,-0.0049309207816874544
HAND1,-0.004931022849100589
RBP3,-0.004931340661840206
DMP1,-0.0049323602629521455
OR10C1,-0.004932962941643281
MYO1A,-0.004933177633591399
LPA,-0.0049337196263848325
F10,-0.004934788539128074
FGF20,-0.0049373132703079674
PCDHB17,-0.004938263861964487
MAGEB1,-0.00493860387672354
KRTAP1-3,-0.004938946293325448
