Genes,Gene_Values
COMP,0.08274881962502338
OLFM4,0.08187732770157981
GAL,0.06418032417181227
BEX1,0.06353442325630566
NLRP2,0.0586551124343356
EPYC,0.05785484592396993
TNFRSF11B,0.05714627201301472
SERPINB2,0.05145488800428141
MIA,0.04981716468710146
SLCO1B3,0.04917662881749001
MAGEA4,0.04797007820507906
POU2AF1,0.04680056097811979
S100P,0.04582409952123831
SPOCK1,0.04452716361946406
IGF2BP2,0.04450181845303605
PIGR,0.044107512903220604
PCP4,0.043892584247279515
PRR4,0.04348293413288289
PRB3,0.04332016466035382
GPR37,0.04088322341062728
PRB4,0.040438738617216516
ABCA12,0.03991226799639099
TCHH,0.039693152167283675
KCNK3,0.03853826921374361
GPR87,0.038489765476473474
CLDN8,0.0382511197321971
VSNL1,0.03803271154836264
PTX3,0.03803238452979292
B4GALT4,0.03727976475527954
FZD10,0.03697902438585352
PDPN,0.036351846927448014
CHI3L2,0.035434426964473686
P2RY1,0.034235679105431314
PDE4B,0.03419476553535759
DENND1A,0.034111874539382935
PCSK1N,0.033920410023549834
NELL2,0.03388249847530761
SLCO3A1,0.033839289086129994
PTPRZ1,0.033516712653815506
BBOX1,0.03344098060505239
GABRP,0.03321043789319346
GSTT1,0.032791989387066116
DUOX2,0.03260841513962672
UVRAG,0.03233104394868435
CXCL9,0.032201619689268095
AGT,0.032136469065939005
KRT1,0.03138675664332723
SEMA3E,0.03137234644049737
HLA-DQB1,0.03119782862074533
PTN,0.031190084663328406
RHCG,0.031002860079821292
TGFBR3,0.030946383383049107
DHRS2,0.030882536022677636
PI3,0.030841791387659682
RGS20,0.03079632593960664
TCN1,0.03070710724989176
IFI27,0.030691180843907383
GAA,0.030640038219917717
RNF128,0.03031103746265241
MSX1,0.03028079407854013
PRAME,0.0301176854282976
PCDHB12,0.02998527773488749
C3orf14,0.029916608537722288
NUPR1,0.029841990325867238
ASH2L,0.02982408857498658
CBR1,0.029426352834273382
TFF3,0.029347604325700254
FADS3,0.02899075656522063
ALDH1L1,0.028969656198666885
MOCOS,0.028934490236264637
AKR1B10,0.028919249271803116
CRYBB2,0.028773060678950798
HMGA2,0.028752424543017727
PGLYRP4,0.028730861673987182
SLC1A6,0.028687523100690247
CP,0.02867077970834916
TSPYL5,0.028340823763410544
RAMP1,0.0281957801126586
EFCAB2,0.028135484062084024
GOLSYN,0.027621395775866003
UBD,0.02758812174782412
FZD1,0.027486521657494163
PROS1,0.027375125215772716
KCTD14,0.027339187432951252
SCEL,0.02731617725995069
C6orf15,0.027282469929963762
KAL1,0.027248394245495647
INDO,0.027215666406571623
COL4A5,0.027200312702470388
RPRM,0.027132476881266156
CLDN3,0.027121898438377284
TTC23,0.027087642796308355
ANKRD57,0.027042270415293366
TUBGCP4,0.026960985525246308
RAPGEFL1,0.02693846291779273
NPPC,0.02690313574029267
PTHLH,0.02666135744010688
ECHDC3,0.026560746199185675
CEACAM5,0.026541685136622917
CRELD1,0.02648216693763923
DMBT1,0.0264278126909375
WNT4,0.026379922903972373
MSH2,0.02630066873216135
RCL1,0.026278673980481875
SERPINB10,0.026205923561496394
CD200,0.026126784404238813
RASIP1,0.0259743863968297
CLDN1,0.02593344283088859
MMP3,0.02585071211439917
TMEM100,0.025758141469625087
PDIA3,0.025726630448389298
FAM50B,0.025708870345445556
MMP9,0.02564934820035654
TRAT1,0.025550426408208787
IL1RAP,0.0254385873956808
H2AFY2,0.0254331848040186
PLCE1,0.02537633036328137
KYNU,0.025365508935554698
HEATR6,0.025347764022491025
DPYSL3,0.025230275611511588
UGT2A1,0.02506205973992181
FIGF,0.024895737396462655
FMO3,0.024841579043418237
