Genes,Gene_Values
FABP7,0.09289554889695104
C6orf15,0.07840098739520783
OLFM4,0.06345758908837512
GSTT1,0.058746450503844
MAGEC2,0.05513300622164882
HSD17B3,0.053327820220950416
PTN,0.049050610493263286
KRT14,0.04891495621338902
NLRP2,0.0486328539728871
IL13RA2,0.0484721540659775
HSPA1A,0.04687594765903922
PPBP,0.04664926920562816
RPL39L,0.046647094783391005
CCL20,0.046540291549084144
SERPINB3,0.04599527936139308
ID1,0.04494757408984972
TAC1,0.044094774997249384
MGC87042,0.04306738034459838
IER3,0.04282820389399191
CYP24A1,0.04235484248613508
DSC1,0.041984045094266814
VTCN1,0.041442861340808206
CEL,0.041361385460744686
BAMBI,0.040585999680046156
KRT13,0.040382336819312935
SPRR3,0.04033778269275202
MMP13,0.04009718216636638
KRT1,0.040044858241156986
ATP12A,0.039979672069504354
CILP,0.03959075994738136
CACNA2D3,0.039579204740079046
AKR1C3,0.03937945273252134
NPTX2,0.039305933037606905
PRSS3,0.03905284968895676
NETO2,0.038936297727796186
SERTAD3,0.038743878328099265
SCIN,0.03837329254930954
EREG,0.03833617966475094
CR2,0.038171606812038704
CH25H,0.037940520985147455
APOD,0.037545346880523495
RHCG,0.03721531935156701
PTH2R,0.03705974143108675
MMP3,0.036976776550658966
MATN2,0.036927757092174614
CHI3L2,0.03659001802009016
IGF1R,0.036127255446194224
SLC22A3,0.035597657196605806
PCLO,0.035470073329272496
ATP8A2,0.034949811793536234
TMEM16A,0.034623111072887874
PGC,0.03462303864025215
CX3CR1,0.034409830072776405
ERMP1,0.034213437362779875
RYR1,0.034187565592480665
RAB4B,0.03411605605421288
CCL11,0.03376421464018444
SAC,0.03371027464082999
RBP1,0.033628558789985455
ANGPT2,0.0335564168388329
PLS1,0.033338659660164055
PRR4,0.033280531770806775
CHIA,0.033211157658550136
IL24,0.032929638801762605
GPC3,0.032418914245579314
TMEM158,0.03239146423507318
HDDC2,0.03231925183267808
KRT24,0.03227854754876496
SELE,0.03195054004153897
ARG1,0.031910439817985047
SELL,0.03154879531605294
MME,0.03145400300536451
IGF2,0.0313394584615488
MS4A1,0.031224379839152803
SUPT3H,0.031220969198324414
PIPOX,0.03119906535258792
UGT8,0.03115112118299555
TMSL8,0.031029250391250127
NRTN,0.030861144618588496
WNT4,0.03042566636506701
ABHD11,0.030416482830969233
MAOB,0.030403622152881376
ABCC2,0.030135678161836193
ITPKC,0.030050872739551645
MAP4K1,0.029899612703816723
RNF128,0.02971052956287106
WNT7B,0.029566026494549546
ERLIN2,0.02936104217309072
CYP4B1,0.029346925323285495
ITIH5,0.029289471666207354
COL11A1,0.02926472906233503
ZIC1,0.029035992126899796
LTF,0.02862487930568223
RAB38,0.028480996102768552
XK,0.028438269493641966
SLC35F2,0.028438083441930606
CXADR,0.028435167440434235
ANK3,0.028375598458771845
ERC1,0.0283016247190511
CTSG,0.028265758321245733
HNT,0.028195643046356474
NAV2,0.028007195055560007
FIP1L1,0.028004393749284148
CRYZ,0.027997074188752906
IL1A,0.027932342582758667
HOXA10,0.02790491156693251
API5,0.027685862604960584
DMD,0.027665237867675784
LDHB,0.02760463685627492
CAMK1D,0.027576654135349522
NQO2,0.027517828919272295
RIBC2,0.027503041384445946
FGB,0.02745359037230861
C6orf105,0.02739761612675387
LGALS2,0.027246218826107844
C20orf42,0.02716026926055759
RNF138,0.0271517085105795
TFAM,0.027139799068927828
ABCA8,0.02694375121444294
SCEL,0.026932142875673925
DUSP2,0.026906783320021766
TF,0.026807573476031327
SLCO1B3,0.02669430549326779
ETV5,0.026638420665676586
TPD52L1,0.026575740512562573
TLR5,0.026547332547730708
NCAPD2,0.02644170113553446
CLDN18,0.02635118077656136
ANXA3,0.026250323264428815
DNASE1L3,0.02619652727413394
FABP4,0.02609533775754363
AMIGO2,0.025941272834088588
TPTE,0.0257631985150186
NSUN5B,0.025754623824905256
NELL2,0.025750153264678804
DDIT4,0.025502499735306463
FMO5,0.025498084655380282
PSORS1C2,0.025468052789793694
PF4V1,0.025402171966781024
CYP39A1,0.025308343732433746
FER,0.025218703782076916
B4GALNT1,0.025137240056123496
SLC41A3,0.025132409930140178
DCK,0.0251171160778605
GPRC5D,0.025098309356414557
KRT20,0.025096445995823325
SIGIRR,0.02506886011623951
INHBB,0.024937259348210387
PMAIP1,0.024773991824356495
TPST1,0.024727725447923628
BBOX1,0.02461103711938445
SLC9A3R1,0.024608870203230465
