Genes,Gene_Values
FABP7,0.09289554889694958
C6orf15,0.07840098739520798
OLFM4,0.0634575890883755
GSTT1,0.0587464505038425
MAGEC2,0.0551330062216498
HSD17B3,0.05332782022095217
PTN,0.04905061049326237
KRT14,0.048914956213384056
NLRP2,0.04863285397288222
IL13RA2,0.048472154065978094
HSPA1A,0.04687594765903818
PPBP,0.0466492692056277
RPL39L,0.046647094783389194
CCL20,0.04654029154908151
SERPINB3,0.04599527936139019
ID1,0.04494757408984928
TAC1,0.04409477499724862
MGC87042,0.0430673803445969
IER3,0.042828203893990974
CYP24A1,0.04235484248613862
DSC1,0.04198404509426806
VTCN1,0.04144286134080536
CEL,0.04136138546074374
BAMBI,0.0405859996800459
KRT13,0.04038233681931658
SPRR3,0.04033778269275393
MMP13,0.04009718216636555
KRT1,0.04004485824115661
ATP12A,0.03997967206950462
CILP,0.03959075994738338
CACNA2D3,0.039579204740078165
AKR1C3,0.03937945273252187
NPTX2,0.03930593303760767
PRSS3,0.0390528496889585
NETO2,0.03893629772779701
SERTAD3,0.038743878328099356
SCIN,0.038373292549308866
EREG,0.038336179664749996
CR2,0.03817160681203994
CH25H,0.037940520985147094
APOD,0.03754534688052431
RHCG,0.03721531935156934
PTH2R,0.03705974143108709
MMP3,0.03697677655065891
MATN2,0.03692775709217437
CHI3L2,0.03659001802009366
IGF1R,0.03612725544619458
SLC22A3,0.035597657196606534
PCLO,0.03547007332927203
ATP8A2,0.03494981179353711
TMEM16A,0.034623111072886334
PGC,0.034623038640252395
CX3CR1,0.03440983007277565
ERMP1,0.03421343736277923
RYR1,0.034187565592481706
RAB4B,0.03411605605421222
CCL11,0.03376421464018456
SAC,0.03371027464083083
RBP1,0.03362855878998876
ANGPT2,0.033556416838834334
PLS1,0.03333865966016561
PRR4,0.033280531770806254
CHIA,0.03321115765855127
IL24,0.032929638801761
GPC3,0.03241891424557759
TMEM158,0.03239146423507541
HDDC2,0.032319251832677545
KRT24,0.03227854754876185
SELE,0.031950540041540784
ARG1,0.031910439817984075
SELL,0.031548795316053715
MME,0.03145400300536247
IGF2,0.03133945846154956
MS4A1,0.031224379839152282
SUPT3H,0.031220969198324684
PIPOX,0.03119906535258841
UGT8,0.031151121182995713
TMSL8,0.03102925039124964
NRTN,0.03086114461858807
WNT4,0.030425666365067147
ABHD11,0.030416482830969014
MAOB,0.03040362215288273
ABCC2,0.030135678161835582
ITPKC,0.030050872739552287
MAP4K1,0.029899612703816136
RNF128,0.029710529562870985
WNT7B,0.029566026494549758
ERLIN2,0.029361042173091642
CYP4B1,0.029346925323286255
ITIH5,0.02928947166620761
COL11A1,0.029264729062336254
ZIC1,0.029035992126901673
LTF,0.028624879305682815
RAB38,0.028480996102768916
XK,0.028438269493641897
SLC35F2,0.02843808344193178
CXADR,0.02843516744043489
ANK3,0.028375598458771033
ERC1,0.028301624719052287
CTSG,0.028265758321246587
HNT,0.02819564304635664
NAV2,0.028007195055560704
FIP1L1,0.028004393749283412
CRYZ,0.027997074188753582
IL1A,0.02793234258275976
HOXA10,0.027904911566933744
API5,0.027685862604960514
DMD,0.027665237867675333
LDHB,0.027604636856273537
CAMK1D,0.02757665413534914
NQO2,0.02751782891927322
RIBC2,0.027503041384446567
FGB,0.027453590372309822
C6orf105,0.027397616126756837
