Genes,Gene_Values
MAGEA4,0.14465463553484553
MAGEA12,0.10237812532951199
MAGEA1,0.09716456478128255
MAGEA9,0.09108461685583721
MAGEA5,0.0767945088940441
MAGEA11,0.07449325582429354
MAGEA10,0.07075111617133267
RPS4Y1,0.06898001971961862
NEFH,0.06152024798840687
FABP6,0.05781624352423452
PRSS21,0.05571987055622447
MAGEB2,0.054814475997070164
STAR,0.05246376668318309
PTH2R,0.04559687339877047
PLAC1,0.04548905245413777
GPR87,0.04250667279791754
NTS,0.04061812964964193
TREM1,0.04059371180352842
MAGEC2,0.04045558527759047
HLA-DQA1,0.03922144224287298
COL10A1,0.039213639899415335
SPINK1,0.03897709355358628
MARCO,0.03827817674966281
ALDH8A1,0.038101445821161754
PRAME,0.037969439398322716
GREM1,0.03768389590143053
CILP,0.03707734028284504
HPGD,0.03603683336577691
ABHD9,0.035998863260939415
MAGEC1,0.03543376805492938
CSTA,0.03534755910955549
CLDN1,0.0350384688295126
DPT,0.03488473012626302
COL11A1,0.034824955831347974
SLC35F2,0.034511888975662465
C1orf34,0.03385188658703534
CEL,0.033646826872998734
C20orf42,0.03265408363168823
C3orf14,0.03238568881413587
SFRP4,0.03210935092852441
ALDOC,0.03187440534236707
DCN,0.03159176036464278
CPS1,0.031506380305737505
MOCOS,0.031492468623456844
KCNS3,0.03145334753748531
CXorf48,0.03142136424800342
JARID1D,0.031375749473436285
KRT15,0.030732745008929425
CTAG2,0.030590714608758625
GLS2,0.030457861286161396
RARRES2,0.030184926267023175
MYCL1,0.030074209872569015
POPDC3,0.030013039749350698
HSD17B1,0.029694978433104716
MOXD1,0.029540157927179272
FGG,0.02943846158264225
CHST2,0.029303915330514962
GATM,0.029177778356117012
OCA2,0.029086181079124876
LRRC15,0.02896044961355585
UPK1B,0.028693665125670856
CALCA,0.02855762598060028
FABP7,0.02848607178715847
SNCAIP,0.027988324820360972
MYO6,0.027972567894172132
NPPC,0.027969248216285478
DDX3Y,0.027937135459758934
C6orf105,0.027902062735695485
NOS3,0.027399509015430437
FMO1,0.027373404125092423
CYP27B1,0.027245440066818567
MMP1,0.0271206573062904
WISP3,0.02701755289270404
FAP,0.027009594393842335
PPIC,0.026967352028554308
PDGFRL,0.02687544700534362
SCG5,0.0265969587780323
PAGE1,0.02657359751855746
ICAM4,0.026543440372920613
CNTN1,0.02643706246743356
SDCCAG8,0.02624987436942145
LXN,0.026178960149318423
CD200,0.02609136185566368
SPON1,0.02581036687202901
ITGBL1,0.02568161882837426
BHMT2,0.02552878628896601
PLN,0.02547029009218502
SLC12A8,0.025294176587480795
TFF2,0.025003680977074144
GALNT11,0.024993903512696383
PCOLCE2,0.02484847604701275
ABCC4,0.024790935818204185
TWSG1,0.024771051376407616
DALRD3,0.024761335459758314
SLC25A20,0.024701718659219152
GBA3,0.02464546454897335
EIF1AY,0.024489608219421966
KRT20,0.02448829053813469
IL1F5,0.02433001701380998
TMEM118,0.024265371080025657
MAOA,0.02424051185711563
RNF128,0.0241726097039777
FBP1,0.02408666339091118
WDR91,0.024019689151099536
SYT1,0.023923916733354256
PVALB,0.0238402959649346
SAGE1,0.0237167300683216
CCL11,0.023506759487260394
ADFP,0.02335296266349858
TRPM2,0.023293614433856327
PLEKHA1,0.023180622631551115
PLAU,0.023131153191673293
