Genes,Gene_Values
FGG,0.058761194720566005
SFTPD,0.04977094638856932
SFTPC,0.04893782194458071
TFPI2,0.04623715074378548
LMO3,0.0461593245233267
CST6,0.0459141020670239
MMP13,0.04464967202733853
FOLR1,0.04438099891027174
SERPINA1,0.04407974626398851
C4BPA,0.043255565269574234
SLC34A2,0.04108444001959097
PDZK1IP1,0.0395195158347069
SERPINA3,0.038470518631984946
CXCL2,0.0379435068160588
CAMK2N1,0.037934618173851055
CTSE,0.037709069624352054
FLRT3,0.03708036515754199
C7,0.03655646716808014
CYP24A1,0.03637723373200467
AIM2,0.03617332469016734
TREM1,0.03581549008253958
C4orf31,0.035589298128261226
IL32,0.03536552537878469
MMP7,0.03528951055557744
SLC6A14,0.03512709362359732
TMEPAI,0.03506941345313217
DPYD,0.03499172614002519
CYP4B1,0.034925696758199926
EVI2B,0.034923530423346276
CRIP1,0.034782735337967226
ACSL5,0.034436868539171495
MLPH,0.034367924104475346
COLEC12,0.03419507653082435
CCL20,0.03402470486597172
CLEC2B,0.03383554976007617
S100A7,0.0338199022072336
ICAM1,0.03377493517202839
DMBT1,0.03372572814068418
GPR116,0.03357155872574098
BIRC3,0.033521800657075544
PTGS2,0.033514967781946355
FABP4,0.033449532319483444
IL7R,0.0333068454591002
FHL2,0.033249774156661846
CFI,0.03323253094360435
HLA-DQB1,0.033129758413607345
HLA-DMA,0.033054688033244156
BST2,0.03295325853004737
CDH11,0.03289091957726232
SFTPB,0.03287579068238771
C3,0.0327842858685259
SLCO2A1,0.03275216185835308
FCGR2B,0.03265300300259219
CXCL11,0.03257476332369611
ALOX5AP,0.03238583120271777
PTPRC,0.032351514493955895
TIMP3,0.03233182556460811
MNDA,0.03232776303411988
UBD,0.03228279986890052
NNMT,0.03227219967490406
PTGDS,0.03212845664404787
AMIGO2,0.03206743574601852
LY75,0.0320181759308674
G0S2,0.03196614753294867
NT5E,0.031931888043743244
VCAM1,0.03172641242732864
CXCL10,0.031708900310810036
CSF2RB,0.03164349798732922
EVI2A,0.03161996526834323
IFI44,0.031574161549382376
EMP3,0.03156371080567013
CYP1B1,0.031507287491399534
COL5A1,0.031418637085657355
AQP1,0.03141774798279516
SERPING1,0.031290311711795325
CILP,0.03127138505539895
CD163,0.031201401740574168
GIMAP4,0.031192945403478833
TMEM100,0.031178052848382144
CXCL13,0.031063669303327615
LRRC15,0.030880020455689813
IGLV3-25,0.030795679492292775
CLIC3,0.03076980499085306
LPXN,0.03073315727561116
GPRC5A,0.03067921433185272
EBI2,0.030572921046368995
RNASE1,0.03033091035603894
IL10RA,0.030277909967005714
PSCDBP,0.03016945011503872
PGC,0.030028287457625067
CD69,0.029997062460553874
TAGLN,0.02994103275179444
C1QA,0.029862558566333464
CD52,0.029820504118842794
MUC1,0.029765137065853892
OLR1,0.02974201667629229
CRIP2,0.029713427344063275
TNS3,0.029693914606815832
PAPSS2,0.029648694031451088
ITGB6,0.029599763186599133
DAB2,0.029577291257316462
IGHD,0.029468427282916
LY96,0.029361239426324976
AKAP12,0.029132751923599196
RFTN1,0.029118907345768368
DRAM,0.02903356523028604
GREM1,0.028935571671922202
MMP9,0.028799720048892186
ITGB2,0.02879082318431185
COL10A1,0.028785013215736347
COL5A2,0.028701601604323432
AREG,0.028677903727382693
TMEM45A,0.028637991503361184
MMP1,0.028579970567229822
MOXD1,0.028548477907457098
CD53,0.028374383524327244
QPCT,0.028372779932482172
MARCO,0.02833283946781439
SLC16A4,0.02831596778109814
CD74,0.028200876093921873
CCL5,0.0281911466785282
LPL,0.02816024837947774
SELL,0.028159103132219948
CXorf9,0.028093275713412726
COL11A1,0.02803522562324387
HLA-DPB1,0.028029092682835828
VCAN,0.02791382074859995
FXYD5,0.02791179953215308
MMP2,0.0279096029157872
PXDN,0.027909204269410882
HEPH,0.027904073211454106
TMC5,0.027861293305001155
CECR1,0.027842412567110845
INDO,0.027725902718354175
AYTL2,0.027680385955928796
HLA-DRA,0.02767720669510968
IFI44L,0.027647578749315477
LTB,0.0276376316701299
FBLN5,0.0275931945007959
VSIG4,0.027559571282430362
IGKV1-5,0.027509390914291935
LRRC17,0.027504944646791894
C1QB,0.02738742929405645
MS4A4A,0.02738261534770352
PLA2G7,0.027380847071927925
CHI3L2,0.027377148468705478
ARHGDIB,0.02732674921136971
BHLHB3,0.027295546431097308
RNASE6,0.027262834569565172
FAP,0.027257210430640843
CORO1A,0.027246996905219832
HLA-DMB,0.02724118719443473
FCGR2A,0.027238580218719898
KIAA1199,0.02723077027690857
BCL2A1,0.02718507246147646
RARRES1,0.02706808532871119
GFPT2,0.02703386754413825
CP,0.027022072004572635
LTF,0.02693971159395741
ChGn,0.026865097250887062
FCER1A,0.02680048449082375
THBS2,0.026795519527875383
TYROBP,0.02672187224148879
EDNRA,0.026689160358208334
IFIT1,0.026683917456486916
FYB,0.02667585383119957
CCR1,0.02667025391620905
TNFRSF1B,0.026605688210419042
RSAD2,0.026601984640421985
SPINK1,0.02659598976347691
MT1E,0.026586021996446652
PCOLCE,0.026582791090981196
CRABP2,0.026567265745268045
CST7,0.026542953033721412
COMP,0.026536263634861928
LY86,0.026528732362879223
CCL18,0.02648995265724178
LCP1,0.02635783332208097
ADH1B,0.026319023444836578
MYL9,0.026302104344889055
C1orf38,0.02626950787901784
GMFG,0.026263730911239333
SELENBP1,0.026248290995481642
MFAP4,0.02623984739624075
TMEM176B,0.026179771045789488
OLFML3,0.026118279625410815
TGFBI,0.02610802429843919
NINJ2,0.026101559784229306
CLDN10,0.026062712805509945
SLA,0.02605175293465561
GATA6,0.02604752108952964
AEBP1,0.026033128482004547
CD2,0.026003284797911363
CD93,0.025987715573229934
ALDH1A3,0.025978773450649473
AOC3,0.025978733373963683
SLC7A7,0.02589214938285996
SPON1,0.025891144769069695
CD14,0.02586709178240188
FCER1G,0.025866279524532836
FCGR3B,0.02586455360136089
IGKC,0.02584581909760121
DOCK2,0.02582735933434403
A2M,0.025798460008547224
EREG,0.025778080810824926
IL4R,0.025771186817459275
PON3,0.025758063885442505
FGL2,0.02572901291228158
CX3CR1,0.02571287805154942
HLA-DPA1,0.025710860411852256
CXCL1,0.025688262178884064
SAMSN1,0.025679532920161566
RARRES2,0.025658782392961522
FILIP1L,0.025653049530225572
MGLL,0.025642324369693468
PDZD2,0.025554899770210405
ARHGAP29,0.025491939761796287
APOC1,0.02547955586801978
ITGBL1,0.025477011816053274
RRAS,0.025457777851211588
MGP,0.025428412054089865
GNG11,0.025382782136695727
PLEK2,0.02534843457023546
PTPRE,0.0253345613400614
SRGN,0.025308314168481786
IFITM2,0.02525894240855926
