Genes,Gene_Values
CLDN10,0.0737175708098947
IGKV1-5,0.0646245834989921
CXCL9,0.05837595602158079
LTF,0.05623366229791168
TMEM16A,0.051929016701445396
ALDOC,0.050817750739513605
AIM2,0.05031445404294975
PCSK1N,0.04837924004490479
F12,0.047720811528377864
TCN1,0.04683535000983784
GAL,0.04665334520034396
MT1E,0.04620206779832732
DEFB1,0.04507863781892288
DKK4,0.043160617018234954
C5orf23,0.0430916435456298
IGLV3-25,0.0430619585197796
SMARCD3,0.042747007890103876
VSNL1,0.04264502953781785
CYB5R2,0.04172728637951953
SLC6A8,0.04150147077587968
PDZK1IP1,0.04144439773801013
EIF2S3,0.04142821771329081
TNNT1,0.04129867231152904
HOXC10,0.041097451947429635
ENO2,0.04096222353862635
MGC29506,0.039894582992952836
S100A14,0.03882557117033466
NUDT11,0.03876954913372086
PAEP,0.038621554167308135
POU2AF1,0.03843813968406981
EEF1A2,0.03812891689495955
COCH,0.037771329114736296
FMO1,0.03777045074305725
S100A7,0.03697390072597533
TMSL8,0.03625433674032017
DEFA5,0.03572515966363669
DYNC1I1,0.03559953407958275
SCGB1A1,0.035241577829484394
GSPT2,0.035161002899542805
IGHM,0.035149281461063324
RAB6B,0.034866045560706015
CGREF1,0.03479998952723022
TNFRSF17,0.0346600948410746
HIST3H2A,0.034612846187987614
NPR3,0.03421523441587504
GALNT14,0.033882771265813905
NDUFA4L2,0.03376100496397866
SYNGR3,0.033750493207236235
IGKC,0.03352839604822446
EPHB3,0.033352161978532
IL12RB2,0.03325879531410838
PIM2,0.03292925129961921
KCNS3,0.03284637890102666
PCP4,0.03273578907409461
NRIP3,0.03240080603654989
C7,0.03199173703784889
RPL39L,0.0317571448080175
KCTD14,0.03168950828981562
ZNF239,0.03164007700675869
SFTPC,0.03135148961185816
HSD17B1,0.031057592970950478
FOXF2,0.03096804067573902
CCL19,0.03075916233628087
PFKP,0.030641743876384398
PIP,0.030641285628357422
IRX5,0.030619356473844162
LOC89944,0.030349458069192002
LTBP3,0.030337862817302184
NES,0.030249567879205953
FLJ10986,0.0302422358659094
FGFBP1,0.02980716003062004
BST2,0.02978564575742792
NEFH,0.029630521005878853
CAMTA1,0.029556302136844653
CST1,0.02949243507895626
DBN1,0.029313644175126424
PLP2,0.028991125878228545
CTA-246H3.1,0.02881657895411668
ENTPD3,0.02874117080768576
TWIST1,0.028738819486379404
RAB38,0.02845382584751136
IFI27,0.02825278543009638
GREM1,0.028081664128998117
MMP10,0.02806837777648025
HDAC9,0.028026741632389492
BMP4,0.028022861399473634
NPY,0.02797243176821045
BMP5,0.027811684878279917
CHI3L1,0.02779871278170713
TAP1,0.027525526924943682
TMEM134,0.027499918942867827
NPTX2,0.02736693446887688
ECM1,0.027284703813974718
PGF,0.02714744929165021
EGLN3,0.02710214088739323
LDOC1,0.02697371044564259
NMU,0.02696283497342562
PIP3-E,0.02696086858851853
CTPS2,0.026943857588461028
IGLV2-14,0.026925533121590815
GSTA4,0.026871593206586872
MXI1,0.026839533934716695
MGMT,0.026740635603365318
