Genes,Gene_Values
NTS,0.06928900578992889
CRYAB,0.06309348077050768
NUPR1,0.05633286520517386
MAGEB2,0.05630704665087991
EREG,0.05446569179992686
LCN2,0.05284071770962163
PAEP,0.05232576166324181
UCHL1,0.05195059594760993
SERPINB2,0.0516271117191582
PLUNC,0.05027329923144805
AREG,0.04740944738988058
RPS4Y1,0.04709626849813775
MGLL,0.045050075883028035
SLPI,0.0448990955062635
TNC,0.04420502102114552
PRSS8,0.04262631120575147
HOPX,0.04221566999049564
TFPI2,0.04216818226607566
TM4SF1,0.04165647881473336
TRIB3,0.04160174668301429
NMU,0.04144021877104384
CD55,0.04124607781251935
SERPINB13,0.04087756774446887
SCEL,0.04069812723523179
PI3,0.04046702991191821
KRT19,0.04016833687538277
ICAM4,0.03967596532460453
CLDN8,0.039394049391755274
ANXA1,0.039013509500038485
TNNT1,0.038466692553395146
ITGA2,0.03806909709001285
CLCA4,0.03794079617057986
CRABP2,0.037370255071091846
CBS,0.03660446147336325
CHI3L1,0.03654520853229201
ARSJ,0.0365406426383448
STAR,0.035828801245166964
FBXO2,0.0358087159902807
PDE9A,0.035756610038993546
KRT15,0.03559492113251293
PRSS21,0.035312076190123304
RAB6B,0.0350910610731885
IGF2,0.03506351727780393
HBB,0.034673039292516986
UBE2S,0.0338387326332972
S100A14,0.033836428411371036
NXN,0.03363995141083283
IL8,0.03353514199063597
CXCL5,0.0333218153532974
CSN1S1,0.0329451583499336
BTG3,0.032712695102217706
ETV5,0.03269213791366032
MIA,0.032641726747671795
MAGEA1,0.03255988599939051
SYCP2,0.032378508304983226
AZGP1,0.03219437102899522
IQCB1,0.03167969745612823
ENTPD3,0.03151565444188402
ASS1,0.03146870948781973
ITPKA,0.031356751491889205
MYH11,0.03131466039820597
GABRE,0.03126220732167851
SMARCD3,0.03098525743315726
FBN2,0.030705696041266082
PRAME,0.030314710160574385
TSPAN3,0.030032702981174178
MMP13,0.03000088640315384
PDGFC,0.029912641775326515
RBBP8,0.02962773685557312
HSPB8,0.029193371192061016
ATF5,0.029072386385468923
WHSC1,0.02901807572193613
MED28,0.02860626051228482
CX3CL1,0.028603932122938762
TACC3,0.028495455995309733
PPL,0.028460051431072213
FAM3C,0.028409560152984886
C8orf70,0.0282399424745634
STATH,0.028178537131017912
DDIT3,0.028163252021347167
MXRA7,0.02811358029580272
KHDRBS3,0.02793525902830167
PDGFD,0.027720551285167167
PBEF1,0.027635890103160504
SPRR3,0.02763508365810736
PAMCI,0.027515763218089153
CLDN4,0.02748846725020892
CPE,0.027464604476921648
PER3,0.027409031438810252
FZD6,0.027281146750294864
DCBLD2,0.027101958317394308
KRT8,0.027066781173903782
CCL20,0.027036981301043407
SLBP,0.02700835761907938
CENTD1,0.026650975067625825
DUSP6,0.02662182716869934
GNGT1,0.026570124050660223
SRPX,0.02653301464138937
FXYD6,0.026508313496200378
GNG11,0.026375263872214897
ASNS,0.026325173818082075
ZDHHC11,0.02619204710625025
TNNC2,0.02603813822571833
SLC12A8,0.026029513900733957
ACSM3,0.025991293731807526
CTNNAL1,0.025704738189802668
CAMTA1,0.025627321382317828
TCP11,0.025625256328780557
DBP,0.025546911260428747
PARP6,0.02544222096548071
HSPBAP1,0.025400532713353813
FST,0.02525170999646324
ELOVL6,0.02522869987577243
LARP6,0.025207256522798056
FILIP1L,0.02519038025643022
NPPC,0.025071489748484888
RCAN1,0.025008217068912268
SPINK2,0.024969633181480242
ANKRD10,0.024931859525994665
CA11,0.024774281071154924
EPHA4,0.02469876151025869
FKBP10,0.02465404456834589
TCTN1,0.024651761021092247
CCL11,0.02455118174285218
SLC35F2,0.024542076054876683
TSTA3,0.02451376685883288
PLAC8,0.024504828001670878
PON2,0.024365762878033815
DUSP13,0.02435650976835771
GOLGA8A,0.024300722042566354
COCH,0.024169681679646626
CKM,0.024112075474038656
TCN1,0.024030162521527416
SPINK5,0.023975748827955952
BCHE,0.02384951019454291
MSMB,0.02365680428853636
RGS17,0.02362022620111952
HEY1,0.023577779539069144
LMO4,0.023567715143275134
MTHFD2L,0.02356393254774187
RAC3,0.0235206576713751
LOC339047,0.023499826517160365
ATP5I,0.023472484942690885
ZNF83,0.02339987212890729
SEC61A1,0.02332922875765268
PDIA5,0.023229729616966503
EFCAB2,0.023208001644100223
UBE1L2,0.023204723824175235
TKTL1,0.02317717655704427
HBA2,0.0230928182859089
ATF3,0.02303781285541732
DCN,0.02298527424421485
KIAA0746,0.022975455746925912
TIPARP,0.022872389934757348
SLC6A14,0.022860406030361054
JAG2,0.022859874373266177
HSPB1,0.02281289797325871
TMPRSS11D,0.022778052051118138
KIAA0232,0.022739471571547508
ECHDC2,0.02269875230327551
SGCG,0.02263912378139842
EPS8L1,0.022629114459846816
PAGE1,0.022587315215689005
SC4MOL,0.02250713485277429
ACSL1,0.022473967101034106
ZNF7,0.022461563775830053
LTBP3,0.022416740540343903
SHC1,0.022411475230294527
