Genes,Gene_Values
AKR1B10,0.06556573773182722
CXCL10,0.055878445663584436
AKR1C3,0.05262317329629305
CD48,0.05179722075331766
UCHL1,0.051194813310427446
BCL2A1,0.049684425520839126
ADAMDEC1,0.04955163584190333
IL8,0.049168805540847994
LY96,0.04861358905036875
RPL39L,0.04766458426197026
MMP12,0.047156426579201514
CBR3,0.04667629426729727
MAGEA4,0.04656740277814881
HLA-DQA1,0.045445049356522216
EVI2A,0.044361256936337454
CXCL9,0.043897110638974834
PSMB9,0.043378138200525745
GZMA,0.04263626193358935
UBD,0.042393259649809875
MS4A4A,0.041722990230660825
MNDA,0.0411690536335156
CES1,0.04097532245781374
SAMSN1,0.04083295112259443
LST1,0.03909770599321827
TDO2,0.0389246693173304
GSTM3,0.038864844196229764
RIT1,0.03882282305983546
SRGN,0.03862975786046953
IGKV1-5,0.038522965627071956
NQO1,0.03849932658285798
STK17B,0.038481739329608154
RGS1,0.038463056243532294
PI3,0.03846197661922259
CXCL11,0.03842207298093583
SERPINA3,0.03832558242058831
IGSF6,0.03821225351091957
GZMB,0.0368594818542503
CCL5,0.03659255809344218
KRT6B,0.03657609283147753
CD3D,0.036548858458230846
TNFAIP6,0.0365370164724089
CXCL13,0.036404265155211266
CBR1,0.03623755017869493
GCLM,0.03606726817017128
GULP1,0.03570684537872656
CD69,0.03565586713530442
MS4A6A,0.03557985511533339
ME1,0.03547461618322496
TFEC,0.035444377844079104
DKK1,0.03488403261542574
APOC1,0.03452917452624419
GMFG,0.03434921121296674
VSIG4,0.03397061961965394
HCP5,0.03373706987567369
CCL4,0.03359128757841954
TYROBP,0.03343254778067746
MAGEA1,0.03341292254062549
CLEC4A,0.033002203227025
VNN2,0.032806982952565455
APOBEC3B,0.0327040242228027
HLA-DRA,0.032684749309686414
EBI2,0.032653274130489296
CENPN,0.03249442437084647
HLA-DMB,0.03245981042555795
SNX10,0.03228361009137473
CCL18,0.032112073061882504
NRAS,0.03196787036329723
FCGR2B,0.03192582852893506
DEFB4,0.03173753977126108
RNASE6,0.031736229182727754
IL6,0.03168597343419144
FCER1G,0.03161503881381349
CD52,0.03155655631362193
PTHLH,0.031509136993655144
SPP1,0.03148440233920862
ALOX5AP,0.031440492074733116
CLEC7A,0.031309328454208404
PTPRC,0.03126571928171807
FCGR1A,0.03126532242585227
GOLT1B,0.03125932700328214
CYP4F11,0.03124777089667461
CNIH4,0.03102897476114875
RARRES1,0.03102130042016959
NR0B1,0.030943203287799634
GLIPR1,0.030779377165310078
NPM3,0.030773270773923164
KLHL7,0.030677943770597585
IL1A,0.030569919402010072
ADAM23,0.0304881757557874
CCL2,0.030436086181216477
S100A7,0.030340539878987598
C1QB,0.030142056632016936
CLEC2B,0.030100106331858723
BAG2,0.029898984424369657
FAS,0.029801957079339456
CD53,0.029795055553328325
TM4SF1,0.029472221585602396
TREM1,0.02945703518418839
HLA-DQB1,0.0293120444979589
ALDH3A1,0.029272796284388614
IL15,0.02919402466283953
RGS20,0.02916188570065945
RHOH,0.029052991050422045
CD163,0.028946679288687622
SLC7A11,0.028856887643791854
KRT16,0.028780709354924872
POPDC3,0.028637239621685778
VCAM1,0.028604493440127002
APOC2,0.028295413719055435
C3AR1,0.028253262466436488
CXCR4,0.02814298638146467
RAB32,0.027940254292617518
COPZ2,0.02780973715865426
NNMT,0.027744737710782272
LCP2,0.027724253229334816
TPD52L1,0.027606689478272262
NKG7,0.02755980049466512
GPR65,0.027487166660764468
ADH7,0.027403635158193794
RARRES2,0.02727750357720016
ARNTL2,0.027197610725758013
GREM1,0.027093293000624154
C17orf81,0.02708184109279704
SOD2,0.02699944098837645
HLA-DMA,0.026973063907417934
CD2,0.02687991904383918
GZMH,0.02682113708843991
PSMB8,0.026779843300083414
RARRES3,0.02677383769600129
PMAIP1,0.026684851305976354
HCK,0.02655397771845682
CDKN3,0.026544170296846345
CCNA1,0.026513118358630725
MAD2L1,0.02650330646193209
MMP1,0.026481476160749872
NCF2,0.026462485859532894
FCGR3B,0.026460482977493833
TOMM22,0.02639309181302383
MAGEA12,0.026336794937836656
ANXA3,0.026228689768035808
PBEF1,0.026222566765143743
KYNU,0.026195130775585114
OIP5,0.026158317370706043
TMEM22,0.026154925112110768
CDC2,0.0259572935359971
GZMK,0.02594809159533872
CD14,0.02591980283233602
ACP5,0.025888045584748415
FGL2,0.025868055400924257
CD38,0.025815816387821135
MRPL35,0.02573197452106231
