Genes,Gene_Values
CXCL14,0.10600437457598016
ABCA4,0.07569366958268216
LRAP,0.06887557513767437
FCGBP,0.0664373243573324
DEFB1,0.06358604611857412
PROM1,0.0609145339154581
SLCO1B3,0.05687809956137198
PRSS21,0.056216067039816936
SFTPC,0.050067569557968636
CST1,0.050030044455448924
GPX7,0.049931027540699016
HSPA2,0.048694937997746136
NEFL,0.04846957496177937
F3,0.04838370070949286
CEACAM6,0.048377717876176604
HLA-DQA1,0.04791678718532277
CH25H,0.04751416557245344
GCLM,0.04709840439015148
PTN,0.04697581281078836
CCNA1,0.04696981519804426
CALB1,0.04652543038949396
KLK7,0.046413638582378174
MATN2,0.04596813893175501
KLK11,0.04544351710083989
S100A7,0.044445130717958706
FOXF2,0.043299201136793156
LAMA3,0.04200655511323865
DBC1,0.041028932684657515
GSTM3,0.04005951682677545
MMP9,0.03995904485782792
TFPI2,0.039762365475243235
MARCH3,0.03974547646794048
PPBP,0.03943129716264278
C7orf10,0.03934689738852104
FMO1,0.03910075011280509
MMP13,0.0389311498452393
C1orf103,0.038508288960843136
MMP7,0.03833473940706823
RAGE,0.03813011194944991
C17orf81,0.03731376106573977
SPOCK1,0.037245527215899014
PGDS,0.03724101249902953
SEMA3A,0.03720292470759269
ODZ4,0.03677100891237312
BCAT1,0.03628272044444981
NID1,0.03626831136623007
SEMA5A,0.03613195272677048
DNAH17,0.03605308315856264
DHRS9,0.03604998954831612
CXADR,0.035641163432845326
ZNF302,0.035555193416398234
TP53,0.03537996370514926
OLFML2A,0.035355829935760606
MT1E,0.035288602279170404
PPM1H,0.03509282456835335
CX3CR1,0.03493141678132373
CYP27B1,0.03488620664876791
TSPYL5,0.03472274859861486
PECI,0.03471016521594942
MMP10,0.034649799787168346
FGG,0.034550230927145445
COL4A5,0.033902434679064265
NR0B1,0.03385421206196568
CHST1,0.03351990256274207
HIST3H2A,0.032594157987784735
C21orf91,0.03238049290282864
MAGEC2,0.03229223984009625
KLK10,0.03219792575614353
HCLS1,0.03215965714960701
DMBT1,0.03207587869834927
APOD,0.031931146195470876
ALDH7A1,0.03191289583227205
KCNJ16,0.03171039571796153
EDN1,0.031602884089961265
GPR143,0.03150210843133561
AMIGO2,0.03145966137815569
GSPT2,0.031390485262383735
OPLAH,0.03130120505545527
ZNF557,0.03126586025275677
MUC16,0.03118597566567167
CLEC5A,0.03082391322065459
CEACAM5,0.030656926437647676
FCER1A,0.03062461974660954
ARNTL2,0.03039537318599218
ARNT2,0.030316648061770906
ZNF415,0.03012849674871155
IL1F9,0.03004143767542651
KAL1,0.030007391578281542
PLAC1,0.029991277492973287
IQCG,0.029837850922340314
GCNT3,0.029771328852022192
IL18,0.02973995891988948
PRR4,0.02973348820967034
PTK7,0.029664394295688696
ZDHHC11,0.029641501345459013
BHMT2,0.029383042997641332
SERPINE2,0.029296192854803314
KRT4,0.029289266292964838
IL19,0.029120454841395804
HOXD10,0.02898602605679898
ProSAPiP1,0.028752914464784583
VNN1,0.028748501130255767
NSMAF,0.02862151516999044
PC,0.02859950822183112
RNASE1,0.028478190574029512
KLK8,0.02827644972837483
S100B,0.02817697310156979
LYN,0.028036929104447644
TNC,0.028009155614350415
EPHA4,0.027726236210275323
C19orf2,0.02759421274259496
IGFBP5,0.02753765737341837
SLC34A2,0.02731881270108426
CEBPA,0.02719150628164109
DCI,0.026977433991897993
RNASE2,0.026946340904960217
FAM50B,0.026867207451549
FAT2,0.026822113774169064
CD1A,0.02676658761472753
NEB,0.026696098231898606
PSTPIP1,0.026556558186526077
TFF1,0.02653236169995295
KIAA1199,0.026364079629021313
BRDT,0.02631901870837578
RUNX3,0.02631661032295446
OGFRL1,0.026108938867815915
SIX1,0.025918626479133008
MAGEA12,0.02589573037723953
ALCAM,0.025859230316742126
MFAP2,0.02579163549601283
ATRN,0.025791590982729377
IGFBP6,0.02558344053600352
NT5E,0.025545264762571514
CLC,0.025522912101686304
KRT23,0.0253778874283981
F13A1,0.02536408351617055
IL1B,0.025199348407849292
TMEM30A,0.025168516310541872
KIAA1305,0.025165774156136467
C4orf31,0.02509314993865654
FLRT3,0.024936014895882073
ALDH3A1,0.024926052732656297
SSBP2,0.02477116180222261
FZD3,0.02477018535357627
DLK2,0.024740888781767997
SLC6A14,0.024725537390606938
IL18R1,0.0246401728147844
LMO4,0.024635083596341503
IL6,0.024521322456379956
DPYSL3,0.024519069242851788
CYP11A1,0.02447172814188237
TCHH,0.02440744630584599
GABRR1,0.024368588914762977
KCNJ15,0.024335401341906416
ZNF146,0.024303009296924336
PART1,0.024269185132628115
ALDH1L1,0.024233856859437845
SLC2A10,0.024180172581243286
RPL39L,0.02416504828689102
DHRS2,0.023991612175284414
WNT5B,0.023833325021776007
CD70,0.023620790786710373
EVI1,0.023513796365745573
PADI3,0.023492069384040845
TSFM,0.023441635938565512
TFF3,0.023424558154914236
CNN3,0.023353945461085008
FST,0.023204557562828874
TMEM100,0.023179443248787696
GGH,0.023025915474450286
PRB3,0.02300936600765593
CHN2,0.02298696823521447
PIP,0.02293342915516084
TGFBI,0.022928939005837933
ZNF492,0.022911087060822732
CDK4,0.022826618838652217
PBK,0.022783830507042947
DUOX2,0.022704957803555508
BCAS4,0.02260577944217388
SCN9A,0.022585235626295993
APBA2,0.022561276939649738
ACVR2A,0.022537412634906568
KCNN4,0.022513318125893803
CDA,0.02247384410941362
TREM2,0.02242128815419019
MIA,0.02240261628094772
IGHD,0.022350579947736884
LOC57228,0.02234504917637191
ATP8A2,0.022261286053093753
ARTN,0.02224473341996045
HOXC10,0.02222931359230349
AGPAT5,0.022188453915550587
C8orf55,0.022132966587514256
HRASLS,0.0221185230517517
MT1G,0.022103035654498105
BST1,0.02206310075730974
NME5,0.02204209849097132
UQCRFS1,0.02203892519263209
LXN,0.022028715281092473
USP25,0.021988135630933745
METTL1,0.02198206949523617
EPHX2,0.021912529355134987
MAPK14,0.021690524665885752
ZNF706,0.021629375800913755
LANCL2,0.02158606381632735
CBLC,0.021565086335051463
EPS8,0.021538347535231657
HPGD,0.02146950908576837
RGS13,0.021372101671008385
SYK,0.021313821093513374
ALX1,0.021182673929023958
FLJ22662,0.021169630921071273
LGALS8,0.021139610879255224
ATP10B,0.02111301078945654
