Genes,Gene_Values
HLA-DQA1,0.10031299544941406
DEFB4,0.07843737362049122
MMP10,0.07438769080564779
GSTA1,0.07323567843436214
IGF2,0.06017918745496273
LY6D,0.0534266000953787
GABRP,0.05334952375321202
MAGEA11,0.05194953160282996
KRT13,0.051516348219998766
SPRR3,0.05053419852364126
WIF1,0.046525143998393664
ZNF654,0.04555515888504004
HMGA2,0.044891601265847174
PTH2R,0.04140956039985292
TCN1,0.040853248810544716
SFTPB,0.040207843568446575
HP,0.04000803032170283
PCP4,0.03936444046886557
FBN2,0.0390191575423008
CEACAM5,0.038660496109657154
ABP1,0.03829544455128928
SEMA3A,0.038085256967493056
KRT31,0.03776887566496621
DLK1,0.03736074805816361
IRS1,0.03727549315650991
NLGN1,0.03653013287016028
KRT1,0.036039934079524764
FOS,0.03600357895980157
KLK11,0.03569158338568862
LRIG1,0.03563526231495233
DYNC1I1,0.034713251466065666
C3orf14,0.03423552313129679
DDX43,0.033849297422502374
PDGFRL,0.033556999919744215
KRT19,0.03325232472335026
CSN3,0.0331750074911811
CCL20,0.03311582419241466
FAT2,0.03297566406649763
BEX4,0.03287736429204408
FCER1A,0.03276743753944829
CTPS2,0.0327094815087142
BMP5,0.03246812856972789
CGGBP1,0.032311440934009596
MOCOS,0.03224618079309915
MGC87042,0.03177394816611624
IGFBP6,0.031379624118535676
CXCL11,0.030958562146325225
TMEM16A,0.03066656935505149
CYP39A1,0.030662489844489587
DLX5,0.030640441299848845
S100B,0.030107067090740434
CHGB,0.029914352894223374
AOAH,0.029635424171013114
CP,0.02947429550845276
TNNT1,0.029257152762567046
GHR,0.029238696191317286
ID1,0.028993932104006446
ENC1,0.02897447659327279
IL6,0.028851098070893318
TFF3,0.028836683231812602
PPFIA1,0.02873729635116369
ACOX2,0.02873545032071601
CALB2,0.028725565993875598
CDC25B,0.028534517405383972
WDR41,0.028336322548159446
F13A1,0.0283353378895886
MMP1,0.028208547739310585
KCNK1,0.028067801560090554
FAM50B,0.028053180344256988
BST1,0.02784873411190129
ACADSB,0.027818463215404078
LAMB3,0.027757533207159835
PRKAR2B,0.02744168333030546
SULT1A1,0.027290842676836905
SNAPC1,0.027281582896447897
CXorf15,0.027244533033751527
SH3YL1,0.02714427946867557
CEACAM6,0.026980495976308038
LAMA3,0.026939013768691497
CAPRIN2,0.026882394163165305
KIAA1609,0.026684250603010357
FBXL2,0.026645614196076382
NUDT11,0.026632664910060166
PLEKHA5,0.026623628009784517
SGPP1,0.026544538081601274
EMR1,0.02645396043708076
EML1,0.026200143819943875
DUSP10,0.026182613362359435
CHP2,0.02604764867397568
DDIT3,0.025727557805581964
RNASE2,0.025693606055810253
CCND1,0.025618152416017056
HIST1H2BK,0.02557559029254134
CHMP2B,0.02550625745591128
PPAP2C,0.025501440015243702
HCLS1,0.025416082501260408
CTTN,0.02538028899971684
ANKRD10,0.025362586203969167
FLJ22655,0.025272714344303573
COL17A1,0.025132521990905092
MYL9,0.024957578354985393
NPTX2,0.02483537120467876
TBL1XR1,0.02464148873839808
PLAT,0.024597786935537512
ALDH8A1,0.024412439104976112
PAH,0.024213022446411873
NRXN1,0.02420971215462862
ZMAT4,0.02409499536169206
PHLDA1,0.023944755082718698
MERTK,0.023934185277553192
IGHM,0.023857146384454297
PIR,0.023819761880030748
PTPRR,0.023789157587824628
RAB9A,0.0236838060927346
KHDRBS3,0.023663971438005978
MN1,0.023615731394663646
OLFML3,0.023498462477729735
CYB5B,0.023392384910070157
C1QB,0.02336221447496346
PRNP,0.023332648580074982
ADCY7,0.02327496546558739
PHF10,0.023264044869390453
PCLO,0.023221911233609234
CXCR7,0.023114580792056985
MAPK1,0.023082718938180955
IRX5,0.023067825080191732
C1orf61,0.02304965499360356
ACADL,0.02303659526200893
TMOD1,0.023013475303237874
MS4A4A,0.02294030600633139
RIN2,0.02288607898901342
PI4KA,0.022863533789782755
ZRSR2,0.022841647371044955
SULT1A2,0.022753945208481487
C1QTNF3,0.022715687830756667
MAN1A1,0.02267062124239672
EPS8L2,0.02266641202371702
SCML1,0.02262127662648871
CLK1,0.022614674024003988
NOL5A,0.022589357828126433
HIST1H1C,0.022501157488461147
GNAZ,0.022449058456262303
C1orf63,0.022420015851384534
LARP6,0.022385123460314377
STC2,0.022302146169962622
SLC6A15,0.022198591039761104
SLCO1B3,0.02216419616981275
GLIPR1,0.022086053232251115
TPK1,0.022008944864254004
TKTL1,0.021982089519886536
PKP3,0.0219749464918384
SLC24A3,0.021923548456318956
DYRK4,0.021910093704923462
IGKC,0.0218962080860821
SERPIND1,0.021893008307308788
HOXA5,0.02188805321502646
KRT34,0.021831592011284134
APOC2,0.02173910591010525
ZFX,0.021718871937391023
HIST1H4H,0.02171727382183884
ASCL1,0.0216947570070888
PCOLCE2,0.021662330273587466
FLJ14213,0.021647586626939042
KRT14,0.02164656373502375
CD1A,0.021536726538563512
OFD1,0.021518640453177383
GPATCH2,0.021514778019546803
PSMA1,0.021417359245608666
FKBP1A,0.021365190710032816
P2RY13,0.02130631738050425
CCDC46,0.02128358660102921
EXOC5,0.021243106784394013
HIST1H2BD,0.021235449018010884
TCTN1,0.021203104677987073
SOSTDC1,0.021161221548674204
NPL,0.021133460626363235
FADD,0.021133295399551145
TNFSF9,0.02110076035426801
YAP1,0.020989637711546577
PPM1H,0.020980440751737297
C20orf3,0.02095464704516949
IL33,0.020907488924958948
OCA2,0.020889518077129788
PCSK5,0.020881265894476354
FAH,0.020816421679276012
NET1,0.02076656739170404
ARL4A,0.02073324547459214
CX3CR1,0.020725475684155052
NOS3,0.02072447494181912
OMD,0.02070151762845948
PPL,0.020683978212645185
PRSS21,0.020680604286784858
ZNF557,0.020672524726165865
APOBEC3B,0.020636197731215063
TMEM131,0.02060852163696945
PYGL,0.020607450562944732
PRRX1,0.020562971913719627
SNAP29,0.020514961091904906
NNAT,0.020485350757085248
BAG2,0.020477597197903527
CCDC41,0.020438151286260538
FLJ22167,0.020416726490122515
IGF2BP2,0.020412862759939747
BCR,0.02032755312262094
CD70,0.020287871053376712
ACTG2,0.020262807297107964
TNNC1,0.020238651626507367
CXCL9,0.020205767939563586
ST8SIA4,0.020195556783687205
POLR2L,0.02018653131366401
RPS6KA3,0.02016903309010336
ZDHHC11,0.020093505025613016
CASK,0.020063073882780478
NPPC,0.020057392145683424
S100A14,0.02005342829637715
ITGA4,0.01998617015671373
TCHH,0.0199625620685924
FBXO17,0.0198690209091939
NUAK2,0.019866414978027384
ATG2B,0.01976236465582646
C2orf49,0.019680553960646056
PTPLA,0.019652298359980575
ITGB6,0.01964452388284921
PARVA,0.019640176840529544
SPON1,0.01962164212196684
SYT1,0.01960238469372085
SFTPD,0.019592924036496765
CST3,0.019562875898450814
GNG4,0.01956104937351165
MPP1,0.01954532106805204
TPM2,0.019539265089853184
PRPSAP2,0.019512000312551334
KRT5,0.01940585373514308
PRMT5,0.019399639499203692
FOXF2,0.019352966873877966
FOXC1,0.01933197157113579
TRIB3,0.01932758588253735
CSRP2,0.019314096803209908
UPK1B,0.019286159377697874
MYBPC1,0.019265320380373825
RCBTB1,0.019254197105640407
GLG1,0.019242195694402456
ZNF337,0.019233785152650628
PPAP2A,0.019226731699095067
AP4S1,0.019212901469396824
PRPH2,0.019203665530024856
RBBP7,0.019194144205010873
MYH11,0.01918007183147724
PEG10,0.019144591328546595
TNFAIP6,0.01913814614856892
PLP1,0.01911163700721116
ARSA,0.01904001902517156
ANKRD11,0.019024460295893823
IQCK,0.01901322407410481
FGL2,0.01900608780011614
MGC2752,0.01900335208769799
L2HGDH,0.018984019930863398
ZNF133,0.018966539181968344
KIAA0423,0.018846164629680775
FCN3,0.018785538798879783
IGFBP1,0.01874887410229401
BMP4,0.018599925463026735
BPHL,0.018597658114707195
PLOD1,0.01855086780563303
COL7A1,0.018541241686126336
CCNB1,0.018530182435343354
EGR4,0.018526552294795676
C14orf135,0.018512007393405742
CRELD2,0.018457251879000693
ARMCX2,0.018441696270416613
HIST1H2BH,0.018404836752867467
HLA-DQB1,0.01839784554924595
TAPBPL,0.018396465570113447
GLRX3,0.01835074140035943
CETN2,0.018266639568477763
ELF3,0.01824945127109853
IFNG,0.018240099868476693
ADAMDEC1,0.018228824827311293
F2RL1,0.018222818832539466
LCP1,0.018212845069252036
UBE2L3,0.018178331832665297
PHYH,0.018145385751210257
FGG,0.01813970940011087
GMPR2,0.018112319810208215
