Genes,Gene_Values
SFTPC,0.078550602172778
FGG,0.07529008196440479
GSTA1,0.07056803269465045
AGR2,0.06904909403189918
SFTPB,0.06687662732638452
CYP4B1,0.06633421158003062
ADH1C,0.06534543894726925
C4BPA,0.06272606753681034
SFTPD,0.06149096508607735
LTF,0.060170969488413696
CEACAM6,0.05897086397561246
LMO3,0.05896520700304948
CEACAM5,0.058678947366510234
AQP3,0.0522484134945623
SCGB1A1,0.0521509486496101
FOLR1,0.051236941255026425
CTSE,0.05013485419554125
SLC34A2,0.05010101991733992
DMBT1,0.049005388910938044
S100P,0.04893697337463234
HP,0.048910444761922627
ADH7,0.04567172321744983
AADAC,0.04311397657748556
SLC6A14,0.04290126141376227
MAOA,0.042029540209483914
GOLSYN,0.041058929788700696
GPRC5A,0.040811778584471534
CP,0.040696996276905976
SELENBP1,0.040246765527946184
MUC1,0.039460676844171164
LAMP3,0.03936838164958498
NMU,0.038734569133152166
ALDH1A1,0.03865783215768801
KRT19,0.037228643039433545
TMC5,0.03707352213101906
KRT15,0.03690738240655483
KRT4,0.036410668653296785
PRSS8,0.035481088811822444
C4orf31,0.03520788011453086
GPC3,0.035063088608881146
KRT13,0.03469562705706914
SERPINA1,0.03435622243417789
CHI3L1,0.03394844236216616
GPD1L,0.033330965827214405
CCL18,0.03324202757429731
MALL,0.03302195160415151
PIGR,0.032567362072659846
PLAC8,0.032267866922369576
EML4,0.03226217288285222
SDPR,0.032184258925451126
MYO5C,0.032135600738180496
DEPDC6,0.0319252444362154
AQP1,0.03181512880805817
TMPRSS4,0.031316759080389354
RAB11FIP1,0.03131046242310257
TBL1XR1,0.031167514906339955
ASRGL1,0.030262934437577032
MLPH,0.030076211718598263
CEP70,0.0300647227336244
ORM1,0.029965631071123468
CCL20,0.02994942816275623
ELF3,0.029740118079566915
EVI1,0.029694677648593584
HPGD,0.029482266828969653
PITX1,0.029244344405057056
ATAD4,0.029218303372384406
C4orf19,0.029180760137191345
LCN2,0.029139249049719446
INDO,0.029137673406600572
FLJ20273,0.029039647568883293
SCEL,0.028924255736264164
NKX2-1,0.028914633878370757
CD36,0.028884984358285105
GPR116,0.028882248180558488
CPVL,0.02883442024155649
PGC,0.028541251204796756
PDZK1IP1,0.028419150260530216
PLS1,0.02816091326628922
MNDA,0.02812087723946211
PPARG,0.02802315103292289
TFPI,0.027524125951297298
KRT8,0.02743261619840888
FLJ20160,0.027325126823963767
WFDC2,0.027176850428162994
APOC1,0.02707276696615263
MUC4,0.027044433814391342
C10orf116,0.026959035274483067
ERBB3,0.026722674130287546
LYN,0.026647054623807377
ACAD8,0.026577775192147754
NTS,0.026577045249155273
CD3G,0.026390714122396183
SLC27A2,0.026348712262795962
DHRS9,0.026225521275201658
EHF,0.026076157529589136
ACE2,0.025992208724411346
TSPAN12,0.02598602140798178
SPINK5,0.025881558527394235
ANP32A,0.02588039393495483
RARRES3,0.02575305365333804
GZMA,0.02570528823507253
GRAMD3,0.025640038308860077
TSPAN8,0.025623524204140262
CCND1,0.025516436818754224
CXCL2,0.0252525055793649
CYP2C18,0.025239082003383737
CLDN10,0.025213418088263613
ADAMDEC1,0.025124106359073584
SRD5A2L,0.024926786357859252
TMPRSS2,0.024925731273631044
CLIC3,0.024754946046479296
HIVEP1,0.024697826816097133
FCGR3B,0.024362588954032136
HSD17B6,0.024308095791858067
IGSF6,0.02429537609272271
KRT31,0.024249832438144495
PLA2G7,0.024166829831731955
CEP55,0.024165397357117976
KIT,0.024162009829037545
C7,0.024102739216332117
FRAT2,0.02404844998478939
DHCR24,0.023961529630960647
OLR1,0.0239240974992319
MORC4,0.023922754376033525
C3orf58,0.023889647340569968
ADH1B,0.023881737682562763
PEX13,0.023862918069545786
HERC6,0.023858594499832523
FAM13A1,0.0238025212745777
ITCH,0.02379070106672536
MPZL2,0.023776071637479492
NUPR1,0.023774117764449116
VNN2,0.02363108196245996
FMO3,0.0236023621638143
CTSS,0.02350944841162373
KLF4,0.02348275981038551
EFEMP1,0.02344672113206501
DEPDC1,0.0233949461620515
ACSM3,0.02336142009118949
MCM10,0.023280885441486557
SLC15A2,0.02327357315287985
ABCA3,0.023271058884035994
PKP4,0.023202001801002604
AQP4,0.023183956862567686
PRKAR2B,0.02318291492676454
DENND2D,0.0231570459348223
SLC16A6,0.023017955724928325
PLLP,0.02274924737779461
S100A14,0.022707679535069938
FMO4,0.022591835796702976
SIDT1,0.022529758463690687
AASS,0.02252674887241381
ORM2,0.022506593365687985
MYB,0.02241884043680919
ELF5,0.022355585714363482
ACSL5,0.022319953369781816
CLDN18,0.022303189834286127
HBB,0.022298337163859802
OCLN,0.02222718866069185
EYA2,0.02213928764111551
SAMHD1,0.02213772988636679
GPR126,0.022103818490124393
BCL6,0.02203250212262176
ATP10B,0.022012942064233026
FGR,0.021955774046802143
BRCC3,0.021903688436510183
FMO2,0.021876371718035807
BLNK,0.021795650233768987
ZNF217,0.021790824250886062
BAG4,0.02169898382660639
FCN3,0.021688749544368696
SLC44A4,0.021682198742144804
CLDN4,0.02162141593948587
SGK3,0.02152149047322654
CLEC3B,0.021452934983155775
KLRB1,0.02138899703433927
IFIT2,0.0212766500934777
OIP5,0.02124615516125227
UBD,0.021237006187024027
VNN1,0.021219014942354765
CXCL6,0.02121681707727898
APOL1,0.021198407608379606
GZMB,0.021184489989304923
TLR3,0.021121008826588607
AMMECR1,0.021109825415226276
SELL,0.021070710194345157
PXMP4,0.021064128106065276
FGA,0.021061407562965866
NCAPD2,0.021024075358621764
APOC2,0.021002004531548574
CLIC2,0.021001268511857886
SLC12A2,0.020943213018339762
MSH2,0.020927275214893785
CDCA3,0.02086567445507424
C21orf25,0.020779189419106208
LMNB1,0.020752019545108646
TSPAN1,0.020732498336344947
ATAD2,0.020579502598692442
CYP2B7P1,0.020572155638673748
CD52,0.020565014200948698
CMAH,0.020564124312967925
PAPSS2,0.020500668798895644
LRIG1,0.020398500978987346
ERLIN2,0.02028857245200722
SLC29A2,0.020256733124479287
ALOX15B,0.020143456072028113
PAMCI,0.020126400224799855
C3,0.02009490894367812
ALDH3A1,0.020037023632293642
TRIM6-TRIM34,0.01997454331132238
ZNF91,0.01997302990315733
IL33,0.019970278795437724
MSLN,0.019969008198132274
SMARCD2,0.019948296218206193
LMNB2,0.019929032983321236
MYO6,0.019910916869175354
CSF2RB,0.019910014544864234
CHEK2,0.01990333167789137
FUT3,0.01990004345121981
MSL2L1,0.0198602333075598
NINJ2,0.019841257080472827
MANSC1,0.01976194811935271
PLUNC,0.019741478235055464
SPRR3,0.019733124240332245
STYK1,0.01972907846851699
CMAS,0.019710201403445916
RPS6KA2,0.019696283330718045
C1orf103,0.019684624712261872
LRRC1,0.0196560243337429
RASSF2,0.0196198608401031
CEBPA,0.01961031363497748
CHPT1,0.019515379845209947
CSTA,0.01943524717221234
SCNN1A,0.019420855243071376
MTA2,0.01936212310330342
ADFP,0.01932845938130265
ADAM10,0.019294195209336198
CCNE2,0.01918993363278056
EXOD1,0.01912173005323535
CXCL9,0.01907200260348837
SCNN1B,0.019058587336876515
KIF23,0.019042855524730132
IFIT3,0.019042424290800698
CCDC69,0.019026763715060745
TGIF2,0.019015341638365744
ASS1,0.019000371770765145
NADSYN1,0.018985114354671206
C4orf16,0.01895115260971488
SDS,0.018945921724253325
SPAG1,0.018944352663237705
DUOX2,0.018943472816032748
FGFR3,0.0189246127099706
CXorf9,0.018895958342842484
FGD6,0.018849853576134744
ACP6,0.018825154751230404
HOOK1,0.01881566579878406
ACSL1,0.0187843007621462
GUF1,0.018781081625800333
SHMT1,0.018769835374279634
DNMT3A,0.018768074731955416
LIAS,0.018766234071092187
LSR,0.01875148120248157
PID1,0.018745357838503923
HMGA2,0.018689058652870363
TACC3,0.018677868698090606
RIPK4,0.018655388112031393
PIK3R3,0.01862528244281661
UBE1L2,0.018613694530649233
IL10RA,0.018597260613188962
KIAA1305,0.018575163541714363
MINA,0.01852642602624147
C1orf116,0.018522838268410995
NLK,0.018509322884948734
FZD5,0.018459227650811753
CENPE,0.01843407595376348
CCNA2,0.018366862763710343
RPE,0.018337355826604465
C13orf34,0.018297724942173615
DSN1,0.0182925128352217
AIFM1,0.018261792821753216
DRAM,0.018258499476694577
ARHGAP19,0.01825119597443779
EAF2,0.018249923294757702
LOC57228,0.018191046127230413
SDC4,0.018165463507634948
KLF5,0.01814805142093714
GRHL2,0.01813072960183464
AOAH,0.018119867525304218
FAIM,0.018113611805471542
EXPH5,0.01807433280609562
KCNS3,0.01807199405987452
CLDN7,0.018051646090780558
PRF1,0.01804525931954205
NOS2A,0.018021250877001044
TAF12,0.017980060074821357
SMPDL3A,0.017922321479767998
RBM35A,0.017892314044120387
IGKV1-5,0.01788185228102148
CHEK1,0.01787464427456701
BRAF,0.01786964267393089
CD38,0.017852413374173
RARRES1,0.017846056555660985
CLEC7A,0.01781972521774345
CLDN3,0.017813561423511756
TMEM48,0.017772571306226833
PRKX,0.017749098756685667
HLA-DMA,0.01770774442409088
TM7SF2,0.017686464288286602
LDLRAP1,0.017683393669371605
NCKAP1L,0.01766577740942573
TACSTD1,0.017663409847219595
WHSC1,0.017628424407441716
EVI2B,0.017603304722864862
UPK1B,0.017593808082442555
APOBEC3B,0.017593271717671395
AGER,0.01755293829235151
PTPRC,0.01754477057889725
LOC400506,0.01752815595953327
ETNK1,0.017520502146069542
MERTK,0.017485765719164336
KIF11,0.017460539774639044
KIF15,0.017447789258297076
MS4A4A,0.017441873382454856
BST2,0.017433435718503438
ABHD9,0.01742174736759583
F3,0.017412771139044686
USP46,0.017412099468883516
RPP25,0.017394121167137924
GNLY,0.017388791884907624
SETD8,0.01736943592628539
C12orf49,0.01736546914476573
COBLL1,0.017349008538479684
IFI44L,0.017347468052810372
DKFZp762E1312,0.01731885081818439
GPD2,0.017307693369981593
MARCO,0.01729628205093677
DPP4,0.01728771090175561
MAPK10,0.017264741303878884
FUCA1,0.017225588667440204
MBIP,0.01719224712149245
TLR5,0.01717594187591854
KLF3,0.01717274527917991
HSD17B11,0.017164277401313446
SLA,0.017122357149003856
HRASLS,0.017105728241565782
CDC37L1,0.017102646822849756
NCAPH,0.0170944450580747
TSPAN15,0.01708233337888999
AYTL2,0.017074044291101202
C8orf4,0.017058535710949133
VTCN1,0.017029757550547125
VAV3,0.01701425490049013
ACADSB,0.016991006351151156
BLM,0.016978539418082354
DARC,0.016977849905483573
PPAP2C,0.016948154153528395
BECN1,0.016927443303039635
NR1H3,0.016910657421707845
B3GNT2,0.016848179314847715
BCL11A,0.016846233952385114
QTRTD1,0.016830726567579526
IGHM,0.01681968531354444
TTC9,0.01681735759920591
PRKAG2,0.016800485126486905
GCH1,0.016749041535541374
HOOK2,0.01668270727508344
FZD6,0.016674321007123533
PPP1R13B,0.016655333172486374
CCNE1,0.01655169345313502
BANK1,0.016545313135828178
CD48,0.016535905210693223
CAPG,0.0165188665905763
ETFDH,0.016500297656087126
CYP2J2,0.01649694753738393
HRSP12,0.016477771140600585
IDE,0.01646694733610493
PER3,0.01645840708641563
CWF19L1,0.016454180261616054
ATP2C2,0.016395215804158002
MID2,0.016387936966987676
SLC39A7,0.01638655435506597
NCAPG2,0.016377460744446147
MGLL,0.016347531274508324
CORO2A,0.016338564962430552
IL8,0.01630002645953464
DDX58,0.016283759088457646
CAPN7,0.01626853175841181
FMO5,0.016251641685836527
AIM1,0.016241266956746523
ARFGEF1,0.01623996432572312
GPR171,0.016235044278508283
CACNA2D2,0.016231273407725694
HBA2,0.01621875862302856
ACPP,0.016185908628611023
FYB,0.016178055010538803
EXOC2,0.016173368142598184
PADI3,0.016173262285378832
BIN2,0.01616654409581354
CDC6,0.016162517940533562
KIAA0317,0.01614682611178046
EPS8,0.01610245515082166
ECGF1,0.016085594579227525
GLTP,0.01608150873549353
CEP63,0.01608007255664135
FBP1,0.01607939968869518
POF1B,0.016069684195583914
GATM,0.01605151823649769
AQP9,0.016044430962328986
PLA2G1B,0.016042819320263777
FBXO34,0.016039158386701998
UGT2A1,0.016022707652259823
KIF2C,0.016013614465875566
HMG4L,0.01600284699997023
HLF,0.016001895637885066
KIAA0020,0.0159948502730625
PRSS16,0.015985845530119582
S100A12,0.01596712824641222
SLC25A20,0.01595748867685014
CLEC10A,0.015953994013854635
GPSM2,0.01586646341319657
UNC13B,0.015816704177623365
IGKC,0.015800654639259695
NOC2L,0.015784628431184174
SENP2,0.015778372420199284
ZDHHC3,0.01577578637895378
TFEC,0.01576527796695089
RND1,0.015731861143098613
MEIS1,0.015721914323113373
ATG4A,0.015710627493661766
P2RY13,0.01568000147645596
