Genes,Gene_Values
LY6D,0.0786174342048084
KLK11,0.06787096608004159
TMEM16A,0.06634677012665402
IGF2BP3,0.049220304262070545
PLA2G2A,0.04789715050332607
SPRR1B,0.04623734703567341
XK,0.045534932805341995
SV2B,0.04501477703702364
GSTM3,0.04486978687491133
OLFM4,0.0447777884330556
CHST1,0.042791138334542546
IL17RB,0.04226383090601899
NOV,0.04201904670272332
NFE2L3,0.04200160685969792
C1orf61,0.041842442449414506
USP18,0.04173511902319443
IL12RB2,0.04154773723448905
PLA2G4A,0.04153704374492008
GPX7,0.04094358878480867
COL21A1,0.04061274858823418
CNTNAP2,0.04056111806560589
COCH,0.04049512068109778
SOSTDC1,0.04008167068741118
FOSB,0.03967402414614392
PPM1H,0.0395123517380935
PGC,0.03916029141873866
CAMK2N1,0.039128280872983874
SERPINB13,0.03907605432393809
DGKB,0.03903081976213203
KCNK3,0.03886004191516658
CLCA4,0.03885422843562381
HRASLS,0.03809300191575887
DNAH17,0.03789210818199639
GPR143,0.03772952277071316
APOL1,0.03762233809406923
FOLR1,0.03696355523032839
FGF13,0.036854757198287076
OLFM1,0.03668864387835536
DUOX2,0.03659082727011309
RASIP1,0.03646751717488858
AHNAK2,0.036211160887134324
PTGS2,0.03619627863914083
KRCC1,0.03610601267753751
CKB,0.035865800967269164
GATA6,0.03537562701597448
ZNF91,0.03491508937980728
DDX43,0.03472781718674723
PYGL,0.03467615714840341
CBR1,0.034584705877916476
P2RY6,0.034576734417103926
DKFZP586H2123,0.034454527632753695
TNFRSF21,0.03378120437094746
ART3,0.033723052418910396
SDPR,0.03360845172919042
SNAPC1,0.03358077197558599
DSG1,0.03354135210487139
ALDH7A1,0.033498252870067385
TMPRSS3,0.03342520911083765
EFHD1,0.03325323353882721
PTX3,0.0328133627903399
WISP2,0.032770893156981555
CCND1,0.03276189656718379
IFI44L,0.03272810244642736
EPHA4,0.03268012711377417
WASF3,0.03266507235207073
MME,0.03259250999809568
PSPH,0.032413875033540825
KLK7,0.0323946821254792
MATN3,0.032341533702674403
BMP5,0.03207143298737598
MYBPC1,0.031859516273233
PLEKHG6,0.03174532154747703
MAGEB2,0.0315312995128502
CXADR,0.03147216759119881
HOXA10,0.03138089344711275
HDHD1A,0.03132436353201617
F8,0.030638401062332656
PLLP,0.030611841641917
ACE2,0.030448948841783122
RPS4Y1,0.030134541950659073
GABRP,0.03002541823922663
SERPINI1,0.029994919905132963
KYNU,0.029883886982178764
FLJ14213,0.029796686916489127
CLDN5,0.029726419436192846
PRSS21,0.02968392523653703
FLJ10986,0.029643504365109735
TMEM45A,0.02957729055846104
ADD3,0.02956268686671256
RPH3AL,0.029272918917733683
HIST1H2BH,0.029187655654395715
GULP1,0.02911808273057225
GPC4,0.028955875537184917
MT1E,0.02863588015673927
LMCD1,0.028354574313166504
KLK12,0.02832407092203151
EPS8,0.028135082004714367
HOXA1,0.02776432131233761
NINJ2,0.027664938463334687
MYH11,0.027595703910535774
C6orf105,0.027587444599138342
ICAM4,0.02754603931069521
RNASE1,0.027378658048696873
ULBP2,0.027320138713474003
INDO,0.02710265148559718
TYRP1,0.026967578026860867
ABCA12,0.026946984859818855
ADRB2,0.026942063131968525
GNLY,0.026941448001927437
KCNN4,0.026922616472355453
NRIP3,0.026910016018012854
VIPR1,0.02681826419650172
ACADSB,0.026770449971101562
S100A12,0.02670962363280287
KCNMB4,0.02668789106207921
SHROOM2,0.026633976691202394
PROSC,0.026450332337839548
SERPINA1,0.026449162009705828
GABRR1,0.026390347001109413
GPC3,0.026265683573296294
PAPSS2,0.02609614116607184
THNSL2,0.026062355758508363
D4S234E,0.026008818348734582
STAR,0.02581607433077936
SCRG1,0.025764718334408968
CYP26A1,0.025675003271535348
EPHB6,0.025643790071007956
COLEC11,0.025535809772652494
ST8SIA1,0.025525581835040646
C7orf10,0.025522805750727004
ZDHHC3,0.025516970709624078
PI3,0.02536965105879944
ERLIN2,0.025341932559039757
NDRG4,0.025337574166544478
PDLIM3,0.025305518478046563
LIF,0.025296984948399104
NPTX1,0.025245724692837833
CLDN16,0.025245234168263315
CST1,0.025165030985398018
VIL1,0.025129012080278033
PIR,0.025017212443671843
EVI1,0.024975255298542273
MMP3,0.024939670308915314
INHBB,0.02492191863975943
CLCA2,0.02481171057371487
GALNT14,0.02475687517666964
LSAMP,0.024717644855166972
BCL2L14,0.024641036578874394
SHB,0.02462258078367534
ATP10B,0.024620984972277483
PON3,0.024566339354396904
ST3GAL6,0.024552986262085456
SMYD3,0.02449505348634407
IGFBP5,0.024494069245358362
LY75,0.02445905329329346
HEY1,0.02432837894438886
CYB5R2,0.024325429890993563
MAN2B2,0.02425004015153649
RIPK4,0.024133891608259263
SPSB1,0.02403783993274586
SEMA3G,0.024032161900747376
HSD17B1,0.02392919397233316
FADD,0.02385757889862248
ADA,0.023781094874062055
HSD17B3,0.023679967740753226
KCNJ15,0.023538623485942628
ATP6V0A4,0.023526146186214705
