Genes,Gene_Values
AKR1B10,0.0902866444052852
RPS4Y1,0.08039036543006225
TCN1,0.07562785883162047
CALB1,0.07182191028611176
NEFH,0.06629761223402944
CLCA4,0.06275494081181308
CES1,0.058583876738962794
TAC1,0.053671886938227026
ADA,0.05190434231859031
GAL,0.05176774502259723
HCP5,0.05054341440264576
DEFB4,0.049555782561956224
TMEM100,0.049385879752938136
PITX2,0.04696677106977749
CP,0.0468060638598462
CLCA2,0.046389522048100686
TMPRSS11D,0.04635681992128083
PRSS21,0.04482521324854175
FCN3,0.043545429196587486
NDRG1,0.042803770559615
KCNMB4,0.04278785126524599
GPX2,0.04220839074074615
KCTD14,0.04094027058678016
SERPINB13,0.040775638274183686
CXCL6,0.04020701957105537
SERPINF1,0.04007797757899988
TSPYL5,0.03995522465689845
SOSTDC1,0.039663050163013594
DDX3Y,0.03942546383869104
NID1,0.03919366729721045
AIM2,0.038859672462587154
SOX9,0.0381190150320176
ARL4D,0.037765203416448644
BHMT2,0.03772652228518628
EGR2,0.03727124299065159
IGF2BP2,0.03718990287750761
CEACAM5,0.03683257358485846
MAGEC1,0.036237354258816495
GATM,0.03575277706706314
C9orf3,0.035548855230515916
FGFBP1,0.03515474147795016
MUC4,0.0351410686168105
PAX6,0.03493100002847152
CBS,0.03489445057817613
IGF1,0.034875807015334846
ULBP2,0.03461539290908267
CHST2,0.03458465486231503
SFTPC,0.03455663549621006
DPY19L4,0.03432934222349847
EGR3,0.033744221031721484
CXCL2,0.033464531496175835
KCNJ2,0.03324781861159847
TAC3,0.033149927143675595
RGS20,0.033088616783526446
CHODL,0.03294541826769058
IL12RB2,0.032882887652387525
FZD2,0.03253096383953664
TF,0.032530368183801284
UCP2,0.032527329357097345
UPK1B,0.03248553844648348
CBLC,0.0324432389347079
EIF4EBP1,0.032424158386623124
DUOX2,0.03200468835383962
ZDHHC11,0.031755411016353936
MAGEA9,0.03162695692658434
UGT2A1,0.0314536900349482
C4BPA,0.03105667430744384
SOBP,0.03094243177215625
PGBD5,0.030873773532056486
ZNF83,0.030339623202855406
PON3,0.03028302761111893
KRT1,0.03023078260016467
GSTM3,0.03010055526425322
P53AIP1,0.03008688960359599
RTP4,0.02993038073165122
CBR1,0.029902136306464874
TP53I3,0.029823765957719
ODZ4,0.029812212476385675
CRLF1,0.0297315822931202
PLEK2,0.02959640819010855
AQP1,0.02958753138430024
TMEM22,0.02958151869755396
ALDOC,0.0295318444571142
SELL,0.029485983210818717
GABRP,0.029435854100700175
ITM2A,0.029396257071910434
IL33,0.029316251429143205
C9orf9,0.02921890060351724
PYCARD,0.02912285466976622
STXBP6,0.02908969349107098
CRYM,0.02906424320144379
SLC6A8,0.02891339185123058
NRIP3,0.028623740360421864
FABP6,0.028601006633300695
TLR5,0.028531525419662692
KRT6B,0.0285152021455577
RLN2,0.028402242742646223
ENTPD3,0.02835462488106716
DUOX1,0.028299097416030806
FCGR3B,0.028194554736525688
SERPINE2,0.028187400877904962
USP9Y,0.028042755828094554
SCN2A,0.027798362813301104
PTHLH,0.027761394621723282
ZNF91,0.02766413851928968
ZNF468,0.027339824876158346
HSD17B3,0.027205027832638
FCER1A,0.02713819947465677
FAM50B,0.02710235734286746
PYGL,0.026975419022566057
TUBB2A,0.026892755906427458
DNMT3B,0.026886287049102512
DEFA5,0.026717389106611557
ZNF232,0.026712394683378833
HHEX,0.02670367000271053
ABCA12,0.02660672468506042
S100B,0.026521618700632816
CDH19,0.02646686066622994
MAGEC2,0.026377932879055994
VTCN1,0.026337666525433814
PTGFR,0.026333356112177218
P15RS,0.026198318217996057
TDO2,0.026103782791599237
KIAA1305,0.025820772498271125
DKK2,0.02578129357505428
MMP1,0.025642069631351554
ARMCX2,0.02563586539234459
HOXB2,0.02561446609807811
CHL1,0.025596134831364904
DUSP22,0.025574533633461672
SPRY1,0.025517534353910926
ST18,0.025477216397069364
FBN2,0.02546388665150662
UBD,0.025369316814110077
S100A12,0.025322259143910154
MAGEA1,0.02530946996492841
DUSP10,0.02525449460707329
CSN1S1,0.02524320808115905
FBXL2,0.025228939449570394
CLEC3B,0.02509675660013472
CLDN18,0.025080119597797667
RABGAP1L,0.025060042723005823
NR2E1,0.02472717612374077
AMIGO2,0.02467591284960377
HIG2,0.024649332039174937
NLGN4Y,0.02456354403885597
B3GALT2,0.02452240007105502
SLC6A15,0.024442233304616867
OSR2,0.024390758865487236
PI3,0.024325675512850548
SOX4,0.024321833621236518
GPR88,0.024316048534575658
FZD5,0.02428029027188088
TESC,0.024242800157112648
DLX5,0.02419908029722227
NXN,0.02418677366433443
SLC27A2,0.024173174613683564
C6orf32,0.024077807488183216
EGR1,0.024023770735246634
PEX12,0.02399534223141225
C1orf103,0.023995075094738492
GCNT1,0.023948105129843095
VGLL4,0.023868069199921814
MFHAS1,0.023803522514335453
PRKY,0.02377410282744356
GABRR1,0.023741835824464184
HDHD1A,0.023690348899008992
VLDLR,0.023667654617521502
CTA-126B4.3,0.02354524576264457
F5,0.02349576270339387
AP2B1,0.023455482988290696
D4S234E,0.023455284194652454
MARCKSL1,0.023402124760647767
TTYH1,0.0233833721757298
GJB5,0.02336869207561022
SORD,0.02329395670681564
SPRY2,0.023274835366066216
NLGN4X,0.02324233333989146
SGK,0.02319032010303408
DDX52,0.02311563481982456
BAG4,0.023105439264243667
KYNU,0.023029698523512585
CXADR,0.022954719048993173
SLC16A2,0.022947184062689523
ANKS1A,0.022939434166914376
PXMP4,0.0229264869402691
C21orf91,0.02291519183660099
HIST1H2BF,0.022883103531409064
DECR1,0.022854703012693846
HSPA4L,0.022805842223213618
ZNF331,0.022639107029408363
C7orf49,0.02263625515628824
F3,0.022631886205098897
CHST4,0.022371305371722296
SPRR1B,0.02231148579043632
FOS,0.02230508954120942
KRT16,0.022244794916563858
PC,0.022238387207664915
SCN3A,0.02213029142380571
THBS4,0.022057079900758926
BCAR3,0.022012252943491753
QDPR,0.02193454913722377
TUFT1,0.021888584441429174
ZNF271,0.02186566639624867
HIST1H2BH,0.021857332154186487
SWAP70,0.02180609153676319
P2RY13,0.021768295223773174
C11orf75,0.021723852309267867
ARTN,0.021717114925933565
GPRASP1,0.02160599714974677
BMP6,0.021531773929663496
FANCF,0.021502382798601123
TNFSF9,0.02144101086431888
SDF2,0.021435123099876312
LYST,0.02142125924582172
FLRT3,0.02139927478299072
ACP6,0.02134395007275276
PIGZ,0.021327303506429217
CD1C,0.021311386289961765
LCMT2,0.021302159473494175
LIN7B,0.02123260089168912
RARRES1,0.021222195170948685
SLC35A1,0.02120492332856364
IQCA,0.02117109363709796
C20orf19,0.021123447968393643
KDELR3,0.02110186358782115
ZNF239,0.021074018268028218
LPHN3,0.021068309910784937
SLC27A6,0.02102738825005375
PLD1,0.020989577975673343
SDC2,0.02091340030446619
HBQ1,0.02090936625857271
FUT2,0.020858172802236334
FLJ10986,0.020853412928672425
NAV2,0.02083670195561335
APOBEC3G,0.02080809544792209
TAF15,0.020791868218115125
ABCG2,0.020674493460830973
FYB,0.020659078443976
BTN3A2,0.020654132541991766
KIAA1199,0.020640153268700456
GSTA1,0.020612788090726405
ZNF93,0.020558033276572463
IL17RB,0.020540942895849925
IER3,0.020533021004939183
ARG1,0.020530523194373665
C4orf19,0.020491146602653745
LSM12,0.020429926423492277
SCARB1,0.020389640158244248
DUSP14,0.020368831345964126
CYP26B1,0.020354264418302334
GTF2H1,0.020323288752815423
FOSB,0.020241807828830435
PSMB8,0.020198525300822535
MGC87042,0.020160887377133684
WISP3,0.020133938638244923
CASP6,0.020096230560015867
ZNF107,0.02007452707996359
PAK1,0.020072640619470658
UBXD6,0.02006192807008339
HIST1H2BC,0.01995331245828303
LHX2,0.019926561931725588
HIST1H2BK,0.01988903936116649
BCAT1,0.019883543396701123
LRMP,0.019846699061201813
ACTL8,0.019835110203512783
ACAA2,0.019719510667435828
TPD52L1,0.01956039555522786
CNN3,0.01955042191538657
LASP1,0.019542641388315057
ALOX12,0.019540457045762724
NCAPG,0.01953969957019472
PAEP,0.019529088939351902
ANKRD6,0.019473952723632205
ATP2C2,0.019466952763187845
TNFSF10,0.019447726609322355
GAB2,0.01940879679349902
NARF,0.0193951319982945
PHLDA1,0.019381573478897927
GAGE1,0.01937089954316473
NAT1,0.019347036045154843
KRT7,0.019287770613431364
PCOLCE,0.019278201098725897
POLDIP2,0.019262581536767385
LHX6,0.019225437639856274
WFDC2,0.019192376932258177
ZNF395,0.019148088987093238
HEATR6,0.01914743393215882
KLK11,0.01912964487316761
MED1,0.019119333108123013
RWDD2B,0.019107305693979455
CALML3,0.019002113007892705
CLCA3,0.01899784097333872
FIGF,0.018976165613156393
HIST1H2BE,0.018917105025118574
RGS4,0.0189122813414495
ZNF557,0.01890615406608072
CST1,0.018865498311964834
CX3CL1,0.018857477090220624
TYRP1,0.018848881254002147
CUGBP2,0.018833566052057656
CLEC4A,0.018788585762382057
TMEM158,0.01874307432198691
RAB11FIP1,0.018722090955264274
VGLL1,0.0187071495444875
EDG4,0.01866420286018677
RBPJ,0.01861522568903885
PAAF1,0.018597072473706306
ZNF167,0.018596193382599824
FLJ21511,0.018593787930345912
ZNF175,0.018572219121350115
IGFBP3,0.01857199377987998
PLS1,0.018544634875128016
PALMD,0.01854289301406276
