Genes,Gene_Values
RNF128,0.07621309359426488
ADH1C,0.0722908234152519
C20orf19,0.058256872346371474
MME,0.05465162882102812
BBOX1,0.05273031208480909
DKK1,0.05210792182928832
MLPH,0.051021970920537264
KLK11,0.05100279621241553
CXorf57,0.04971598567538647
CALB1,0.04821871357193676
EIF1AY,0.046846185363427655
GABBR1,0.04640348743070295
KCNS3,0.0462576673404855
ODC1,0.046144612129678714
CEACAM6,0.044507298644454095
CRYAB,0.04408783517789255
TMEM16A,0.04342582532961926
CXADR,0.04341702800512478
MUC4,0.04305629281319831
GABRE,0.04253643542176867
JARID1D,0.04237468850950351
NEFL,0.04051682650624651
FOXL2,0.04048322780651429
NRIP1,0.039917236700741716
CNTN1,0.03923798140139347
DDX3Y,0.03905837726909917
BCHE,0.03862679761868571
COL4A5,0.038566313896089444
ART3,0.03839633466131508
S100P,0.03825010613634116
PDE9A,0.037132820324797276
GPNMB,0.03691061579688606
HOXC6,0.0366575659036842
AIM2,0.036507167968735245
NLGN4X,0.036498251034485917
TFAP2B,0.0361910710735261
FABP7,0.03567562041467297
CKB,0.03535194777620582
CDKN2A,0.03473716078094115
AHNAK2,0.034514020185400875
MAGEA12,0.03450544369898566
ALOX12,0.03403765332067975
CBR1,0.03398185578248956
CMAH,0.033972175745931546
FBXO17,0.033525772401411975
CXCL5,0.0334758608065387
TPD52L1,0.03339019903135547
PRAME,0.03328087055535635
IGFBP3,0.03319209265869024
ACADSB,0.03319025394806405
VSNL1,0.03304762271174734
SCG2,0.032791373963744805
SRD5A1,0.03244721623979188
RHOB,0.03232382221396236
KCNJ2,0.032296793742509454
LAMB3,0.032257987013844205
KRT81,0.03215954203573164
TRPM2,0.032075556515952085
PTX3,0.03189430103790322
HOMER3,0.03186842585567246
IL6,0.031707726198044205
CXCL9,0.03167052255410326
PLA2G4A,0.031564428363154734
FAM50A,0.03120493447179193
TSPAN7,0.031149573253142555
ALDH3A1,0.031100818676627454
RPS4Y1,0.03109616726754056
USP9Y,0.03102377694019686
SUSD4,0.030776327320636118
AZGP1,0.030774945292151537
CHST4,0.03072664445397654
INHBB,0.030713854281438982
HS3ST3A1,0.030471380569779393
MORC1,0.029836884117237637
ARMCX2,0.029797984775137728
KIT,0.029788533312381713
BTG3,0.029629526286178473
LDHB,0.029571649899436055
HOXC10,0.02953579295077036
STK32B,0.029339209442903108
PSAT1,0.02925784016629602
IGF2BP3,0.02922406503982122
PENK,0.0292092027111501
PLP1,0.029164977754047392
RBM13,0.028674750048278384
THNSL2,0.028575255820428677
C1orf61,0.028232080016741188
STAT4,0.02798238811911325
HSF2BP,0.027814471061582618
MYBL1,0.02774591628374222
COCH,0.02772620844178042
GPR37,0.027654031595150272
KYNU,0.027577454005536496
HCLS1,0.02730979022124897
CYP4B1,0.027264806957678415
SELL,0.027144809578044733
OCA2,0.027139173628004432
ATP8A2,0.02699333397541477
STCH,0.02692294814619814
C21orf91,0.026699060785554528
GSTA4,0.02668042273080373
TNFRSF21,0.02661038033141097
OLFM4,0.026532426432232647
DNMT3A,0.026483567897700677
STC1,0.026457022240112645
DUSP5,0.026097316397014066
PRKY,0.026085540621867753
NLGN4Y,0.0259760429185038
MYO5C,0.025966049989333752
MGC14376,0.02592619705922755
CLEC7A,0.0259156789487025
TMEPAI,0.02581192463340442
VEGFC,0.025705004899299028
SPRR3,0.025612890301839122
CYP2B7P1,0.02557024194852141
GABRP,0.025364451704896252
SLCO1B3,0.02530788862760028
RAB38,0.025114723816588493
