Genes,Gene_Values
MSMB,0.08089999602876659
FMO1,0.058914724009060164
WIF1,0.05199772177987204
TSPAN8,0.051766080221576284
AKR1B10,0.05153493010638648
KRT14,0.05126460714441657
MAGEA12,0.05038372124821922
CHIT1,0.04987757635019129
MMP7,0.049115854291492775
MAGEA1,0.048903500529767684
DBC1,0.04834749132337603
FCGBP,0.04817953381359182
AADAC,0.046348229643494776
CCNA1,0.04614047510070929
KRT20,0.044677777669374495
TDRD3,0.04267272956803089
NRN1,0.04263401554616882
TFF1,0.04193390001047467
SERPINB3,0.04138943143066557
MAGEB2,0.041236094790816545
DNASE1L3,0.04070476897309374
NEFM,0.04058222815078255
MAGEA9,0.03992944492250187
FOXL2,0.0398967767850388
MX2,0.03987139922696278
KYNU,0.038501435786500615
KRT15,0.03783148043695783
TNC,0.037749044381576134
CLDN8,0.03709357460699153
CXCL2,0.03706968508302014
MGC87042,0.03680779672711815
PLCB4,0.03679398533716557
TMOD1,0.03650175163213998
PGBD5,0.036479833896664114
VSNL1,0.03625580913202499
EYA4,0.03589119459136452
STON1,0.03524183841218177
PLA2G4A,0.03517822298169699
MTHFD2L,0.035016196885116854
CHFR,0.03492118408482794
PDZK1IP1,0.03430603725429406
ASPN,0.03412791992323997
NDRG4,0.03361225417916384
ENPP1,0.033018097225655
AIM2,0.03293753588933466
AHNAK2,0.03292007369130716
WDR37,0.03235583177079181
EZH2,0.03221029240477414
MT1X,0.03187310008830162
PPP4R1,0.03180177862478075
PROM1,0.031684997644073634
PLAC8,0.03142256351014622
SNAPC1,0.03131087855816888
TMEM30B,0.031210521248495743
PLAT,0.031006716644389608
NDP,0.030470984326568896
KCNK1,0.03016072288271056
DIRAS3,0.030062863206977545
IMPA2,0.029796695607146016
SOSTDC1,0.029495360113418943
HAL,0.02922054555370444
ACAT2,0.029054869843681663
FCER1A,0.029017469817705886
ARHGAP29,0.028968125333877957
REEP1,0.02888415577536396
PRRG4,0.028629758475355517
GRP,0.028489515542052292
MAPK12,0.02848469218850868
GOLSYN,0.028465649516485052
TRIP6,0.02844712605346335
CRYZ,0.028445053733342874
BPGM,0.028400878660139902
ACYP2,0.02837162693944836
IGHD,0.02800235681095586
PITRM1,0.027995066737595466
PAMCI,0.027947647076504056
RAGE,0.027809381928178854
TF,0.02773933998279773
KLRF1,0.02768577850699373
TMEM100,0.02759574686984531
CH25H,0.02757706892739026
DDB2,0.027463260206733196
SPOCK1,0.02735841501717837
CBX6,0.02722301741522374
MAGEA8,0.027118493220194488
PTHLH,0.026900492397059415
DIP2C,0.026886240207544158
ABP1,0.02687426051137031
SYT1,0.026803620270322678
FGG,0.026696646470206312
DKK1,0.02669010711221733
ARMCX2,0.026530093005691747
SPRY2,0.026525832098649223
HECA,0.026403624768072856
TRPM2,0.026046490209255483
DUSP6,0.025989691774417758
MAOA,0.025959619783395782
SLC6A15,0.02592185184946694
FGL1,0.025891598384634923
C9orf3,0.02579512901261619
IL8,0.02574082135699736
ABCC2,0.025606623069981786
UGDH,0.0255089411601783
CBLC,0.02548314767537379
KLF6,0.02530869235560237
TBC1D19,0.025228241741644244
MGC72080,0.025194344539045267
FZD2,0.025142638701393324
PLAGL1,0.02501586278535674
RAB31,0.025000306693807622
CTPS,0.024942440466408197
HEY1,0.02494108330771721
GSTM4,0.024917496866375725
EGR1,0.024855073773955762
AP3M2,0.024688578172900797
CEACAM1,0.0246758672414637
NEK11,0.024562826227522913
CA9,0.02433689261292626
UGT2A3,0.024314244929299282
WDR19,0.024305685766896026
LDOC1,0.02425458365461588
CHI3L2,0.024158408821649904
WHSC1L1,0.023976029624261312
PCSK1N,0.023966290275333847
ST3GAL1,0.023957339558133586
CCNE1,0.02391922913977867
GLA,0.023807897317419443
STC1,0.023801009728750485
GSTT1,0.023775221122560933
C6orf15,0.02374447591395385
PPM1H,0.023658642587936853
SERPINF1,0.02363531539264613
ZSCAN18,0.02332115069538837
ASB13,0.023268952213704175
IKBKB,0.023247689365037006
SLC6A14,0.02321563811066613
TMPRSS11D,0.023063780245617345
LOC440348,0.02299638568931497
CD1A,0.022827591047894186
PITX2,0.02280505516570819
COBL,0.022704780393328544
BTN3A2,0.022661186906380786
GREM1,0.02261715360403429
RNF39,0.02254571945770256
SQLE,0.02252264955590855
ADAMTS3,0.022425061438054
PDSS1,0.02240215084573022
LDHB,0.022281492353677775
IL13RA2,0.022225879889606528
HIST1H1A,0.022183791508856035
CSRP2,0.022157992849338122
HSD17B2,0.02215064160129788
HRASLS,0.02206372022100757
ZNF135,0.022053588775367828
AGTPBP1,0.022046649661121517
PALMD,0.022037877785487863
SLC38A2,0.022032646483728265
CDK5RAP2,0.021933830045405184
TMEM45A,0.021916221620907318
CDKN1B,0.02190540355131016
COL10A1,0.021903576624365116
KAL1,0.021873229559394577
ECH1,0.021872594251869118
FABP7,0.021816962355400253
C4orf15,0.021816960012970246
HMMR,0.021809174264267907
MUTYH,0.021799212451723667
TLR1,0.021798323444428152
SIX3,0.02170048700354102
INSIG1,0.02161609863569286
ZNF14,0.02157257967934478
MMP9,0.021528839351994143
